OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.472,0.472,0.471,0.472,18960.8,8931.2075,59,12627.2,5948.0819,202305
0.472,0.472,0.472,0.472,2586.3,1220.7336,15,2586.3,1220.7336,202305
0.472,0.472,0.471,0.472,1672.7,788.4618,7,620.1,292.6872,202305
0.471,0.472,0.471,0.471,1902.7,896.5525,10,380.8,179.7376,202305
0.472,0.472,0.472,0.472,100.7,47.5304,1,100.7,47.5304,202305
0.472,0.473,0.471,0.473,3800.2,1793.2899,17,3372.3,1591.749,202305
0.473,0.473,0.473,0.473,0.0,0.0,0,0.0,0.0,202305
0.473,0.473,0.473,0.473,2052.9,971.0217,6,2052.9,971.0217,202305
0.472,0.473,0.472,0.473,209.3,98.9571,2,0.0,0.0,202305
0.474,0.474,0.473,0.473,148.9,70.4929,3,63.2,29.9568,202305
0.474,0.474,0.473,0.473,5447.4,2578.0095,23,1389.3,658.5282,202305
0.472,0.473,0.472,0.473,1510.5,714.4251,3,1469.1,694.8843,202305
0.473,0.473,0.473,0.473,5034.4,2381.2712,15,5034.4,2381.2712,202305
0.473,0.473,0.472,0.472,5013.2,2371.1146,19,2818.1,1332.9613,202305
0.472,0.473,0.472,0.473,125.3,59.1809,4,39.3,18.5889,202305
0.473,0.473,0.472,0.472,23869.7,11278.5711,45,5951.0,2814.823,202305
0.473,0.473,0.473,0.473,1919.8,908.0654,4,1919.8,908.0654,202305
0.473,0.473,0.472,0.472,1390.8,657.4576,6,1000.0,473.0,202305
0.473,0.473,0.473,0.473,698.3,330.2959,6,698.3,330.2959,202305
0.472,0.473,0.463,0.466,181473.7,84603.9006,439,59211.6,27573.9501,202305
0.465,0.465,0.461,0.463,80392.0,37273.8716,320,50634.9,23488.9522,202305
0.462,0.464,0.461,0.464,17854.5,8268.5124,130,8592.3,3982.2962,202305
0.464,0.464,0.461,0.462,33690.8,15555.1828,150,18313.9,8451.821,202305
0.462,0.463,0.462,0.462,7465.9,3451.2873,31,4305.5,1991.1825,202305
0.462,0.466,0.462,0.466,14819.7,6883.3113,63,10450.2,4856.1295,202305
0.465,0.467,0.464,0.467,79242.9,36931.5984,93,73034.7,34044.7655,202305
0.467,0.472,0.466,0.469,545637.5,256196.1678,730,513914.3,241321.7654,202305
0.469,0.47,0.461,0.463,1022951.6,475899.0252,984,549977.4,255977.8824,202305
0.463,0.464,0.462,0.464,13518.1,6259.0841,61,3742.4,1733.4965,202305
0.463,0.464,0.46,0.461,498143.8,229779.7439,460,338558.4,156098.0498,202305
0.462,0.463,0.462,0.462,4949.1,2286.8766,39,2672.4,1235.0412,202305
0.462,0.463,0.46,0.462,339159.8,156423.9421,281,201956.7,93134.2061,202305
0.462,0.462,0.461,0.461,63005.2,29057.0614,62,1487.3,687.1326,202305
0.462,0.462,0.461,0.462,27933.7,12889.8414,50,12405.7,5731.4334,202305
0.462,0.462,0.461,0.462,1109.4,512.4263,4,992.9,458.7198,202305
0.462,0.462,0.461,0.462,23100.9,10672.0004,33,22485.5,10388.301,202305
0.462,0.462,0.461,0.462,4107.6,1896.872,12,3268.4,1510.0008,202305
0.462,0.462,0.462,0.462,1315.6,607.8072,3,1315.6,607.8072,202305
0.462,0.462,0.461,0.461,36655.9,16933.5815,107,35211.6,16267.7592,202305
0.461,0.462,0.46,0.461,136619.8,62988.4878,191,62404.6,28782.8216,202305
0.461,0.462,0.461,0.462,66179.2,30542.3356,81,65813.5,30373.7479,202305
0.462,0.463,0.461,0.463,16510.7,7625.5362,84,12200.7,5637.3523,202305
0.463,0.463,0.463,0.463,218.6,101.2118,3,218.6,101.2118,202305
0.463,0.463,0.463,0.463,552.0,255.576,7,552.0,255.576,202305
0.463,0.463,0.463,0.463,1155.6,535.0428,5,1155.6,535.0428,202305
0.463,0.463,0.463,0.463,1057.0,489.391,7,1057.0,489.391,202305
0.463,0.463,0.461,0.462,22549.1,10416.4741,52,11363.7,5250.0512,202305
0.462,0.462,0.461,0.461,1468.9,677.9089,8,746.0,344.652,202305
0.461,0.462,0.461,0.462,3174.5,1463.7686,13,324.1,149.7342,202305
0.462,0.462,0.462,0.462,0.0,0.0,0,0.0,0.0,202305
0.462,0.462,0.461,0.461,689.4,318.1032,6,289.8,133.8876,202305
0.462,0.463,0.462,0.462,44177.7,20444.0452,30,42942.6,19873.429,202305
0.463,0.463,0.462,0.463,1255.3,581.1821,5,1233.5,571.1105,202305
0.463,0.464,0.462,0.464,15064.7,6975.0403,60,15033.4,6960.5797,202305
0.463,0.464,0.463,0.464,1864.5,864.5712,10,1307.7,606.7728,202305
0.463,0.464,0.463,0.464,2456.4,1139.7308,10,2417.6,1121.7664,202305
0.464,0.464,0.463,0.464,9137.4,4238.794,24,8177.8,3794.4992,202305
0.463,0.464,0.463,0.464,2430.6,1127.7386,17,2370.8,1100.0512,202305
0.464,0.464,0.463,0.463,1234.4,572.4173,12,890.1,413.0064,202305
0.464,0.464,0.464,0.464,661.5,306.936,5,661.5,306.936,202305
0.464,0.464,0.463,0.464,2384.3,1106.0541,18,2123.2,985.1648,202305
0.464,0.465,0.463,0.464,9115.7,4230.3493,41,4742.5,2201.6165,202305
0.464,0.464,0.464,0.464,540.0,250.56,3,540.0,250.56,202305
0.464,0.464,0.463,0.463,329.2,152.6627,4,243.1,112.7984,202305
0.464,0.464,0.463,0.464,3588.2,1664.8657,12,3529.1,1637.5024,202305
0.463,0.464,0.463,0.463,24841.8,11501.8062,42,52.8,24.4992,202305
0.463,0.463,0.461,0.462,10788.6,4984.7803,23,442.0,204.204,202305
0.461,0.462,0.461,0.462,4687.5,2164.0223,13,3084.8,1425.1776,202305
0.461,0.461,0.458,0.46,68467.0,31424.8661,191,21438.7,9846.4844,202305
0.46,0.461,0.46,0.46,17026.9,7833.9631,44,3115.9,1434.9031,202305
0.46,0.461,0.46,0.461,8596.5,3959.1044,32,4714.4,2173.3384,202305
0.462,0.462,0.461,0.461,1099.8,508.0812,6,1073.4,495.9108,202305
0.461,0.462,0.461,0.462,1805.4,833.3076,13,1018.2,470.4084,202305
0.462,0.462,0.461,0.462,4033.7,1863.255,24,2437.3,1126.0326,202305
0.463,0.463,0.461,0.461,3135.7,1449.3149,17,1003.2,464.384,202305
0.462,0.462,0.461,0.462,3803.9,1754.0158,13,417.9,193.0698,202305
0.462,0.462,0.462,0.462,178.6,82.5132,4,178.6,82.5132,202305
0.462,0.463,0.461,0.462,4464.0,2062.3089,17,4161.7,1922.7494,202305
0.463,0.463,0.463,0.463,47.5,21.9925,2,47.5,21.9925,202305
0.462,0.463,0.462,0.463,139.4,64.517,7,114.2,52.8746,202305
0.463,0.463,0.462,0.463,6936.8,3211.6952,22,6893.6,3191.7368,202305
0.463,0.463,0.462,0.463,19176.9,8860.4387,49,710.9,329.1467,202305
0.463,0.463,0.462,0.463,19285.8,8925.3294,38,11002.7,5094.2501,202305
0.463,0.463,0.462,0.462,3442.7,1590.679,9,151.6,70.1908,202305
0.462,0.464,0.462,0.464,5503.3,2545.9617,19,2583.7,1197.0799,202305
0.464,0.465,0.463,0.464,5643.8,2618.8658,46,3527.2,1636.8109,202305
0.463,0.464,0.463,0.463,1777.1,823.1678,17,370.5,171.912,202305
0.464,0.464,0.463,0.464,1798.1,833.48,15,959.7,445.3008,202305
0.463,0.463,0.463,0.463,166.9,77.2747,4,0.0,0.0,202305
0.463,0.464,0.463,0.464,428.4,198.3845,8,35.3,16.3792,202305
0.463,0.464,0.463,0.464,2272.0,1054.0128,19,2076.8,963.6352,202305
0.463,0.464,0.463,0.464,11301.1,5235.0978,42,6661.8,3087.1019,202305
0.463,0.464,0.463,0.464,646.4,299.5124,7,229.2,106.3488,202305
0.464,0.464,0.463,0.464,1132.0,524.3971,11,281.1,130.4304,202305
0.464,0.465,0.463,0.464,17737.9,8230.4102,48,8760.1,4064.7658,202305
