OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
382.567,385.292,382.567,384.23,708.881,272124.75422,634,534.523,205123.723972,202104
384.417,384.884,382.878,383.308,547.553,210175.659447,399,316.809,121654.920185,202104
383.306,383.81,381.087,381.609,511.967,195848.141586,326,200.66,76814.02421,202104
381.414,382.203,380.915,381.529,156.082,59571.126557,121,93.296,35615.929739,202104
381.537,382.478,381.27,381.844,286.889,109562.036246,162,211.101,80615.088461,202104
381.844,381.844,378.479,379.111,392.544,149111.811543,370,122.483,46524.72002,202104
379.294,381.724,379.294,381.474,798.738,304344.424375,268,265.058,100960.354243,202104
381.476,381.844,380.91,381.289,201.333,76777.014756,161,86.968,33172.987758,202104
381.576,382.478,379.75,380.061,448.674,171062.01638,329,221.093,84357.130543,202104
380.146,381.778,380.146,381.418,414.59,157949.279358,195,368.037,140201.661806,202104
381.315,381.38,379.746,380.614,158.257,60217.428934,116,39.769,15136.395318,202104
380.357,380.8,379.764,380.395,348.324,132545.703674,132,90.97,34609.116595,202104
380.378,381.126,380.037,380.037,264.461,100570.309045,117,186.899,71076.774202,202104
380.322,380.571,379.908,379.983,336.161,127804.566107,124,85.981,32701.805756,202104
379.999,380.529,379.532,379.688,139.389,52957.891285,115,60.604,23032.194297,202104
379.821,380.724,379.579,379.925,219.017,83272.48612,143,56.794,21585.867401,202104
379.732,380.762,379.5,379.818,959.281,364740.006456,312,333.732,126901.688011,202104
379.906,380.481,378.625,380.481,1321.706,502151.795697,483,506.463,192302.068168,202104
380.476,382.841,380.027,382.747,557.028,212476.771368,356,341.433,130281.408046,202104
382.747,382.879,381.056,381.231,209.08,79823.596828,203,68.574,26178.646038,202104
381.191,381.657,380.182,380.199,150.055,57150.559527,134,40.288,15342.268685,202104
380.201,382.255,380.199,381.888,262.832,100300.431358,182,127.838,48803.701323,202104
382.063,383.0,381.439,382.942,274.359,104915.638527,205,143.211,54782.207143,202104
382.942,382.981,382.048,382.167,172.16,65858.22582,121,56.928,21781.509465,202104
382.03,383.497,380.837,381.016,407.799,155809.145025,288,248.943,95142.723759,202104
380.996,381.454,380.761,381.25,141.217,53829.183217,109,80.426,30661.398916,202104
381.079,381.445,380.77,381.007,161.025,61364.751111,82,77.982,29725.562744,202104
381.009,382.174,380.704,382.153,181.605,69296.526873,111,112.949,43107.070697,202104
381.987,382.063,380.567,380.856,340.33,129725.355822,160,126.203,48138.594833,202104
380.627,380.861,379.942,380.356,368.711,140225.845108,154,73.52,27957.339373,202104
380.239,381.526,380.239,381.369,253.509,96554.899494,172,197.808,75333.532411,202104
381.134,381.858,381.034,381.519,160.292,61137.918395,175,67.726,25837.204137,202104
381.519,381.834,379.964,381.429,310.333,118239.739203,207,194.182,73992.240011,202104
381.47,382.063,380.869,380.897,134.639,51358.088674,74,27.947,10665.499045,202104
380.899,380.907,380.5,380.768,143.973,54808.635657,158,57.359,21833.974072,202104
380.706,380.771,379.287,379.499,204.707,77833.044089,137,64.851,24658.341335,202104
