OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.08906,0.0899,0.08879,0.08934,1795024.9,160692.508809,490,1012663.1,90796.246484,201906
0.08936,0.08947,0.08833,0.08851,1169243.7,103868.304986,313,270121.7,24005.118914,201906
0.08851,0.08863,0.0882,0.0886,685263.8,60565.670683,264,282912.2,25009.021775,201906
0.08865,0.08867,0.08827,0.08857,358529.2,31727.976839,132,119280.3,10562.730114,201906
0.08852,0.0886,0.088,0.08816,747323.0,65949.447932,170,179923.1,15867.531777,201906
0.08815,0.08835,0.08808,0.08824,455850.1,40209.416426,130,318448.1,28092.764702,201906
0.08837,0.08925,0.08835,0.08899,554732.9,49318.659735,209,220304.0,19559.298796,201906
0.08908,0.08933,0.08864,0.08925,249726.0,22229.881455,168,147903.1,13170.454041,201906
0.0892,0.08942,0.08909,0.08921,347864.5,31037.393345,114,145354.9,12976.119806,201906
0.08938,0.0901,0.0893,0.09001,2307488.3,207566.013915,404,1149055.5,103315.816044,201906
0.09004,0.0903,0.08996,0.09,565298.7,50969.275392,122,222818.8,20094.728334,201906
0.08999,0.09043,0.08981,0.09022,592342.4,53422.483147,241,376107.3,33939.212016,201906
0.09023,0.09043,0.08937,0.08977,842901.6,75692.930522,400,212834.1,19109.313402,201906
0.08963,0.09011,0.08949,0.08973,510469.3,45836.447307,149,385943.2,34658.982226,201906
0.08965,0.08971,0.08937,0.08954,254894.0,22818.957178,93,142848.1,12793.660083,201906
0.08956,0.08974,0.08924,0.08974,498946.6,44664.426827,131,269124.2,24112.803114,201906
0.08969,0.09,0.08961,0.08991,222925.6,20020.631083,75,157329.2,14132.910025,201906
0.08994,0.09002,0.08981,0.08981,142882.9,12846.906299,59,18599.0,1672.575714,201906
0.08975,0.08984,0.08919,0.08925,540634.5,48305.752115,166,82636.1,7392.656347,201906
0.08925,0.08969,0.08919,0.08951,723418.0,64671.59643,118,337576.7,30174.353247,201906
0.08942,0.08942,0.0889,0.08939,1196901.3,106664.847009,181,295948.1,26400.241202,201906
0.08947,0.08978,0.08947,0.08973,86840.9,7784.000463,28,82651.9,7408.624204,201906
0.08979,0.0898,0.08961,0.08961,120603.3,10821.48905,56,75894.7,6811.018872,201906
0.0896,0.08978,0.08924,0.08945,259816.0,23243.482086,107,79838.4,7138.191782,201906
0.08958,0.08958,0.08888,0.08914,618921.1,55148.711784,147,80222.7,7148.704068,201906
0.08914,0.08943,0.08913,0.08916,97547.6,8710.107312,55,48550.5,4336.715049,201906
0.08916,0.08925,0.0891,0.0891,131006.1,11680.319534,34,37655.0,3359.050049,201906
0.08914,0.08946,0.08858,0.08946,654176.9,58125.300166,210,290579.7,25835.662094,201906
