OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.4914,0.52155,0.4914,0.52024,5642248.0,2891233.05153,8696,2945974.0,1509221.64908,202303
0.52019,0.52513,0.51627,0.52151,2755894.0,1435687.37986,3778,1363463.0,710621.35554,202303
0.52161,0.523,0.51463,0.51876,1666370.0,865130.11067,2217,833713.0,433258.765,202303
0.51901,0.52291,0.5137,0.52216,952231.0,493539.85137,1646,393723.0,204171.26416,202303
0.52234,0.52234,0.51573,0.51888,873572.0,452659.42933,1516,483687.0,250682.84924,202303
0.5191,0.51912,0.51309,0.51533,802107.0,413671.16848,1509,343960.0,177505.65516,202303
0.51495,0.5156,0.51017,0.51399,693672.0,356057.4864,1485,318986.0,163846.71372,202303
0.51407,0.51464,0.51165,0.51348,651309.0,334258.89306,1231,283960.0,145737.6946,202303
0.51322,0.51322,0.504,0.50518,1117353.0,567770.22066,1564,369447.0,187454.83886,202303
0.50533,0.50582,0.493,0.49453,1792791.0,894022.76871,1947,743797.0,370047.83651,202303
0.49455,0.49667,0.49159,0.49325,928184.0,458508.25569,1158,378389.0,186935.6606,202303
0.493,0.50148,0.4928,0.49866,1086222.0,540818.20889,1457,669910.0,333587.48635,202303
0.49864,0.5038,0.495,0.4994,922915.0,461187.91644,1193,645763.0,322845.11198,202303
0.49948,0.5,0.49528,0.49671,349787.0,174022.23353,686,134808.0,67121.3812,202303
0.49674,0.49797,0.49559,0.49797,300205.0,149062.76958,447,112104.0,55684.94491,202303
0.49786,0.4989,0.48373,0.48506,1961262.0,960232.43291,2066,859867.0,420559.57774,202303
0.48488,0.48922,0.48401,0.48859,637899.0,310039.9049,764,370472.0,180044.01743,202303
0.48843,0.49281,0.48717,0.49094,460510.0,225324.46591,658,242854.0,118870.00664,202303
0.49094,0.50174,0.4909,0.50097,1165518.0,578760.20963,1883,614544.0,305327.38184,202303
0.50078,0.50359,0.49727,0.50201,432175.0,216172.95697,959,197522.0,98877.15821,202303
0.50164,0.50326,0.49844,0.50082,390951.0,195644.05808,752,222371.0,111320.41528,202303
0.50099,0.50914,0.49918,0.50621,865121.0,437600.66453,1369,470685.0,238247.66671,202303
0.50621,0.51041,0.50527,0.50694,720470.0,366695.50529,964,385370.0,196195.86977,202303
0.50674,0.51065,0.50337,0.51,379907.0,192458.40401,755,220702.0,111841.27541,202303
0.50969,0.51129,0.50528,0.50579,825112.0,419870.83831,800,512162.0,260728.3904,202303
0.50579,0.50701,0.50338,0.50525,346140.0,174868.20813,562,158919.0,80298.33075,202303
0.50507,0.51263,0.50405,0.51228,555063.0,282824.23517,880,424406.0,216377.86853,202303
0.51231,0.51547,0.51021,0.51247,535051.0,274826.07487,1069,331706.0,170443.02222,202303
0.51247,0.51342,0.50844,0.51011,540091.0,275652.41065,764,176835.0,90328.29422,202303
0.51022,0.51229,0.50044,0.5057,2284254.0,1155028.21978,1468,1229441.0,621064.6973,202303
0.5056,0.50855,0.50519,0.50708,399798.0,202753.47602,569,134425.0,68148.37707,202303
0.50722,0.5088,0.50434,0.5047,215986.0,109327.44806,410,80370.0,40701.37278,202303
0.50439,0.50861,0.50381,0.50821,330655.0,167257.85094,637,232824.0,117816.05073,202303
0.50857,0.51456,0.5083,0.51371,670702.0,343168.53427,999,337623.0,172801.84219,202303
0.51341,0.51447,0.51102,0.51447,502558.0,257638.8072,623,172088.0,88218.90249,202303
0.51456,0.51549,0.51271,0.51302,496261.0,255057.08923,712,186835.0,96016.64198,202303
0.51315,0.51645,0.51225,0.51636,790985.0,407514.5865,924,351669.0,181177.18298,202303
0.51634,0.51818,0.51273,0.51277,674750.0,347764.38792,1048,297722.0,153565.94741,202303
0.51271,0.51452,0.50889,0.51385,391317.0,200062.80491,756,148925.0,76129.99837,202303
0.51368,0.51835,0.51311,0.51415,436001.0,225145.42033,936,208208.0,107562.1138,202303
0.51416,0.5148,0.511,0.51271,298698.0,153272.39595,547,116002.0,59541.21518,202303
0.51363,0.51532,0.51067,0.512,303283.0,155361.18504,382,186434.0,95539.59714,202303
0.5123,0.51578,0.51182,0.51249,181286.0,93070.865,389,83385.0,42835.18804,202303
0.51208,0.51389,0.50894,0.5095,478745.0,244756.94418,690,239171.0,122399.1005,202303
0.5095,0.51134,0.50937,0.50968,388856.0,198327.56107,558,194062.0,98997.62589,202303
0.50986,0.51001,0.50663,0.50736,363394.0,184646.34518,667,170475.0,86676.30443,202303
0.50722,0.5123,0.50698,0.51049,237430.0,120878.16907,596,157079.0,79963.74873,202303
0.51049,0.51361,0.51008,0.51292,190194.0,97401.16576,394,96216.0,49270.71564,202303
0.51278,0.51884,0.51207,0.51576,764707.0,394686.85616,1695,377302.0,194946.70428,202303
0.51562,0.51773,0.515,0.51715,332435.0,171648.10565,492,145200.0,75054.03214,202303
0.5171,0.51779,0.5135,0.51434,264059.0,136243.40237,452,152816.0,78857.33118,202303
0.51438,0.51707,0.51401,0.51504,305064.0,157269.72303,558,114445.0,59042.32113,202303
0.5152,0.51624,0.51177,0.51235,257832.0,132572.60472,561,86020.0,44277.34823,202303
0.51232,0.51278,0.51077,0.51153,275771.0,141069.82782,423,120187.0,61471.67457,202303
0.51184,0.51447,0.51153,0.51332,254229.0,130388.26716,390,156431.0,80279.6774,202303
0.51359,0.51598,0.51238,0.51371,218524.0,112393.31337,448,81856.0,42114.51058,202303
0.51403,0.51436,0.51167,0.51167,273551.0,140393.26628,458,146769.0,75343.79179,202303
0.51161,0.52473,0.50972,0.52406,1394942.0,723622.43795,2050,1010689.0,524654.00139,202303
0.524,0.52601,0.51929,0.52245,1271555.0,665401.6028,1276,833103.0,436226.63695,202303
0.5224,0.538,0.52094,0.53008,2694323.0,1432249.17387,5323,1725356.0,917761.65125,202303
0.5305,0.53138,0.52347,0.52425,692690.0,365127.982,1229,287989.0,151989.27819,202303
0.52482,0.52634,0.52198,0.5234,440261.0,230812.04785,965,155309.0,81510.00415,202303
0.5233,0.52671,0.51945,0.5206,527490.0,275861.84608,1073,187668.0,98226.72901,202303
