OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.1725,0.1726,0.1721,0.1722,68509.0,11801.8081,58,27762.0,4781.2613,202301
0.1723,0.1725,0.1721,0.1721,42775.0,7369.4554,40,10023.0,1727.6096,202301
0.1721,0.1721,0.1717,0.1717,54508.0,9375.3688,44,26966.0,4639.8804,202301
0.1717,0.172,0.1716,0.1719,85038.0,14603.5956,45,57280.0,9838.1181,202301
0.172,0.1721,0.1719,0.1719,92842.0,15967.725,59,6125.0,1053.5158,202301
0.1718,0.1723,0.1718,0.1722,66403.0,11427.1828,49,39776.0,6842.7599,202301
0.1722,0.1722,0.1721,0.1722,71112.0,12243.6094,43,37973.0,6537.7916,202301
0.1721,0.1722,0.1715,0.1717,197252.0,33870.3345,112,87430.0,15007.2944,202301
0.1717,0.1717,0.1714,0.1717,69458.0,11917.0928,44,28147.0,4828.2077,202301
0.1716,0.172,0.1715,0.1718,73736.0,12664.0129,58,44801.0,7694.446,202301
0.1718,0.1719,0.1716,0.1718,16542.0,2840.8323,23,10531.0,1808.5502,202301
0.1719,0.1719,0.1715,0.1715,68453.0,11750.4997,45,10138.0,1742.2158,202301
0.1715,0.1717,0.1715,0.1715,126650.0,21735.7971,72,28853.0,4951.0396,202301
0.1714,0.1717,0.1714,0.1717,61200.0,10497.1232,47,45731.0,7845.7366,202301
0.1718,0.1719,0.1716,0.1716,40250.0,6912.3691,31,11580.0,1989.6173,202301
0.1716,0.1718,0.1715,0.1718,59117.0,10144.9821,48,34321.0,5890.3286,202301
0.1717,0.1718,0.1714,0.1718,155511.0,26687.6442,104,82229.0,14110.0685,202301
0.1717,0.1717,0.1716,0.1716,13209.0,2267.8342,16,726.0,124.6542,202301
0.1716,0.1717,0.1715,0.1716,19857.0,3407.7169,20,7796.0,1338.0979,202301
0.1716,0.1718,0.1716,0.1718,23057.0,3958.1316,26,20752.0,3562.3764,202301
0.1718,0.172,0.1717,0.1717,50815.0,8734.8723,28,16538.0,2842.7807,202301
0.1717,0.1719,0.1716,0.1719,40337.0,6925.6729,32,22076.0,3790.6119,202301
0.1719,0.1719,0.1715,0.1716,180169.0,30948.7589,91,79135.0,13591.5027,202301
0.1717,0.172,0.1717,0.172,51262.0,8810.0038,35,42531.0,7309.7844,202301
0.1718,0.1718,0.1715,0.1718,41395.0,7107.4755,32,26217.0,4501.721,202301
0.1716,0.1718,0.1716,0.1718,30230.0,5192.2573,16,29562.0,5077.6285,202301
0.1717,0.1723,0.1717,0.1722,283139.0,48740.7147,134,180229.0,31027.1434,202301
0.1722,0.1722,0.1715,0.1716,265371.0,45595.1015,143,22636.0,3892.6377,202301
0.1716,0.1717,0.1713,0.1714,79717.0,13668.7605,63,39267.0,6735.0917,202301
0.1714,0.1716,0.1713,0.1714,54831.0,9400.8779,40,34517.0,5917.7688,202301
0.1714,0.1718,0.1713,0.1717,121811.0,20905.4869,68,58078.0,9965.8476,202301
0.1717,0.1717,0.1713,0.1713,63501.0,10893.6292,47,28412.0,4875.3319,202301
0.1713,0.1714,0.1712,0.1713,42230.0,7232.645,32,12333.0,2112.6432,202301
0.1713,0.1714,0.1713,0.1713,22037.0,3775.4899,20,20283.0,3475.0297,202301
0.1713,0.1714,0.1713,0.1713,7060.0,1210.0557,11,5704.0,977.6656,202301
0.1714,0.1716,0.1714,0.1715,13865.0,2377.3215,24,7433.0,1274.8504,202301
0.1715,0.1717,0.1713,0.1717,37894.0,6499.1878,37,17376.0,2982.2874,202301
0.1718,0.1718,0.1717,0.1718,10717.0,1841.1495,14,5465.0,938.887,202301
0.1718,0.1721,0.1718,0.1721,81679.0,14053.1748,53,48415.0,8328.9824,202301
0.1721,0.1721,0.1717,0.1718,70278.0,12078.3016,69,13857.0,2381.4373,202301
0.1719,0.1724,0.1719,0.1722,47606.0,8198.9832,62,33438.0,5758.2446,202301
0.1722,0.1724,0.1722,0.1723,23190.0,3994.8409,27,1986.0,342.1952,202301
0.1724,0.1727,0.1723,0.1726,52605.0,9075.0255,48,44711.0,7713.6142,202301
0.1727,0.1729,0.1726,0.1729,113268.0,19566.3745,60,72555.0,12534.617,202301
0.1729,0.173,0.1728,0.173,156611.0,27078.1824,80,53448.0,9242.3235,202301
0.173,0.1732,0.173,0.1732,110086.0,19055.9914,82,74051.0,12818.5596,202301
0.1732,0.1732,0.1728,0.173,159210.0,27550.425,84,34313.0,5935.327,202301
0.1731,0.1731,0.1729,0.1731,38525.0,6665.738,26,28985.0,5015.4016,202301
0.1731,0.1734,0.1731,0.1733,84426.0,14625.2571,60,61115.0,10587.4417,202301
0.1733,0.1733,0.1727,0.173,82995.0,14366.0751,46,40381.0,6989.3039,202301
0.173,0.1732,0.173,0.1731,28815.0,4987.9719,32,10058.0,1741.1626,202301
0.1732,0.1733,0.1731,0.1731,79787.0,13814.3523,52,8829.0,1529.216,202301
0.1732,0.1733,0.173,0.173,139026.0,24058.6559,85,94762.0,16396.1645,202301
0.173,0.1731,0.173,0.173,6749.0,1168.0587,16,169.0,29.2479,202301
0.1729,0.1731,0.1725,0.1726,139030.0,24015.6344,84,13057.0,2254.5428,202301
0.1725,0.1726,0.1723,0.1724,30681.0,5290.7278,28,22418.0,3865.8732,202301
0.1724,0.1724,0.172,0.1721,65310.0,11248.4915,57,34090.0,5870.7909,202301
0.1722,0.1723,0.1717,0.1717,172135.0,29588.1656,109,32958.0,5667.8683,202301
0.1717,0.172,0.1716,0.1718,111459.0,19150.228,53,88111.0,15138.5293,202301
0.1718,0.1718,0.1713,0.1717,127100.0,21796.2455,65,49777.0,8534.6869,202301
0.1718,0.1719,0.1717,0.1718,121350.0,20845.1833,68,17196.0,2953.3992,202301
0.1717,0.1718,0.1716,0.1717,7591.0,1303.3716,16,467.0,80.2028,202301
0.1717,0.1717,0.1714,0.1715,32305.0,5539.8688,26,4566.0,783.245,202301
0.1715,0.1719,0.1715,0.1718,36147.0,6207.7682,30,15209.0,2610.6752,202301
0.1717,0.1722,0.1717,0.1722,34099.0,5864.1868,46,33417.0,5746.9469,202301
0.1722,0.1726,0.1722,0.1724,47028.0,8114.2865,42,24287.0,4189.9082,202301
0.1724,0.1725,0.1722,0.1723,19425.0,3348.633,22,4072.0,702.2309,202301
0.1724,0.1726,0.1721,0.1721,63918.0,11015.5547,41,6720.0,1158.6548,202301
0.1721,0.1722,0.172,0.1722,23611.0,4062.7889,29,5844.0,1005.819,202301
0.1722,0.1725,0.1722,0.1724,68991.0,11895.3745,41,53886.0,9290.4703,202301
0.1724,0.1728,0.1724,0.1727,106758.0,18432.7735,65,77919.0,13450.7912,202301
0.1727,0.1728,0.1726,0.1726,49099.0,8478.3819,34,22334.0,3858.0227,202301
0.1726,0.1731,0.1725,0.173,55022.0,9506.9082,45,39998.0,6910.8834,202301
0.173,0.1731,0.1729,0.1731,67579.0,11690.8441,44,32434.0,5612.7764,202301
0.173,0.1731,0.173,0.1731,36385.0,6296.5203,28,10695.0,1851.3045,202301
0.1731,0.1735,0.1731,0.1735,77724.0,13476.5188,71,38854.0,6736.5868,202301
0.1735,0.1736,0.1733,0.1734,73728.0,12784.7079,56,38565.0,6687.3824,202301
0.1734,0.1736,0.1734,0.1736,119199.0,20672.4894,47,79262.0,13745.7919,202301
0.1735,0.1737,0.1731,0.1731,65245.0,11317.0306,59,25484.0,4420.6482,202301
0.1731,0.1732,0.1731,0.1731,5427.0,939.5002,9,865.0,149.818,202301
0.1731,0.1735,0.1731,0.1735,113387.0,19652.3001,51,101939.0,17670.4332,202301
0.1735,0.1736,0.1734,0.1736,24559.0,4259.4174,27,13929.0,2416.1266,202301
0.1735,0.1736,0.1734,0.1735,38595.0,6697.34,20,12322.0,2138.9833,202301
0.1734,0.1736,0.1734,0.1735,14329.0,2486.2359,20,11363.0,1971.6787,202301
0.1735,0.1741,0.1735,0.1736,305377.0,53111.241,138,182169.0,31680.1568,202301
0.1736,0.1738,0.1734,0.1738,99678.0,17301.7751,59,32036.0,5561.2951,202301
0.1739,0.1739,0.1734,0.1735,126625.0,21983.3926,73,52037.0,9031.1575,202301
0.1736,0.1736,0.1731,0.1731,89103.0,15444.8033,62,3422.0,593.3837,202301
0.1732,0.1734,0.1731,0.1734,96140.0,16660.5883,66,88814.0,15391.2075,202301
0.1733,0.174,0.1733,0.1739,201775.0,35030.1846,107,136656.0,23717.1318,202301
0.174,0.174,0.1737,0.174,120105.0,20879.4252,51,49463.0,8599.5151,202301
0.174,0.174,0.1737,0.1737,72664.0,12625.7569,50,2147.0,373.4212,202301
0.1738,0.1738,0.1736,0.1737,34035.0,5912.9824,25,26372.0,4581.9253,202301
0.1738,0.1738,0.1735,0.1735,33673.0,5849.5713,32,3850.0,669.0284,202301
0.1735,0.1735,0.1734,0.1734,19380.0,3361.4894,28,5623.0,975.0846,202301
0.1733,0.1736,0.1733,0.1736,41285.0,7161.9662,38,31007.0,5379.755,202301
0.1735,0.174,0.1735,0.174,24798.0,4311.5179,34,7114.0,1236.606,202301
0.174,0.1742,0.1737,0.1737,226143.0,39353.0691,135,99252.0,17270.8226,202301
0.1737,0.1738,0.1736,0.1736,82254.0,14279.6141,39,63013.0,10939.2002,202301
0.1736,0.1738,0.1734,0.1738,100868.0,17505.888,67,54213.0,9407.6492,202301
0.1738,0.1738,0.1735,0.1736,72125.0,12521.9527,75,37394.0,6490.8763,202301
0.1736,0.1737,0.1732,0.1733,301522.0,52287.0922,102,16972.0,2942.3019,202301
0.1733,0.1734,0.173,0.173,213771.0,37014.2714,129,94362.0,16339.3944,202301
0.173,0.1731,0.1728,0.1728,102336.0,17696.9099,47,30037.0,5196.1706,202301
0.1729,0.1729,0.1728,0.1729,16084.0,2780.7557,20,14405.0,2490.6245,202301
0.1728,0.1729,0.1727,0.1728,89036.0,15386.3458,43,20625.0,3564.2931,202301
0.1728,0.1728,0.1725,0.1728,69241.0,11954.2223,59,46256.0,7986.707,202301
0.1728,0.1729,0.1727,0.1728,22492.0,3886.4369,20,1653.0,285.7778,202301
0.1729,0.1729,0.1724,0.1724,85837.0,14822.0825,67,21610.0,3730.4083,202301
0.1723,0.1729,0.1723,0.1729,69889.0,12064.1622,58,50953.0,8796.8989,202301
0.1728,0.1729,0.1728,0.1728,18532.0,3202.7041,17,3745.0,647.5105,202301
0.1728,0.173,0.1728,0.1729,5233.0,904.659,12,3526.0,609.6587,202301
0.1729,0.1732,0.1728,0.173,80875.0,13989.1765,72,68416.0,11835.4765,202301
0.1732,0.1733,0.1727,0.1728,150974.0,26129.4029,92,53301.0,9225.4672,202301
0.1729,0.1733,0.1729,0.1733,52941.0,9165.2457,44,49916.0,8641.5944,202301
0.1733,0.1733,0.1732,0.1732,51040.0,8843.0142,42,9338.0,1618.2754,202301
0.1733,0.1734,0.173,0.1733,143192.0,24786.076,97,57580.0,9969.6318,202301
0.1732,0.1733,0.173,0.1733,72703.0,12584.9516,49,36338.0,6289.7495,202301
0.1733,0.1733,0.1732,0.1733,27608.0,4783.2313,30,15102.0,2617.1766,202301
0.1733,0.1733,0.1731,0.1732,6063.0,1050.4109,14,4327.0,749.7921,202301
0.1732,0.1733,0.1727,0.1728,198233.0,34304.9747,149,25850.0,4476.375,202301
0.1728,0.1729,0.1727,0.1729,18747.0,3239.344,19,13747.0,2375.844,202301
0.1728,0.173,0.1728,0.173,42448.0,7340.5073,40,26001.0,4497.1683,202301
0.1731,0.1732,0.1727,0.1728,103504.0,17904.9486,106,25048.0,4333.0843,202301
0.1728,0.1728,0.1725,0.1726,94531.0,16317.8245,93,16157.0,2789.4411,202301
0.1726,0.1729,0.1726,0.1727,39073.0,6749.8876,28,24488.0,4229.9031,202301
0.1727,0.1727,0.1724,0.1725,102334.0,17658.8903,48,51762.0,8929.5127,202301
0.1725,0.1727,0.1724,0.1726,37542.0,6477.2925,33,35573.0,6137.5412,202301
0.1726,0.1726,0.1724,0.1725,33144.0,5717.5998,28,25136.0,4336.2928,202301
0.1726,0.1726,0.1723,0.1723,58205.0,10039.3113,44,5420.0,935.1023,202301
0.1723,0.1725,0.1723,0.1724,19381.0,3340.7945,19,13067.0,2252.8585,202301
0.1724,0.1731,0.1724,0.1731,219917.0,38006.1273,114,201064.0,34752.9509,202301
0.1731,0.1733,0.1729,0.1731,130529.0,22605.1912,86,71720.0,12420.0206,202301
0.1731,0.1734,0.173,0.1733,142405.0,24665.1983,72,64924.0,11243.4857,202301
0.1733,0.1734,0.1733,0.1734,23151.0,4012.6957,19,14955.0,2592.3289,202301
0.1733,0.1737,0.1733,0.1737,45082.0,7819.6839,48,39292.0,6815.3727,202301
0.1737,0.1738,0.1731,0.1731,248258.0,43071.5708,140,59781.0,10381.5715,202301
0.1731,0.1733,0.1731,0.1731,18728.0,3243.6481,26,7114.0,1232.6945,202301
0.173,0.1731,0.173,0.173,28581.0,4946.0615,20,15485.0,2680.4535,202301
0.1731,0.1733,0.1728,0.1729,98884.0,17108.9247,65,31432.0,5440.2259,202301
0.173,0.1731,0.173,0.1731,21584.0,3734.9776,18,15076.0,2609.0936,202301
0.173,0.1733,0.1729,0.1729,87327.0,15121.1482,55,38665.0,6694.7134,202301
0.173,0.1734,0.1729,0.1733,120146.0,20822.5092,53,106434.0,18446.8215,202301
0.1732,0.1735,0.1732,0.1734,50244.0,8708.8982,50,40004.0,6933.5192,202301
0.1735,0.1747,0.1735,0.1744,496526.0,86548.0556,255,250928.0,43710.9892,202301
0.1744,0.1745,0.174,0.1743,285318.0,49727.2557,136,126261.0,22004.6537,202301
0.1743,0.1751,0.1742,0.1748,388886.0,67956.8033,231,280873.0,49082.9884,202301
0.1748,0.1755,0.1748,0.1752,279966.0,49037.6076,256,159779.0,27981.7395,202301
0.1752,0.1754,0.1749,0.1751,74677.0,13074.7679,70,48242.0,8446.9349,202301
0.1751,0.1751,0.1745,0.1746,163040.0,28484.8909,115,91700.0,16022.6372,202301
0.1746,0.1748,0.1742,0.1746,240383.0,41944.3604,162,151159.0,26378.373,202301
0.1747,0.1749,0.1746,0.1749,39850.0,6964.6369,55,22012.0,3847.3331,202301
0.1749,0.1752,0.1745,0.1745,347035.0,60691.4557,137,58136.0,10167.784,202301
0.1745,0.1746,0.1742,0.1743,178124.0,31063.9437,100,47558.0,8294.5888,202301
0.1743,0.1744,0.1741,0.1743,82188.0,14321.2848,59,37181.0,6478.6844,202301
0.1743,0.1744,0.1742,0.1743,28017.0,4883.5192,35,19203.0,3347.4301,202301
0.1744,0.1749,0.1744,0.1747,83826.0,14648.8371,66,54848.0,9584.0347,202301
0.1747,0.1748,0.1742,0.1742,141105.0,24616.2277,101,49433.0,8621.4421,202301
0.1741,0.1744,0.1741,0.1742,42495.0,7404.8512,39,29132.0,5076.358,202301
0.1742,0.1743,0.1741,0.1743,47174.0,8216.596,39,22189.0,3865.4729,202301
0.1743,0.1744,0.1743,0.1744,18168.0,3166.868,28,11429.0,1992.2603,202301
