OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
5.87,5.888,5.862,5.876,18655.39,109555.46688,325,11132.48,65381.30285,202302
5.875,5.878,5.842,5.846,17174.14,100581.59956,323,6720.9,39365.89783,202302
5.847,5.874,5.836,5.87,6798.55,39799.32515,231,4387.67,25696.92231,202302
5.871,5.878,5.858,5.861,3202.22,18801.85745,130,1596.72,9374.00455,202302
5.861,5.883,5.861,5.883,3939.08,23147.92596,124,2702.93,15884.09341,202302
5.883,5.883,5.86,5.865,2916.27,17120.72891,93,1359.45,7982.03083,202302
5.861,5.871,5.848,5.867,6610.66,38742.90331,178,3015.46,17669.88135,202302
5.866,5.885,5.857,5.884,4426.31,25996.11427,168,3235.91,19002.79586,202302
5.884,5.891,5.878,5.89,6482.1,38134.14096,195,5094.24,29968.13122,202302
5.89,5.894,5.885,5.892,3844.18,22644.23061,124,2347.32,13826.55958,202302
5.894,5.897,5.882,5.884,5168.45,30455.25111,160,3175.2,18708.88982,202302
5.884,5.886,5.873,5.876,2888.27,16980.93761,106,1791.62,10534.03774,202302
5.877,5.895,5.874,5.888,4895.51,28809.28428,152,3566.24,20982.92678,202302
5.888,5.896,5.883,5.894,5135.43,30235.21911,169,3238.53,19069.0753,202302
5.894,5.9,5.888,5.898,4592.4,27070.26007,152,2764.2,16294.20499,202302
5.898,5.899,5.884,5.884,5974.27,35198.64882,147,3019.08,17789.2008,202302
5.886,5.897,5.881,5.892,9315.97,54846.59829,201,7542.7,44409.26266,202302
5.892,5.898,5.881,5.881,5181.69,30522.89415,154,2404.38,14166.04961,202302
5.881,5.883,5.873,5.878,4729.51,27802.93785,137,2497.46,14681.53942,202302
5.878,5.907,5.876,5.905,15059.27,88794.02709,191,12807.7,75536.26742,202302
5.903,5.939,5.902,5.929,21657.11,128156.6641,532,15516.14,91788.01093,202302
5.929,5.955,5.923,5.934,21044.7,125041.94051,477,13590.55,80789.92544,202302
5.932,5.939,5.923,5.924,7233.28,42905.25285,204,5364.09,31818.33269,202302
5.924,5.95,5.922,5.948,15615.71,92684.43041,293,11053.29,65605.14841,202302
5.947,5.947,5.922,5.922,8236.87,48869.99423,145,6272.77,37222.65478,202302
5.921,5.924,5.912,5.913,6115.74,36200.50744,159,2402.67,14222.41659,202302
5.913,5.919,5.906,5.908,3087.5,18251.46583,90,1859.76,10995.30835,202302
5.907,5.909,5.891,5.892,8760.21,51675.6266,228,4471.93,26378.52233,202302
5.891,5.895,5.884,5.885,9108.08,53633.42198,258,6798.55,40034.08337,202302
5.885,5.895,5.883,5.894,6119.49,36036.47706,163,4827.74,28428.7903,202302
5.892,5.913,5.885,5.912,12370.47,72987.68849,212,7262.9,42851.67917,202302
5.913,5.917,5.899,5.9,5947.49,35139.27627,155,3578.56,21140.96847,202302
5.9,5.917,5.899,5.915,14466.81,85480.96048,193,13183.72,77898.62761,202302
5.914,5.921,5.892,5.895,26103.46,154085.93795,228,12853.71,75847.15598,202302
5.895,5.907,5.89,5.907,4925.18,29042.30585,146,3855.39,22734.05087,202302
