OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
7.9337,7.9697,7.924,7.9646,23648.04,188073.611952,369,10525.63,83759.526172,202211
7.96,7.9699,7.923,7.9246,20844.44,165577.365186,388,10526.9,83635.894442,202211
7.9251,7.9349,7.9123,7.9159,16687.88,132240.211253,305,6370.94,50475.53651,202211
7.9193,7.9214,7.88,7.88,14122.73,111571.695499,353,4529.86,35785.660691,202211
7.88,7.8986,7.86,7.86,14771.94,116387.223132,296,5922.32,46660.153248,202211
7.86,7.86,7.8224,7.8503,47685.34,373760.905284,855,19472.83,152605.921651,202211
7.8478,7.8711,7.822,7.825,14227.59,111563.349898,328,6723.22,52721.973363,202211
7.8266,7.8726,7.8266,7.8584,13516.06,106098.080355,321,8372.03,65695.506677,202211
7.8636,7.8636,7.8378,7.8379,6378.79,50092.923195,188,3219.55,25285.544165,202211
7.8379,7.8653,7.8334,7.8419,18161.5,142562.97637,308,6209.79,48738.505251,202211
7.841,7.8487,7.8319,7.8382,13841.15,108505.06124,301,2947.92,23114.66582,202211
7.8359,7.8478,7.815,7.8476,17327.39,135695.824815,293,4544.11,35576.336465,202211
7.8482,7.859,7.8365,7.8462,13320.68,104549.781527,270,6758.48,53041.561848,202211
7.8468,7.8571,7.8411,7.8411,5285.76,41492.29689,112,2512.89,19728.732718,202211
7.8411,7.8724,7.8411,7.8538,4521.39,35534.371637,126,2872.2,22581.458811,202211
7.854,7.8792,7.8437,7.8708,6763.33,53167.250305,179,3973.55,31234.461404,202211
7.8666,7.8833,7.8546,7.8607,10435.19,82136.476691,233,5403.82,42529.25561,202211
7.8621,7.8832,7.8537,7.8541,7643.38,60115.875316,213,2454.17,19297.780047,202211
7.8562,7.8662,7.837,7.8662,20294.15,159277.556564,376,7770.22,60978.983508,202211
7.8631,7.884,7.858,7.8593,7318.14,57598.062837,219,3872.33,30472.71606,202211
7.8627,7.8671,7.8492,7.8539,9916.29,77925.574549,203,2596.53,20404.235121,202211
7.8532,7.8738,7.8461,7.8683,7307.01,57401.175256,166,3911.71,30730.572214,202211
7.8653,7.88,7.857,7.8733,11882.68,93495.05738,295,5645.94,44423.322572,202211
7.8717,7.8733,7.8588,7.8593,3765.82,29607.955487,102,1785.42,14036.645893,202211
7.8625,7.882,7.8565,7.8696,10129.64,79695.208398,207,4305.8,33868.001645,202211
7.8693,7.887,7.8666,7.8869,7747.21,61030.657715,221,3581.51,28212.264767,202211
