OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.3685,1.3752,1.3662,1.3745,807223.2,1105678.43936,1445,409744.3,561310.32414,202305
1.3744,1.3753,1.3734,1.3748,328283.0,451072.13442,655,209728.5,288172.74174,202305
1.375,1.3757,1.3737,1.3754,238228.0,327453.71761,598,159521.8,219267.26354,202305
1.3754,1.3774,1.3754,1.3762,280678.0,386366.65967,600,134757.8,185497.7763,202305
1.3761,1.3789,1.3756,1.3785,325806.3,448687.20493,731,143976.7,198295.04858,202305
1.3785,1.3802,1.376,1.3794,434206.2,598540.77508,843,199801.2,275394.53395,202305
1.3794,1.3797,1.3781,1.3793,203824.4,281079.34654,419,108710.3,149922.54278,202305
1.3794,1.3823,1.3793,1.3811,387608.4,535117.37685,692,269047.9,371478.52011,202305
1.3812,1.3908,1.38,1.3864,1429417.6,1979758.11063,1749,1016692.8,1408009.35404,202305
1.3863,1.3864,1.3811,1.3822,446785.5,617876.86097,812,246440.6,340754.44892,202305
1.3824,1.383,1.3788,1.379,431716.7,596082.34241,863,236714.5,326935.83936,202305
1.379,1.3812,1.3781,1.3812,94623.8,130485.79536,266,56881.1,78439.95179,202305
1.3812,1.3815,1.3791,1.3806,97302.3,134305.42962,273,60679.7,83759.32071,202305
1.3807,1.3819,1.3797,1.38,175697.6,242548.35284,320,77706.9,107278.14505,202305
1.38,1.3816,1.3776,1.3783,288340.1,397557.58604,560,164954.5,227434.20451,202305
1.3783,1.381,1.3776,1.3783,216918.2,299204.36881,465,134549.3,185587.87278,202305
1.3783,1.38,1.3779,1.3782,295433.5,407467.22108,562,175111.3,241509.98525,202305
1.3779,1.3808,1.3765,1.3806,164611.5,226842.61523,460,77561.2,106901.69504,202305
1.3808,1.3817,1.38,1.3802,128350.4,177205.5745,363,59586.9,82259.20457,202305
1.3801,1.3807,1.3501,1.3553,1688826.8,2298243.5574,4984,721712.8,982244.33739,202305
1.3553,1.3566,1.3424,1.3449,1924064.9,2597004.54581,4757,847718.3,1144443.63879,202305
1.345,1.3489,1.3386,1.3446,2456684.3,3302871.09397,4786,888215.0,1194718.6428,202305
1.3448,1.3454,1.3254,1.338,2189547.4,2921184.90794,5062,944370.5,1260374.86097,202305
1.338,1.3449,1.3346,1.3447,1052934.6,1411097.97285,1770,447173.6,599426.39998,202305
1.3445,1.3531,1.3406,1.3484,852630.8,1148362.47833,1981,562952.0,758496.73235,202305
1.3483,1.35,1.3465,1.3498,669031.0,902046.79392,798,230365.1,310636.36938,202305
1.3499,1.3526,1.3484,1.3516,1140454.4,1540878.78772,1414,804403.8,1086887.37378,202305
1.3517,1.352,1.3491,1.3498,678091.8,915634.81367,1098,358526.2,484108.41212,202305
1.3499,1.3504,1.348,1.3486,236171.4,318555.21242,557,102980.8,138900.80376,202305
1.3485,1.3499,1.348,1.349,254733.2,343557.28655,504,105822.5,142747.35922,202305
1.349,1.3505,1.3476,1.3482,451227.1,608630.14022,698,108338.2,146170.56769,202305
1.348,1.348,1.3438,1.3465,621423.4,836503.91423,824,430518.0,579590.35406,202305
1.3465,1.3465,1.338,1.3429,920675.8,1236343.01796,1110,289109.9,388136.91327,202305
1.3429,1.3461,1.3425,1.3452,286980.2,385971.45184,578,150209.7,202030.11942,202305
1.3452,1.3453,1.3424,1.3434,310764.4,417543.35842,553,104891.1,140938.34886,202305
1.3434,1.3448,1.3424,1.3441,356297.8,478798.57529,497,221215.6,297242.59158,202305
1.3442,1.3446,1.3399,1.3445,885073.4,1187482.72058,766,446104.0,598436.74315,202305
1.3446,1.3446,1.3411,1.3425,174870.9,234815.10038,371,44270.0,59437.65117,202305
1.3427,1.3436,1.3356,1.3372,924191.8,1236362.33192,991,500228.0,669060.33218,202305
1.3373,1.3414,1.3337,1.3413,604992.5,808801.31868,857,313631.9,419382.19279,202305
1.3413,1.3432,1.3397,1.3428,627828.7,842363.45804,775,387650.7,520064.6025,202305
1.343,1.3482,1.3418,1.3466,647773.5,871686.36796,785,533474.5,717912.86386,202305
1.3465,1.3493,1.3462,1.3486,199734.6,269165.65484,394,131510.3,177232.17323,202305
1.3486,1.3493,1.3475,1.3493,121909.0,164388.6205,241,73425.5,99017.83274,202305
1.3491,1.3499,1.3487,1.3493,240998.3,325199.63577,438,195109.5,263282.10861,202305
1.3493,1.3493,1.3476,1.3477,106595.3,143735.96875,211,55216.3,74453.76238,202305
1.3477,1.3486,1.3461,1.3474,327845.3,441729.57708,403,63492.7,85528.83009,202305
1.3477,1.3489,1.3473,1.3488,159805.9,215445.07726,219,127400.3,171761.50427,202305
1.3487,1.3487,1.3464,1.3468,261840.4,352811.14451,412,67706.7,91232.01562,202305
1.3468,1.348,1.346,1.3464,176409.7,237641.04593,244,133107.0,179316.10285,202305
1.3465,1.3476,1.346,1.3469,42996.9,57909.99388,157,24695.1,33260.33063,202305
1.3469,1.3472,1.3448,1.3449,91260.8,122828.83433,220,22509.0,30293.83382,202305
1.345,1.345,1.343,1.3442,50836.2,68315.88832,186,14922.7,20050.49324,202305
1.3442,1.3466,1.3435,1.3463,146577.5,197121.91092,282,86966.6,116964.99243,202305
1.3463,1.348,1.3456,1.3477,79384.1,106949.39898,218,32619.2,43942.5369,202305
1.3477,1.3478,1.3432,1.3465,256032.8,344475.86309,516,64100.5,86226.5233,202305
1.3466,1.3466,1.3443,1.3444,59727.6,80361.0455,192,17395.5,23405.47465,202305
1.3445,1.3462,1.3444,1.346,111283.6,149713.03435,176,60625.7,81559.39261,202305
1.346,1.3462,1.3448,1.345,68144.4,91692.09088,133,17651.2,23747.52017,202305
1.3449,1.3465,1.3445,1.3465,73003.2,98204.25422,123,16754.3,22538.8792,202305
1.3465,1.3465,1.3435,1.3443,103040.0,138560.88611,212,40974.2,55100.54664,202305
1.3442,1.3477,1.3439,1.3467,104533.6,140707.67909,291,69511.0,93569.12821,202305
1.3466,1.3471,1.3453,1.3465,186956.4,251696.42222,278,106925.0,143945.11618,202305
1.3466,1.3474,1.3448,1.3467,208820.2,281109.18587,364,102091.4,137455.06059,202305
1.3469,1.347,1.3451,1.3451,63022.8,84838.96909,127,8089.9,10890.20005,202305
1.345,1.345,1.3407,1.3414,442359.4,593699.71443,550,73660.7,98878.04721,202305
1.3413,1.3413,1.3388,1.34,279869.3,374950.88292,402,140537.9,188288.01071,202305
1.34,1.3404,1.3368,1.3395,282839.0,378758.18421,503,105577.4,141406.17872,202305
1.3395,1.3395,1.3309,1.3393,498674.9,666074.01766,1249,223751.0,298889.11925,202305
1.3393,1.3412,1.3368,1.3399,362494.0,485613.86567,682,159954.5,214280.697,202305
1.3396,1.3426,1.3383,1.342,168112.5,225314.62808,444,96221.7,128978.10281,202305
1.3421,1.3439,1.341,1.3432,141851.1,190419.752,391,71795.8,96379.86611,202305
1.3434,1.3435,1.3413,1.3424,185066.9,248433.17153,351,54567.0,73245.98688,202305
1.3424,1.3456,1.3424,1.3452,167614.6,225324.88727,408,104864.8,140983.17191,202305
1.3452,1.3454,1.3432,1.3441,115810.2,155673.85632,297,28707.2,38592.8389,202305
1.3441,1.3453,1.3437,1.3446,232236.9,312222.20739,341,96367.7,129564.30904,202305
1.3446,1.3451,1.3428,1.3429,278829.7,374851.97815,464,91949.8,123626.40615,202305
1.343,1.3464,1.343,1.3464,153277.3,206131.41188,379,106007.2,142561.20292,202305
1.3464,1.3464,1.3448,1.3452,101780.0,136948.22132,197,38404.4,51673.16801,202305
1.3453,1.3459,1.3447,1.3452,142805.1,192114.49637,206,74526.1,100259.80881,202305
1.3454,1.3467,1.3453,1.3465,129165.6,173888.37179,171,98389.7,132462.3956,202305
1.3464,1.3472,1.3459,1.3467,82580.3,111208.11844,178,49880.1,67169.77996,202305
1.347,1.3483,1.3467,1.3481,74570.5,100487.63281,221,32196.9,43390.80254,202305
1.3481,1.3508,1.3477,1.3508,253230.3,341715.29992,561,166064.2,224115.81958,202305
1.3508,1.3524,1.3499,1.3523,192019.4,259441.99618,412,128497.5,173634.6072,202305
1.3524,1.3555,1.352,1.3527,454397.6,615197.65837,804,291195.8,394271.18677,202305
1.3528,1.3534,1.3501,1.351,127303.5,172124.34654,312,33227.8,44931.9889,202305
1.3509,1.3509,1.3475,1.3489,302928.4,408661.86674,409,90226.9,121724.0226,202305
1.3491,1.3516,1.348,1.3514,214934.6,289965.57734,421,69201.1,93385.92729,202305
1.3517,1.3533,1.3516,1.3532,157992.2,213732.14034,387,114739.5,155228.52553,202305
1.3531,1.3532,1.3493,1.3494,140532.0,189777.78815,365,63721.1,86037.45471,202305
1.3494,1.35,1.3486,1.3498,80513.6,108621.97395,209,37079.9,50022.3961,202305
1.3499,1.353,1.3493,1.3512,225143.3,304255.19433,369,112049.2,151413.7911,202305
1.3512,1.353,1.351,1.3529,126973.6,171682.37743,203,97065.8,131243.56897,202305
1.353,1.353,1.349,1.3493,116646.0,157571.10704,251,25832.7,34900.83917,202305
1.3494,1.3504,1.3494,1.3504,71009.7,95864.05836,141,36613.8,49430.36602,202305
1.3504,1.3505,1.3492,1.3502,88952.0,120083.06877,200,48566.8,65565.61259,202305
1.3502,1.3506,1.347,1.3477,157321.4,212190.78239,326,63287.1,85331.2266,202305
1.3475,1.3482,1.3467,1.3482,75628.3,101900.52141,155,33958.5,45757.95745,202305
1.3483,1.3485,1.3459,1.3468,287385.5,387018.27712,325,150292.8,202374.86526,202305
1.3466,1.3482,1.3459,1.3479,117433.6,158141.93077,238,47410.5,63847.28702,202305
1.3481,1.3483,1.347,1.3483,149652.2,201663.5053,160,91496.6,123288.23276,202305
1.3483,1.3483,1.3464,1.347,101523.9,136774.49279,191,33675.8,45361.41636,202305
1.3469,1.348,1.3467,1.3479,160854.1,216741.53249,293,86928.5,117123.16784,202305
1.3479,1.3481,1.3471,1.3476,267449.7,360371.38183,321,91708.0,123569.78911,202305
1.3477,1.349,1.3477,1.3486,97845.1,131941.33256,212,44228.7,59640.7249,202305
1.3487,1.3487,1.3469,1.3474,181871.8,245072.32734,229,75366.3,101553.92339,202305
1.3474,1.35,1.3473,1.3497,87679.1,118268.41139,252,41900.0,56518.68063,202305
1.3498,1.3501,1.3471,1.3473,61913.2,83513.13002,192,15938.2,21500.46151,202305
1.3472,1.3472,1.344,1.3444,356025.1,479124.50336,434,57763.7,77742.76213,202305
1.3444,1.3458,1.3441,1.3458,88059.8,118426.95249,208,47206.9,63485.26888,202305
1.3458,1.3472,1.3415,1.3456,608042.0,817253.92556,576,116247.7,156355.07524,202305
1.3458,1.3513,1.3458,1.3499,189135.5,255076.75887,358,111168.8,149897.39405,202305
1.3501,1.3502,1.346,1.3465,139746.3,188305.68875,294,57918.3,78022.0607,202305
1.3464,1.3471,1.3449,1.345,144679.9,194716.4114,283,33649.0,45284.68573,202305
1.345,1.3454,1.3434,1.3437,161986.4,217767.05131,333,91141.8,122532.63425,202305
1.3439,1.344,1.3397,1.3406,351061.5,470904.69247,690,165753.0,222330.62514,202305
1.3406,1.3415,1.338,1.3413,437439.5,585961.07808,651,176003.3,235759.65187,202305
1.3414,1.3445,1.3411,1.3441,159692.5,214566.46493,281,65752.5,88329.3293,202305
1.3442,1.3455,1.3438,1.3445,185281.8,249175.24933,321,108675.1,146169.50614,202305
1.3446,1.3455,1.3434,1.3434,183054.1,246144.41645,299,42175.2,56713.19971,202305
1.3434,1.3459,1.3434,1.3455,168816.9,226945.48333,302,55089.4,74065.4329,202305
1.3453,1.3479,1.3453,1.3472,239405.9,322506.52101,345,201406.7,271318.48529,202305
1.3472,1.3473,1.3447,1.3447,136563.5,183889.90253,222,18684.5,25163.60399,202305
1.3448,1.345,1.3432,1.3437,116672.0,156812.60174,249,35678.9,47952.06872,202305
1.3438,1.3456,1.3432,1.3453,57486.3,77317.36708,146,27103.8,36462.70365,202305
1.3451,1.3461,1.344,1.3446,156290.6,210224.84323,196,34168.3,45964.84274,202305
1.3445,1.3445,1.3427,1.3427,36545.2,49091.62399,133,13627.6,18306.01337,202305
1.3426,1.343,1.3413,1.3429,127739.0,171441.95,218,69740.2,93596.88398,202305
1.3429,1.3434,1.3416,1.3416,119421.1,160298.74922,180,19432.4,26090.78747,202305
1.3416,1.3437,1.3412,1.3428,108421.2,145584.66048,207,71854.5,96502.91995,202305
1.3428,1.3441,1.3425,1.344,104712.6,140679.13666,171,83108.8,111663.53251,202305
1.3439,1.3448,1.3425,1.3448,95762.3,128697.89362,209,32792.3,44070.03,202305
1.3448,1.3463,1.3444,1.3445,84973.2,114307.64309,224,50280.0,67635.37155,202305
1.3444,1.3445,1.3396,1.3404,199860.6,268154.15234,420,60078.9,80601.49067,202305
1.3404,1.3414,1.3388,1.3394,95737.0,128274.61332,239,26777.3,35879.17743,202305
1.3394,1.3403,1.3389,1.3401,115921.2,155291.69219,239,41642.0,55789.36618,202305
1.3402,1.3409,1.3391,1.3406,300134.9,402185.39251,400,225108.6,301641.22348,202305
1.3407,1.3413,1.3398,1.3404,108850.5,145928.17113,171,47471.1,63643.13231,202305
1.3404,1.3411,1.3391,1.3411,127622.0,171003.32629,258,47071.7,63074.69598,202305
1.341,1.3421,1.341,1.3421,304757.2,408989.02754,327,263673.1,353856.96932,202305
1.3421,1.3421,1.3385,1.3391,208630.3,279594.57066,362,60529.5,81103.0096,202305
1.3392,1.3419,1.3388,1.3408,157005.4,210475.61856,282,55940.8,74986.90655,202305
1.3408,1.341,1.3375,1.3376,203568.9,272518.22514,342,55099.3,73737.73194,202305
1.3376,1.3393,1.3353,1.3383,281269.5,376214.69295,529,125681.6,168117.24973,202305
1.3384,1.3389,1.3377,1.3377,116112.8,155383.50723,197,63025.2,84331.95035,202305
1.3378,1.3439,1.3378,1.3427,207140.6,277886.88943,407,116555.1,156369.10095,202305
1.3426,1.3439,1.3405,1.3407,105637.5,141805.64985,260,68751.2,92303.52046,202305
1.3408,1.3435,1.3408,1.3431,78262.9,105050.24981,237,41863.8,56185.20263,202305
1.343,1.346,1.3424,1.346,66120.9,88892.63525,205,44009.7,59172.94568,202305
1.3459,1.3462,1.345,1.3452,83627.7,112523.59133,193,27642.1,37195.66655,202305
1.3452,1.3482,1.3452,1.3479,180412.2,243046.86451,325,114708.4,154529.2395,202305
1.3482,1.3489,1.3477,1.3478,135014.2,182049.07967,288,80088.6,107991.25252,202305
1.3478,1.3485,1.3471,1.3471,186420.0,251239.95656,263,39903.4,53783.83853,202305
1.3469,1.3475,1.3461,1.3471,92551.2,124651.40225,192,50537.0,68064.34083,202305
1.3472,1.3477,1.346,1.347,108081.3,145552.87587,186,64859.5,87347.28242,202305
1.3469,1.3469,1.3443,1.3446,97346.1,130941.54233,258,38470.8,51745.51963,202305
1.3445,1.3448,1.3429,1.3435,92116.8,123790.59233,228,18267.5,24544.68769,202305
1.3436,1.344,1.3431,1.3434,67358.0,90493.44416,146,32921.3,44231.85997,202305
1.3433,1.3436,1.3419,1.3436,84389.1,113310.09888,205,26493.7,35572.34928,202305
1.3437,1.3448,1.3431,1.3448,116098.8,156003.25732,195,62665.2,84217.13547,202305
1.3447,1.3467,1.3445,1.3459,336035.9,452265.6975,310,247214.7,332703.58173,202305
1.346,1.3482,1.3447,1.3449,150683.2,202894.80981,377,71381.9,96136.18185,202305
1.3447,1.3452,1.3423,1.3447,91284.5,122666.25261,283,25683.3,34511.14107,202305
1.3451,1.3459,1.341,1.3422,153459.1,206290.52302,367,68162.0,91670.80892,202305
1.3423,1.344,1.3409,1.343,131427.5,176445.05854,393,44782.9,60127.34453,202305
1.3431,1.3442,1.3401,1.3415,212211.2,284778.89046,443,70203.1,94227.26332,202305
1.3415,1.3418,1.3377,1.3384,231539.5,310064.97628,579,72112.1,96569.3797,202305
1.3383,1.342,1.3251,1.3362,2058422.0,2745223.72073,3892,614174.6,820015.16017,202305
1.3363,1.3407,1.3333,1.3401,1263788.8,1687788.41527,2050,826549.2,1103622.37071,202305
1.3401,1.341,1.3378,1.3382,211062.9,282680.53976,534,95503.9,127910.94604,202305
1.3382,1.343,1.338,1.3393,252504.4,338540.90639,580,154254.0,206803.46075,202305
1.3392,1.3392,1.3336,1.336,349136.8,466304.43453,722,181854.1,242861.16399,202305
1.3359,1.3399,1.3347,1.3372,200217.3,267747.34016,543,117757.8,157491.26898,202305
1.3372,1.339,1.3352,1.3365,131637.1,175952.26809,363,72551.4,96985.2616,202305
1.3364,1.3371,1.3336,1.3347,239236.7,319421.29293,466,54989.4,73440.70398,202305
1.3347,1.3372,1.3345,1.3363,280091.9,374145.7829,585,180326.8,240892.68543,202305
1.3367,1.339,1.3367,1.339,116591.8,155973.93605,363,63702.4,85214.47285,202305
1.339,1.3393,1.336,1.337,135276.1,180930.6848,361,61871.6,82754.93473,202305
1.337,1.3389,1.336,1.3385,93751.1,125429.50677,249,33998.9,45490.92575,202305
1.3389,1.3394,1.3314,1.3322,276108.9,368395.91791,655,94623.8,126183.80593,202305
1.3321,1.3354,1.3112,1.3236,1926722.2,2545656.19601,4366,902529.8,1191868.85678,202305
