OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
22.7,22.731,22.621,22.689,15552.321,352694.615027,678,10593.744,240281.948089,202105
22.689,22.74,22.66,22.672,7281.604,165314.533807,422,5100.924,115838.194499,202105
22.667,22.719,22.609,22.691,15428.027,349677.408359,438,8847.699,200551.814344,202105
22.675,22.698,22.579,22.618,15401.371,348438.471028,449,9093.021,205745.666148,202105
22.604,22.659,22.592,22.627,6500.221,147072.416906,211,4226.9,95640.825687,202105
22.613,22.683,22.601,22.646,7478.514,169392.53743,276,4870.447,110307.294776,202105
22.646,22.654,22.6,22.654,6036.543,136637.179368,206,4414.851,99937.304882,202105
22.654,22.762,22.638,22.738,7308.235,165949.327701,377,4669.897,106005.682109,202105
22.753,22.753,22.664,22.708,3341.524,75873.234829,167,862.552,19581.488273,202105
22.702,22.79,22.702,22.727,8188.97,186318.241046,357,4000.802,91017.398788,202105
22.728,22.79,22.586,22.73,11893.8,269817.697467,475,8495.228,192785.494348,202105
22.73,22.768,22.635,22.687,4837.136,109780.860765,183,1509.019,34258.851563,202105
22.671,22.679,22.462,22.468,10636.156,239722.810251,465,3894.207,87804.57168,202105
22.477,22.51,22.432,22.468,4998.216,112319.708679,261,2352.485,52891.45656,202105
22.469,22.615,22.45,22.601,6291.113,141807.61117,295,3706.163,83548.117849,202105
22.601,22.638,22.569,22.61,4130.473,93353.592914,175,2104.856,47579.914798,202105
22.608,22.702,22.589,22.681,3408.387,77208.415513,198,2398.671,54323.430781,202105
22.681,22.704,22.646,22.679,4283.526,97124.698207,161,2349.822,53289.585266,202105
22.688,22.736,22.657,22.732,3090.323,70136.080055,177,1533.751,34811.118778,202105
22.73,22.783,22.719,22.769,5470.883,124445.981892,240,2653.405,60355.156303,202105
22.765,22.93,22.76,22.884,13115.753,299827.363085,866,7460.946,170521.003697,202105
22.869,22.92,22.829,22.848,6140.647,140506.697386,269,3124.676,71510.310668,202105
22.851,22.877,22.79,22.809,5588.382,127615.589892,228,1667.775,38090.752182,202105
22.82,22.895,22.757,22.895,5842.642,133244.769324,223,3444.309,78579.154802,202105
22.883,23.032,22.85,23.019,10810.557,247974.736728,860,6830.447,156743.487066,202105
23.032,23.036,22.92,23.014,7737.666,177813.368859,544,3010.709,69205.693696,202105
23.005,23.12,23.005,23.045,12428.231,286739.311468,646,5923.935,136697.793898,202105
23.045,23.124,23.01,23.018,6269.976,144621.598241,524,3628.844,83727.863437,202105
23.034,23.115,23.021,23.104,3960.103,91350.965261,211,2871.28,66233.751618,202105
23.115,23.15,23.045,23.115,6383.557,147579.17877,468,2962.059,68480.141587,202105
23.115,23.144,23.031,23.1,8599.84,198626.381707,264,3439.374,79457.042929,202105
23.11,23.128,23.053,23.097,4560.824,105260.21509,172,2538.622,58582.29532,202105
23.098,23.15,23.091,23.111,4225.956,97739.715371,197,2511.214,58085.502833,202105
23.101,23.153,23.055,23.095,5855.138,135230.961238,264,3119.365,72076.069107,202105
23.079,23.093,22.9,22.926,9951.62,228506.541094,561,4058.645,93187.412325,202105
22.931,23.029,22.931,22.999,5448.638,125244.941488,257,3125.769,71856.998833,202105
23.0,23.059,22.991,23.056,1612.641,37138.069257,127,1148.527,26453.70242,202105
23.049,23.088,23.024,23.049,4842.313,111658.503835,141,2812.382,64852.134766,202105
23.043,23.071,22.943,22.956,4396.043,101164.379398,175,1791.372,41239.007513,202105
22.957,23.05,22.942,22.985,3169.773,72870.214728,161,1971.615,45321.554138,202105
22.999,23.021,22.97,22.991,1815.371,41750.704407,80,747.91,17204.703459,202105
22.998,23.001,22.921,22.989,3044.279,69902.987919,156,1578.556,36244.999831,202105
22.977,23.052,22.973,23.052,2710.723,62407.966971,147,1797.614,41389.0395,202105
23.048,23.067,23.0,23.013,4253.013,97949.89667,158,974.843,22442.516568,202105
23.016,23.035,22.948,23.028,6028.217,138594.559151,178,3579.462,82319.709493,202105
23.009,23.099,23.009,23.059,2539.774,58599.123081,178,799.81,18450.45329,202105
23.059,23.13,23.048,23.097,5317.75,122836.322281,191,2379.955,54980.701808,202105
23.083,23.115,23.065,23.081,5230.781,120795.119624,184,1564.199,36133.748601,202105
23.081,23.187,23.069,23.077,10464.327,242011.535845,682,5827.842,134818.340811,202105
23.075,23.137,23.051,23.124,2059.331,47530.096356,208,691.446,15964.796524,202105
23.126,23.216,23.126,23.201,12139.478,281512.151809,699,6202.943,143854.144464,202105
23.202,23.233,23.026,23.07,10431.823,241157.664774,716,3393.549,78474.427907,202105
23.079,23.103,23.002,23.021,6270.821,144495.335166,282,2941.046,67791.010872,202105
23.02,23.095,22.967,23.081,11981.081,275996.701659,647,6289.72,144906.490195,202105
23.068,23.1,22.993,23.064,6253.885,144115.157361,364,3157.751,72790.528125,202105
23.059,23.121,23.052,23.082,6763.922,156183.595857,392,3281.402,75781.033196,202105
23.082,23.093,23.003,23.021,4052.587,93461.201181,175,2116.225,48813.377277,202105
23.021,23.044,22.988,23.025,5325.665,122549.06995,211,3601.836,82886.446979,202105
23.025,23.244,23.025,23.147,11539.63,266720.302383,421,9221.436,213217.067097,202105
23.146,23.191,23.12,23.179,4158.839,96312.808639,315,1859.283,43068.162566,202105
