OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
3.1859,3.1859,3.1138,3.1445,25403.91,79729.273229,596,11505.81,36131.605468,202101
3.1445,3.2404,3.1398,3.2374,40186.73,127549.273625,476,21600.39,68502.663564,202101
3.2372,3.2404,3.1759,3.2222,95349.27,305181.743894,778,58210.48,186277.585415,202101
3.2222,3.2259,3.1929,3.2,14340.92,45924.927992,211,5897.35,18893.338522,202101
3.2027,3.2097,3.1348,3.1514,24732.18,78565.767515,389,11736.98,37372.828311,202101
3.1508,3.1718,3.14,3.1518,11947.76,37696.879688,295,4395.76,13893.973918,202101
3.1485,3.1498,3.047,3.0632,54970.28,169973.302039,886,25367.76,78417.98384,202101
3.0631,3.0703,3.0405,3.0702,9361.87,28589.227209,226,5479.29,16747.451252,202101
3.0703,3.14,3.0646,3.1278,24020.51,74577.854198,398,17425.94,54105.047325,202101
3.1357,3.23,3.13,3.23,11555.04,37013.543733,270,9493.66,30405.278088,202101
3.2298,3.25,3.2274,3.25,25030.03,81084.489096,218,21989.39,71234.688325,202101
3.2465,3.2609,3.2296,3.2461,8902.66,28916.138881,155,4611.32,14985.736798,202101
3.2492,3.259,3.2336,3.2455,2186.5,7097.835028,98,1155.82,3751.209922,202101
3.2446,3.2485,3.234,3.234,1474.79,4783.313768,72,774.95,2516.086536,202101
3.2331,3.24,3.2166,3.2388,9104.78,29366.694229,117,6199.73,19988.346093,202101
3.2248,3.2248,3.1937,3.1988,6428.31,20637.601193,175,3501.43,11239.99379,202101
3.2011,3.2052,3.1959,3.2044,2533.75,8107.342292,51,2348.52,7514.815043,202101
3.204,3.2041,3.169,3.1702,11505.2,36613.181108,223,4663.7,14819.541202,202101
3.1702,3.1751,3.1433,3.1524,17031.22,53768.038329,430,6110.81,19295.662327,202101
3.1501,3.2,3.1371,3.1703,49957.89,159007.453519,378,24073.09,76431.799292,202101
3.165,3.1822,3.1599,3.1674,9186.69,29103.340257,161,2891.63,9164.501881,202101
3.1673,3.176,3.1602,3.1688,2474.0,7834.79128,82,887.25,2812.665505,202101
3.1683,3.1752,3.162,3.163,2140.21,6779.992968,61,1084.48,3438.885614,202101
3.1661,3.173,3.1649,3.1709,906.43,2872.250489,46,674.14,2136.429268,202101
3.171,3.1723,3.166,3.166,1969.38,6236.442685,18,165.57,525.004179,202101
3.166,3.1661,3.1259,3.1259,39762.89,125168.837482,339,19660.21,61911.420606,202101
3.1323,3.1323,3.0806,3.1082,88697.32,275075.852203,849,44877.84,139220.074273,202101
3.1082,3.1095,3.0872,3.0916,21353.89,66067.818854,229,13338.47,41252.90981,202101
3.0916,3.094,3.0178,3.0351,86251.38,262992.909745,1012,53806.86,163843.403687,202101
3.0351,3.054,3.0351,3.054,14288.91,43453.965067,304,6982.98,21244.04785,202101
3.0474,3.0574,3.0464,3.0574,3055.53,9327.051456,73,1854.56,5661.761903,202101
3.0554,3.0638,3.0554,3.0578,4124.81,12619.304378,78,3415.85,10451.948503,202101
