OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
72.13,72.14,71.54,71.92,7145.12,513798.7128,774,3254.27,233856.2111,202109
71.93,72.36,71.82,71.97,9480.03,683567.6691,976,4804.51,346432.8872,202109
72.0,72.0,71.5,71.61,5892.03,422327.4735,634,2221.68,159311.2189,202109
71.62,71.89,71.58,71.63,4667.0,334770.7187,369,2420.4,173631.9453,202109
71.64,71.77,71.42,71.47,5240.58,375005.461,372,3186.97,228056.7661,202109
71.47,71.84,71.38,71.68,6364.43,455605.5853,439,2902.71,207761.4571,202109
71.7,71.74,71.48,71.6,6092.84,436134.3509,406,2075.32,148544.6611,202109
71.59,71.59,71.34,71.43,6298.55,450169.5947,372,3467.57,247876.5608,202109
71.44,71.55,70.33,70.35,31242.26,2221275.6928,3183,13684.11,974176.1512,202109
70.37,70.91,69.96,70.47,28257.11,1990940.0526,3737,11725.63,826860.5474,202109
70.47,70.56,69.37,69.88,31779.25,2221075.4366,3423,12407.58,867266.3512,202109
69.94,70.26,69.85,70.02,13143.59,920518.7288,1695,6318.12,442446.4767,202109
70.01,70.96,69.43,69.93,49362.79,3458248.6733,4010,28084.74,1965977.5573,202109
69.91,70.06,69.73,69.97,12586.57,880668.0946,1174,6726.56,470697.9642,202109
69.94,70.15,69.87,69.95,7585.39,530893.5453,768,4700.95,329064.9984,202109
69.95,70.37,69.85,69.99,8629.45,604874.2591,800,4430.63,310493.3296,202109
70.02,70.15,69.91,70.14,8758.16,613340.8451,754,5068.55,354964.0881,202109
70.14,70.4,70.0,70.29,11779.26,826557.1633,1139,4036.64,283275.6104,202109
70.28,70.37,70.15,70.35,5990.83,421104.05,551,3410.29,239732.0835,202109
70.35,70.35,70.08,70.11,7403.23,519801.358,670,3641.14,255677.1874,202109
70.14,70.73,70.09,70.47,12338.43,867511.9834,1338,6305.77,443334.7839,202109
70.49,70.74,70.39,70.61,6790.23,479170.1716,713,3969.38,280124.4825,202109
70.61,70.8,70.58,70.63,9560.47,675810.8882,653,3360.42,237625.8052,202109
70.6,70.8,70.57,70.74,2765.66,195498.3734,245,1619.04,114459.9594,202109
70.73,71.08,70.62,70.93,4110.86,291320.6433,486,2605.67,184671.9941,202109
70.9,70.91,70.67,70.87,4838.4,342422.5941,362,1564.24,110735.1458,202109
70.84,71.01,70.77,70.88,2845.08,201685.983,248,1460.45,103557.0077,202109
70.87,70.89,70.61,70.74,4054.35,286698.1934,336,2479.19,175316.3667,202109
70.73,70.93,70.71,70.81,3277.57,232145.2288,304,1613.27,114279.8737,202109
70.82,71.41,70.82,71.35,11109.59,790299.4495,963,7317.92,520371.1853,202109
71.38,72.34,71.34,71.6,23798.86,1709019.4821,2352,13419.98,963231.193,202109
71.61,71.79,71.5,71.67,5869.53,420643.37,466,2617.86,187659.0666,202109
71.67,71.67,71.52,71.61,3950.05,282787.9883,299,2076.99,148710.1323,202109
71.61,71.67,71.51,71.67,1904.82,136364.0132,211,935.58,66989.986,202109
71.67,71.78,71.39,71.41,3948.55,282306.7633,372,2239.61,160084.1024,202109
71.41,71.52,71.19,71.35,4388.73,313113.6216,523,2397.72,171039.2559,202109
71.34,71.36,71.0,71.12,3561.04,253375.6326,404,1479.49,105259.7008,202109
71.13,71.13,70.87,71.08,5232.41,371541.4943,456,2856.17,202777.3757,202109
71.07,71.31,71.0,71.31,2826.73,201254.7907,307,1239.07,88224.9771,202109
71.31,71.44,71.0,71.01,4727.66,336998.4937,429,2060.16,146804.758,202109
71.01,71.08,70.94,71.04,3349.34,237862.5227,309,1507.4,107053.6172,202109
71.04,71.06,70.81,70.89,3592.19,254740.3874,418,2190.04,155319.8987,202109
70.89,70.92,70.76,70.83,1886.37,133614.6478,290,859.59,60908.5715,202109
70.83,70.91,70.69,70.91,2822.73,199850.8804,332,2033.23,143982.6644,202109
70.88,71.09,70.84,71.02,2408.88,170918.6072,375,1198.92,85086.0572,202109
71.01,71.36,71.0,71.31,3556.85,253350.5291,371,1889.43,134590.6967,202109
71.32,71.32,71.18,71.2,2942.5,209653.6975,304,1331.88,94901.6477,202109
71.19,71.52,71.14,71.44,2792.72,199113.2087,296,1575.58,112336.4184,202109
71.46,71.55,71.37,71.37,3894.18,278282.728,331,1195.24,85416.0797,202109
71.38,71.55,71.33,71.48,3298.76,235780.6277,324,1868.67,133581.2991,202109
71.48,71.67,71.48,71.64,4553.28,325839.7783,320,2710.62,194016.0431,202109
71.64,71.72,71.48,71.48,4528.61,324435.4205,372,1308.41,93751.3379,202109
71.48,71.6,71.43,71.5,2052.94,146812.7727,223,919.25,65729.8362,202109
71.5,71.52,71.29,71.39,5057.05,361140.0648,232,2825.35,201718.0552,202109
71.36,71.49,71.33,71.33,1639.42,117048.5227,167,774.91,55333.6184,202109
71.35,71.37,71.08,71.21,2374.94,169178.5554,290,1177.04,83850.8172,202109
71.2,71.27,71.12,71.21,1637.03,116538.4289,230,932.34,66375.0976,202109
71.21,71.34,71.09,71.19,3108.39,221388.3888,280,1383.76,98527.6803,202109
71.16,71.27,71.04,71.1,5058.27,359861.8855,382,2054.51,146226.8752,202109
71.11,71.19,70.88,71.0,12494.84,887328.4962,937,7421.92,527042.2403,202109
71.0,71.09,70.97,70.99,1949.7,138471.7728,210,859.45,61051.9674,202109
