OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.1427,1.1525,1.1427,1.1471,227432.96,261286.715231,1051,119303.31,137102.402485,202104
1.1483,1.1486,1.1378,1.1393,82232.49,93908.270473,518,33436.31,38176.285409,202104
1.1383,1.1397,1.1307,1.1308,120000.59,136093.647595,424,41181.29,46677.420411,202104
1.1308,1.1356,1.1281,1.1291,124894.73,141378.985276,341,72612.69,82260.223582,202104
1.1291,1.1329,1.1261,1.1306,101284.16,114402.124763,382,51683.92,58420.186586,202104
1.1317,1.1338,1.1302,1.1334,48985.04,55439.853321,158,24236.01,27441.925004,202104
1.1333,1.1379,1.1304,1.1368,110364.19,125221.605832,203,42814.82,48641.87818,202104
1.1369,1.138,1.135,1.1358,35565.16,40412.289801,103,12369.71,14061.514566,202104
1.1358,1.1374,1.1336,1.1349,42999.98,48811.027554,81,19088.66,21662.094519,202104
1.1345,1.1378,1.1327,1.1366,122962.59,139529.530481,152,101024.5,114644.349961,202104
1.1366,1.1369,1.133,1.1339,21984.7,24932.566489,110,9316.01,10568.093069,202104
1.1338,1.1351,1.1283,1.1325,63284.57,71595.392418,192,27310.06,30910.823163,202104
1.1325,1.1369,1.1325,1.136,44908.1,50983.875473,134,28538.42,32399.261239,202104
1.136,1.1416,1.1358,1.1382,54998.46,62623.550044,218,30155.87,34330.676057,202104
1.1384,1.1415,1.1371,1.1396,38447.25,43798.129232,118,16656.65,18979.41564,202104
1.1387,1.1466,1.1387,1.142,62696.94,71696.830209,227,35012.93,40051.920767,202104
1.1429,1.1441,1.1359,1.1381,65199.03,74365.376045,135,22350.73,25521.604283,202104
1.1364,1.1428,1.1331,1.1417,79401.6,90287.595698,277,39176.11,44562.948405,202104
1.1424,1.1461,1.1406,1.1461,83205.5,95139.553404,258,44998.49,51463.123644,202104
1.1452,1.1475,1.1412,1.1439,93838.77,107493.872326,231,53801.84,61664.657963,202104
1.1448,1.1491,1.1421,1.1463,142036.04,162574.922586,286,74829.76,85683.122216,202104
1.1476,1.1533,1.1464,1.1529,85884.23,98831.78328,401,45124.48,51951.506728,202104
1.1517,1.16,1.1516,1.1586,213569.5,246970.25884,575,147916.91,171139.08218,202104
1.1593,1.1718,1.1565,1.1685,603668.81,704554.601343,1963,230142.11,268647.970684,202104
1.1694,1.1737,1.1558,1.1565,421495.89,490416.021331,1371,170355.69,198508.878706,202104
1.1576,1.1612,1.156,1.1591,75617.54,87628.44913,248,32252.41,37381.59889,202104
1.1582,1.1591,1.156,1.156,78159.84,90483.762716,159,26085.43,30215.515066,202104
1.156,1.174,1.156,1.1704,236419.55,275936.441745,620,176284.1,205733.883187,202104
1.1704,1.1721,1.1632,1.1654,154208.86,180177.495097,241,52822.26,61627.815923,202104
1.1668,1.1727,1.1642,1.1713,114269.32,133573.813031,252,44925.33,52495.695372,202104
1.1713,1.1743,1.1656,1.1676,70350.57,82320.869042,203,36775.24,43027.565548,202104
1.167,1.1714,1.1656,1.1713,36726.99,42910.982347,119,13900.56,16240.599054,202104
1.1713,1.1735,1.1651,1.1735,44737.66,52291.282433,160,18626.46,21797.745966,202104
1.1728,1.174,1.1671,1.1673,37307.75,43717.913841,127,19747.12,23153.599156,202104
1.1684,1.1744,1.1643,1.1744,62893.93,73511.042538,230,28275.09,33052.835447,202104
1.174,1.1749,1.1666,1.1666,53052.88,62185.169423,206,24818.92,29113.630659,202104
