OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
11.3131,11.3419,11.2228,11.2837,3351.79,37863.240521,184,715.11,8086.745993,201802
11.285,11.3122,11.2486,11.3053,1777.65,20076.793738,177,327.16,3697.467156,201802
11.2998,11.3295,11.258,11.3205,2377.47,26879.578632,141,1631.15,18448.214924,201802
11.3205,11.3406,11.31,11.31,2129.22,24107.571717,58,1121.96,12704.794418,201802
11.31,11.35,11.31,11.3405,1954.87,22166.385765,125,1228.19,13928.433866,201802
11.3495,11.371,11.3405,11.3501,5839.68,66283.99289,194,1583.5,17978.281331,201802
11.3501,11.371,11.2699,11.3104,10540.43,119572.87221,454,782.42,8862.499755,201802
11.26,11.3395,11.251,11.3,3171.4,35815.58954,164,1336.0,15099.712947,201802
11.2829,11.283,11.26,11.2701,1235.27,13913.201457,141,207.09,2335.576861,201802
11.2732,11.32,11.2622,11.32,863.23,9748.451842,73,661.07,7466.60488,201802
11.32,11.3395,11.3,11.32,1318.56,14922.910788,155,451.38,5108.034521,201802
11.3201,11.3271,11.31,11.31,423.43,4791.265679,44,56.4,638.500954,201802
11.31,11.34,11.296,11.296,1976.11,22357.622234,99,856.53,9699.078721,201802
11.2995,11.2995,11.2653,11.2656,1056.17,11910.559967,60,828.71,9345.201689,201802
11.268,11.3,11.268,11.3,1014.95,11453.420566,43,421.28,4756.775627,201802
11.3,11.45,11.3,11.4138,5435.16,61759.60833,254,3924.05,44598.060721,201802
11.3589,11.3765,11.331,11.35,1017.52,11546.679344,58,566.87,6437.316735,201802
11.35,11.3889,11.3397,11.3786,1910.17,21680.036731,105,98.62,1120.979368,201802
11.3769,11.4299,11.3442,11.398,1551.02,17674.972958,99,803.24,9151.769018,201802
11.4,11.4,11.3318,11.3464,2042.32,23192.842989,181,702.49,7970.290311,201802
11.3463,11.3463,11.3186,11.3298,1914.16,21693.423911,127,189.21,2146.501423,201802
11.3187,11.3298,11.2,11.226,12798.81,143758.262747,264,7187.42,80741.89059,201802
11.226,11.35,11.226,11.2786,1899.18,21424.436107,99,1069.07,12076.516502,201802
11.3196,11.32,11.3001,11.32,1397.44,15815.850175,95,842.68,9538.961151,201802
11.32,11.3999,11.3195,11.3999,3033.12,34434.64564,259,2462.44,27958.627872,201802
11.3901,11.3998,11.3693,11.3994,1240.7,14129.447873,68,440.55,5020.8501,201802
11.399,11.4277,11.35,11.4204,5808.21,66157.003279,289,4582.32,52222.568677,201802
11.4204,11.44,11.4105,11.4106,1052.21,12028.303397,64,919.13,10506.939404,201802
11.4312,11.4499,11.4108,11.4374,3602.44,41175.297589,298,705.83,8070.779425,201802
11.4495,11.4495,11.4187,11.4399,1189.87,13613.20662,91,585.98,6704.239994,201802
11.4399,11.442,11.4201,11.44,3109.33,35554.422933,65,1760.36,20138.429018,201802
11.44,11.45,11.4205,11.4208,1789.63,20469.621931,139,1473.0,16850.646042,201802
11.4206,11.4498,11.386,11.4198,3883.69,44318.368185,90,468.29,5350.448329,201802
11.4056,11.4206,11.3927,11.4145,1192.18,13589.309651,38,883.14,10067.950484,201802
11.42,11.4399,11.4145,11.4302,829.05,9471.472561,62,447.99,5118.93304,201802
11.4302,11.4399,11.402,11.402,3907.19,44644.914463,102,3192.76,36490.332968,201802
11.4004,11.4325,11.3859,11.4045,4798.26,54731.568981,147,2790.1,31821.790562,201802
11.4081,11.4248,11.4065,11.41,1390.27,15868.820979,43,755.92,8631.943948,201802
11.41,11.423,11.3701,11.4,3407.14,38844.854276,314,943.14,10753.734083,201802
11.3716,11.4,11.3626,11.3689,3080.14,35035.431715,171,299.0,3402.781848,201802
11.3689,11.4,11.3688,11.4,2042.63,23254.455163,95,1355.42,15440.676287,201802
11.4,11.4346,11.3195,11.3195,1878.22,21358.106836,141,193.91,2211.185618,201802
