OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
8620.0,8670.0,8613.56,8634.33,504.108326,4355675.0744957,4102,276.9236,2391943.53913396,202005
8634.33,8674.93,8634.12,8673.59,327.538374,2835381.5338794,3017,172.299832,1491579.49801518,202005
8672.31,8696.8,8663.63,8681.07,358.352926,3110039.07465201,3347,185.402472,1609048.31822651,202005
8681.1,8692.87,8667.11,8671.39,247.801014,2151203.27671654,2923,103.82472,901413.52903076,202005
8671.4,8671.76,8637.93,8669.97,238.090431,2060873.68239013,2913,116.907427,1011853.25165052,202005
8669.99,8714.34,8669.91,8708.79,320.545187,2786846.11909525,3657,184.008871,1600185.85892751,202005
8707.44,8724.99,8696.16,8715.39,344.996844,3004823.48101823,2842,155.510311,1354488.9423051,202005
8715.39,8720.0,8693.25,8704.79,182.317835,1587411.07193799,2527,64.719211,563694.97319589,202005
8704.79,8739.01,8703.28,8732.9,232.407774,2028490.8965412,2435,133.780026,1167431.42073687,202005
8732.9,8732.9,8705.0,8724.09,243.029581,2118477.37312133,2617,137.50994,1198754.95284313,202005
8722.94,8723.97,8703.06,8715.58,198.161925,1726852.30810263,2048,101.759529,886897.6274429,202005
8715.88,8716.91,8688.42,8707.51,262.338448,2282260.73936493,2676,124.128144,1080050.13603567,202005
8707.5,8729.9,8707.5,8724.22,216.066247,1883604.99470545,2064,108.983961,950321.93979147,202005
8725.1,8735.85,8719.6,8719.61,139.664604,1218942.97049475,1685,58.919926,514239.47574388,202005
8719.61,8725.99,8710.73,8722.07,92.150073,803320.73511398,1485,39.298883,342643.80029275,202005
8722.05,8747.43,8720.51,8744.51,220.513584,1927090.77166517,2389,100.174653,875381.73648406,202005
8744.5,8762.04,8737.42,8744.57,225.810949,1976059.31094289,2870,129.433398,1132790.5343186,202005
8745.09,8749.41,8700.01,8714.72,314.605409,2745626.08219633,2970,116.361854,1015439.19511701,202005
8714.8,8720.56,8700.01,8711.52,187.541041,1633802.02497981,2200,82.259513,716700.92405668,202005
8711.49,8712.99,8663.34,8685.9,317.617204,2758747.34290497,3763,111.517755,968684.5502003,202005
8685.99,8701.96,8676.73,8676.94,166.802472,1450369.07300449,1950,61.369244,533555.03667542,202005
8677.18,8702.14,8675.36,8684.06,152.13471,1321659.36321036,1898,87.818359,763007.35649142,202005
8683.69,8693.15,8670.02,8681.63,101.517245,881283.74555842,1606,41.720053,362185.3057085,202005
8682.52,8683.97,8657.85,8662.61,137.181076,1189170.52489695,1862,57.743316,500564.41677745,202005
8663.07,8699.29,8644.32,8691.1,308.468261,2674231.02466998,3025,140.588828,1219195.3894328,202005
8690.02,8704.0,8687.52,8696.96,121.063716,1052946.12032489,1683,67.801828,589721.35181179,202005
8696.97,8700.0,8683.01,8687.85,98.089425,852700.71104053,1359,62.060993,539511.08212194,202005
