OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.0291,0.0291,0.0291,0.0291,0.0,0.0,0,0.0,0.0,202212
0.0291,0.0291,0.029,0.0291,11249.0,327.2308,7,1372.0,39.9252,202212
0.0291,0.0291,0.0291,0.0291,3430.0,99.813,1,3430.0,99.813,202212
0.0291,0.0292,0.0291,0.0292,29258.0,851.448,8,29258.0,851.448,202212
0.0292,0.0292,0.029,0.029,83704.0,2435.3969,12,24593.0,718.1156,202212
0.029,0.0291,0.029,0.0291,39438.0,1143.7737,6,717.0,20.8647,202212
0.0291,0.0291,0.029,0.029,3483.0,101.0754,2,684.0,19.9044,202212
0.029,0.029,0.029,0.029,71470.0,2072.63,5,0.0,0.0,202212
0.029,0.029,0.0289,0.029,28435.0,823.3173,7,4793.0,138.997,202212
0.0289,0.0289,0.0289,0.0289,5685.0,164.2965,4,1046.0,30.2294,202212
0.0289,0.0289,0.0289,0.0289,2030.0,58.667,5,2030.0,58.667,202212
0.0288,0.0289,0.0288,0.0289,3748.0,108.1172,6,1748.0,50.5172,202212
0.0289,0.0289,0.0287,0.0288,103152.0,2966.3373,19,1311.0,37.8879,202212
0.0288,0.0288,0.0287,0.0288,149240.0,4293.921,41,96608.0,2782.3104,202212
0.0288,0.0288,0.0288,0.0288,10147.0,292.2336,3,0.0,0.0,202212
0.0288,0.0289,0.0288,0.0289,73145.0,2110.0482,25,73145.0,2110.0482,202212
0.0288,0.0288,0.0287,0.0288,54768.0,1572.7939,13,7754.0,222.5814,202212
0.0286,0.0288,0.0286,0.0288,24365.0,698.3875,13,10026.0,288.2921,202212
0.0288,0.0288,0.0287,0.0287,12992.0,373.9121,8,10417.0,300.0096,202212
0.0287,0.0287,0.0287,0.0287,0.0,0.0,0,0.0,0.0,202212
0.0288,0.0288,0.0288,0.0288,357.0,10.2816,1,357.0,10.2816,202212
0.0288,0.0288,0.0288,0.0288,4552.0,131.0976,5,4552.0,131.0976,202212
0.0288,0.0288,0.0288,0.0288,347.0,9.9936,1,347.0,9.9936,202212
0.0287,0.0287,0.0286,0.0286,42229.0,1211.2806,9,0.0,0.0,202212
0.0286,0.0288,0.0286,0.0288,40467.0,1159.6236,13,22274.0,639.3038,202212
0.0287,0.0287,0.0287,0.0287,14665.0,420.8855,8,0.0,0.0,202212
0.0287,0.0288,0.0287,0.0288,5547.0,159.3598,7,1609.0,46.3392,202212
0.0287,0.0287,0.0286,0.0286,884.0,25.2884,2,0.0,0.0,202212
0.0286,0.0287,0.0286,0.0287,1994.0,57.0994,2,710.0,20.377,202212
0.0286,0.0286,0.0286,0.0286,10239.0,292.8354,8,0.0,0.0,202212
0.0286,0.0286,0.0286,0.0286,3589.0,102.6454,3,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,892.0,25.6004,1,892.0,25.6004,202212
0.0286,0.0287,0.0286,0.0286,47209.0,1350.7076,11,5302.0,152.1674,202212
0.0287,0.0287,0.0286,0.0287,22166.0,635.5642,11,16166.0,463.9642,202212
0.0286,0.0286,0.0286,0.0286,500.0,14.3,1,0.0,0.0,202212
0.0287,0.0288,0.0287,0.0288,1392.0,40.05,3,1392.0,40.05,202212
0.0286,0.0287,0.0286,0.0287,57381.0,1641.1429,14,25609.0,732.4637,202212
0.0287,0.0288,0.0287,0.0287,73242.0,2102.1152,14,42642.0,1223.8952,202212
0.0287,0.0287,0.0287,0.0287,6686.0,191.8882,2,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,0.0,0.0,0,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0287,68817.0,1981.5921,14,65442.0,1884.7296,202212
0.0287,0.0287,0.0287,0.0287,0.0,0.0,0,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0287,18411.0,528.7387,8,3430.0,98.784,202212
0.0288,0.0288,0.0287,0.0287,13931.0,400.1669,6,3472.0,99.9936,202212
0.0287,0.0287,0.0287,0.0287,3426.0,98.3262,1,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,2908.0,83.4596,3,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0287,22310.0,642.4588,7,21618.0,622.5984,202212
0.0288,0.0288,0.0287,0.0287,3978.0,114.2193,3,507.0,14.6016,202212
0.0287,0.0287,0.0287,0.0287,2044.0,58.6628,1,0.0,0.0,202212
0.0287,0.0288,0.0287,0.0287,11630.0,334.0377,6,2567.0,73.9296,202212
0.0287,0.0288,0.0287,0.0288,28821.0,828.2557,5,10930.0,314.784,202212
0.0288,0.0288,0.0288,0.0288,0.0,0.0,0,0.0,0.0,202212
0.0287,0.0288,0.0287,0.0287,4307.0,123.6486,5,377.0,10.8576,202212
0.0287,0.0288,0.0287,0.0288,61948.0,1778.6237,9,7161.0,206.2368,202212
0.0287,0.0287,0.0287,0.0287,6889.0,197.7143,3,0.0,0.0,202212
0.0288,0.0288,0.0288,0.0288,20502.0,590.4576,4,20502.0,590.4576,202212
0.0288,0.0288,0.0287,0.0287,23983.0,689.3628,7,10507.0,302.6016,202212
0.0286,0.0287,0.0286,0.0287,64588.0,1850.2494,14,23156.0,664.5772,202212
0.0288,0.0288,0.0286,0.0286,55099.0,1578.825,10,539.0,15.5232,202212
0.0286,0.0286,0.0286,0.0286,0.0,0.0,0,0.0,0.0,202212
0.0286,0.0286,0.0286,0.0286,0.0,0.0,0,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,10446.0,299.8002,3,10446.0,299.8002,202212
0.0288,0.0289,0.0288,0.0288,143167.0,4132.6003,32,142036.0,4100.0275,202212
0.0288,0.0288,0.0288,0.0288,129961.0,3742.8768,15,78367.0,2256.9696,202212
0.0288,0.0288,0.0288,0.0288,0.0,0.0,0,0.0,0.0,202212
0.0288,0.0288,0.0288,0.0288,3490.0,100.512,4,0.0,0.0,202212
0.0288,0.0288,0.0288,0.0288,28878.0,831.6864,7,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0287,5778.0,166.337,4,5084.0,146.4192,202212
0.0288,0.0288,0.0288,0.0288,695.0,20.016,2,695.0,20.016,202212
0.0288,0.0288,0.0287,0.0287,56548.0,1622.9727,12,451.0,12.9888,202212
0.0286,0.0287,0.0286,0.0287,75977.0,2173.8594,18,9172.0,263.2364,202212
0.0286,0.0287,0.0286,0.0287,29523.0,846.5323,13,21745.0,624.0815,202212
0.0288,0.0288,0.0287,0.0287,19472.0,559.9936,6,11472.0,330.3936,202212
0.0288,0.0288,0.0287,0.0287,13669.0,392.5978,8,2975.0,85.68,202212
0.0287,0.0288,0.0287,0.0287,11110.0,318.9265,6,695.0,20.016,202212
0.0288,0.0288,0.0288,0.0288,695.0,20.016,1,695.0,20.016,202212
0.0288,0.0288,0.0287,0.0287,8739.0,250.8614,9,521.0,15.0048,202212
0.0287,0.0288,0.0287,0.0288,9747.0,280.6442,7,9053.0,260.7264,202212
0.0287,0.0288,0.0286,0.0288,1745.0,50.1491,5,695.0,20.016,202212
0.0287,0.0287,0.0287,0.0287,12721.0,365.0927,1,12721.0,365.0927,202212
0.0287,0.0287,0.0286,0.0287,21763.0,624.5597,9,10933.0,313.7771,202212
0.0286,0.0288,0.0286,0.0288,10159.0,290.7945,8,1113.0,32.0126,202212
0.0288,0.0288,0.0288,0.0288,0.0,0.0,0,0.0,0.0,202212
0.0288,0.0288,0.0286,0.0288,5663.0,162.6556,8,3469.0,99.9072,202212
0.0288,0.0288,0.0286,0.0288,46046.0,1322.1924,15,24644.0,709.7054,202212
0.0286,0.0287,0.0286,0.0287,6369.0,182.2928,6,1394.0,40.0078,202212
0.0286,0.0287,0.0286,0.0287,24731.0,709.1984,7,18918.0,542.9466,202212
0.0287,0.0289,0.0287,0.0289,194869.0,5624.7649,63,173354.0,5003.4052,202212
0.0289,0.0289,0.0288,0.0288,52213.0,1505.4557,12,0.0,0.0,202212
0.0288,0.029,0.0288,0.029,13208.0,380.937,8,4776.0,138.0954,202212
0.0289,0.029,0.0288,0.0288,58726.0,1697.8196,35,9585.0,277.965,202212
0.029,0.029,0.0288,0.0289,22854.0,661.0785,16,7414.0,215.006,202212
0.0289,0.0289,0.0289,0.0289,69458.0,2007.3362,26,0.0,0.0,202212
0.0289,0.029,0.0289,0.029,24273.0,701.6112,15,1215.0,35.235,202212
0.0289,0.0289,0.0288,0.0288,51488.0,1483.0118,33,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0288,26816.0,771.5262,6,693.0,19.9584,202212
0.0288,0.0288,0.0288,0.0288,0.0,0.0,0,0.0,0.0,202212
0.0288,0.0289,0.0287,0.0288,50472.0,1453.9398,20,13251.0,382.0446,202212
0.0288,0.0288,0.0288,0.0288,0.0,0.0,0,0.0,0.0,202212
0.0287,0.0288,0.0286,0.0287,18337.0,526.3183,11,3580.0,102.8155,202212
0.0286,0.0289,0.0286,0.0288,142773.0,4103.7013,26,56303.0,1620.9773,202212
0.0288,0.0288,0.0288,0.0288,30640.0,882.432,11,0.0,0.0,202212
0.0289,0.0289,0.0289,0.0289,27001.0,780.3289,6,27001.0,780.3289,202212
0.0288,0.0288,0.0288,0.0288,33051.0,951.8688,5,0.0,0.0,202212
0.0288,0.0289,0.0287,0.0289,81708.0,2354.9506,21,47324.0,1364.8796,202212
0.0288,0.029,0.0288,0.0289,63056.0,1824.3716,15,57814.0,1673.0554,202212
0.029,0.029,0.029,0.029,2829.0,82.041,3,2829.0,82.041,202212
0.0288,0.029,0.0288,0.029,32527.0,940.0299,11,14527.0,419.8993,202212
0.0289,0.0289,0.0289,0.0289,56302.0,1627.1278,18,0.0,0.0,202212
0.0289,0.0289,0.0288,0.0288,127562.0,3684.6573,23,0.0,0.0,202212
0.0288,0.0289,0.0287,0.0289,61403.0,1769.308,10,33210.0,959.769,202212
0.0288,0.0288,0.0288,0.0288,15227.0,438.5376,3,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0287,5402.0,155.3678,4,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,167887.0,4818.3569,9,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0288,81334.0,2335.6763,17,8162.0,235.0656,202212
0.0288,0.0288,0.0287,0.0287,7515.0,216.295,3,6145.0,176.976,202212
0.0287,0.0287,0.0287,0.0287,12181.0,349.5947,1,0.0,0.0,202212
0.0288,0.0288,0.0287,0.0288,15341.0,441.7129,10,14262.0,410.7456,202212
0.0288,0.0289,0.0287,0.0287,15260.0,439.2196,13,480.0,13.872,202212
0.0287,0.0287,0.0287,0.0287,1724.0,49.4788,1,0.0,0.0,202212
0.0287,0.0288,0.0287,0.0288,18574.0,534.757,6,16832.0,484.7616,202212
0.0288,0.0288,0.0288,0.0288,953.0,27.4464,1,953.0,27.4464,202212
0.0288,0.0288,0.0287,0.0288,10112.0,290.8399,5,6255.0,180.144,202212
0.0287,0.0288,0.0287,0.0288,7645.0,219.5354,4,1239.0,35.6832,202212
0.0288,0.0288,0.0288,0.0288,30310.0,872.928,6,30310.0,872.928,202212
0.0287,0.0288,0.0287,0.0288,6033.0,173.3024,3,1553.0,44.7264,202212
0.0288,0.0289,0.0287,0.0289,10733.0,309.5688,6,5343.0,154.3719,202212
0.0288,0.0288,0.0288,0.0288,1380.0,39.744,2,0.0,0.0,202212
0.0288,0.0288,0.0288,0.0288,12589.0,362.5632,5,0.0,0.0,202212
0.0288,0.0288,0.0288,0.0288,25445.0,732.816,5,0.0,0.0,202212
0.0289,0.0289,0.0288,0.0288,6581.0,189.837,7,3042.0,87.9138,202212
0.0288,0.0288,0.0288,0.0288,7460.0,214.848,4,0.0,0.0,202212
0.0288,0.0289,0.0287,0.0287,25243.0,726.581,12,476.0,13.7564,202212
0.0289,0.0289,0.0288,0.0288,1403.0,40.4583,3,883.0,25.4823,202212
0.0287,0.0287,0.0287,0.0287,8941.0,256.6067,3,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,75025.0,2153.2175,8,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,6821.0,195.7627,4,0.0,0.0,202212
0.0287,0.0287,0.0286,0.0286,85690.0,2451.1682,9,0.0,0.0,202212
0.0287,0.0287,0.0287,0.0287,862.0,24.7394,1,862.0,24.7394,202212
0.0286,0.0287,0.0286,0.0286,54811.0,1567.6671,10,725.0,20.8075,202212
0.0286,0.0286,0.0286,0.0286,44582.0,1275.0452,8,0.0,0.0,202212
0.0287,0.0289,0.0287,0.0288,199362.0,5743.0065,32,115695.0,3333.8744,202212
0.0289,0.0289,0.0287,0.0287,102503.0,2944.1008,9,5585.0,161.4065,202212
0.0287,0.0288,0.0287,0.0287,11307.0,324.7542,4,2433.0,70.0704,202212
0.0287,0.0289,0.0287,0.0289,205747.0,5934.4893,35,166226.0,4797.145,202212
0.0289,0.029,0.0289,0.029,169934.0,4919.8004,49,154578.0,4474.4764,202212
0.0291,0.0291,0.0289,0.029,102646.0,2972.5688,51,10976.0,319.0651,202212
0.0289,0.029,0.0289,0.0289,66283.0,1921.0602,18,54815.0,1589.635,202212
0.029,0.029,0.0289,0.0289,35410.0,1023.5014,17,1524.0,44.196,202212
0.0289,0.0289,0.0289,0.0289,1460.0,42.194,2,1460.0,42.194,202212
0.0289,0.029,0.0289,0.0289,51011.0,1476.8131,21,45738.0,1324.4234,202212
0.029,0.029,0.0288,0.0288,54671.0,1577.6354,13,2902.0,84.158,202212
0.0288,0.0289,0.0288,0.0289,12079.0,348.9309,8,10557.0,305.0973,202212
0.0289,0.0289,0.0289,0.0289,13107.0,378.7923,8,0.0,0.0,202212
0.0289,0.0293,0.0289,0.0293,412027.0,12004.7944,93,309255.0,9010.7246,202212
0.0292,0.0293,0.0292,0.0292,147656.0,4320.4532,51,69675.0,2041.4775,202212
0.0292,0.0293,0.0291,0.0291,157444.0,4591.9192,43,42392.0,1238.8461,202212
0.0291,0.0291,0.029,0.0291,69562.0,2019.9102,23,26122.0,760.1502,202212
0.0292,0.0292,0.0288,0.029,508268.0,14656.5766,44,10856.0,315.4655,202212
0.029,0.029,0.0288,0.0289,3684.0,106.4738,4,712.0,20.648,202212
0.0288,0.0289,0.0288,0.0289,8226.0,237.6729,6,0.0,0.0,202212
0.0289,0.0289,0.0288,0.0288,22215.0,639.8933,5,1013.0,29.2757,202212
0.0289,0.029,0.0289,0.029,77467.0,2244.1432,23,50523.0,1464.5787,202212
0.029,0.0291,0.0289,0.0291,201059.0,5836.6626,45,76387.0,2219.2472,202212
0.0291,0.0291,0.029,0.029,53708.0,1559.9121,10,23801.0,692.6091,202212
0.029,0.029,0.0288,0.0288,315838.0,9121.1941,61,40782.0,1174.6946,202212
0.0288,0.0289,0.0287,0.0288,55783.0,1608.9834,17,35314.0,1020.5328,202212
0.0288,0.0289,0.0288,0.0289,81609.0,2353.2392,17,29000.0,838.1,202212
0.0288,0.0288,0.0286,0.0286,145229.0,4167.4282,23,1198.0,34.3826,202212
0.0287,0.0287,0.0285,0.0287,313162.0,8947.8161,31,49269.0,1410.8361,202212
0.0286,0.0287,0.0286,0.0286,277295.0,7939.9605,41,252465.0,7229.8225,202212
0.0287,0.0287,0.0285,0.0286,54869.0,1569.35,12,3798.0,108.776,202212
0.0285,0.0286,0.0285,0.0286,73302.0,2089.8798,11,7728.0,221.0208,202212
0.0285,0.0286,0.0285,0.0285,144083.0,4112.2069,11,13722.0,392.4492,202212
0.0285,0.0286,0.0285,0.0286,38451.0,1097.6829,7,18294.0,523.2084,202212
0.0285,0.0286,0.0285,0.0286,133989.0,3820.7589,10,20724.0,592.7064,202212
0.0286,0.0289,0.0285,0.0287,269213.0,7728.9753,33,209452.0,6023.8574,202212
0.0287,0.0287,0.0287,0.0287,17934.0,514.7058,9,0.0,0.0,202212
0.0288,0.0289,0.0288,0.0289,65238.0,1878.9256,16,58562.0,1686.6568,202212
0.0288,0.0289,0.0287,0.0287,3584.0,103.0947,6,500.0,14.45,202212
0.0288,0.0288,0.0287,0.0288,52584.0,1511.0656,16,20205.0,581.7883,202212
0.0287,0.0288,0.0286,0.0287,7577.0,217.4847,7,1748.0,50.262,202212
0.0287,0.0288,0.0286,0.0287,128601.0,3696.3207,43,76676.0,2205.733,202212
0.0286,0.0287,0.0286,0.0287,72790.0,2083.2404,22,14464.0,415.1168,202212
0.0286,0.0287,0.0285,0.0285,88690.0,2535.1673,17,6880.0,197.456,202212
0.0285,0.0287,0.0285,0.0287,78187.0,2230.1937,9,11352.0,325.3584,202212
0.0285,0.0286,0.0285,0.0286,32578.0,928.6851,5,2121.0,60.6606,202212
0.0286,0.0286,0.0285,0.0285,58601.0,1670.601,15,4725.0,135.135,202212
0.0286,0.0287,0.0286,0.0286,34295.0,980.8827,7,17835.0,510.1267,202212
0.0286,0.0287,0.0286,0.0286,140498.0,4029.1044,19,96378.0,2766.0486,202212
0.0287,0.0288,0.0287,0.0287,45235.0,1301.5929,12,33484.0,964.3392,202212
0.0287,0.0288,0.0286,0.0288,46400.0,1333.4129,13,27167.0,781.8068,202212
0.0287,0.0288,0.0287,0.0287,8892.0,255.3635,6,1631.0,46.9728,202212
0.0288,0.0288,0.0286,0.0286,38247.0,1098.2767,9,12411.0,356.8844,202212
