OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
5.017,5.199,4.99,5.146,675052.0,3448051.4785,18146,337380.5,1723275.1489,202112
5.147,5.159,5.05,5.074,381764.3,1950148.2999,5758,198103.6,1012336.4183,202112
5.07,5.128,5.053,5.054,158201.1,805290.3337,1788,96108.2,489251.846,202112
5.054,5.098,5.044,5.075,69899.4,354315.5909,1190,34855.2,176662.4803,202112
5.078,5.1,5.004,5.068,159910.7,808192.1397,3379,77285.0,391181.9065,202112
5.068,5.102,5.04,5.088,103190.7,523740.4444,1056,62234.5,315963.2398,202112
5.086,5.096,5.053,5.082,105935.4,537246.9474,963,58149.8,294844.0693,202112
5.081,5.145,5.073,5.133,141870.2,725373.0541,2164,63013.3,321925.0744,202112
5.131,5.157,5.117,5.132,118674.3,609340.2543,1524,73007.0,374807.302,202112
5.131,5.153,5.101,5.146,134296.6,688703.7594,1151,81625.5,418543.3745,202112
5.145,5.153,5.105,5.134,102407.2,525481.6615,1045,61370.8,314833.6142,202112
5.136,5.14,5.104,5.113,59084.0,302616.4324,616,29334.5,150355.5124,202112
5.115,5.122,5.073,5.113,73447.8,374612.3052,1115,25594.3,130616.5172,202112
5.11,5.145,5.101,5.104,55296.1,283103.4533,592,27532.5,140956.576,202112
5.102,5.12,5.081,5.112,50282.0,256265.4891,518,17404.1,88780.6693,202112
5.112,5.113,5.082,5.088,35980.8,183234.223,426,23247.0,118384.5695,202112
5.088,5.097,5.07,5.083,22927.2,116533.9625,468,10266.5,52175.5222,202112
5.083,5.103,5.038,5.041,87245.5,441513.2836,1223,32203.8,163280.838,202112
5.046,5.088,5.03,5.084,48947.3,248007.2523,925,30084.3,152378.6219,202112
5.083,5.092,5.052,5.063,44346.2,224854.3742,523,14046.0,71207.1104,202112
5.061,5.072,5.035,5.065,35103.6,177450.908,521,17898.3,90492.989,202112
5.07,5.104,5.05,5.091,56400.7,286644.1175,728,32151.8,163403.9679,202112
5.094,5.113,5.081,5.102,34021.6,173569.8889,732,17373.6,88684.5149,202112
5.103,5.105,5.066,5.077,49937.2,253866.743,656,21100.9,107288.5595,202112
5.077,5.079,5.048,5.065,25029.9,126791.3442,466,9889.7,50113.985,202112
5.065,5.075,5.041,5.046,33476.5,169297.9415,588,13834.2,69931.6799,202112
5.043,5.073,5.041,5.059,58700.6,296899.5789,464,38544.3,195061.0765,202112
5.058,5.069,5.046,5.046,18849.2,95312.1046,219,5293.7,26789.6956,202112
5.048,5.063,5.041,5.044,36020.2,181953.2134,319,10884.2,54970.9914,202112
5.044,5.073,5.041,5.06,33779.7,170910.3658,402,16357.9,82768.7466,202112
5.059,5.073,5.052,5.072,47990.5,243259.4166,401,41556.6,210697.3927,202112
5.073,5.073,5.06,5.073,73129.0,370819.4284,377,56847.4,288328.6964,202112
5.073,5.112,5.067,5.11,63758.5,324796.7057,486,42934.8,218639.7914,202112
5.11,5.126,5.075,5.1,68607.9,350104.0492,984,35664.6,182131.5077,202112
5.099,5.106,5.083,5.106,29436.8,149969.0941,373,16274.1,82924.5042,202112
5.105,5.171,5.102,5.159,109615.7,563823.1679,2523,63883.9,328451.0025,202112
5.161,5.169,5.11,5.114,83498.4,428776.7117,733,33695.8,173150.0081,202112
5.114,5.121,5.094,5.115,49390.5,252329.0204,663,26425.3,135025.0424,202112
5.116,5.164,5.107,5.152,48397.8,248693.1478,518,30055.4,154496.5866,202112
5.152,5.163,5.136,5.138,72265.5,372278.7647,545,42159.9,217297.4158,202112
5.138,5.15,5.092,5.102,38071.2,194749.7138,507,10788.6,55238.8654,202112
5.096,5.115,5.091,5.101,28028.7,142998.1841,347,12607.3,64342.8315,202112
5.099,5.1,5.052,5.065,76928.3,390074.9888,1324,30101.6,152642.4984,202112
5.062,5.1,5.061,5.079,118300.6,601440.3099,654,83224.1,423123.8223,202112
5.078,5.083,5.045,5.078,97360.4,492701.7173,673,35267.1,178603.2425,202112
5.073,5.085,5.068,5.082,20453.1,103876.7022,274,10623.5,53962.0126,202112
5.079,5.146,5.058,5.128,79418.3,405451.9625,632,51847.4,264694.6678,202112
5.124,5.143,5.118,5.125,40256.2,206571.2307,873,17346.4,89042.019,202112
5.125,5.153,5.119,5.133,37230.8,191237.621,533,19207.2,98591.9309,202112
5.134,5.155,5.13,5.132,30355.5,156133.4927,312,18547.1,95421.4503,202112
5.13,5.136,5.102,5.11,61557.5,315093.8743,459,23470.8,120272.989,202112
5.108,5.108,5.079,5.082,39527.0,201236.8247,415,21697.5,110472.2081,202112
5.082,5.109,5.076,5.108,28827.7,146597.3159,346,22856.8,116239.3224,202112
5.109,5.109,5.081,5.098,16251.4,82768.9765,212,8980.8,45741.1845,202112
5.097,5.13,5.089,5.122,54988.3,281190.0979,364,21072.4,107729.8139,202112
5.122,5.124,5.095,5.096,16866.3,86197.319,207,5268.1,26939.8678,202112
5.094,5.095,5.066,5.076,24858.8,126192.3534,575,10347.4,52525.1841,202112
5.076,5.12,5.066,5.12,33266.9,169637.6794,366,19115.2,97365.1304,202112
5.12,5.216,5.117,5.204,191230.5,988517.6491,4881,116405.9,600911.3143,202112
5.201,5.25,5.173,5.248,331528.8,1726311.28,4797,129947.3,677457.2296,202112
5.247,5.298,5.243,5.288,228511.6,1204738.7097,6862,102957.4,543100.6536,202112
5.285,5.287,5.18,5.243,224133.9,1170836.8347,3949,102379.7,534218.9271,202112
5.243,5.265,5.219,5.231,110254.1,577608.4611,1027,43363.1,227257.9545,202112
5.228,5.232,5.173,5.206,82468.3,428946.7419,1152,40017.5,208221.0434,202112
5.206,5.228,5.192,5.194,31253.8,162825.2858,327,11323.8,58930.042,202112
5.194,5.223,5.176,5.202,53704.0,278915.6015,577,34266.8,178014.8161,202112
5.202,5.289,5.202,5.256,311959.9,1638721.5856,2756,154457.1,811566.2962,202112
5.259,5.264,5.204,5.24,91989.5,481916.8811,1149,33286.2,174304.6131,202112
5.238,5.24,5.185,5.194,69798.3,363708.3704,912,33102.9,172454.7378,202112
5.192,5.209,5.159,5.175,102868.4,533120.9519,1570,56954.8,295103.8506,202112
5.173,5.185,5.16,5.185,18344.7,94877.7338,287,10735.0,55537.5272,202112
5.18,5.18,5.149,5.155,28887.2,148997.6405,560,8872.5,45765.6413,202112
5.157,5.17,5.119,5.124,51112.6,262510.6841,1409,19118.3,98197.9186,202112
5.125,5.174,5.101,5.17,82738.4,424683.0587,1749,51930.3,266664.3672,202112
5.168,5.187,5.146,5.163,85849.6,443267.3027,828,31682.4,163734.8285,202112
5.16,5.207,5.147,5.191,78689.2,407820.9978,1346,50302.6,260599.1683,202112
5.192,5.229,5.186,5.225,35957.5,187328.6,826,22424.8,116871.9934,202112
5.224,5.225,5.185,5.203,30427.7,158248.5817,372,10646.8,55370.4171,202112
5.202,5.21,5.17,5.195,33606.1,174305.1741,459,12944.8,67192.8874,202112
5.193,5.222,5.182,5.206,35134.5,182678.2094,454,21059.7,109506.6867,202112
5.207,5.239,5.195,5.235,41154.5,214647.0908,780,26860.4,140145.8889,202112
5.234,5.237,5.205,5.21,39679.3,207303.5423,549,20665.2,107995.1641,202112
5.21,5.247,5.186,5.242,34855.7,181784.5326,861,16895.1,88111.0498,202112
5.241,5.256,5.212,5.238,51725.2,270998.0446,808,28134.5,147396.5772,202112
5.238,5.255,5.212,5.237,121032.3,633508.502,994,69334.0,362809.6295,202112
5.238,5.273,5.231,5.272,139265.2,731704.5462,1702,45385.3,238446.4288,202112
5.269,5.29,5.247,5.25,104734.5,552158.7109,2126,54295.8,286565.4549,202112
