OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
6.068,6.098,6.068,6.092,1141.785,6943.282681,27,719.432,4373.421056,202303
6.1,6.102,6.061,6.066,500.334,3041.480025,22,188.313,1148.554316,202303
6.064,6.072,6.059,6.072,136.998,830.84814,9,124.677,756.08191,202303
6.081,6.081,6.055,6.055,6013.494,36450.140713,39,4913.668,29780.023655,202303
6.057,6.072,6.053,6.072,1269.255,7691.089135,16,620.196,3760.802842,202303
6.067,6.076,6.058,6.058,40.981,248.907538,5,7.044,42.717948,202303
6.056,6.076,6.056,6.073,398.857,2420.789299,14,337.859,2050.608425,202303
6.073,6.08,6.052,6.059,1209.063,7326.823796,56,753.336,4564.565854,202303
6.066,6.081,6.063,6.064,480.419,2917.029272,47,295.878,1796.982246,202303
6.065,6.08,6.053,6.053,611.705,3711.980124,62,246.59,1496.861948,202303
6.053,6.06,6.045,6.053,3278.189,19835.697359,127,1545.127,9350.469285,202303
6.052,6.058,6.05,6.058,170.349,1031.224445,11,153.125,927.000121,202303
6.058,6.092,6.058,6.092,479.016,2909.561563,43,256.184,1556.949338,202303
6.091,6.093,6.079,6.084,2070.131,12599.179259,36,55.49,337.84361,202303
6.087,6.108,6.087,6.108,168.593,1028.450793,16,125.767,767.076831,202303
6.111,6.112,6.096,6.101,2046.719,12499.328405,39,121.031,738.729686,202303
6.103,6.119,6.102,6.118,483.822,2957.581955,66,397.122,2427.812002,202303
6.12,6.125,6.106,6.122,2665.286,16296.683059,95,967.429,5919.657499,202303
6.122,6.148,6.122,6.148,5373.985,32985.301963,138,1822.22,11182.934485,202303
6.149,6.154,6.135,6.142,766.071,4705.892682,32,539.236,3313.220706,202303
6.138,6.138,6.128,6.133,1779.786,10915.014977,18,23.808,146.048046,202303
6.13,6.152,6.13,6.151,155.731,957.54869,9,27.092,166.669984,202303
6.155,6.165,6.147,6.161,2002.204,12317.381478,39,247.099,1522.566797,202303
6.166,6.174,6.16,6.171,120.03,740.208413,16,50.561,311.875675,202303
6.174,6.183,6.145,6.145,6352.562,39167.671224,89,294.83,1820.309677,202303
6.145,6.145,6.135,6.136,134.961,828.276578,15,118.529,727.413638,202303
6.134,6.147,6.134,6.139,317.193,1947.614782,22,259.235,1591.864505,202303
6.139,6.146,6.136,6.14,252.768,1552.402306,14,250.768,1540.130306,202303
6.143,6.145,6.139,6.139,177.786,1091.962792,10,73.615,452.314929,202303
6.136,6.138,6.129,6.129,508.024,3116.0845,21,329.828,2022.901906,202303
6.129,6.134,6.129,6.132,82.622,506.660131,8,82.622,506.660131,202303
6.132,6.134,6.129,6.129,45.926,281.63464,10,29.618,181.617676,202303
6.129,6.134,6.129,6.134,702.412,4307.111218,23,684.624,4198.006876,202303
6.135,6.166,6.134,6.155,936.756,5766.584048,68,366.032,2250.706736,202303
6.15,6.152,6.15,6.152,50.138,308.408977,4,31.164,191.680929,202303
6.154,6.158,6.154,6.158,15.238,93.782252,4,15.238,93.782252,202303
6.158,6.169,6.158,6.169,160.065,986.318569,13,68.79,423.988067,202303
6.165,6.176,6.165,6.176,87.262,538.643425,11,70.474,435.063557,202303
6.174,6.195,6.167,6.189,2940.597,18169.236263,93,690.738,4273.092077,202303
6.19,6.222,6.19,6.203,3397.979,21098.400575,81,1623.318,10081.775421,202303
6.203,6.206,6.192,6.194,74.81,463.727965,11,53.971,334.657921,202303
6.194,6.202,6.194,6.202,25.248,156.51911,4,21.064,130.603414,202303
6.205,6.21,6.201,6.204,203.697,1263.86458,12,162.235,1006.59567,202303
6.205,6.225,6.205,6.217,771.089,4794.808133,48,440.813,2740.907719,202303
6.223,6.236,6.206,6.208,2618.917,16284.657817,95,214.928,1338.248419,202303
6.22,6.22,6.206,6.206,428.972,2665.075623,28,121.935,758.374842,202303
6.207,6.21,6.207,6.21,3.267,20.283102,2,1.611,10.00431,202303
6.212,6.242,6.212,6.233,3399.63,21177.331899,59,1281.007,7972.244738,202303
6.244,6.266,6.219,6.223,4334.496,27095.227484,67,246.428,1540.286321,202303
6.219,6.223,6.212,6.212,514.315,3196.040509,14,86.584,538.048467,202303
6.212,6.215,6.209,6.215,461.817,2868.175086,17,36.564,227.218701,202303
6.215,6.224,6.215,6.224,119.142,741.047266,6,17.715,110.148129,202303
6.221,6.23,6.219,6.22,3128.511,19462.599435,28,2420.015,15053.254315,202303
6.223,6.234,6.223,6.234,670.053,4176.541983,14,661.745,4124.783143,202303
