OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
99.48,99.71,99.4,99.4,778.29646,77453.8329703,90,486.35354,48400.0721331,202101
99.4,99.4,98.78,98.82,290.65392,28827.6146608,147,139.67538,13856.6305452,202101
98.85,98.85,98.1,98.33,287.51924,28280.848743,135,94.33747,9286.5283745,202101
98.34,98.59,98.26,98.58,114.3664,11264.9304342,28,25.90757,2552.8696571,202101
98.57,98.69,98.43,98.67,198.62542,19572.3685855,48,141.51154,13947.7564818,202101
98.64,98.69,98.49,98.49,13.56699,1337.2485872,10,1.85707,183.2598348,202101
98.55,98.69,98.54,98.54,65.72388,6483.059669,28,40.524,3998.1119748,202101
98.61,98.96,98.6,98.93,135.83287,13424.5934208,57,113.5715,11225.8993031,202101
98.93,99.13,98.93,99.08,82.25235,8146.6901526,34,79.35851,7860.1750649,202101
99.12,99.5,99.1,99.48,216.84509,21531.4017965,72,197.19098,19580.9749295,202101
99.54,100.29,99.47,100.12,924.42837,92568.7968366,270,369.15311,36936.403292,202101
100.15,100.71,100.15,100.58,398.9127,40058.4232233,190,289.35294,29034.2735347,202101
100.58,100.89,100.55,100.78,1457.79764,146844.7743327,186,602.03475,60642.5784088,202101
100.86,101.15,100.76,100.99,920.75424,92957.6512251,282,402.52027,40646.6809921,202101
100.99,101.1,100.3,100.52,573.22209,57704.7592124,171,218.83895,22040.6606556,202101
100.59,100.6,100.39,100.42,167.65753,16844.4136354,46,121.60361,12217.0800248,202101
100.48,101.24,100.48,101.2,175.92266,17738.983733,94,122.22772,12314.681811,202101
101.12,101.43,101.07,101.13,636.45569,64439.8196695,144,359.82081,36420.0785286,202101
101.16,101.18,101.01,101.14,63.99002,6468.9515745,46,45.33397,4583.518337,202101
101.16,101.52,101.13,101.18,235.69661,23880.8179541,102,110.08358,11152.8810249,202101
101.18,101.49,101.08,101.33,225.50025,22842.813028,44,103.06183,10435.8334385,202101
101.42,101.84,101.38,101.7,563.92414,57344.045169,161,170.08121,17292.1427177,202101
101.68,101.8,101.43,101.43,134.05403,13625.0956678,67,57.47284,5843.4832776,202101
101.44,101.71,101.44,101.62,125.04302,12710.3879525,32,117.02487,11895.7964369,202101
101.61,101.66,100.95,101.01,366.57609,37147.1976302,131,114.34095,11585.204062,202101
101.02,101.05,100.68,101.04,407.73554,41098.9343902,149,227.88836,22968.1299441,202101
101.02,101.28,100.95,101.25,339.57301,34323.476043,184,231.8285,23437.4058363,202101
101.31,101.39,101.07,101.13,155.64171,15758.0856816,43,44.64813,4520.5407976,202101
101.11,101.12,101.08,101.11,95.84629,9690.4333778,21,91.84629,9286.0433778,202101
101.07,101.22,101.07,101.16,295.49182,29878.0437426,41,280.25796,28337.1118495,202101
101.07,101.14,100.85,101.1,338.39378,34182.839711,63,240.02076,24243.2597136,202101
101.14,101.25,101.09,101.11,78.99836,7991.2846802,33,26.88127,2720.3325706,202101
101.13,101.14,100.86,100.97,213.18701,21522.7456056,67,46.44667,4691.235198,202101
100.99,101.14,100.89,101.14,26.19678,2645.1814612,18,12.78052,1291.200108,202101
101.11,101.15,101.02,101.12,52.48048,5306.099641,22,18.98102,1918.6916346,202101
101.15,102.18,101.15,102.18,1628.78577,165704.6344387,465,899.32792,91467.000345,202101
102.2,102.42,101.66,101.79,981.1905,100309.4174761,188,610.02208,62408.8439612,202101
101.86,102.35,101.86,102.35,91.39388,9336.0088628,71,45.01641,4599.0382848,202101
102.3,102.35,101.3,101.47,885.3366,90138.5005089,259,380.38029,38674.4281436,202101
101.48,101.72,101.46,101.71,64.47592,6549.9929164,35,58.42089,5934.973791,202101
101.74,101.74,101.53,101.56,26.19115,2660.8599315,19,19.40445,1970.9934065,202101
101.58,101.65,101.53,101.62,41.14879,4181.0697953,12,31.69091,3220.7245494,202101
101.6,101.7,101.56,101.65,312.6463,31768.4377267,47,194.60093,19775.250816,202101
101.62,101.67,101.58,101.58,10.30773,1047.7579399,8,10.12833,1029.5344879,202101
101.72,101.78,101.56,101.64,89.08007,9056.0639012,26,80.10305,8144.1755541,202101
101.67,101.69,101.54,101.54,44.94906,4567.799843,20,21.27314,2161.661529,202101
101.61,101.67,101.09,101.2,660.46837,66921.7469966,181,301.48866,30519.703186,202101
101.19,101.24,101.07,101.08,241.09837,24380.4566214,57,144.02014,14563.3058114,202101
101.12,101.29,101.12,101.2,232.64484,23535.9788627,43,170.60285,17260.7180718,202101
101.2,101.57,101.2,101.46,316.18592,32047.2318962,80,282.03821,28582.9289889,202101
101.45,101.48,101.17,101.22,170.86634,17316.0373637,39,10.1622,1029.2882206,202101
101.19,101.23,100.81,101.08,835.87604,84435.5042534,184,347.7749,35119.8356676,202101
101.08,101.38,101.08,101.23,245.24116,24816.5099726,69,156.51949,15836.594396,202101
101.14,101.4,101.13,101.33,19.1681,1940.3717673,22,5.59748,567.2969667,202101
101.39,101.46,101.03,101.06,440.88856,44680.2069206,59,183.96762,18630.0679109,202101
101.12,101.23,101.09,101.09,32.71544,3308.9439263,19,8.0824,817.5228704,202101
101.1,101.1,100.71,100.93,145.91607,14714.0457098,66,92.63564,9341.1397288,202101
100.99,101.15,100.98,101.11,47.18984,4766.8024772,13,4.61849,466.8797839,202101
101.21,101.23,101.17,101.18,80.22091,8117.8973026,26,45.12182,4566.783348,202101
101.15,101.2,100.58,100.67,296.96523,29927.918852,95,103.2938,10400.8523395,202101
100.67,100.93,100.61,100.72,361.03183,36361.9286985,49,288.12243,29014.4041427,202101
100.75,100.77,100.58,100.58,42.81126,4308.8271867,27,6.52466,657.3847427,202101
100.6,100.76,100.49,100.76,111.41694,11204.8518581,31,64.56882,6493.8454478,202101
100.78,100.82,100.69,100.71,37.60964,3790.0706234,20,26.20439,2641.146261,202101
100.67,100.85,100.59,100.76,102.98614,10362.3667584,33,66.87983,6729.2056495,202101
100.71,100.72,100.62,100.69,23.12706,2327.6254024,11,6.03865,608.0676471,202101
100.76,100.81,100.5,100.63,109.89423,11059.8564823,28,25.63569,2580.1745533,202101
100.57,100.61,100.54,100.59,14.56084,1464.4159625,12,10.05884,1011.7048825,202101
100.59,100.71,100.51,100.51,194.80673,19601.9045458,32,176.03705,17712.795548,202101
100.57,100.66,100.57,100.62,8.97819,903.3794834,8,2.66684,268.3916336,202101
100.62,100.62,100.51,100.59,15.56712,1565.544693,15,4.17214,419.6725387,202101
100.57,100.6,100.5,100.6,51.3105,5157.416699,14,6.55656,659.3223572,202101
100.66,100.9,100.66,100.88,129.46918,13045.6779908,40,99.42093,10016.8960005,202101
100.87,100.93,100.77,100.93,87.03577,8780.4332979,28,28.05896,2831.4346951,202101
100.92,101.21,100.92,101.18,257.6317,26044.8134181,63,141.81405,14338.4885796,202101
101.18,101.3,100.52,100.59,306.97901,30994.7276294,98,7.78641,786.646166,202101
100.6,100.67,100.3,100.42,513.49614,51577.9645007,181,141.64774,14224.8183024,202101
100.44,100.44,100.1,100.29,355.82447,35653.914503,98,265.21925,26573.2312006,202101
100.24,100.24,99.71,100.13,428.71762,42869.3287175,188,171.0855,17108.6443075,202101
100.16,100.38,100.16,100.29,111.26636,11159.5310875,31,49.05572,4918.4360739,202101
100.28,100.32,100.21,100.32,44.19719,4432.403653,13,43.27758,4340.2464694,202101
100.33,100.33,100.27,100.32,51.46866,5162.5199524,19,48.02061,4816.7322605,202101
