OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
5.877,5.89,5.873,5.888,22248.7,130817.78987,396,8525.53,50129.15766,202305
5.889,5.889,5.884,5.887,3442.62,20266.79112,77,1828.79,10766.78137,202305
5.887,5.89,5.883,5.886,4784.22,28158.84743,114,2555.74,15042.65208,202305
5.888,5.9,5.888,5.892,15929.94,93903.7521,279,6958.81,41018.25846,202305
5.892,5.898,5.891,5.898,3544.76,20898.22466,70,1758.84,10368.98294,202305
5.898,5.907,5.895,5.906,30583.32,180447.25027,181,29041.79,171345.10364,202305
5.906,5.906,5.901,5.902,3718.65,21950.95722,55,630.98,3724.54595,202305
5.903,5.908,5.902,5.904,2547.03,15040.42886,63,1319.58,7792.20872,202305
5.905,5.905,5.896,5.904,4748.06,28013.22486,101,2011.18,11865.52808,202305
5.903,5.909,5.898,5.906,6664.04,39338.08463,119,2338.91,13805.1607,202305
5.905,5.905,5.891,5.891,3316.43,19561.59542,86,1115.33,6578.50964,202305
5.892,5.899,5.889,5.898,3950.66,23281.79112,92,1773.42,10449.68025,202305
5.899,5.901,5.891,5.901,3229.8,19041.50846,97,1522.11,8973.61125,202305
5.901,5.902,5.896,5.896,3274.36,19316.1644,76,819.95,4836.83342,202305
5.896,5.898,5.888,5.888,2280.68,13438.78389,61,1468.62,8654.01072,202305
5.888,5.895,5.886,5.887,5532.89,32588.21323,117,3363.81,19812.51949,202305
5.887,5.89,5.886,5.886,3676.97,21652.96234,74,1759.31,10360.57139,202305
5.886,5.893,5.883,5.89,5235.27,30821.66276,114,2434.52,14331.82165,202305
5.889,5.895,5.889,5.893,3265.85,19242.11809,68,1527.47,9001.43614,202305
5.892,5.892,5.78,5.795,147134.01,855769.03949,3204,63044.7,366443.67395,202305
5.794,5.795,5.75,5.774,102464.47,591302.0995,2799,42573.09,245799.64941,202305
5.773,5.783,5.752,5.779,37893.3,218642.34658,872,19499.44,112514.52512,202305
5.779,5.779,5.741,5.768,44830.3,258356.36502,1045,21652.93,124786.77716,202305
5.768,5.79,5.764,5.787,17260.96,99705.92051,459,8717.9,50384.77006,202305
5.787,5.815,5.775,5.811,28860.89,167361.34555,720,14492.99,84059.61544,202305
5.81,5.822,5.799,5.821,19310.71,112197.57606,496,9361.51,54402.71672,202305
5.821,5.825,5.806,5.819,11145.68,64831.36025,356,4926.74,28656.6487,202305
5.818,5.818,5.809,5.813,10544.18,61296.09793,208,3307.06,19224.27632,202305
5.811,5.813,5.806,5.807,5417.83,31470.93607,182,2902.55,16861.52502,202305
5.806,5.807,5.8,5.805,3917.89,22739.57162,136,2028.21,11772.53376,202305
5.804,5.818,5.804,5.815,4360.68,25348.60326,138,2382.39,13846.71888,202305
5.816,5.817,5.808,5.817,5422.5,31521.2622,165,2562.29,14897.67028,202305
5.817,5.817,5.803,5.809,25158.43,146129.1447,247,3304.32,19196.72962,202305
5.811,5.813,5.809,5.813,3818.8,22190.86876,99,2325.33,13512.731,202305
5.812,5.815,5.807,5.814,9327.75,54200.42811,155,3459.0,20100.98346,202305
5.814,5.82,5.813,5.818,4768.73,27744.38144,109,2593.59,15089.67774,202305
5.817,5.817,5.806,5.811,12067.21,70125.00843,184,4413.07,25645.88755,202305
5.81,5.817,5.808,5.816,8087.93,47006.34681,135,4656.06,27059.70396,202305
5.817,5.819,5.81,5.811,7901.1,45939.87716,141,3222.08,18738.17513,202305
5.812,5.823,5.801,5.823,10501.39,61053.39342,212,6075.87,35331.85092,202305
5.823,5.826,5.819,5.824,1789.75,10421.92225,68,1211.03,7051.70822,202305
5.826,5.833,5.821,5.832,9427.59,54912.00168,151,5294.09,30840.86405,202305
5.832,5.837,5.829,5.833,9966.23,58117.02325,160,5827.45,33983.72292,202305
5.833,5.835,5.829,5.835,2603.33,15183.11034,63,843.61,4920.05087,202305
