OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
3.221,3.226,3.098,3.124,599833.13,1888980.62597,5927,280090.13,881930.58516,202302
3.125,3.139,3.085,3.122,244215.48,760499.38244,2814,109770.2,341851.74628,202302
3.122,3.148,3.113,3.147,266788.96,834649.81588,2452,117532.48,367971.9492,202302
3.148,3.156,3.105,3.131,208321.57,650529.64305,2250,106539.96,332811.73804,202302
3.132,3.178,3.131,3.154,182651.56,576175.22831,1935,109046.07,343935.67318,202302
3.155,3.185,3.147,3.159,117861.91,373129.18985,1415,64982.19,205742.25342,202302
3.16,3.186,3.145,3.155,285703.54,902760.87943,2100,113977.32,360386.14496,202302
3.156,3.172,3.139,3.145,146131.52,460781.47053,1588,70704.42,223105.61428,202302
3.146,3.168,3.126,3.157,156754.78,493110.87661,1701,89576.85,281944.20846,202302
3.157,3.157,3.136,3.14,83149.49,261511.77924,1073,41285.25,129829.94802,202302
3.14,3.152,3.135,3.143,109139.03,343127.76787,1263,54942.25,172771.87781,202302
3.144,3.164,3.142,3.152,88594.23,279403.36555,889,59725.4,188413.80415,202302
3.152,3.187,3.139,3.169,174917.3,553307.57992,1752,93017.69,294435.9094,202302
3.169,3.169,3.146,3.149,108506.7,342536.7025,1135,62994.14,198919.00639,202302
3.148,3.155,3.143,3.147,90929.71,286243.50588,919,55112.6,173504.02954,202302
3.146,3.168,3.137,3.155,86478.25,272454.26131,1119,43447.52,136893.84676,202302
3.156,3.167,3.145,3.163,111959.94,353237.44636,1162,64134.45,202399.50524,202302
3.163,3.176,3.109,3.116,278471.47,873681.21293,2659,99836.52,313517.24682,202302
3.115,3.164,3.111,3.159,153540.32,482391.15801,1777,89821.33,282308.51396,202302
3.158,3.162,3.143,3.15,82896.1,261359.67883,992,44026.71,138830.14817,202302
3.15,3.159,3.132,3.156,104809.66,329421.4709,1194,55865.92,175665.8827,202302
3.155,3.177,3.154,3.166,117897.51,373323.18718,1291,61480.02,194701.33067,202302
3.166,3.188,3.163,3.185,93512.65,296993.49248,1079,62371.45,198112.01593,202302
3.184,3.184,3.166,3.18,86944.37,275775.1838,834,37093.74,117693.51703,202302
3.18,3.192,3.167,3.171,158082.8,502491.76918,1394,92531.85,294142.39702,202302
3.171,3.187,3.165,3.169,87434.31,277574.30588,1022,42106.66,133665.47534,202302
3.169,3.172,3.154,3.161,85658.15,270977.35205,882,50231.32,158930.495,202302
3.162,3.173,3.143,3.152,91022.6,287264.36399,1071,43272.72,136556.94355,202302
3.152,3.153,3.139,3.139,68871.82,216668.51354,680,45137.09,142002.32769,202302
3.139,3.152,3.129,3.129,75146.42,235997.59172,948,36393.23,114279.67161,202302
3.13,3.147,3.122,3.124,134634.78,421925.47822,1281,67094.8,210289.65873,202302
3.125,3.125,3.1,3.123,153846.17,478430.72601,1514,65821.94,204689.68682,202302
3.121,3.143,3.117,3.139,158841.38,497449.21495,1171,86240.36,270049.62248,202302
3.14,3.167,3.139,3.149,189747.05,597846.72811,1458,116706.91,367696.29249,202302
3.149,3.167,3.147,3.165,63655.27,200861.98234,754,30340.24,95756.41129,202302
3.165,3.17,3.154,3.169,88618.59,280356.63941,977,40900.33,129435.25347,202302
3.17,3.174,3.147,3.159,75421.42,238337.20622,959,36294.94,114691.91336,202302
3.16,3.181,3.16,3.177,85847.06,272400.48733,1103,57425.5,182214.8184,202302
3.177,3.184,3.173,3.179,78407.57,249296.04808,853,41686.91,132558.87653,202302
3.18,3.183,3.156,3.163,94766.54,299889.91817,941,38310.64,121204.01806,202302
3.163,3.186,3.158,3.172,58598.19,185994.76578,732,32476.73,103096.71532,202302
3.173,3.179,3.149,3.157,74087.11,234094.028,810,24126.15,76239.59869,202302
3.157,3.183,3.157,3.181,247743.24,786704.447,1630,88222.43,280085.278,202302
3.18,3.258,3.18,3.202,454795.22,1460667.84397,3862,301666.41,968210.37489,202302
3.201,3.201,3.168,3.179,104531.8,332114.01636,992,44664.85,141831.80162,202302
3.181,3.198,3.16,3.184,199782.81,635015.72217,1959,90138.27,286957.90148,202302
3.183,3.2,3.179,3.196,75659.03,241524.34364,824,46297.68,147821.48277,202302
3.196,3.222,3.186,3.219,186297.51,596788.4101,1627,126626.37,405662.33407,202302
3.219,3.239,3.194,3.236,459825.49,1480043.68207,4452,295214.94,950188.75667,202302
3.237,3.284,3.221,3.283,379088.86,1233486.33222,3546,230265.29,749865.20934,202302
3.283,3.301,3.253,3.278,351110.51,1151960.63188,3875,163534.77,536659.4135,202302
3.278,3.278,3.252,3.275,155581.31,508230.18973,1951,80302.16,262410.40482,202302
3.276,3.286,3.262,3.272,148205.86,485117.22727,1695,81416.59,266468.05029,202302
3.271,3.294,3.271,3.288,195033.47,641088.31367,1902,81559.04,268116.18379,202302
3.287,3.287,3.229,3.232,215697.41,701383.19604,2049,98956.28,321846.4081,202302
3.233,3.247,3.223,3.244,125724.37,406599.28741,1162,48117.0,155560.76934,202302
3.245,3.248,3.228,3.232,52660.57,170548.85722,656,20615.28,66791.3327,202302
3.231,3.231,3.205,3.205,152358.65,489760.77656,1400,65794.84,211553.87734,202302
3.206,3.219,3.148,3.153,311682.95,991631.43857,2683,123019.81,391542.5428,202302
3.151,3.156,3.114,3.124,386796.08,1214886.20658,3005,218700.91,687738.60997,202302
3.125,3.127,3.102,3.126,148476.08,462504.08172,1596,74527.35,232112.84379,202302
3.125,3.141,3.108,3.135,110695.23,345980.18785,1321,63401.75,198252.52285,202302
3.135,3.135,3.115,3.116,86881.32,271595.36598,903,36479.41,114068.83605,202302
