OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
43.83,43.87,43.74,43.84,338.73,14839.8085,127,153.74,6737.5554,202212
43.84,43.85,43.7,43.83,315.73,13826.171,94,167.8,7350.2236,202212
43.85,43.85,43.78,43.81,626.64,27451.4611,87,331.48,14520.3906,202212
43.8,43.85,43.7,43.71,391.87,17163.9361,107,260.15,11393.8396,202212
43.72,43.8,43.7,43.74,248.75,10883.3067,51,128.93,5640.7454,202212
43.71,43.73,43.69,43.73,287.4,12559.849,38,126.77,5541.1295,202212
43.73,43.73,43.65,43.65,639.21,27923.4869,89,38.11,1664.9481,202212
43.66,43.69,43.65,43.69,341.9,14926.8264,43,32.79,1432.4257,202212
43.65,43.69,43.65,43.66,181.83,7937.4661,19,42.93,1874.4765,202212
43.67,43.78,43.67,43.71,98.56,4309.8901,29,63.44,2773.7223,202212
43.72,43.72,43.64,43.66,405.08,17681.8153,45,58.3,2545.2439,202212
43.65,43.75,43.65,43.74,271.78,11876.7952,48,174.13,7611.5157,202212
43.73,43.73,43.71,43.73,24.26,1060.704,7,5.49,240.0269,202212
43.72,43.75,43.72,43.75,36.33,1588.8394,17,27.54,1204.4024,202212
43.7,43.7,43.64,43.67,278.46,12155.0263,28,19.76,862.677,202212
43.64,43.67,43.62,43.62,114.88,5013.4855,12,2.43,106.0209,202212
43.63,43.63,43.62,43.63,12.87,561.4631,7,12.41,541.3979,202212
43.59,43.59,43.52,43.53,527.82,22974.2964,82,108.5,4723.932,202212
43.56,43.57,43.53,43.56,61.33,2670.3597,19,19.49,848.7765,202212
43.62,43.65,43.6,43.63,51.4,2242.3129,16,17.37,757.554,202212
43.65,43.65,43.65,43.65,15.09,658.6785,3,0.0,0.0,202212
43.65,43.66,43.63,43.65,14.85,648.0904,6,0.8,34.92,202212
43.62,43.63,43.62,43.63,14.43,629.5633,4,0.0,0.0,202212
43.61,43.62,43.6,43.62,13.79,601.3924,5,0.0,0.0,202212
43.64,43.64,43.61,43.61,3.63,158.3716,3,2.49,108.6562,202212
43.61,43.67,43.6,43.67,218.8,9547.2822,44,77.91,3398.7418,202212
43.67,43.67,43.62,43.62,80.75,3524.0719,24,48.16,2101.2324,202212
43.61,43.61,43.52,43.53,102.27,4453.855,39,11.93,519.5048,202212
43.52,43.52,43.43,43.49,289.7,12595.8453,67,114.7,4985.7184,202212
43.48,43.48,43.43,43.44,152.34,6619.7815,53,95.45,4147.432,202212
43.48,43.51,43.46,43.49,232.47,10110.8936,54,35.87,1559.6154,202212
43.48,43.49,43.47,43.47,42.47,1846.6629,28,8.39,364.8753,202212
43.46,43.48,43.46,43.48,79.78,3467.502,35,12.55,545.5685,202212
43.49,43.58,43.49,43.58,320.72,13954.4274,30,280.1,12184.5102,202212
43.56,43.59,43.56,43.59,45.8,1995.9012,23,24.31,1059.559,202212
43.59,43.59,43.58,43.58,9.69,422.3825,3,8.53,371.8181,202212
43.58,43.59,43.56,43.56,58.69,2557.2902,10,23.65,1030.7912,202212
43.57,43.65,43.57,43.65,388.82,16954.9752,41,209.66,9141.2131,202212
43.67,43.71,43.67,43.71,118.99,5197.5535,27,118.12,5159.5516,202212
43.7,43.72,43.69,43.72,47.87,2092.4167,12,45.61,1993.6527,202212
43.72,43.72,43.7,43.7,70.99,3103.4345,14,34.1,1490.852,202212
43.68,43.69,43.66,43.69,60.36,2636.258,13,55.84,2438.8688,202212
43.69,43.74,43.69,43.74,109.86,4802.4454,24,46.88,2049.6902,202212
43.74,43.76,43.74,43.75,171.43,7500.0337,25,41.26,1804.9185,202212
43.75,43.81,43.75,43.81,242.55,10621.5287,62,124.37,5446.4981,202212
43.82,43.82,43.78,43.8,110.78,4852.9656,23,85.39,3740.8531,202212
43.81,43.86,43.81,43.85,347.59,15234.3939,74,303.02,13280.3591,202212
43.85,43.86,43.81,43.83,76.48,3353.9624,17,34.03,1492.427,202212
43.83,43.83,43.71,43.79,191.14,8366.5007,34,64.9,2840.959,202212
43.82,43.86,43.82,43.86,42.05,1844.0218,16,39.15,1716.9333,202212
43.86,43.9,43.86,43.89,269.83,11841.1592,56,236.61,10383.1685,202212
43.89,43.89,43.81,43.81,289.71,12703.043,32,7.1,311.619,202212
43.81,43.81,43.75,43.8,115.69,5065.163,38,70.89,3103.3397,202212
43.8,43.87,43.8,43.87,136.55,5985.8633,26,130.6,5725.0748,202212
43.85,43.86,43.83,43.84,23.86,1046.1526,11,4.06,178.031,202212
43.82,43.82,43.76,43.78,261.22,11439.003,35,197.04,8627.8897,202212
43.79,43.84,43.79,43.83,82.01,3593.2215,24,50.89,2229.4111,202212
43.84,43.89,43.84,43.86,177.46,7784.2302,27,145.64,6388.0968,202212
43.88,43.88,43.83,43.86,20.01,877.23,7,8.81,386.334,202212
43.84,43.84,43.79,43.8,82.98,3634.9985,27,37.82,1656.9181,202212
43.8,43.86,43.8,43.84,94.45,4140.6657,18,79.31,3477.2546,202212
43.85,43.89,43.85,43.87,59.27,2600.3746,21,43.81,1922.0697,202212
43.88,43.92,43.87,43.92,160.0,7024.4468,61,93.25,4093.4668,202212
43.92,43.93,43.9,43.9,74.0,3250.1661,19,47.1,2068.9457,202212
43.93,43.95,43.91,43.95,33.63,1477.7386,16,21.86,960.5542,202212
43.95,43.95,43.92,43.92,68.77,3021.515,36,40.23,1767.5532,202212
43.92,43.96,43.7,43.7,432.38,18940.3973,72,135.71,5955.2365,202212
43.73,43.77,43.61,43.61,203.97,8907.284,53,72.82,3181.1871,202212
43.62,43.7,43.61,43.66,154.5,6747.999,28,120.9,5280.8734,202212
43.66,43.73,43.59,43.71,81.61,3564.1573,26,46.19,2016.5007,202212
43.75,43.77,43.73,43.76,84.36,3691.4308,20,7.16,313.2984,202212
43.76,43.78,43.73,43.76,937.28,41002.7519,85,445.09,19471.6181,202212
43.76,43.83,43.73,43.73,578.61,25336.5192,99,371.96,16290.4345,202212
43.72,43.8,43.72,43.75,108.81,4761.9253,34,57.59,2520.8569,202212
43.75,43.75,43.67,43.71,221.69,9687.4937,31,121.04,5289.8627,202212
43.69,43.7,43.66,43.67,67.6,2952.5119,18,0.0,0.0,202212
43.69,43.7,43.65,43.66,351.6,15353.8526,42,38.7,1690.6135,202212
43.66,43.7,43.66,43.7,184.91,8077.8166,29,121.82,5322.454,202212
43.68,43.69,43.54,43.57,1596.57,69628.9224,139,156.84,6840.9192,202212
43.55,43.57,43.5,43.51,410.92,17889.6785,62,88.74,3864.7216,202212
43.5,43.57,43.45,43.55,656.37,28553.022,110,340.68,14824.1371,202212
43.54,43.55,43.53,43.54,96.05,4181.9463,24,46.91,2042.5345,202212
43.55,43.58,43.55,43.55,108.91,4744.3676,39,73.59,3205.8504,202212
43.56,43.56,43.43,43.43,668.13,29059.9631,146,122.58,5329.2988,202212
43.43,43.54,43.43,43.5,229.16,9967.8531,65,174.87,7605.7002,202212
43.49,43.52,43.47,43.52,162.05,7048.5781,29,64.1,2788.3415,202212
43.52,43.52,43.49,43.49,121.41,5281.8031,25,25.48,1108.6385,202212
