OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.3245,0.3245,0.3238,0.3238,21392.4,6935.39686,51,1581.5,512.70416,202306
0.3238,0.3242,0.3232,0.3237,14566.4,4713.99763,61,6504.7,2105.94143,202306
0.3238,0.3256,0.3238,0.3255,17242.0,5599.62363,87,12710.4,4126.98414,202306
0.3255,0.3257,0.3253,0.3253,8310.0,2704.77545,36,1936.0,630.36759,202306
0.3253,0.3259,0.3253,0.3256,4798.8,1562.92701,52,3047.7,992.5881,202306
0.3258,0.3258,0.3253,0.3257,3963.5,1290.51611,44,2443.7,795.65864,202306
0.3257,0.3258,0.3246,0.3246,12810.7,4164.0247,64,7885.8,2562.73289,202306
0.3245,0.3245,0.3232,0.3244,21057.3,6822.11806,89,13857.1,4490.51384,202306
0.3243,0.3247,0.3242,0.3245,9488.9,3078.86784,50,3412.0,1107.11191,202306
0.3245,0.3245,0.3234,0.3236,7376.9,2388.25951,35,3029.5,980.1897,202306
0.3235,0.3238,0.3234,0.3235,8296.0,2684.58631,33,1203.1,389.34227,202306
0.3235,0.3238,0.3235,0.3238,1794.3,580.62171,15,1662.0,537.82266,202306
0.324,0.3241,0.3237,0.3238,5952.3,1928.76264,31,4290.3,1390.30198,202306
0.3239,0.3244,0.3239,0.3243,4836.4,1568.08612,31,3194.1,1035.62697,202306
0.3245,0.3249,0.3245,0.3248,1922.2,624.09304,19,1657.3,538.10638,202306
0.3248,0.325,0.3245,0.3249,4142.9,1345.1705,31,2541.5,825.02913,202306
0.3248,0.3248,0.3246,0.3247,5754.5,1868.98201,12,61.5,19.96905,202306
0.3248,0.3251,0.3244,0.325,7743.5,2515.35602,37,3870.4,1257.21645,202306
0.3251,0.3252,0.3251,0.3251,2077.4,675.41163,14,654.0,212.64033,202306
0.325,0.3253,0.325,0.3252,3079.6,1001.28963,14,1127.3,366.54825,202306
0.3252,0.3252,0.3245,0.3245,22236.0,7227.94155,48,1468.8,477.24227,202306
0.3244,0.325,0.3244,0.3244,14148.0,4594.84901,50,10613.2,3447.29089,202306
0.3244,0.3244,0.3239,0.3243,7278.4,2360.06419,29,4632.3,1501.94646,202306
0.3241,0.3244,0.3241,0.3243,1468.9,476.35684,9,1108.4,359.45871,202306
0.3244,0.3247,0.3243,0.3245,2321.0,753.29228,13,2003.0,650.08508,202306
0.3243,0.3243,0.3238,0.3239,4848.9,1570.80655,19,3042.0,985.2967,202306
0.324,0.324,0.3238,0.3238,3764.3,1219.35838,13,130.8,42.36021,202306
0.3239,0.3242,0.3238,0.3238,3100.3,1004.3803,15,2343.2,759.12361,202306
0.3241,0.3241,0.3239,0.324,3454.5,1119.27869,11,36.9,11.95929,202306
0.3238,0.324,0.3237,0.324,487.2,157.77507,6,178.1,57.69844,202306
0.324,0.3247,0.324,0.3247,2527.8,819.93634,15,1827.9,592.83693,202306
0.3246,0.3246,0.3245,0.3245,568.3,184.42753,7,0.0,0.0,202306
0.3244,0.3244,0.3232,0.3232,3944.1,1277.24567,24,760.3,246.49246,202306
0.3232,0.3233,0.3215,0.3216,44469.0,14319.51308,132,8257.7,2659.97376,202306
0.3214,0.3214,0.3196,0.3201,203162.3,65074.72646,527,114149.3,36548.05354,202306
0.3202,0.3207,0.3195,0.3204,20456.4,6547.23412,153,14456.1,4627.43164,202306
0.3201,0.3207,0.3185,0.3191,42443.4,13550.86945,226,21533.8,6876.86628,202306
0.319,0.3198,0.319,0.3195,22431.3,7161.89983,122,7247.9,2313.4237,202306
0.3199,0.3206,0.3199,0.3205,12883.4,4124.26444,54,5166.9,1654.16074,202306
0.3205,0.3212,0.3204,0.3211,4670.2,1498.20512,28,3311.0,1061.82897,202306
0.3212,0.3218,0.3211,0.3218,9254.4,2974.32302,62,6207.1,1995.48795,202306
0.3218,0.322,0.3214,0.3218,31305.4,10071.80084,75,28621.4,9208.1285,202306
0.3218,0.3228,0.3217,0.3228,28357.1,9141.44399,139,20493.6,6607.14728,202306
0.3226,0.3226,0.3223,0.3223,1706.1,550.19921,10,254.5,82.02535,202306
0.3223,0.3225,0.3222,0.3225,5073.7,1635.83492,11,3943.0,1271.23205,202306
0.3225,0.3225,0.3222,0.3224,15781.2,5087.17571,19,60.3,19.44072,202306
0.3225,0.323,0.3225,0.3229,32702.7,10552.09742,79,28649.4,9244.10675,202306
0.3229,0.3234,0.3228,0.3233,4520.4,1460.69184,29,2904.6,938.5977,202306
0.3232,0.3233,0.3229,0.3233,12430.9,4016.99579,36,817.0,263.92244,202306
0.3233,0.3233,0.3229,0.3232,3162.3,1021.72912,9,379.6,122.67407,202306
0.3231,0.3232,0.3231,0.3231,237.1,76.61884,4,59.5,19.2304,202306
0.3229,0.323,0.3226,0.323,6379.0,2058.97911,16,246.3,79.52131,202306
0.3228,0.3229,0.3226,0.3227,6548.3,2112.72883,17,5706.4,1841.02624,202306
0.3227,0.3229,0.3227,0.3229,1599.2,516.14286,7,367.7,118.65679,202306
0.323,0.3237,0.323,0.3237,7620.5,2465.02198,38,3538.3,1144.35586,202306
0.3236,0.3237,0.3233,0.3233,9050.8,2928.17062,42,3008.4,973.43726,202306
0.3235,0.3236,0.3232,0.3236,2323.1,751.42709,14,1433.0,463.6595,202306
0.3236,0.3236,0.3236,0.3236,1000.0,323.6,2,1000.0,323.6,202306
0.3234,0.3234,0.3231,0.3231,340.2,109.95865,4,48.1,15.54592,202306
0.3232,0.3234,0.3231,0.3232,2206.0,713.07108,13,1099.0,355.30856,202306
0.3233,0.3233,0.3232,0.3232,2126.2,687.20513,10,743.1,240.17456,202306
0.3232,0.3235,0.3232,0.3235,2681.3,867.07911,17,2681.3,867.07911,202306
0.3236,0.3237,0.3236,0.3237,3819.3,1236.06697,12,3819.3,1236.06697,202306
0.3237,0.3237,0.3235,0.3236,8432.5,2728.73723,12,60.3,19.51308,202306
0.3238,0.324,0.3237,0.3239,1737.2,562.6569,11,563.0,182.33052,202306
0.3238,0.3239,0.3238,0.3238,1630.1,527.93538,6,126.3,40.89594,202306
0.3237,0.324,0.3237,0.3239,19720.5,6385.93369,40,18462.4,5978.55391,202306
0.3239,0.3241,0.3239,0.324,922.9,299.02069,4,634.6,205.61149,202306
0.3241,0.3241,0.3238,0.3238,2016.5,653.10122,10,231.9,75.13869,202306
0.324,0.3243,0.324,0.3243,3009.3,975.50939,34,2606.2,844.82128,202306
0.3243,0.3243,0.324,0.324,3758.9,1218.65379,14,90.1,29.20141,202306
0.3241,0.3241,0.3238,0.3238,6250.4,2024.55956,15,607.0,196.61996,202306
0.3238,0.3238,0.3237,0.3237,2010.6,650.96022,7,0.0,0.0,202306
0.3238,0.3238,0.3238,0.3238,1068.2,345.88316,8,1068.2,345.88316,202306
0.324,0.324,0.3237,0.3239,3105.8,1005.85558,9,2384.1,772.24129,202306
0.3238,0.3239,0.3235,0.3235,13774.8,4457.36288,36,951.3,308.00231,202306
0.3236,0.3236,0.3235,0.3235,1156.5,374.14141,7,249.3,80.66221,202306
0.3234,0.3234,0.323,0.3231,1825.0,589.94296,11,258.2,83.45054,202306
0.3231,0.3233,0.3231,0.3233,290.7,93.95901,4,169.2,54.70236,202306
0.3233,0.3236,0.3233,0.3235,7265.7,2349.63998,21,5204.8,1682.94711,202306
0.3233,0.3235,0.3233,0.3235,1190.4,385.08432,5,1140.0,368.79,202306
0.3237,0.3238,0.3235,0.3236,7788.3,2520.35849,16,4199.8,1359.14396,202306
0.3237,0.3238,0.3233,0.3238,31520.8,10199.88612,48,12121.4,3924.10606,202306
0.3235,0.3236,0.3231,0.3231,7798.2,2522.3731,22,4364.2,1411.80528,202306
0.3233,0.3234,0.3223,0.3226,9200.5,2970.51464,40,5016.7,1620.73256,202306
0.3228,0.3231,0.3222,0.3222,18802.1,6063.66383,50,4855.5,1566.95535,202306
0.3222,0.3225,0.3221,0.3225,25476.0,8207.56651,32,21615.6,6963.26095,202306
0.3223,0.323,0.3223,0.3226,4721.2,1523.48968,27,2557.6,825.32144,202306
0.3228,0.323,0.3228,0.323,4304.9,1390.25604,20,3272.9,1057.027,202306
0.3232,0.3237,0.3232,0.3234,6827.8,2208.14941,28,3218.6,1040.72102,202306
0.3234,0.3234,0.323,0.323,3131.5,1012.0526,11,93.7,30.2804,202306
