OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
2.9298,2.9593,2.9193,2.9591,326965.2,960185.3075,2443,184179.51,540882.740166,202102
2.959,2.9717,2.9339,2.9407,594839.36,1757025.953481,2481,288750.03,852558.026204,202102
2.9412,3.0284,2.9404,3.0069,603352.28,1807710.299176,3561,365616.92,1094985.903543,202102
3.0068,3.0603,3.0067,3.0384,893587.91,2713802.10795,4590,484427.63,1471712.471978,202102
3.0381,3.0615,2.9908,3.0013,704979.11,2131216.161167,3714,320678.46,969772.837963,202102
3.0013,3.0157,2.9637,2.9949,596782.28,1784399.448308,2748,259435.15,776184.033811,202102
2.9947,2.9963,2.9638,2.9812,433573.4,1290574.567153,2303,218005.07,649005.023359,202102
2.9808,2.9944,2.9672,2.9757,302340.09,901351.594021,1612,169581.69,505437.529849,202102
2.9756,3.0252,2.9705,3.0146,399161.09,1195921.536961,1929,194539.91,583189.79143,202102
3.0139,3.0326,3.002,3.0048,357272.42,1078952.379514,2083,180423.31,544802.30962,202102
3.0054,3.0145,2.9889,3.0027,429167.58,1288259.577285,2287,243276.92,730183.780795,202102
3.0043,3.0083,2.9936,2.9947,168192.26,504438.936819,1161,82208.06,246469.686929,202102
2.9947,2.9963,2.9525,2.9848,661686.41,1967275.688931,3616,327136.3,972599.497113,202102
2.9843,2.9879,2.9652,2.9839,319826.09,952349.117134,1717,162845.57,484760.465529,202102
2.9844,2.9901,2.9772,2.9862,243315.73,726235.49282,1488,152757.85,455921.224492,202102
2.9857,2.9982,2.9789,2.9968,149395.4,446652.524486,1313,74171.03,221687.802588,202102
2.9969,3.0329,2.9969,3.0252,406519.67,1227022.643704,2643,234360.75,707288.932092,202102
3.0252,3.0328,3.0135,3.0135,251539.08,760582.726046,1623,125079.49,378351.143593,202102
3.0136,3.0317,3.0135,3.0314,194889.96,589168.848191,1062,102007.08,308422.447988,202102
3.0319,3.0592,3.0318,3.0439,442337.19,1347354.369937,2546,234327.03,713784.835052,202102
3.044,3.0513,3.0348,3.0401,246168.54,749123.735616,1606,115044.78,350108.479177,202102
3.0395,3.0424,3.0161,3.0276,216698.21,656071.759749,1483,93516.17,283168.954769,202102
3.0275,3.0449,3.0258,3.0337,150894.06,457828.935549,1033,79349.25,240745.981794,202102
3.0345,3.0429,3.0311,3.0361,183628.08,557575.581412,786,123642.88,375412.761393,202102
3.0377,3.0861,3.0351,3.0752,660305.02,2022312.060847,3600,352442.95,1079583.083373,202102
3.075,3.093,3.069,3.0868,391730.97,1207830.425336,1987,203384.48,627145.821135,202102
3.0857,3.0929,3.0671,3.0692,462382.21,1426022.103366,1725,250292.88,772555.837016,202102
3.0691,3.11,3.0691,3.0826,716590.96,2219480.127361,3333,438165.28,1357395.390455,202102
3.0842,3.0996,3.0741,3.0808,337030.9,1040744.977409,1517,154817.36,478043.715565,202102
3.081,3.0828,3.0504,3.0696,367947.25,1127852.820863,1783,162516.59,498306.647122,202102
