OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
281.46,283.2,281.34,282.71,1597.31905,451131.9398513,556,1102.63324,311441.3873973,201809
282.64,283.85,282.38,283.3,722.80215,204512.8566272,434,191.78124,54284.6815532,201809
283.29,283.3,282.59,282.7,288.3509,81588.5695631,352,135.30341,38280.9261754,201809
282.76,283.17,282.7,283.09,272.2088,77031.2778932,331,188.19304,53260.5305931,201809
283.04,283.2,282.75,282.81,234.02575,66224.8404205,345,139.38611,39445.3254862,201809
282.85,283.32,282.8,283.32,343.18808,97157.9256265,261,185.01052,52378.1539059,201809
283.31,284.0,283.1,283.3,491.20431,139250.719916,492,306.63949,86926.8560843,201809
283.22,283.73,283.01,283.49,719.08961,203753.6300408,350,340.67297,96541.5109917,201809
283.63,283.84,283.31,283.34,406.84219,115336.428296,335,226.85751,64320.6445659,201809
283.34,283.61,283.11,283.2,826.59089,234290.2993853,346,600.19269,170123.4745825,201809
283.24,283.96,282.99,283.84,704.97879,199695.1568329,392,563.12819,159527.5204481,201809
283.96,284.8,283.84,284.19,590.15035,167766.9509148,538,381.44913,108452.6960278,201809
284.22,284.56,283.98,284.37,863.84343,245585.9408704,500,558.13481,158677.4077748,201809
284.44,285.34,284.15,284.83,1286.13235,366098.5304485,708,948.22832,269899.4368111,201809
284.79,285.02,284.11,284.97,494.1145,140600.5780354,461,287.59931,81840.8386832,201809
284.97,285.34,284.75,284.99,518.69833,147908.6059395,542,310.78776,88627.4675423,201809
284.92,284.99,283.94,284.17,621.7579,176853.5325511,559,288.10126,81960.1480754,201809
284.02,284.11,283.7,283.76,830.30186,235736.9012814,394,564.87107,160383.1532908,201809
283.83,284.42,283.83,284.3,446.18291,126748.1139235,344,310.95356,88336.5240157,201809
284.29,284.37,284.08,284.08,355.77079,101125.7784746,319,220.36392,62640.9928855,201809
284.18,284.28,283.92,283.95,354.43252,100694.5941572,343,223.83208,63595.1698353,201809
284.0,284.06,283.3,283.74,641.61619,182101.1552719,509,291.62804,82795.839085,201809
283.78,283.81,283.5,283.81,475.87467,134978.7160256,411,359.35973,101933.0190708,201809
283.81,283.88,283.3,283.69,856.97253,243070.3241958,394,531.42997,150739.0120467,201809
283.69,284.2,283.61,284.13,786.07887,223132.7762622,477,522.64933,148352.7856659,201809
284.12,285.0,284.05,284.91,569.65266,162113.0959236,513,334.55339,95199.3191345,201809
284.97,284.99,284.5,284.65,560.71032,159700.620738,415,282.3843,80432.3793159,201809
284.67,284.71,284.22,284.5,608.314,173032.0447075,302,447.71258,127354.2748444,201809
284.58,285.0,284.49,284.73,658.3166,187450.4736152,343,350.09678,99693.3404121,201809
284.79,285.02,284.58,284.84,407.1338,115946.8763298,320,173.95967,49555.9701133,201809
284.88,285.44,284.84,285.39,300.13468,85571.9330495,392,209.76924,59806.6830639,201809
285.31,285.68,284.88,285.07,999.92101,285294.8653167,392,432.04674,123287.0585591,201809
285.12,285.16,284.62,284.79,323.59546,92181.4778081,317,200.93143,57239.7564594,201809
284.8,284.94,284.62,284.81,351.6889,100133.7143977,292,232.08538,66081.5419632,201809
284.85,284.93,284.63,284.73,427.67755,121791.5828894,329,212.79614,60601.4263181,201809
284.63,284.84,284.62,284.81,268.86658,76565.029789,223,234.46639,66771.3301883,201809
284.83,284.98,284.81,284.86,306.86738,87418.5527269,298,177.45247,50554.4202843,201809
