OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
6.484,6.487,6.457,6.476,21526.03,139416.28722,631,11173.68,72374.58072,202303
6.478,6.485,6.443,6.447,17366.36,112294.67485,445,7503.43,48558.26701,202303
6.443,6.476,6.432,6.472,15423.22,99556.18745,417,8080.18,52156.55591,202303
6.472,6.488,6.471,6.487,15965.34,103481.62077,336,7132.88,46241.52469,202303
6.487,6.509,6.482,6.499,32333.04,210087.27508,788,16142.05,104884.46527,202303
6.499,6.515,6.49,6.501,35946.7,233810.26756,647,23049.73,149962.88746,202303
6.502,6.526,6.501,6.51,29077.6,189488.20645,710,14932.52,97312.21742,202303
6.512,6.513,6.494,6.498,15922.07,103476.868,388,8296.76,53917.58737,202303
6.496,6.511,6.475,6.476,38245.05,248517.84543,762,23050.1,149868.33174,202303
6.476,6.477,6.445,6.445,43895.52,283621.26351,610,14302.43,92405.89635,202303
6.444,6.453,6.422,6.425,43419.96,279459.96691,950,17823.37,114719.70259,202303
6.425,6.444,6.408,6.441,34077.62,218941.80606,704,14365.57,92304.61832,202303
6.442,6.465,6.437,6.453,17467.68,112719.76631,357,5855.94,37791.14408,202303
6.452,6.465,6.442,6.45,7492.26,48360.52373,207,3232.24,20858.61486,202303
6.449,6.471,6.449,6.471,10237.52,66179.3374,231,5076.51,32815.52612,202303
6.471,6.473,6.45,6.45,15048.31,97277.52881,303,4250.12,27477.73271,202303
6.451,6.455,6.437,6.437,15951.65,102815.66238,279,5015.43,32324.9033,202303
6.436,6.448,6.431,6.448,20157.41,129774.88947,264,13615.1,87663.87977,202303
6.447,6.494,6.445,6.494,23142.92,149653.24584,432,14158.28,91515.6624,202303
6.493,6.497,6.474,6.485,22890.86,148385.5066,498,10740.2,69613.53232,202303
6.484,6.484,6.45,6.461,11454.0,73999.48844,304,3011.94,19468.4114,202303
6.463,6.473,6.454,6.468,23703.4,153229.90534,398,7847.27,50728.55878,202303
6.469,6.489,6.466,6.471,16143.87,104551.73289,405,7320.45,47426.11993,202303
6.47,6.483,6.466,6.48,12210.06,79054.45413,371,5940.77,38470.79184,202303
6.48,6.492,6.47,6.471,12741.51,82631.78665,306,6487.11,42071.41162,202303
6.471,6.481,6.468,6.478,5075.1,32867.17945,133,1704.12,11036.1267,202303
6.479,6.531,6.478,6.509,178987.94,1166232.96363,1458,99989.59,651105.75329,202303
6.508,6.515,6.501,6.511,26013.28,169311.51293,528,13859.58,90209.91649,202303
6.512,6.515,6.49,6.492,17928.71,116543.37188,400,7539.12,49003.65576,202303
6.491,6.506,6.491,6.494,17423.3,113199.08645,313,8477.03,55061.86269,202303
6.493,6.496,6.484,6.488,21022.44,136427.68505,369,3932.09,25524.44998,202303
6.489,6.517,6.488,6.491,32186.13,209302.82835,529,23780.01,154693.54451,202303
6.491,6.51,6.491,6.499,13628.65,88624.30582,284,8797.8,57201.72662,202303
6.501,6.514,6.493,6.497,29682.49,193124.39576,456,15568.78,101313.70565,202303
6.498,6.517,6.498,6.514,28726.75,186938.81068,457,13929.37,90651.63108,202303
6.516,6.545,6.515,6.544,18560.24,121193.4489,570,11467.05,74868.68787,202303
6.545,6.55,6.523,6.535,11854.87,77447.4787,287,5277.78,34474.05513,202303
6.536,6.561,6.53,6.542,26100.73,170945.2127,659,12385.63,81105.55177,202303
6.542,6.597,6.528,6.578,66438.44,436592.81543,861,51665.41,339708.3763,202303
6.578,6.652,6.576,6.616,74140.37,489537.90364,1811,34408.54,227195.15367,202303
6.615,6.637,6.612,6.62,60278.09,399234.23849,872,36353.1,240733.06768,202303
6.621,6.642,6.612,6.625,20748.44,137527.8467,519,9401.5,62314.43321,202303
6.626,6.669,6.626,6.642,49251.24,327588.99763,1065,26669.25,177374.67208,202303
6.642,6.665,6.64,6.647,34838.36,231823.96161,702,11719.39,77976.27013,202303
6.645,6.673,6.643,6.656,13556.04,90298.71879,320,7436.4,49526.41415,202303
6.658,6.673,6.646,6.647,19721.53,131360.02245,492,10576.44,70448.12384,202303
6.65,6.656,6.64,6.65,12939.38,85978.7655,312,6071.85,40347.59974,202303
6.652,6.7,6.652,6.699,44969.64,300474.65982,1000,28034.49,187309.22434,202303
6.699,6.718,6.658,6.674,82284.37,550591.38289,1650,42807.59,286480.71911,202303
6.674,6.686,6.662,6.663,16890.91,112682.66367,365,8344.41,55651.50505,202303
6.661,6.667,6.647,6.647,18413.12,122622.50729,455,8914.04,59368.56355,202303
6.647,6.688,6.647,6.676,19705.78,131441.3141,452,10584.9,70598.43776,202303
6.675,6.69,6.661,6.663,12392.82,82765.00631,278,5436.26,36290.23894,202303
6.664,6.693,6.658,6.683,17634.3,117790.13647,340,6925.64,46253.99485,202303
6.684,6.759,6.684,6.759,76847.67,517336.11172,1270,36366.4,244761.84825,202303
6.76,6.78,6.739,6.758,79667.99,538868.94657,1573,35249.57,238369.39531,202303
6.758,6.76,6.737,6.753,30420.12,205301.11613,578,10807.6,72958.64949,202303
6.753,6.8,6.741,6.794,88451.82,600080.48586,1434,53080.85,360133.15377,202303
6.79,6.825,6.766,6.823,82648.93,561944.26129,1371,55251.79,375738.13567,202303
6.823,6.839,6.789,6.792,70616.19,481323.02685,1253,23400.28,159533.11643,202303
6.794,6.848,6.778,6.828,90484.51,616180.89254,1400,28837.3,196617.72933,202303
6.827,6.838,6.795,6.802,52681.54,359249.31371,987,21539.11,146966.88467,202303
6.801,6.807,6.777,6.794,56682.21,385111.21257,1044,34431.49,233960.25004,202303
6.796,6.802,6.764,6.767,40950.15,278080.72548,739,15236.33,103447.45193,202303
6.767,6.786,6.761,6.782,39586.57,268241.81728,705,22031.75,149289.66385,202303
6.783,6.792,6.76,6.767,42434.93,287332.64163,546,11378.79,77071.29183,202303
6.767,6.779,6.761,6.768,14310.36,96871.60285,303,7601.18,51448.33287,202303
6.767,6.772,6.755,6.771,43323.08,293100.72958,532,20861.15,141128.67529,202303
6.771,6.781,6.753,6.762,17834.55,120752.97244,429,6812.51,46114.94495,202303
6.763,6.792,6.763,6.789,33782.91,228971.37296,513,20859.26,141424.45829,202303
6.788,6.792,6.782,6.789,59348.38,402990.36981,601,39044.21,265130.86903,202303
6.79,6.804,6.786,6.788,39465.94,268282.87893,575,17755.1,120676.3413,202303
6.79,6.835,6.79,6.811,67766.76,462275.93256,1142,36879.9,251556.22643,202303
6.811,6.831,6.804,6.827,29452.16,200797.8527,590,13929.76,94963.11573,202303
6.83,6.85,6.804,6.804,129873.95,888382.91303,1354,86476.81,591788.28084,202303
6.805,6.833,6.805,6.814,38562.69,263055.71694,719,14334.34,97780.94877,202303
6.815,6.821,6.806,6.812,26545.39,180881.19317,443,12843.68,87519.45782,202303
6.813,6.85,6.812,6.85,95279.05,651994.35423,930,57534.22,393732.84895,202303
6.85,6.91,6.849,6.909,164022.59,1128257.79734,2155,104714.41,719903.63181,202303
6.909,6.995,6.885,6.956,142895.55,992875.86011,2836,64853.55,450513.18184,202303
6.955,6.989,6.942,6.95,80705.41,562161.85072,1498,44768.0,311941.27855,202303
6.952,6.955,6.885,6.897,76303.17,528207.78526,1362,34948.02,241847.83739,202303
6.898,6.915,6.893,6.896,42280.2,291911.16287,796,23575.34,162790.13719,202303
6.897,6.903,6.88,6.886,30828.11,212376.38074,556,11198.86,77173.292,202303
6.886,6.89,6.861,6.88,59856.12,411570.21763,872,42709.64,293673.8533,202303
6.88,6.919,6.874,6.893,135378.93,934453.35095,1405,82993.4,572682.3237,202303
6.895,6.919,6.892,6.904,41470.53,286575.07827,754,21275.68,146961.08237,202303
6.903,6.908,6.883,6.883,34091.71,235203.01662,591,15211.27,104948.02332,202303
6.886,6.91,6.885,6.898,18735.95,129315.19425,411,10567.62,72925.31009,202303
6.896,6.92,6.895,6.917,31188.91,215565.93102,469,18792.19,129886.51295,202303
6.919,6.93,6.893,6.894,26900.58,185848.44338,584,12294.46,84924.50676,202303
6.892,6.895,6.875,6.875,24011.79,165337.11853,529,8489.13,58453.30398,202303
6.876,6.892,6.875,6.881,24728.32,170213.38498,399,10716.75,73761.64481,202303
6.886,6.889,6.861,6.863,24533.49,168569.50443,469,10056.4,69084.19412,202303
6.863,6.871,6.854,6.859,25082.16,172141.17338,465,10202.97,70022.83621,202303
6.859,6.859,6.844,6.844,23543.71,161341.2132,434,10879.73,74570.67389,202303
6.844,6.861,6.82,6.858,60100.29,411214.18686,1068,30701.93,210065.6582,202303
6.858,6.884,6.856,6.866,27228.47,187084.89733,599,11703.77,80402.88448,202303
6.866,6.889,6.866,6.874,23017.98,158394.92141,492,11847.47,81540.8165,202303
6.877,6.894,6.865,6.884,39204.7,269772.546,685,18801.16,129362.44416,202303
6.885,6.906,6.877,6.895,52183.37,359841.40623,779,23428.13,161547.23881,202303
6.895,6.895,6.861,6.861,25219.78,173393.6716,523,11321.63,77849.17157,202303
6.862,6.875,6.86,6.87,25118.7,172443.22505,392,4949.98,33986.28793,202303
6.868,6.895,6.867,6.888,24049.09,165503.00092,385,14012.36,96442.44001,202303
6.889,6.893,6.875,6.879,20019.59,137816.34766,295,6583.61,45328.3547,202303
6.879,6.885,6.869,6.87,34932.34,240218.22732,505,16527.22,113639.22901,202303
6.87,6.951,6.869,6.939,79334.39,547934.04623,1067,51808.69,357602.02747,202303
6.94,6.958,6.887,6.945,141759.58,982554.65831,1995,96588.35,669697.26555,202303
6.944,7.106,6.933,7.098,423316.5,2969953.41419,7061,244437.75,1712748.86038,202303
7.098,7.116,6.999,7.011,216972.8,1528640.43004,4448,96027.83,676570.61597,202303
7.011,7.05,6.993,7.042,99685.11,698873.86099,1466,63653.19,446248.40548,202303
7.043,7.043,6.997,6.999,78658.0,551926.36669,1245,34480.31,241954.21172,202303
6.999,7.011,6.941,6.952,159220.59,1109275.52426,2324,58257.55,406035.35412,202303
6.953,6.965,6.928,6.937,119128.96,827763.26577,1537,51387.18,357086.03288,202303
6.938,6.942,6.907,6.915,41275.78,285543.15517,872,19518.5,135023.57974,202303
6.915,6.923,6.893,6.902,79960.27,552516.09077,1122,28660.93,198137.43962,202303
6.902,6.912,6.895,6.901,33687.17,232492.75075,562,16640.86,114853.94771,202303
6.901,6.91,6.884,6.894,34161.49,235673.5662,647,19330.36,133382.09093,202303
6.894,6.905,6.891,6.903,27183.45,187519.40923,476,16598.64,114500.0421,202303
6.902,6.906,6.896,6.898,19767.2,136419.93252,450,12087.59,83416.86999,202303
6.898,6.93,6.878,6.882,79950.92,552256.04254,1179,50970.68,352264.5791,202303
6.882,6.899,6.882,6.895,21407.15,147517.73583,422,16907.97,116532.5968,202303
6.895,6.909,6.89,6.902,20513.53,141551.13364,452,8362.54,57693.30049,202303
6.901,6.913,6.901,6.905,27849.61,192379.76843,483,16983.17,117316.18899,202303
6.903,6.916,6.893,6.916,24705.65,170561.76916,454,9796.69,67628.53451,202303
6.915,6.926,6.911,6.913,22047.65,152539.7462,399,8275.79,57254.72403,202303
6.914,6.925,6.912,6.925,12216.61,84535.45753,263,5551.29,38406.26974,202303
6.925,6.962,6.924,6.953,42715.3,296816.09914,710,28038.39,194875.81006,202303
6.952,6.964,6.94,6.949,29419.2,204501.0035,454,9026.53,62751.75043,202303
6.949,6.95,6.923,6.943,30252.41,209779.51343,536,11017.32,76395.28809,202303
6.943,6.952,6.938,6.944,14436.32,100292.92639,298,7879.95,54739.6846,202303
6.943,6.964,6.941,6.957,8228.87,57233.80091,244,5340.32,37141.01362,202303
6.959,6.962,6.927,6.93,14226.71,98732.55482,274,4933.86,34229.8529,202303
6.934,6.95,6.934,6.944,15655.35,108700.84418,267,6253.44,43408.30519,202303
6.944,6.945,6.929,6.929,9650.11,66924.25637,219,3294.8,22849.14375,202303
6.93,6.937,6.918,6.935,13508.9,93616.69822,335,7044.06,48832.00464,202303
6.935,6.944,6.923,6.925,12032.89,83450.48593,294,7391.74,51265.27057,202303
6.925,6.927,6.895,6.912,42238.68,291665.18627,866,22510.22,155439.67577,202303
6.914,6.932,6.907,6.925,10473.22,72477.7783,295,4456.15,30844.71625,202303
6.923,6.927,6.902,6.909,9800.27,67741.67695,242,4650.38,32134.62469,202303
6.907,6.931,6.907,6.928,12576.24,87045.14783,268,6887.39,47665.50375,202303
6.928,6.931,6.918,6.923,30111.38,208535.32265,390,8176.9,56627.03675,202303
6.924,6.937,6.91,6.937,19960.26,138177.62335,348,8742.69,60541.75611,202303
6.936,6.989,6.934,6.95,49041.85,341801.29749,846,32248.31,224824.20472,202303
6.95,6.954,6.911,6.93,30617.2,212109.3367,696,12963.09,89805.46356,202303
6.932,6.932,6.912,6.914,19734.36,136588.7643,273,7714.99,53394.97984,202303
6.915,6.935,6.912,6.931,9143.37,63327.66735,197,3787.76,26223.07311,202303
6.932,6.945,6.92,6.945,8084.83,56032.61833,207,3880.11,26896.49607,202303
6.945,6.967,6.945,6.954,34028.04,236646.69735,612,22435.18,156017.29108,202303
6.953,6.979,6.951,6.971,25617.48,178460.27559,516,13936.8,97093.5632,202303
6.971,6.981,6.947,6.963,49978.78,348082.98079,849,23286.65,162219.45442,202303
