OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
6.81,6.84,6.78,6.84,18358.18,125085.0544,559,7472.58,50931.942,202204
6.83,6.85,6.82,6.85,11504.08,78577.2963,524,4690.37,32055.0947,202204
6.84,6.85,6.83,6.85,5512.46,37708.5362,168,1921.75,13151.2022,202204
6.85,6.86,6.83,6.84,7324.31,50123.7481,181,2473.71,16936.9697,202204
6.84,6.9,6.84,6.87,14918.91,102455.4754,354,10070.11,69183.8106,202204
6.88,6.91,6.88,6.88,9742.69,67168.8676,159,6857.29,47293.7013,202204
6.89,6.9,6.84,6.84,10930.35,74979.1905,262,4780.58,32801.9092,202204
6.84,6.89,6.84,6.88,8979.55,61645.7069,243,6813.96,46786.8583,202204
6.88,6.89,6.87,6.89,2580.75,17754.916,116,1478.07,10173.2373,202204
6.89,6.9,6.88,6.9,2794.02,19261.552,64,2057.85,14189.4876,202204
6.9,6.9,6.88,6.88,4988.65,34365.504,175,2638.46,18181.5712,202204
6.88,6.89,6.87,6.88,3258.7,22407.4189,63,1469.79,10106.3359,202204
6.87,6.87,6.85,6.85,3954.48,27116.2726,89,1302.0,8931.6675,202204
6.85,6.87,6.83,6.83,14843.53,101525.8551,244,5071.68,34724.7512,202204
6.83,6.83,6.79,6.8,22446.17,152756.0872,305,5346.49,36414.1578,202204
6.8,6.83,6.8,6.82,5155.49,35133.0271,135,3020.96,20589.316,202204
6.81,6.82,6.79,6.79,7781.51,52970.8304,191,2660.76,18131.1498,202204
6.8,6.81,6.74,6.75,31533.24,213213.625,485,7314.07,49445.9479,202204
6.74,6.77,6.74,6.74,20133.7,135918.5552,414,7177.72,48508.868,202204
6.75,6.77,6.73,6.75,17947.91,121003.8574,390,8025.21,54132.423,202204
6.74,6.76,6.74,6.74,11134.18,75104.2443,236,6212.85,41919.5165,202204
6.74,6.74,6.7,6.71,14760.02,99102.7591,274,3853.25,25879.1407,202204
6.71,6.72,6.6,6.6,40049.6,265945.3835,633,9697.89,64430.2281,202204
6.61,6.67,6.61,6.61,22066.27,146467.0775,545,13434.53,89201.4603,202204
6.61,6.64,6.58,6.63,41776.22,276024.3294,590,20850.14,137851.4164,202204
6.63,6.63,6.61,6.63,11652.72,77120.9202,254,3386.28,22432.341,202204
6.64,6.65,6.63,6.63,7898.38,52465.9933,219,5252.92,34906.9756,202204
6.64,6.65,6.58,6.6,23024.32,152133.4756,327,6240.97,41279.7374,202204
6.6,6.62,6.56,6.56,19319.45,127315.6372,420,7164.37,47257.5439,202204
6.56,6.56,6.46,6.52,71653.54,466319.266,1274,33654.62,219034.3588,202204
6.53,6.55,6.5,6.54,22855.85,149161.2919,444,13383.76,87372.5549,202204
6.54,6.56,6.54,6.55,11805.58,77384.136,258,6748.85,44240.9861,202204
6.56,6.56,6.52,6.54,9026.09,59068.6267,234,2567.18,16803.1845,202204
6.54,6.54,6.49,6.51,23748.01,154754.6629,284,5483.22,35759.9119,202204
6.51,6.53,6.44,6.45,30199.1,195901.3357,549,12210.76,79331.9864,202204
6.45,6.46,6.39,6.45,82740.04,531511.4887,1114,33656.17,216225.8695,202204
6.45,6.47,6.43,6.47,22931.77,147994.1042,622,11232.21,72528.4178,202204
6.46,6.47,6.43,6.47,12458.0,80371.7808,306,6331.83,40848.5231,202204
6.46,6.47,6.43,6.46,16149.3,104230.3229,274,6479.46,41833.8694,202204
6.46,6.48,6.44,6.46,15761.41,101878.569,364,11161.5,72173.517,202204
6.46,6.48,6.45,6.48,10854.64,70223.238,210,7100.82,45942.2386,202204
6.47,6.47,6.44,6.46,27600.42,178346.1589,296,20394.24,131812.7444,202204
6.47,6.51,6.47,6.49,7211.81,46797.4821,209,3976.66,25812.2955,202204
6.5,6.52,6.49,6.52,12753.83,82948.5705,277,7150.35,46532.6131,202204
6.52,6.53,6.52,6.53,7743.99,50498.814,183,4820.0,31434.3992,202204
6.52,6.54,6.51,6.52,5658.02,36903.1558,118,3769.03,24584.3159,202204
6.52,6.55,6.52,6.52,12511.44,81663.5769,163,5791.24,37813.5466,202204
6.53,6.54,6.51,6.54,4085.79,26646.2302,103,2415.24,15760.8882,202204
6.54,6.57,6.54,6.56,18351.32,120406.3224,316,14804.71,97172.7956,202204
6.56,6.57,6.54,6.55,15833.29,103788.5573,206,8467.53,55526.1601,202204
6.56,6.57,6.55,6.57,4611.11,30261.3956,101,2868.78,18830.2992,202204
6.57,6.58,6.55,6.56,7335.95,48183.7165,150,3188.69,20950.696,202204
6.56,6.58,6.56,6.57,4354.2,28603.5887,122,2709.93,17805.8565,202204
6.58,6.58,6.57,6.58,6250.12,41119.6229,100,4286.1,28202.538,202204
6.58,6.59,6.57,6.59,10767.98,70923.0465,124,8106.9,53405.2793,202204
6.59,6.6,6.58,6.59,3495.94,23030.1955,68,2197.17,14479.426,202204
6.6,6.6,6.59,6.6,1353.41,8919.7806,26,80.87,533.742,202204
6.6,6.61,6.59,6.6,8377.21,55285.2082,146,3316.32,21901.6361,202204
6.6,6.6,6.58,6.58,3728.24,24570.8712,47,290.29,1915.1666,202204
6.59,6.6,6.58,6.58,3834.32,25251.5409,46,1504.64,9915.7358,202204
6.58,6.59,6.57,6.58,1884.61,12400.5977,53,1268.61,8347.5978,202204
6.59,6.6,6.58,6.59,5543.5,36553.4254,103,3898.95,25716.5352,202204
6.6,6.61,6.59,6.59,4509.7,29753.7575,169,1126.38,7436.2701,202204
6.59,6.6,6.58,6.59,6790.95,44787.9277,131,5368.66,35415.0554,202204
6.59,6.6,6.57,6.58,9213.7,60642.5606,144,3164.82,20855.0642,202204
6.58,6.59,6.58,6.58,1068.35,7033.2442,43,671.42,4421.4448,202204
6.59,6.6,6.58,6.6,6164.39,40645.9083,71,4964.47,32750.0907,202204
6.6,6.6,6.57,6.58,15768.96,103926.8665,191,6673.36,44012.3157,202204
6.58,6.59,6.57,6.59,3607.47,23734.8714,106,1617.16,10641.6378,202204
6.59,6.59,6.55,6.57,10938.86,71765.9727,114,993.15,6516.7811,202204
6.56,6.57,6.56,6.56,2503.1,16420.669,217,1313.82,8618.9922,202204
6.56,6.57,6.56,6.56,4893.41,32101.2058,71,777.94,5103.7226,202204
