OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
6.531,6.54,6.52,6.52,213.9,1396.7804,16,155.9,1018.4775,202306
6.519,6.523,6.505,6.508,534.7,3482.7463,29,117.6,766.2748,202306
6.52,6.55,6.52,6.55,826.4,5403.0626,55,651.2,4257.3587,202306
6.55,6.566,6.55,6.554,3796.1,24904.1329,76,345.9,2269.0853,202306
6.554,6.557,6.546,6.546,426.2,2793.5214,20,343.4,2251.3095,202306
6.545,6.549,6.54,6.549,385.2,2521.007,21,132.3,866.2305,202306
6.539,6.539,6.524,6.526,195.5,1277.443,12,38.2,249.5224,202306
6.513,6.513,6.489,6.512,2263.8,14705.1542,86,1440.7,9357.1485,202306
6.515,6.515,6.502,6.505,242.9,1581.3926,13,150.0,976.7521,202306
6.501,6.501,6.487,6.499,1595.8,10369.9119,20,96.4,626.116,202306
6.494,6.497,6.494,6.494,74.7,485.109,5,40.8,264.9624,202306
6.497,6.497,6.497,6.497,38.3,248.8351,1,38.3,248.8351,202306
6.498,6.5,6.49,6.5,255.5,1659.2985,21,63.9,415.1723,202306
6.503,6.509,6.502,6.509,279.7,1819.6692,16,244.6,1591.4402,202306
6.509,6.509,6.509,6.509,0.0,0.0,0,0.0,0.0,202306
6.511,6.511,6.504,6.508,108.0,702.9489,6,41.2,268.2064,202306
6.508,6.508,6.508,6.508,1.6,10.4128,1,0.0,0.0,202306
6.508,6.513,6.508,6.513,137.4,894.2332,5,88.2,574.0396,202306
6.51,6.51,6.503,6.503,51.3,333.8783,3,38.3,249.333,202306
6.503,6.508,6.503,6.508,194.1,1262.9334,10,86.1,560.2614,202306
6.504,6.504,6.5,6.5,314.8,2046.9462,13,88.3,574.0383,202306
6.5,6.507,6.5,6.505,758.5,4933.6765,27,635.4,4133.1414,202306
6.502,6.505,6.499,6.505,108.9,707.9464,6,60.0,390.0096,202306
6.508,6.509,6.508,6.509,69.8,454.2866,4,31.4,204.3794,202306
6.51,6.511,6.507,6.507,115.9,754.3191,8,2.8,18.2308,202306
6.496,6.497,6.496,6.497,57.1,370.96,2,0.0,0.0,202306
6.495,6.495,6.492,6.492,417.3,2709.9055,11,2.8,18.1776,202306
6.488,6.488,6.476,6.483,7199.2,46655.5177,119,2301.9,14913.7643,202306
6.483,6.486,6.476,6.486,546.8,3542.3535,30,118.9,770.4215,202306
6.485,6.489,6.485,6.488,168.5,1092.8718,11,148.5,963.1118,202306
6.484,6.487,6.484,6.487,87.4,566.8483,4,87.4,566.8483,202306
6.486,6.49,6.48,6.48,766.9,4973.4253,29,157.3,1020.3072,202306
6.476,6.48,6.464,6.464,1698.8,11006.3368,23,1596.6,10344.6975,202306
6.464,6.467,6.434,6.434,4178.6,26978.7508,90,1676.0,10834.6018,202306
6.436,6.448,6.408,6.422,16315.5,104871.419,289,10227.2,65713.4435,202306
6.428,6.428,6.406,6.422,951.9,6108.9303,41,284.8,1827.2548,202306
6.422,6.426,6.388,6.399,4647.2,29748.9578,126,2095.2,13416.0724,202306
6.4,6.41,6.396,6.407,1283.2,8218.781,42,935.1,5990.4299,202306
6.409,6.424,6.408,6.424,116.9,750.0471,10,72.9,468.0872,202306
6.427,6.44,6.426,6.44,253.3,1630.1924,10,171.7,1105.5968,202306
6.442,6.444,6.441,6.444,515.9,3323.6372,14,188.8,1216.3996,202306
6.444,6.447,6.439,6.443,571.7,3684.5979,23,188.8,1216.8884,202306
6.448,6.455,6.448,6.455,292.5,1887.1966,20,292.5,1887.1966,202306
6.458,6.458,6.449,6.449,228.8,1476.6353,12,56.0,361.648,202306
6.449,6.449,6.442,6.442,52.1,335.7428,6,25.8,166.2552,202306
6.439,6.44,6.438,6.438,79.8,513.8574,5,4.1,26.3999,202306
6.449,6.452,6.449,6.452,66.5,428.9802,5,38.7,249.6924,202306
6.451,6.453,6.447,6.447,100.8,650.1581,8,60.0,387.0804,202306
6.451,6.458,6.448,6.458,549.6,3547.2441,29,103.7,669.3474,202306
6.458,6.462,6.456,6.462,194.5,1256.3014,15,106.8,689.979,202306
6.461,6.463,6.456,6.463,193.1,1247.5408,19,82.3,531.7364,202306
6.462,6.464,6.456,6.464,146.3,945.3753,13,83.5,539.5627,202306
6.465,6.465,6.461,6.463,164.1,1060.568,17,159.0,1027.6037,202306
6.463,6.468,6.46,6.468,234.2,1513.8581,21,198.4,1282.5901,202306
6.468,6.486,6.468,6.486,2463.2,15953.2436,98,1086.1,7035.1873,202306
6.484,6.486,6.478,6.478,120.4,780.5273,8,87.6,567.8561,202306
6.475,6.48,6.472,6.479,215.4,1395.1195,14,93.7,606.7871,202306
6.478,6.482,6.478,6.482,219.1,1419.7926,19,136.6,885.2151,202306
6.482,6.484,6.48,6.484,161.6,1047.5103,15,160.0,1037.1407,202306
6.484,6.487,6.478,6.482,146.0,946.5316,13,76.8,497.9306,202306
6.485,6.491,6.483,6.487,1064.3,6901.1403,59,1009.4,6545.045,202306
6.486,6.498,6.486,6.498,2395.3,15542.8884,67,827.7,5373.2822,202306
6.499,6.502,6.499,6.502,127.4,828.1742,10,127.4,828.1742,202306
6.501,6.501,6.496,6.5,3222.2,20938.3442,36,212.8,1382.9624,202306
6.499,6.5,6.497,6.498,248.1,1612.3147,18,234.7,1525.2549,202306
6.497,6.498,6.497,6.498,114.7,745.2413,9,114.7,745.2413,202306
6.496,6.501,6.495,6.5,89.4,580.9912,7,62.8,408.1707,202306
6.498,6.5,6.498,6.499,50.2,326.2758,4,0.0,0.0,202306
6.503,6.503,6.5,6.501,274.7,1786.1062,17,201.4,1309.6374,202306
6.5,6.5,6.5,6.5,38.4,249.6,2,0.0,0.0,202306
6.497,6.497,6.497,6.497,38.4,249.4848,2,0.0,0.0,202306
6.493,6.493,6.49,6.49,132.7,861.4181,13,7.1,46.0861,202306
6.492,6.5,6.492,6.497,284.2,1846.704,16,245.8,1597.2192,202306
6.492,6.492,6.489,6.489,41.4,268.6896,3,0.0,0.0,202306
6.491,6.491,6.49,6.49,46.0,298.568,3,0.0,0.0,202306
6.489,6.489,6.483,6.484,143.6,931.4174,7,0.0,0.0,202306
