OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
76.09,76.2,76.09,76.18,151.316,11521.34159,97,69.004,5255.08964,202304
76.17,76.46,76.17,76.43,207.55,15840.34316,120,169.737,12953.86157,202304
76.45,76.52,76.4,76.42,247.139,18896.57333,106,126.121,9646.98902,202304
76.46,76.46,76.26,76.31,222.21,16960.12867,88,136.065,10384.53458,202304
76.34,76.34,76.13,76.13,120.912,9214.72165,66,9.118,695.7761,202304
76.13,76.16,76.02,76.16,564.178,42939.8004,196,398.546,30336.08823,202304
76.15,76.15,76.09,76.09,100.181,7624.95219,39,46.53,3541.34118,202304
76.09,76.14,76.05,76.11,216.469,16471.05546,85,105.454,8023.98441,202304
76.1,76.14,75.91,76.01,828.014,62946.67422,228,493.208,37504.73747,202304
76.02,76.02,75.66,75.73,846.256,64148.76348,258,366.232,27753.83581,202304
75.73,75.75,75.5,75.53,713.14,53915.62581,208,289.538,21892.91771,202304
75.53,75.65,75.53,75.56,277.658,20992.5119,78,219.175,16571.11802,202304
75.59,75.69,75.59,75.68,274.569,20768.88117,74,246.504,18645.72734,202304
75.69,75.69,75.47,75.49,422.633,31918.83615,136,245.536,18541.07513,202304
75.49,75.73,75.49,75.69,142.561,10775.49458,96,128.62,9720.58634,202304
75.71,75.71,75.53,75.59,269.711,20387.64005,104,29.628,2240.11813,202304
75.57,75.65,75.54,75.64,59.742,4516.92353,37,35.202,2660.92742,202304
75.6,75.61,75.52,75.57,345.118,26080.29164,101,177.704,13428.63808,202304
75.6,75.8,75.6,75.79,112.839,8537.45486,69,59.156,4476.72228,202304
75.8,75.8,75.56,75.56,188.498,14256.56324,91,29.22,2209.47582,202304
75.56,75.64,75.55,75.64,7.538,569.78984,13,4.837,365.71029,202304
75.65,75.8,75.64,75.8,34.15,2585.5595,38,23.811,1803.07072,202304
75.81,75.94,75.81,75.87,94.814,7196.32402,74,51.103,3878.37069,202304
75.86,75.98,75.83,75.94,125.727,9543.89167,76,96.717,7341.56044,202304
75.94,76.24,75.93,76.14,350.582,26692.77189,243,261.118,19880.30817,202304
76.13,76.15,76.0,76.08,245.346,18654.36322,98,141.474,10753.94251,202304
76.1,76.25,76.09,76.21,661.361,50392.91206,184,474.56,36160.66005,202304
76.2,76.23,76.05,76.06,310.928,23675.78603,147,38.759,2951.21234,202304
76.07,76.23,76.07,76.21,88.089,6709.041,48,76.301,5811.45731,202304
76.19,76.19,76.08,76.1,88.005,6696.99387,34,7.458,567.60346,202304
76.09,76.12,76.08,76.08,101.91,7753.83045,34,18.245,1388.56497,202304
76.08,76.1,75.9,75.9,60.223,4578.86666,63,20.916,1590.61715,202304
75.9,76.0,75.83,75.84,500.376,37989.38713,152,331.607,25179.82631,202304
75.84,75.94,75.82,75.93,30.694,2329.04016,43,18.589,1410.33521,202304
75.91,75.96,75.87,75.96,88.115,6689.68669,50,26.135,1984.58182,202304
75.96,75.99,75.94,75.94,44.831,3405.63538,18,15.754,1196.98674,202304
76.01,76.03,75.96,75.96,19.46,1479.0295,19,2.211,168.07564,202304
75.94,76.03,75.94,75.99,52.406,3982.46381,20,8.395,638.11355,202304
75.96,76.01,75.96,76.01,29.926,2273.62087,16,24.613,1870.04539,202304
76.01,76.02,75.91,75.99,39.331,2987.80061,28,11.198,850.87643,202304
76.0,76.09,76.0,76.05,71.698,5454.159,55,52.245,3974.44727,202304
76.05,76.08,76.03,76.04,25.368,1929.08433,18,3.035,230.81376,202304
76.04,76.14,76.04,76.13,53.038,4035.66236,36,19.059,1450.47358,202304
76.14,76.16,75.94,75.94,78.272,5955.19065,64,10.174,774.70062,202304
75.94,76.0,75.92,76.0,100.986,7669.5302,51,96.349,7317.44279,202304
76.0,76.06,76.0,76.04,10.437,793.4609,16,10.437,793.4609,202304
76.03,76.15,76.0,76.13,83.503,6354.42569,57,31.668,2409.93963,202304
76.13,76.15,76.07,76.09,207.908,15822.69319,95,12.777,972.65834,202304
76.09,76.12,75.99,76.08,191.793,14590.29862,107,73.042,5556.91714,202304
76.12,76.24,76.12,76.19,112.122,8542.94169,71,52.725,4017.22509,202304
76.2,76.2,76.0,76.04,125.587,9552.22793,82,23.852,1813.91807,202304
76.06,76.08,75.92,75.92,78.63,5974.93217,60,54.91,4173.22458,202304
75.91,75.93,75.89,75.89,13.32,1010.99613,18,4.769,362.01042,202304
75.89,75.93,75.85,75.9,44.937,3410.20237,41,37.264,2828.01975,202304
