OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.7945,0.79567,0.785,0.78725,1784284.0,1409025.977641,2167,787205.1,621679.279779,202102
0.78735,0.78813,0.76947,0.77304,2422157.9,1880952.101072,3005,893557.3,694231.407357,202102
0.77206,0.78653,0.76934,0.78184,1939995.9,1509815.671427,1994,863900.5,672756.19159,202102
0.78168,0.78676,0.77194,0.78124,1341017.4,1045904.844305,1423,598305.4,467023.561323,202102
0.78283,0.79532,0.7823,0.78813,1102340.6,869632.746059,1322,659891.7,520629.267334,202102
0.78814,0.78814,0.77,0.77593,1399289.6,1086540.368043,1724,627942.7,487616.402278,202102
0.77598,0.81004,0.77136,0.80723,1861806.3,1474347.670389,3026,1241542.5,984664.779561,202102
0.80733,0.83025,0.80648,0.82859,3386834.9,2769653.376061,4826,1792082.7,1464976.459109,202102
0.82865,0.84106,0.81242,0.82416,3031383.5,2508306.683171,4909,1375086.5,1139761.351682,202102
0.82414,0.8329,0.80635,0.8113,1813731.8,1480871.15895,2752,964603.2,787990.877542,202102
0.8113,0.82517,0.80143,0.81533,1112497.7,902913.100705,2015,554064.1,449889.40574,202102
0.81546,0.81932,0.78377,0.79771,2789514.6,2235121.84936,4155,1044657.3,838458.376301,202102
0.79795,0.7997,0.78159,0.79051,1255891.0,991537.107918,2038,547470.3,432916.325347,202102
0.79077,0.80072,0.79041,0.80072,577027.6,458363.229639,923,281486.8,223783.014422,202102
0.80072,0.82333,0.80046,0.82099,1262611.3,1026589.882892,1922,656758.4,533607.975729,202102
0.82099,0.82117,0.80243,0.8059,1113487.8,902833.555323,1861,496476.1,402564.896701,202102
0.80579,0.83,0.802,0.822,1260204.6,1033769.607433,2300,754694.4,619542.331906,202102
0.82142,0.82291,0.81592,0.818,765596.5,627194.368366,1206,362734.6,297187.374386,202102
