OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.01022,0.01022,0.01022,0.01022,10193.4,104.176548,3,988.3,10.100426,202001
0.01021,0.01022,0.01021,0.01022,174680.2,1783.495605,3,1076.3,10.999786,202001
0.01021,0.01021,0.01012,0.01015,128133.7,1306.506857,12,3468.0,35.09616,202001
0.01014,0.01018,0.0101,0.01018,462692.5,4681.789427,13,97346.3,990.865492,202001
0.01014,0.01019,0.01013,0.01018,46739.8,475.096174,9,30000.0,305.1,202001
0.0102,0.0102,0.01013,0.01013,9957.7,101.119125,3,2079.0,21.2058,202001
0.01012,0.01016,0.0101,0.0101,560932.4,5666.450208,17,115936.9,1171.636616,202001
0.01011,0.01018,0.0101,0.01018,285029.9,2898.294452,26,264510.7,2690.375532,202001
0.01018,0.0102,0.01017,0.0102,38900.4,395.95648,6,13490.4,137.45208,202001
0.01018,0.01018,0.01018,0.01018,28756.3,292.739134,6,0.0,0.0,202001
0.0102,0.01023,0.01018,0.01018,191026.3,1950.796004,13,191026.3,1950.796004,202001
0.01021,0.01022,0.01013,0.01013,58598.5,595.919247,8,17418.4,177.845134,202001
0.01021,0.01021,0.01013,0.01016,66883.8,679.826072,6,62272.6,633.114616,202001
0.01013,0.01022,0.01013,0.01022,143159.8,1455.228302,8,81158.8,827.158172,202001
0.01019,0.01025,0.01014,0.01025,319044.4,3261.699777,36,287845.9,2944.596987,202001
0.01023,0.01027,0.01023,0.01025,494888.8,5076.86031,25,388300.8,3983.868547,202001
0.01025,0.01025,0.01024,0.01024,9012.2,92.300051,2,0.0,0.0,202001
0.01028,0.01029,0.01028,0.01029,38080.1,391.58877,3,31695.1,325.88712,202001
0.01029,0.01029,0.01029,0.01029,10735.5,110.468295,2,0.0,0.0,202001
0.01029,0.01029,0.01029,0.01029,0.0,0.0,0,0.0,0.0,202001
0.0103,0.01031,0.0103,0.01031,233245.8,2402.958944,9,156135.6,1608.723884,202001
0.0103,0.01031,0.01018,0.01027,468428.9,4803.456974,22,198838.6,2040.912958,202001
0.01027,0.0103,0.01025,0.01025,189262.8,1945.007899,8,104468.0,1075.088251,202001
0.01027,0.01027,0.01023,0.01023,7807.6,79.884052,2,307.6,3.159052,202001
0.01023,0.01023,0.01023,0.01023,0.0,0.0,0,0.0,0.0,202001
0.01023,0.01023,0.0102,0.0102,10542.4,107.75748,2,0.0,0.0,202001
0.01027,0.01027,0.01027,0.01027,45000.0,462.15,4,22341.9,229.451313,202001
0.01027,0.01027,0.01027,0.01027,0.0,0.0,0,0.0,0.0,202001
0.01027,0.01027,0.01027,0.01027,350.5,3.599635,1,350.5,3.599635,202001
0.01027,0.01027,0.01027,0.01027,0.0,0.0,0,0.0,0.0,202001
0.01029,0.01029,0.01029,0.01029,15000.0,154.35,2,13178.0,135.60162,202001
0.0103,0.0103,0.0103,0.0103,332.1,3.42063,1,332.1,3.42063,202001
0.0103,0.01031,0.0103,0.01031,15000.0,154.511291,3,15000.0,154.511291,202001
0.01029,0.01029,0.01029,0.01029,8000.0,82.32,1,0.0,0.0,202001
0.01033,0.01033,0.01033,0.01033,6986.8,72.173644,2,6986.8,72.173644,202001
0.01033,0.01033,0.0103,0.0103,7801.6,80.365528,2,301.6,3.115528,202001
0.01028,0.01028,0.01027,0.01027,8500.0,87.305,4,0.0,0.0,202001
0.01027,0.01027,0.01027,0.01027,0.0,0.0,0,0.0,0.0,202001
0.01027,0.01027,0.01027,0.01027,0.0,0.0,0,0.0,0.0,202001
0.01028,0.01031,0.01028,0.01031,7825.3,80.453843,2,7825.3,80.453843,202001
0.01031,0.01031,0.01031,0.01031,0.0,0.0,0,0.0,0.0,202001
0.01031,0.01031,0.01031,0.01031,0.0,0.0,0,0.0,0.0,202001
0.01028,0.01029,0.01028,0.01029,14561.9,149.709941,3,14561.9,149.709941,202001
0.01028,0.01032,0.01028,0.01032,12125.5,124.661556,3,4625.5,47.561556,202001
0.01032,0.01032,0.01032,0.01032,0.0,0.0,0,0.0,0.0,202001
0.0103,0.0103,0.0103,0.0103,627.3,6.46119,2,627.3,6.46119,202001
0.0103,0.0103,0.0103,0.0103,0.0,0.0,0,0.0,0.0,202001
0.0103,0.0103,0.0103,0.0103,0.0,0.0,0,0.0,0.0,202001
