OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.004,1.005,0.989,0.989,85137.63,84850.28375,422,39541.3,39462.99788,202207
0.989,0.995,0.981,0.992,122532.73,121053.84073,408,59050.57,58466.99643,202207
0.993,0.996,0.988,0.989,78281.17,77581.91779,243,52623.34,52129.99673,202207
0.989,0.992,0.983,0.987,48361.27,47695.58749,189,8206.09,8104.25217,202207
0.987,0.988,0.973,0.979,194760.7,190733.11972,421,34722.35,34027.87099,202207
0.977,1.011,0.977,1.004,201079.68,200546.85768,650,119414.45,119097.98992,202207
1.008,1.013,0.99,0.995,271510.37,271754.78166,766,136216.14,136329.52275,202207
0.995,0.995,0.979,0.982,102230.66,100735.00208,452,57644.71,56820.77786,202207
0.983,0.989,0.981,0.983,91529.0,90120.99246,354,40201.51,39632.57367,202207
0.983,0.996,0.983,0.991,55762.86,55236.98737,313,36987.04,36629.79578,202207
0.991,1.0,0.985,0.996,62951.65,62491.95845,345,38337.9,38063.18706,202207
0.996,0.996,0.988,0.991,58563.84,58088.13769,260,25212.0,25010.20232,202207
0.993,1.017,0.993,1.013,101110.77,101604.14748,379,53473.21,53734.98051,202207
1.015,1.02,1.008,1.011,93351.32,94655.15351,329,43486.47,44110.16608,202207
1.01,1.011,0.999,1.003,61125.51,61367.00952,238,17375.66,17460.79129,202207
1.004,1.012,1.002,1.012,50649.62,51090.94822,211,36997.69,37348.00327,202207
1.012,1.017,1.01,1.013,66999.0,67889.9322,244,43964.99,44560.55255,202207
1.012,1.02,1.012,1.016,56140.63,57046.94866,243,24402.26,24807.36881,202207
1.016,1.019,1.007,1.011,68432.3,69306.68446,268,36037.21,36503.47962,202207
1.011,1.013,1.009,1.013,56754.92,57326.38599,148,40602.43,41000.70412,202207
1.012,1.024,1.012,1.024,81257.03,82706.2559,347,49669.15,50573.13486,202207
1.024,1.026,1.019,1.024,78988.74,80833.3049,276,45365.71,46436.88267,202207
1.025,1.034,1.025,1.029,91719.66,94394.95141,294,58389.01,60069.94156,202207
1.029,1.029,1.022,1.026,32133.58,32933.57316,117,15556.84,15941.41053,202207
1.026,1.031,1.021,1.025,42158.1,43263.98896,221,23105.97,23717.04401,202207
1.024,1.036,1.023,1.036,73474.55,75804.63111,245,55275.93,57038.35775,202207
1.036,1.042,1.033,1.035,130151.42,134937.68537,401,82397.75,85436.02506,202207
1.033,1.038,1.026,1.027,34394.34,35479.1892,171,15096.19,15589.61809,202207
1.026,1.027,1.02,1.025,117683.95,120403.43238,278,65465.58,67006.20374,202207
1.023,1.023,1.016,1.02,53508.1,54534.17895,189,22296.58,22731.16194,202207
1.02,1.021,1.012,1.016,58829.63,59687.38954,197,17437.04,17689.61528,202207
1.016,1.018,1.014,1.018,20502.78,20814.61644,129,14503.9,14724.691,202207
1.018,1.023,1.016,1.022,40600.38,41352.05967,148,21358.6,21761.97292,202207
1.022,1.024,1.016,1.017,45648.33,46520.43756,166,22653.46,23096.48908,202207
1.017,1.021,1.013,1.021,54721.69,55606.17414,189,25509.39,25905.20305,202207
1.021,1.021,1.011,1.013,34682.95,35128.70381,110,8526.15,8650.46268,202207
1.011,1.011,1.006,1.006,63837.29,64353.60201,223,14979.35,15109.18099,202207
1.007,1.007,1.001,1.002,131634.96,132108.80244,274,45193.32,45362.36742,202207
1.002,1.005,1.001,1.003,38730.84,38818.53137,107,17273.37,17316.95058,202207
1.003,1.007,1.002,1.003,35843.02,36012.0012,109,17058.86,17151.01812,202207
1.004,1.005,0.996,0.997,47786.32,47754.51312,172,17194.59,17198.4081,202207
0.997,0.999,0.993,0.994,45509.34,45310.7324,116,13778.43,13731.39177,202207
0.995,0.995,0.977,0.984,538343.57,528942.72281,800,328617.71,322240.331,202207
0.983,0.99,0.982,0.99,60502.81,59670.04378,150,21538.15,21244.08563,202207
0.989,0.989,0.981,0.983,61682.6,60716.18559,162,18340.16,18073.84041,202207
0.983,0.985,0.978,0.984,38826.17,38120.28748,159,18051.36,17732.69307,202207
0.984,0.984,0.964,0.965,177802.35,173087.20414,515,53867.57,52462.03301,202207
0.966,0.971,0.963,0.968,112510.67,108781.01005,390,45766.02,44262.3133,202207
0.967,0.973,0.961,0.965,95146.76,91987.53876,339,44333.72,42891.50452,202207
0.965,0.969,0.961,0.968,68056.13,65680.35423,217,32477.76,31335.09045,202207
0.968,0.971,0.96,0.96,44804.65,43156.86312,216,19952.66,19252.27179,202207
0.96,0.964,0.952,0.96,79287.98,75849.77069,278,41466.84,39721.8211,202207
0.96,0.963,0.955,0.956,60927.68,58366.85174,217,27239.45,26093.43365,202207
0.956,0.957,0.945,0.952,100881.24,95795.85535,271,67751.62,64330.68046,202207
0.952,0.967,0.952,0.963,48563.25,46683.00267,241,28325.6,27211.19103,202207
0.962,0.962,0.951,0.952,43786.55,41946.50222,175,20552.96,19689.9594,202207
0.952,0.956,0.948,0.951,44049.42,41899.32431,154,27141.51,25815.72244,202207
0.953,0.953,0.938,0.939,94662.49,89217.75011,298,40500.58,38178.20156,202207
0.94,0.949,0.938,0.949,92108.55,86744.93022,204,52638.74,49649.29148,202207
0.949,0.95,0.943,0.946,46676.69,44174.07296,164,25797.38,24437.11677,202207
0.945,0.95,0.944,0.949,54576.94,51682.17161,208,28148.73,26658.4317,202207
0.948,0.954,0.948,0.953,23746.34,22573.32327,150,15092.53,14350.44074,202207
0.953,0.954,0.945,0.951,27754.96,26384.4123,151,12900.71,12268.41327,202207
0.951,0.952,0.942,0.944,50203.1,47564.29297,133,7676.44,7267.84878,202207
0.942,0.947,0.936,0.944,185543.43,174486.13866,363,41389.05,38999.91275,202207
0.945,0.95,0.943,0.949,62146.73,58787.58104,137,18880.71,17870.19959,202207
0.949,0.949,0.939,0.941,51456.04,48534.93692,131,11157.88,10540.4651,202207
0.942,0.943,0.941,0.943,3951.02,3722.12236,28,1776.19,1674.761,202207
0.944,0.949,0.938,0.948,118026.32,111604.84938,270,87313.23,82615.68195,202207
0.949,0.951,0.946,0.947,112402.49,106830.52137,270,91410.47,86906.86042,202207
0.947,0.949,0.944,0.945,21661.27,20501.9811,98,6921.53,6551.57681,202207
0.944,0.947,0.943,0.946,15045.53,14216.46879,66,5951.69,5623.22706,202207
0.945,0.948,0.942,0.947,21707.22,20504.61829,90,10221.22,9661.02743,202207
0.946,0.947,0.94,0.941,8138.06,7686.19443,55,2982.06,2815.79689,202207
0.941,0.944,0.941,0.942,11502.43,10837.23659,45,3596.85,3390.8883,202207
0.942,0.942,0.933,0.934,74359.24,69634.23699,175,28296.5,26478.17346,202207
0.934,0.939,0.93,0.937,60801.78,56691.36909,191,17232.62,16088.93394,202207
0.937,0.941,0.937,0.941,22135.37,20784.4408,92,15232.29,14304.731,202207
0.941,0.942,0.938,0.939,23870.3,22433.60363,66,10976.06,10318.01955,202207
0.94,0.948,0.94,0.948,19769.18,18664.28125,103,12055.65,11383.76569,202207
0.946,0.95,0.946,0.948,13668.0,12957.48068,69,10390.62,9850.23677,202207
0.95,0.952,0.942,0.944,27047.78,25621.62045,128,12225.71,11582.83861,202207
0.944,0.947,0.944,0.946,36580.64,34591.95643,63,16387.66,15494.62439,202207
0.944,0.952,0.944,0.952,44513.24,42271.58054,138,32258.09,30628.65736,202207
0.948,0.95,0.941,0.943,16103.77,15204.30846,88,5639.87,5327.9136,202207
