OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
12.22,12.4254,12.1002,12.1597,3288.83,40351.352817,237,1633.32,20042.718192,202103
12.1453,12.3742,12.0797,12.341,5708.52,69756.220829,187,3951.52,48270.872784,202103
12.3729,12.3729,12.2687,12.36,1029.41,12672.255465,74,471.59,5805.922202,202103
12.36,12.6543,12.3099,12.5412,6279.63,78571.341085,272,3775.05,47110.011634,202103
12.5412,12.6286,12.5262,12.6286,1400.47,17584.827265,69,1257.02,15786.267662,202103
12.5915,12.6896,12.5915,12.6893,756.8,9572.390402,54,695.7,8800.006292,202103
12.6609,12.8,12.6467,12.7999,1592.08,20253.797639,163,1262.25,16060.613322,202103
12.8,12.8,12.7409,12.7538,2392.19,30555.539069,152,982.93,12575.904775,202103
12.7929,12.7999,12.7395,12.7688,799.51,10213.51863,85,280.65,3590.052061,202103
12.7519,12.7681,12.7119,12.7345,1593.16,20278.309061,95,981.54,12496.406786,202103
12.7334,12.7706,12.6658,12.7412,2024.58,25737.923107,76,1164.59,14825.190143,202103
12.772,12.7922,12.741,12.7475,1020.71,13031.448275,81,395.23,5052.92425,202103
12.7797,12.8999,12.7084,12.7386,4800.23,61464.940974,145,2818.94,36166.962681,202103
12.7032,12.7297,12.647,12.7023,1343.97,17052.818654,66,275.37,3490.478476,202103
12.695,12.6997,12.6342,12.6342,1342.3,16985.177517,41,329.93,4180.64928,202103
12.6426,12.7123,12.6409,12.6545,2636.32,33396.658721,63,1670.62,21164.79687,202103
12.7077,12.7351,12.6534,12.7347,1295.41,16451.289967,51,928.27,11795.628262,202103
12.7073,12.7214,12.6585,12.6762,1302.48,16527.412854,66,352.41,4466.550724,202103
12.6857,12.8952,12.6826,12.7945,4386.56,56242.775482,237,2637.0,33865.578573,202103
12.7939,12.8465,12.7723,12.7999,62.1,795.505732,20,28.91,370.842252,202103
12.7999,12.8733,12.7696,12.8557,435.09,5578.281039,50,229.51,2951.594983,202103
12.8559,12.9,12.84,12.8845,3368.55,43414.51728,121,2867.13,36973.283848,202103
12.8845,12.9999,12.8845,12.9516,6216.64,80472.656059,230,3562.6,46147.205744,202103
12.9516,12.9799,12.8905,12.9633,782.01,10097.654271,58,93.1,1205.503945,202103
12.9792,12.99,12.9448,12.9621,441.94,5734.566182,40,353.14,4583.916657,202103
12.9899,13.0,12.9833,12.9903,306.1,3977.528667,23,230.67,2997.815373,202103
12.9903,13.0,12.9501,13.0,2160.52,28056.107367,65,1286.83,16719.903533,202103
12.9741,13.0,12.9405,12.9409,1223.0,15867.62073,27,565.26,7345.510287,202103
12.959,13.0492,12.959,13.0492,3090.67,40173.787199,77,3014.77,39189.022464,202103
13.0707,13.0758,12.7898,12.9942,6971.18,90249.131663,262,4314.63,55859.169022,202103
12.9397,13.0501,12.9364,13.0229,583.78,7592.247692,64,163.73,2133.355378,202103
13.0206,13.2298,13.0169,13.1321,8743.66,114869.862204,346,2784.48,36546.110054,202103
13.1322,13.14,13.0592,13.1312,1105.7,14504.816326,81,567.25,7445.988248,202103
13.1411,13.2058,13.141,13.1773,611.83,8056.577745,47,428.68,5641.261088,202103
13.2044,13.25,13.1772,13.1883,3198.95,42301.939351,155,1631.55,21601.844005,202103
13.2176,13.2298,13.1265,13.1516,1361.25,17935.380441,70,929.37,12250.255326,202103
13.1495,13.1859,13.1329,13.1401,606.19,7981.259688,83,327.8,4315.920851,202103
13.1398,13.16,13.1062,13.1125,809.32,10620.352458,96,191.84,2522.224186,202103
13.1131,13.204,13.113,13.1969,564.16,7434.481938,90,372.56,4911.925299,202103
13.1728,13.2083,13.1475,13.1908,1444.56,19053.121197,85,978.31,12912.828486,202103
13.19,13.2275,13.1682,13.2028,495.98,6539.079869,59,142.5,1881.34923,202103
13.1897,13.2454,13.1897,13.2181,1534.86,20304.985525,41,1404.56,18584.402965,202103
13.2181,13.2499,13.1772,13.2309,343.49,4539.501488,28,104.35,1382.12585,202103
13.2113,13.2396,13.1714,13.1714,1524.89,20152.398469,90,235.7,3115.965314,202103
13.1754,13.2055,13.0888,13.1962,2043.05,26878.411832,80,1077.68,14189.339434,202103
13.1788,13.1788,13.061,13.061,2072.03,27139.102243,65,189.83,2489.388734,202103
13.0986,13.1324,13.067,13.0797,221.74,2906.321756,30,202.82,2658.863044,202103
13.0799,13.1219,13.0399,13.071,270.99,3540.122709,33,84.86,1111.24234,202103
13.0709,13.096,13.0448,13.0777,427.33,5584.821283,34,183.33,2396.248992,202103
13.0568,13.089,12.9601,12.9977,905.68,11765.905091,72,100.39,1304.465312,202103
12.9745,12.9796,12.9093,12.9391,454.54,5881.113552,46,320.2,4143.654836,202103
12.9222,12.9293,12.854,12.867,494.34,6368.197052,39,92.71,1196.177907,202103
12.854,12.9299,12.7945,12.9042,4215.85,54334.366847,170,1380.65,17778.146954,202103
12.9042,12.9331,12.9042,12.9045,154.82,1999.472552,27,70.5,911.381083,202103
12.9044,12.9746,12.8562,12.9542,3165.59,40884.244989,66,1385.16,17875.661041,202103
12.9746,12.9746,12.9026,12.9026,749.19,9698.586207,38,39.81,515.654352,202103
12.9026,12.924,12.8816,12.9045,271.62,3500.901683,30,72.44,934.918536,202103
12.8805,12.9518,12.8805,12.9205,361.34,4669.598914,22,315.32,4075.182204,202103
12.9453,12.9953,12.9358,12.9953,1044.17,13545.399335,48,897.07,11640.52319,202103
12.9828,13.0,12.9615,12.9717,622.99,8095.014468,31,562.05,7304.173644,202103
