OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.7967,0.8031,0.7967,0.8031,149610.0,119740.7616,1072,79364.0,63495.0326,202203
0.8031,0.8032,0.7974,0.8023,113515.0,90887.0581,465,18753.0,15016.0529,202203
0.8023,0.8072,0.8023,0.8031,77221.0,62156.7673,769,32751.0,26352.2051,202203
0.8027,0.8027,0.7966,0.7978,41943.0,33528.4947,309,19173.0,15327.8722,202203
0.7976,0.7999,0.7971,0.7983,51333.0,40964.3006,215,12082.0,9643.0901,202203
0.7978,0.8036,0.7975,0.8024,104339.0,83566.9068,238,75962.0,60840.8598,202203
0.8027,0.804,0.801,0.8039,45039.0,36172.2223,176,24035.0,19312.7471,202203
0.8038,0.8048,0.8025,0.8035,88387.0,71039.3664,182,42572.0,34225.0933,202203
0.8031,0.8048,0.803,0.8043,15439.0,12410.0651,93,5062.0,4069.6578,202203
0.8041,0.8067,0.7991,0.7996,61732.0,49610.8047,208,30479.0,24506.1292,202203
0.7999,0.8029,0.7999,0.8029,18332.0,14687.9417,120,13793.0,11051.0231,202203
0.8031,0.804,0.8014,0.8032,15897.0,12765.5751,79,1403.0,1127.1786,202203
0.8035,0.8039,0.8008,0.8021,9785.0,7851.093,79,5044.0,4046.7631,202203
0.8016,0.8031,0.7997,0.7997,25970.0,20808.0934,117,4181.0,3353.4035,202203
0.7997,0.7998,0.7956,0.7959,28785.0,22988.3333,176,16590.0,13250.6283,202203
0.7956,0.7971,0.7941,0.797,60885.0,48439.5121,311,26748.0,21291.7583,202203
0.797,0.798,0.796,0.7969,50444.0,40195.852,312,18354.0,14628.4766,202203
0.7967,0.7967,0.7943,0.7955,43781.0,34817.8136,228,4904.0,3900.8685,202203
0.7957,0.7979,0.7951,0.7965,27857.0,22192.5609,167,10186.0,8114.0275,202203
0.7967,0.7968,0.7941,0.7952,36890.0,29345.1241,247,13271.0,10555.5758,202203
0.7956,0.7974,0.7937,0.797,29773.0,23704.893,160,7176.0,5710.663,202203
0.7964,0.7969,0.795,0.7959,33497.0,26663.1189,95,21281.0,16940.9538,202203
0.7962,0.7972,0.7944,0.796,15297.0,12180.1923,110,6921.0,5511.6336,202203
0.7959,0.796,0.7935,0.7942,19793.0,15722.6048,132,7173.0,5696.3178,202203
0.7942,0.7956,0.7939,0.7952,16364.0,13010.43,135,11879.0,9444.8821,202203
0.7955,0.7955,0.789,0.7891,52501.0,41503.3546,284,9034.0,7144.5923,202203
0.789,0.7903,0.7871,0.788,53529.0,42217.989,455,16843.0,13291.6523,202203
0.7878,0.7909,0.7858,0.7908,91587.0,72135.8599,330,22328.0,17591.9589,202203
0.7908,0.7929,0.7908,0.7922,49406.0,39133.812,159,10729.0,8494.7037,202203
0.7922,0.7927,0.789,0.79,10203.0,8063.8264,96,5177.0,4089.7437,202203
0.79,0.7913,0.7888,0.7913,65363.0,51611.0669,232,27045.0,21358.3888,202203
0.7911,0.7918,0.7899,0.7899,27589.0,21814.9964,162,9004.0,7119.9412,202203
0.7898,0.7912,0.7887,0.791,17007.0,13441.5872,80,9269.0,7324.5016,202203
0.7912,0.7919,0.7908,0.7912,17164.0,13584.1007,114,9877.0,7817.8322,202203
0.7912,0.7914,0.7896,0.7909,22730.0,17967.2916,111,14730.0,11643.7556,202203
0.7903,0.7929,0.7903,0.7927,15051.0,11921.8746,100,7303.0,5784.818,202203
0.7927,0.7927,0.7899,0.7903,12593.0,9961.1888,96,4021.0,3180.745,202203
0.7898,0.7908,0.7883,0.7883,15407.0,12167.9247,71,3037.0,2398.8226,202203
0.788,0.7894,0.7868,0.7872,10452.0,8231.1596,59,2187.0,1723.9971,202203
0.7876,0.7885,0.7863,0.7884,23260.0,18318.319,109,12493.0,9842.716,202203
0.7885,0.7901,0.7883,0.7894,51545.0,40680.0881,115,47796.0,37722.5546,202203
0.7895,0.7897,0.7875,0.7887,7413.0,5844.1464,50,3679.0,2899.5692,202203
0.7898,0.791,0.7894,0.7906,7579.0,5989.7293,37,6959.0,5499.7579,202203
