OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.456,1.466,1.455,1.466,11425.2,16648.5097,130,8594.9,12525.5989,202211
1.465,1.465,1.46,1.464,10427.3,15249.9661,90,5375.8,7861.7082,202211
1.463,1.468,1.463,1.466,10685.2,15661.1287,85,2913.8,4273.0264,202211
1.466,1.467,1.462,1.464,5693.7,8341.807,45,2609.9,3825.7261,202211
1.463,1.464,1.46,1.46,7152.4,10456.6004,54,1909.9,2795.5327,202211
1.459,1.459,1.456,1.457,2183.8,3182.8085,46,577.1,840.8427,202211
1.457,1.459,1.457,1.459,7328.6,10683.1232,53,3471.9,5059.806,202211
1.459,1.469,1.458,1.467,19510.6,28559.0526,146,11548.1,16898.6534,202211
1.467,1.472,1.466,1.471,11162.4,16408.4994,107,6284.3,9240.7578,202211
1.472,1.473,1.47,1.471,9336.5,13742.2152,114,5287.7,7784.3921,202211
1.471,1.471,1.465,1.466,7497.3,10997.5535,64,1650.7,2424.0401,202211
1.467,1.467,1.465,1.465,735.7,1078.5779,13,708.7,1039.0229,202211
1.464,1.467,1.464,1.467,5148.2,7544.282,47,4396.9,6443.6242,202211
1.466,1.469,1.466,1.469,7002.3,10280.5869,61,5386.5,7908.7027,202211
1.468,1.471,1.468,1.471,2848.3,4187.105,55,2780.1,4086.9158,202211
1.47,1.47,1.468,1.47,3972.5,5836.9798,22,2861.9,4205.4,202211
1.47,1.472,1.469,1.47,8514.2,12515.8826,70,2534.9,3728.0653,202211
1.47,1.473,1.469,1.473,4809.7,7079.2328,45,4737.8,6973.4986,202211
1.472,1.473,1.47,1.472,4154.3,6112.6668,46,820.3,1207.6106,202211
1.472,1.473,1.469,1.469,7895.9,11620.4334,44,520.0,765.8902,202211
1.47,1.47,1.467,1.468,692.8,1017.7442,13,164.9,242.3605,202211
1.468,1.468,1.464,1.466,15649.6,22943.1484,81,5656.5,8297.0929,202211
1.467,1.467,1.465,1.467,1734.6,2542.0269,15,441.9,647.6349,202211
1.466,1.467,1.466,1.467,437.3,641.4921,7,410.3,601.9101,202211
1.467,1.467,1.467,1.467,675.9,991.5453,15,675.9,991.5453,202211
1.466,1.469,1.466,1.469,2704.3,3970.4554,23,2391.2,3510.7915,202211
1.468,1.469,1.467,1.467,5135.8,7535.2837,38,667.4,979.8632,202211
1.468,1.468,1.465,1.465,4143.3,6074.7826,30,2613.1,3831.1488,202211
1.465,1.466,1.464,1.464,2623.4,3844.0118,23,1263.4,1851.63,202211
1.466,1.467,1.465,1.465,1109.9,1626.3241,9,210.3,308.4101,202211
1.466,1.468,1.466,1.467,5844.3,8576.0687,41,1744.3,2560.2875,202211
1.469,1.471,1.469,1.47,578.4,849.8535,8,578.4,849.8535,202211
1.469,1.47,1.469,1.47,652.4,958.9759,9,600.3,882.441,202211
1.47,1.472,1.469,1.472,4789.3,7043.6061,40,3657.6,5378.4425,202211
1.472,1.472,1.467,1.468,7010.7,10304.1043,43,2538.4,3728.828,202211
1.467,1.469,1.467,1.469,5943.1,8725.8855,31,4599.3,6754.2065,202211
1.468,1.473,1.468,1.472,11972.7,17605.14,56,10583.2,15560.1898,202211
1.471,1.471,1.47,1.47,6108.2,8983.6683,33,2363.8,3475.7736,202211
1.469,1.469,1.467,1.468,10675.3,15676.5476,62,5634.8,8274.5983,202211
1.468,1.469,1.466,1.466,5494.0,8060.4217,34,93.6,137.367,202211
1.466,1.467,1.465,1.467,2701.6,3961.1716,16,1335.2,1958.0831,202211
1.466,1.466,1.465,1.465,2747.8,4027.4219,27,152.3,223.2718,202211
