OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.0243,1.0322,1.0241,1.0306,7890.0,8116.8234,57,5261.0,5420.8116,202107
1.0275,1.04,1.0274,1.0274,27476.0,28336.916,126,9438.0,9766.7426,202107
1.0269,1.0279,1.0224,1.023,5701.0,5843.1968,25,2216.0,2270.0571,202107
1.0237,1.029,1.0211,1.0232,5060.0,5190.6763,24,512.0,524.0212,202107
1.0212,1.0274,1.0212,1.0273,3032.0,3102.8345,15,1527.0,1560.6773,202107
1.0273,1.0273,1.0135,1.0135,12589.0,12851.4038,53,1229.0,1257.2298,202107
1.0136,1.0225,1.0078,1.0216,5719.0,5801.2556,26,2511.0,2557.0774,202107
1.0233,1.0234,1.0209,1.0209,2058.0,2103.1133,11,1886.0,1927.3236,202107
1.0228,1.0235,1.0221,1.0221,1267.0,1296.4403,7,1230.0,1258.6226,202107
1.021,1.0235,1.021,1.0234,888.0,908.572,9,251.0,256.7886,202107
1.0213,1.0213,1.0213,1.0213,37.0,37.7881,1,0.0,0.0,202107
1.0212,1.0213,1.021,1.021,1005.0,1026.1508,9,102.0,104.1689,202107
1.0186,1.0186,1.0089,1.0089,1616.0,1637.808,16,126.0,128.2482,202107
1.0171,1.0199,1.0161,1.0174,602.0,613.4883,10,520.0,530.032,202107
1.0161,1.0163,1.0134,1.0163,3274.0,3322.9267,14,3191.0,3238.7046,202107
1.014,1.028,1.0129,1.0168,11875.0,12094.3041,58,7226.0,7364.6997,202107
1.0268,1.0268,1.0148,1.0164,5918.0,6009.1839,27,5173.0,5251.5995,202107
1.0199,1.0199,1.0138,1.0184,5277.0,5368.8047,19,2145.0,2180.8827,202107
1.0184,1.0223,1.0162,1.0183,962.0,980.2353,14,562.0,572.6981,202107
1.0183,1.0183,1.0122,1.0139,3779.0,3841.6397,19,1177.0,1193.7408,202107
1.011,1.0121,1.011,1.0121,204.0,206.2583,2,191.0,193.101,202107
1.011,1.0182,1.0078,1.012,10359.0,10512.7537,35,4748.0,4812.3541,202107
1.0181,1.0181,1.012,1.0121,265.0,268.9689,8,96.0,97.5651,202107
1.0131,1.0152,1.0131,1.0152,142.0,143.9447,3,105.0,106.3823,202107
1.0122,1.0145,1.0121,1.0121,2566.0,2597.3524,14,37.0,37.5365,202107
