OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.136,1.142,1.136,1.142,4024.73,4584.0322,58,3492.05,3977.46158,202212
1.142,1.143,1.139,1.142,4478.05,5109.46685,60,1582.93,1806.62729,202212
1.141,1.141,1.14,1.14,981.87,1120.30341,8,0.0,0.0,202212
1.14,1.14,1.136,1.138,13080.68,14893.313,92,3742.89,4261.39667,202212
1.138,1.141,1.138,1.138,7006.92,7985.49737,53,2682.9,3057.5792,202212
1.138,1.141,1.138,1.139,1931.74,2200.31517,27,580.32,661.42441,202212
1.14,1.141,1.139,1.14,8647.44,9855.23268,39,4064.51,4635.25812,202212
1.14,1.14,1.135,1.135,6457.58,7344.37257,43,1336.01,1518.52883,202212
1.135,1.135,1.131,1.132,9553.67,10819.64006,66,2944.73,3335.64957,202212
1.131,1.132,1.131,1.132,1051.32,1189.86671,17,741.71,839.61572,202212
1.132,1.137,1.13,1.137,44037.97,49937.73188,155,30445.64,34537.31711,202212
1.136,1.15,1.136,1.145,33087.26,37866.49428,238,24280.57,27784.88808,202212
1.144,1.144,1.137,1.138,12634.11,14388.36353,87,5384.34,6129.85387,202212
1.137,1.138,1.132,1.133,7293.13,8271.49473,73,2551.86,2896.90599,202212
1.132,1.132,1.13,1.13,11460.88,12958.88833,59,717.21,811.3175,202212
1.131,1.132,1.13,1.13,1659.27,1876.35403,21,707.19,800.42725,202212
1.13,1.133,1.13,1.13,16750.64,18951.36354,119,9293.58,10523.40026,202212
1.13,1.132,1.125,1.126,76273.13,85998.9101,271,35157.08,39645.20639,202212
1.126,1.129,1.126,1.129,7703.67,8693.14085,37,7044.95,7950.10469,202212
1.129,1.129,1.128,1.128,1236.8,1395.46147,10,285.22,322.01338,202212
1.128,1.131,1.127,1.13,14473.98,16333.85446,54,8143.67,9193.46404,202212
1.13,1.13,1.129,1.13,1662.06,1877.03776,18,717.93,811.09094,202212
1.13,1.13,1.129,1.129,919.95,1038.68547,12,535.56,604.64724,202212
1.128,1.134,1.128,1.133,17551.97,19843.26569,55,16285.56,18410.26013,202212
1.133,1.133,1.132,1.133,940.65,1064.87772,5,61.92,70.15536,202212
1.134,1.135,1.133,1.135,4988.68,5654.44392,31,1311.12,1487.62363,202212
1.135,1.135,1.133,1.134,801.28,908.56,16,16.29,18.47286,202212
1.134,1.134,1.132,1.134,1295.8,1469.1715,16,973.15,1103.49032,202212
1.133,1.135,1.13,1.135,16681.23,18888.29117,92,6509.02,7372.34713,202212
