OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
9.8727,9.9479,9.8686,9.9225,50494.78,500465.657553,827,29993.86,297264.776632,202010
9.9309,9.9637,9.9185,9.9327,21849.46,217244.503999,380,13077.01,130066.478624,202010
9.9327,9.9476,9.9001,9.9398,59359.35,589306.546912,569,29619.37,294071.121478,202010
9.9462,9.9788,9.9462,9.9675,54925.33,547418.439981,648,34019.97,339091.13358,202010
9.97,10.0,9.9565,9.9963,58148.79,580394.095387,583,35705.72,356531.533487,202010
9.9963,10.0,9.9371,9.9431,29587.38,294874.805139,353,12739.15,127033.062803,202010
9.9527,9.9754,9.9419,9.9478,12823.29,127632.96698,202,4937.36,49167.202403,202010
9.9459,9.9601,9.927,9.9449,14024.83,139396.039891,204,5142.7,51134.0887,202010
9.946,9.9554,9.9214,9.9224,13388.75,133032.222037,182,4560.97,45329.384296,202010
9.9225,9.9381,9.9137,9.9169,16266.97,161433.715718,239,8208.95,81481.762695,202010
9.9172,9.939,9.911,9.9232,8749.97,86844.204016,162,5828.04,57845.65801,202010
9.929,9.9313,9.8988,9.9159,16431.68,162935.53114,277,6858.17,68039.036051,202010
9.924,9.9347,9.904,9.9142,14955.64,148365.288494,210,7596.31,75372.587346,202010
9.9138,9.9809,9.9138,9.9566,25351.42,252284.483006,416,14522.33,144487.149688,202010
9.9619,9.9742,9.9483,9.9622,13728.47,136737.9092,264,5958.84,59356.368193,202010
9.9655,9.986,9.9651,9.982,13456.77,134252.110242,223,7431.42,74139.621088,202010
9.9849,10.0461,9.9819,10.0434,75520.64,756093.952825,827,43797.14,438395.247291,202010
10.0386,10.05,10.01,10.0323,58356.6,585626.821523,618,25047.79,251474.727152,202010
10.0343,10.0593,10.0331,10.0333,18643.04,187320.580995,341,9483.85,95311.255624,202010
10.0328,10.0561,10.0129,10.0256,17990.47,180463.041693,319,8686.91,87111.569825,202010
10.0261,10.0512,10.0247,10.0433,23315.23,234081.99517,304,15500.43,155601.492425,202010
10.0451,10.105,10.0451,10.105,55494.05,559449.583575,839,42253.37,425970.557437,202010
10.1004,10.13,10.0563,10.07,47178.8,476640.041257,761,22978.9,232297.187627,202010
10.0717,10.0779,10.0336,10.0777,29715.12,298924.991368,360,12427.4,125063.169127,202010
10.085,10.175,10.085,10.1357,68159.67,690161.323826,1107,47811.33,484095.019573,202010
10.1365,10.1666,10.0892,10.0892,25115.29,254186.426473,462,9740.78,98616.501794,202010
10.0925,10.1024,10.0699,10.0747,20227.68,204005.77901,385,10559.47,106503.215081,202010
10.0728,10.084,10.0546,10.0769,26292.08,264745.192791,379,16234.5,163499.599812,202010
10.0725,10.0828,10.0543,10.068,7162.43,72090.221371,135,4272.26,43002.179666,202010
10.068,10.0731,10.0402,10.0432,18381.63,184774.440277,244,4795.76,48207.528056,202010
10.0476,10.0662,10.0476,10.0549,15329.13,154161.059513,237,6452.53,64892.607273,202010
10.0568,10.0629,10.0517,10.0559,4990.08,50189.873947,89,1628.27,16376.46168,202010
10.0509,10.067,10.048,10.0581,15222.19,153093.796996,199,8999.12,90519.863514,202010
10.0629,10.0638,9.9588,10.0069,80750.58,807087.123841,962,16050.38,160461.128937,202010
10.0054,10.0152,9.9953,10.0056,15711.13,157180.031892,226,6177.77,61813.508325,202010
10.0053,10.025,9.9955,10.0245,13986.45,139993.926931,202,9739.67,97513.18861,202010
10.0242,10.0342,9.9777,9.9984,17235.96,172567.619329,236,6479.84,64911.270555,202010
10.0013,10.0094,9.9451,9.9581,29114.74,290215.652262,521,9441.37,94121.853812,202010
9.964,9.9781,9.9589,9.968,4879.94,48654.144328,101,2503.53,24965.934541,202010
9.9635,9.9787,9.9575,9.9611,13840.29,137941.951217,200,6469.77,64499.260283,202010
9.9641,9.9806,9.9629,9.9704,5134.77,51224.936381,90,2844.4,28371.459841,202010
9.9745,9.9787,9.9617,9.9703,6552.47,65340.924165,91,3291.39,32826.865832,202010
9.9703,9.9843,9.95,9.9555,11619.95,115881.365302,151,5719.13,57060.68612,202010
9.9571,9.9607,9.9463,9.9539,6628.92,65972.325363,87,3331.21,33162.728936,202010
9.9526,9.9722,9.9493,9.9701,5793.98,57712.342947,113,1692.06,16859.479895,202010
9.9705,9.9711,9.9605,9.9625,4995.18,49772.195932,87,1930.24,19239.663983,202010
9.9625,9.9785,9.958,9.958,13493.46,134483.992349,202,5868.24,58498.803717,202010
9.96,9.9945,9.96,9.9917,23888.73,238324.769712,237,18582.93,185380.676025,202010
9.9947,10.0262,9.9947,10.0235,46437.57,464908.757815,507,35019.02,350652.348864,202010
10.0193,10.075,10.0115,10.0535,70472.16,707637.449408,821,54785.05,550099.319284,202010
10.0563,10.0712,10.039,10.0448,19084.18,191847.6393,259,11206.95,112683.972001,202010
