OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.10264,0.10316,0.1022,0.1022,108259.9,11132.938356,35,107360.0,11040.968576,202008
0.1022,0.1022,0.1022,0.1022,0.0,0.0,0,0.0,0.0,202008
0.10224,0.10224,0.10224,0.10224,1824.0,186.48576,2,0.0,0.0,202008
0.10289,0.10315,0.10205,0.10215,12288.6,1263.769096,13,8782.0,905.265032,202008
0.10225,0.10277,0.10225,0.10248,3210.7,328.870299,15,445.7,45.804589,202008
0.10249,0.10302,0.10215,0.10299,15460.7,1586.68557,32,8720.3,896.707368,202008
0.10258,0.103,0.10195,0.10259,12152.9,1241.86866,12,0.0,0.0,202008
0.10288,0.10288,0.10288,0.10288,657.8,67.674464,3,0.0,0.0,202008
0.10286,0.10307,0.10286,0.10307,1794.5,184.85044,7,1794.5,184.85044,202008
0.10307,0.10307,0.10307,0.10307,0.0,0.0,0,0.0,0.0,202008
0.10307,0.10307,0.10307,0.10307,0.0,0.0,0,0.0,0.0,202008
0.10307,0.10307,0.10307,0.10307,0.0,0.0,0,0.0,0.0,202008
0.10307,0.10307,0.10307,0.10307,3655.0,376.72085,3,3655.0,376.72085,202008
0.10284,0.10306,0.10284,0.10284,10953.3,1126.458954,4,9128.9,938.837658,202008
0.10307,0.10339,0.10307,0.10339,2733.9,282.536748,9,2733.9,282.536748,202008
0.10337,0.10338,0.10337,0.10338,635.0,65.644786,2,635.0,65.644786,202008
0.10338,0.10371,0.10288,0.10288,20774.4,2151.98707,26,18043.5,1869.80002,202008
0.10312,0.1037,0.10293,0.10343,9532.5,986.980295,14,6612.4,685.20535,202008
0.10364,0.10364,0.1029,0.1029,12983.2,1341.167656,7,1320.6,136.851254,202008
0.1029,0.1029,0.1029,0.1029,0.0,0.0,0,0.0,0.0,202008
0.10369,0.10379,0.10369,0.10379,51234.9,5316.446946,10,51234.9,5316.446946,202008
0.10379,0.10379,0.10379,0.10379,0.0,0.0,0,0.0,0.0,202008
0.10333,0.10333,0.10319,0.10332,6689.3,691.154077,3,0.0,0.0,202008
0.1032,0.1032,0.1032,0.1032,162.0,16.7184,1,0.0,0.0,202008
0.1032,0.10369,0.1032,0.10369,1322.1,137.040578,4,259.9,26.949031,202008
0.10369,0.10369,0.10369,0.10369,0.0,0.0,0,0.0,0.0,202008
0.1037,0.104,0.1037,0.104,13344.8,1385.944202,18,7383.1,767.293172,202008
0.104,0.104,0.104,0.104,0.0,0.0,0,0.0,0.0,202008
0.10428,0.1043,0.10414,0.1043,13864.1,1445.791886,15,13754.1,1434.336486,202008
0.10444,0.10516,0.10382,0.10394,192728.0,20144.487457,57,69806.7,7334.924233,202008
0.1044,0.10482,0.10343,0.1042,88405.3,9164.065725,21,519.6,54.169037,202008
0.1042,0.10421,0.1042,0.1042,10112.4,1053.713204,3,3754.9,391.261704,202008
0.10415,0.10497,0.10358,0.10379,131484.2,13669.568769,42,46746.9,4885.354265,202008
0.10332,0.10356,0.10298,0.10319,2435.5,251.457827,8,2137.1,220.660187,202008
0.1029,0.1029,0.1029,0.1029,1366.4,140.60256,1,1366.4,140.60256,202008
0.10334,0.10334,0.1027,0.1027,14112.3,1453.507181,8,135.5,13.986235,202008
0.10333,0.10333,0.10282,0.10319,3859.0,398.298403,6,415.6,42.895648,202008
0.10298,0.10298,0.10293,0.10293,2207.7,227.293526,3,2207.7,227.293526,202008
0.10286,0.10298,0.10286,0.10298,12050.8,1239.584894,8,12050.8,1239.584894,202008
0.10299,0.10362,0.10299,0.10355,9908.1,1022.391313,10,7337.2,756.483126,202008
0.10355,0.10355,0.10355,0.10355,0.0,0.0,0,0.0,0.0,202008
0.10302,0.1037,0.10302,0.1032,2711.3,279.804214,4,2614.1,269.79067,202008
0.1032,0.10324,0.1032,0.10324,52862.2,5456.84086,11,52862.2,5456.84086,202008
0.10324,0.10324,0.10324,0.10324,325.5,33.60462,1,325.5,33.60462,202008
0.10324,0.10429,0.10324,0.10422,21617.5,2233.317024,10,21617.5,2233.317024,202008
0.10421,0.10421,0.10421,0.10421,57.1,5.950391,2,57.1,5.950391,202008
0.10383,0.10383,0.10357,0.10357,26029.3,2701.100539,7,31.0,3.21067,202008
