OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
144.35,144.46,143.0,143.6,6313.40126,906424.5427404,1932,3165.81809,454438.854161,202108
143.61,144.2,143.55,144.02,2079.06341,299229.6676123,840,947.40795,136379.7142386,202108
144.02,144.26,143.81,144.11,2145.12144,308980.1515162,606,809.89034,116661.5591999,202108
144.11,144.49,143.9,144.45,1709.11724,246497.1760605,533,1004.59397,144912.7081571,202108
144.47,144.99,144.46,144.93,1162.84449,168366.014901,512,617.68962,89451.4619961,202108
144.93,145.45,144.93,145.45,2612.85006,379303.708361,560,2183.73582,317002.9633945,202108
145.45,145.58,144.95,145.03,2941.32495,427492.9080923,686,1710.08411,248546.11642,202108
145.01,145.48,144.98,145.41,1257.0289,182464.613313,366,734.84546,106645.5065218,202108
145.38,146.39,145.3,146.39,4043.04396,590118.2493563,2303,2307.8907,336976.8312795,202108
146.37,146.97,146.34,146.96,4493.27786,659194.2913703,3204,1684.61674,247202.4592998,202108
146.93,147.74,146.9,147.68,4977.88576,733325.1932039,3312,3086.10666,454658.376598,202108
147.68,147.96,147.66,147.88,2684.36505,396951.7144613,1741,1675.82958,247842.9122289,202108
147.91,147.96,147.38,147.48,4582.96781,676410.6055077,4304,1621.70316,239393.1052972,202108
147.48,148.3,147.41,148.26,5483.15062,810603.0903363,1947,3003.348,444332.3483272,202108
148.24,148.26,147.71,147.86,2488.96256,368317.6288139,2213,1038.82149,153674.5763943,202108
147.88,148.12,147.16,147.57,2328.06747,343663.6356086,1806,989.18876,146056.5090018,202108
147.58,147.6,146.91,147.02,2267.24595,333750.257194,952,914.73331,134750.3723638,202108
147.02,147.43,147.01,147.12,864.03733,127199.5897008,506,560.83815,82558.2672329,202108
147.15,147.42,147.03,147.17,667.29984,98228.1955945,390,372.5641,54825.2504088,202108
147.16,147.25,147.0,147.15,857.1218,126094.5626205,430,454.58292,66880.437023,202108
147.18,147.27,147.11,147.19,1483.38663,218360.2275635,395,679.65419,100056.2974562,202108
147.16,147.24,146.68,146.79,1843.60239,270982.9228353,578,627.14166,92171.2463723,202108
146.79,147.19,146.78,146.78,1096.87386,161143.1322829,426,645.11892,94758.4353225,202108
146.78,146.96,146.71,146.84,686.49242,100793.5999767,355,378.31037,55538.4310059,202108
146.87,146.99,146.78,146.84,1305.73111,191815.51422,387,514.05666,75502.5023409,202108
146.84,147.0,146.8,146.93,991.63001,145666.9081287,306,450.18747,66142.073615,202108
146.94,146.94,146.74,146.74,1018.59462,149567.4744277,313,399.64072,58688.4178062,202108
146.74,146.94,146.74,146.84,686.84947,100843.5045127,308,286.01484,41993.2609054,202108
146.86,146.91,146.64,146.91,900.57802,132205.5471687,326,411.74181,60442.1193329,202108
146.9,147.3,146.9,147.28,2169.2651,319001.4452314,514,1730.88646,254505.3808296,202108
147.28,147.29,147.04,147.04,4288.78389,631470.8517694,474,347.83725,51196.8910899,202108
147.05,147.48,147.02,147.4,977.0695,143877.38552,419,411.45408,60579.3583291,202108
147.41,147.74,147.41,147.73,1172.09558,173006.5141533,411,557.5267,82282.6517486,202108
147.73,147.73,147.34,147.5,1559.79119,230133.1359709,523,722.79612,106664.8443951,202108
147.51,147.7,147.3,147.68,840.27348,123943.3442162,381,514.28357,75869.0380813,202108
147.69,147.86,147.58,147.84,863.70369,127573.1148401,393,285.12499,42117.1745644,202108
147.84,148.0,147.68,147.9,3334.04833,493092.5966981,724,1739.42345,257288.7298121,202108
147.9,148.04,147.81,147.98,1923.00752,284515.2172305,543,1117.21238,165306.4191567,202108
147.98,148.12,147.94,147.99,2107.85306,312017.0042932,518,1242.93021,183997.6219764,202108
147.99,148.21,147.99,148.17,893.3379,132323.1000473,452,508.72943,75349.8712457,202108
148.16,148.35,148.14,148.22,1982.39759,293875.9363647,643,1079.06337,159971.3048418,202108
148.22,149.09,148.22,148.67,6134.53069,912371.78334,3351,3154.68341,469235.8534946,202108
148.71,148.96,148.38,148.48,1642.62449,244209.2472593,949,713.5337,106082.0404499,202108
148.5,149.01,148.48,148.95,1176.76232,175053.2270854,695,582.10281,86578.5512342,202108
148.96,149.03,148.82,148.97,1819.48404,270972.7849662,541,1290.45151,192199.6692149,202108
148.99,149.19,148.84,149.16,1844.11108,274849.5703615,691,1288.12691,192001.9819462,202108
149.16,149.49,149.13,149.47,2781.18348,415248.5021227,1028,1909.99562,285216.202851,202108
149.47,149.78,149.34,149.6,2893.12651,432656.8558523,1652,1607.32732,240389.0423715,202108
149.63,149.66,148.9,149.1,6115.3793,912121.431044,3671,2275.5313,339328.8055011,202108
149.1,149.37,148.93,149.06,2288.37257,341309.9867715,648,824.22548,122969.5399401,202108
149.04,149.35,149.02,149.22,1943.91981,290013.3224396,506,1449.78037,216311.8934868,202108
149.25,149.31,149.06,149.06,2161.51024,322458.6276679,470,863.51099,128814.680334,202108
149.06,149.07,148.43,148.43,2126.61529,316478.8094819,730,962.03688,143202.3317681,202108
148.43,148.7,148.41,148.69,1073.53817,159521.2311772,370,710.71068,105607.5303636,202108
148.67,148.83,148.62,148.73,1756.79545,261265.6110114,492,750.40348,111596.6460777,202108
148.73,148.76,148.56,148.61,943.69802,140298.0330945,373,495.74797,73706.0977398,202108
148.6,148.77,148.59,148.68,654.15743,97265.9899107,359,316.79786,47104.9579111,202108
148.67,148.83,148.65,148.8,599.59723,89204.9193125,338,308.3321,45873.7088435,202108
148.81,148.99,148.81,148.91,722.93279,107657.5959346,307,386.21801,57514.0293798,202108
148.9,148.98,148.62,148.63,2325.69706,346082.2680873,563,1239.84167,184469.0910521,202108
148.63,148.89,148.53,148.76,1005.01161,149431.3686615,432,561.44628,83484.9387109,202108
148.76,148.99,148.75,148.76,1163.30104,173192.9463484,421,642.04914,95592.306318,202108
