OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
8.455e-05,8.483e-05,8.455e-05,8.462e-05,186839243.17,15823.19277942,125,75888116.6,6426.88124708,202306
8.462e-05,8.466e-05,8.433e-05,8.443e-05,79314737.31,6701.17108572,63,23802601.94,2010.71559775,202306
8.442e-05,8.484e-05,8.442e-05,8.477e-05,143181437.97,12125.51637346,129,80672400.49,6831.33074433,202306
8.479e-05,8.49e-05,8.47e-05,8.47e-05,124460750.65,10553.90409374,100,64925118.61,5507.47562618,202306
8.464e-05,8.478e-05,8.464e-05,8.471e-05,40838505.96,3460.10500715,65,21021944.25,1781.01519538,202306
8.47e-05,8.48e-05,8.463e-05,8.471e-05,91866576.11,7784.09078435,91,55697292.05,4720.310615,202306
8.472e-05,8.48e-05,8.448e-05,8.449e-05,180814035.09,15291.84081438,129,46351451.92,3920.67909485,202306
8.442e-05,8.442e-05,8.404e-05,8.428e-05,182826816.29,15394.76948838,166,50856325.5,4280.98134808,202306
8.433e-05,8.434e-05,8.421e-05,8.425e-05,70898213.97,5974.18110762,46,9435985.0,795.18306005,202306
8.428e-05,8.428e-05,8.4e-05,8.406e-05,89246356.2,7503.70558362,112,24716153.06,2077.60350142,202306
8.407e-05,8.421e-05,8.407e-05,8.409e-05,28180449.75,2371.29111915,33,17534001.55,1475.60471006,202306
8.409e-05,8.422e-05,8.4e-05,8.41e-05,79451594.31,6680.17925097,66,44009613.61,3701.08763254,202306
8.41e-05,8.418e-05,8.408e-05,8.417e-05,51706481.08,4350.11204652,64,18465007.14,1553.57238079,202306
8.42e-05,8.429e-05,8.417e-05,8.421e-05,35883141.14,3022.10124114,30,11236496.72,946.12150913,202306
8.422e-05,8.442e-05,8.421e-05,8.426e-05,199325901.66,16805.71757834,105,86992066.55,7334.58157226,202306
8.429e-05,8.438e-05,8.414e-05,8.432e-05,60026122.01,5057.61232322,57,36742025.56,3096.28129227,202306
8.433e-05,8.444e-05,8.424e-05,8.433e-05,77615965.61,6544.51692895,47,16190111.49,1365.88741221,202306
8.434e-05,8.455e-05,8.43e-05,8.445e-05,134077564.27,11320.66076504,71,108953131.89,9199.14827877,202306
8.445e-05,8.446e-05,8.442e-05,8.442e-05,10734055.02,906.40377801,16,2634640.78,222.48665174,202306
8.441e-05,8.454e-05,8.441e-05,8.445e-05,24718459.59,2088.27747254,30,5633900.05,475.7405824,202306
8.445e-05,8.45e-05,8.44e-05,8.441e-05,57188861.59,4831.98274836,42,52969903.64,4475.62675083,202306
8.435e-05,8.45e-05,8.427e-05,8.427e-05,42143195.9,3555.81497608,45,21702582.66,1831.96240634,202306
8.426e-05,8.432e-05,8.419e-05,8.429e-05,62723195.79,5284.23987722,48,10914030.91,919.54937334,202306
8.432e-05,8.437e-05,8.431e-05,8.437e-05,23649274.6,1994.6879626,26,22892958.74,1930.92297246,202306
8.432e-05,8.438e-05,8.43e-05,8.43e-05,7906238.09,666.69308611,16,4258248.39,359.12008106,202306
8.428e-05,8.429e-05,8.42e-05,8.428e-05,19085838.01,1608.22329537,21,13551011.02,1141.84563668,202306
8.427e-05,8.427e-05,8.415e-05,8.42e-05,128299261.39,10803.57397938,55,15290780.07,1287.77393772,202306
8.417e-05,8.421e-05,8.415e-05,8.415e-05,44710833.43,3762.99833012,26,12904482.55,1086.23966735,202306
8.415e-05,8.437e-05,8.414e-05,8.432e-05,88183641.3,7434.04247715,46,72530454.27,6116.62473647,202306
8.431e-05,8.436e-05,8.43e-05,8.436e-05,5382190.6,453.91778678,17,3235985.66,272.95652819,202306
8.435e-05,8.445e-05,8.433e-05,8.439e-05,18957133.63,1600.0660799,35,8966959.76,756.80620148,202306
8.438e-05,8.44e-05,8.428e-05,8.432e-05,21243715.21,1791.90027771,23,1911008.71,161.21435766,202306
8.431e-05,8.435e-05,8.422e-05,8.424e-05,26621489.6,2243.7009861,31,15725490.95,1325.48707328,202306
8.423e-05,8.426e-05,8.361e-05,8.366e-05,457926766.9,38410.46348919,236,109488472.67,9185.62605826,202306
8.366e-05,8.368e-05,8.307e-05,8.327e-05,1347976321.72,112459.49763002,676,484624941.21,40412.93677631,202306
8.327e-05,8.337e-05,8.297e-05,8.313e-05,566997135.9,47145.83586318,285,312732923.72,26010.84341492,202306
