OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.08849,0.08864,0.08831,0.0886,85259.2,7544.37377,127,38790.0,3435.088894,202012
0.08844,0.08853,0.08788,0.08788,102688.3,9055.06469,91,17651.0,1559.838238,202012
0.08799,0.08829,0.08799,0.08827,66609.1,5871.522223,51,28024.2,2470.15571,202012
0.0881,0.08835,0.08807,0.08834,32131.6,2833.57106,42,22452.0,1980.702145,202012
0.08816,0.08865,0.08808,0.08836,171717.9,15182.586798,131,121667.6,10762.855691,202012
0.08855,0.08861,0.08806,0.08849,142907.6,12630.279546,107,66347.1,5863.540086,202012
0.08849,0.08865,0.08838,0.08858,92240.5,8158.743319,79,11368.4,1006.665254,202012
0.08833,0.08858,0.0883,0.08831,53453.0,4726.061258,80,13608.8,1204.537695,202012
0.08849,0.08852,0.08822,0.08822,59912.2,5294.91744,140,21469.5,1899.988549,202012
0.08844,0.08847,0.08806,0.08822,59004.3,5206.419812,57,32716.6,2888.395968,202012
0.08822,0.08822,0.088,0.08801,13649.0,1201.528337,8,4552.7,400.799194,202012
0.08802,0.08842,0.08802,0.0882,76918.4,6788.561132,119,26187.5,2312.65993,202012
0.08819,0.08837,0.0881,0.08836,66670.0,5885.10702,84,47844.0,4225.522912,202012
0.08836,0.08837,0.08809,0.08815,43084.8,3801.95875,39,28619.9,2526.643746,202012
0.08837,0.0885,0.08816,0.0882,91325.6,8064.101995,176,28671.4,2534.606474,202012
0.08841,0.08841,0.08805,0.08817,91676.9,8093.800994,116,38670.7,3415.50473,202012
0.08834,0.08839,0.0881,0.08839,38103.5,3361.659358,95,20253.2,1788.212932,202012
0.08824,0.08849,0.08819,0.08844,44973.6,3972.740263,104,20098.0,1777.483522,202012
0.0882,0.08849,0.0882,0.08845,70989.2,6266.963515,113,20888.7,1846.82932,202012
0.08828,0.08848,0.08825,0.08831,46192.3,4081.252041,88,19973.0,1766.708514,202012
