OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
3.693,3.695,3.675,3.676,1801.0,6628.93307,31,34.48,127.3536,202107
3.676,3.676,3.653,3.653,1222.49,4474.6713,43,365.26,1337.13111,202107
3.653,3.661,3.646,3.651,820.18,2996.39321,26,509.42,1861.02133,202107
3.656,3.66,3.637,3.642,209.96,765.10137,10,62.67,228.85272,202107
3.651,3.665,3.646,3.661,644.42,2356.50299,19,613.97,2245.21124,202107
3.661,3.662,3.654,3.662,670.57,2452.7224,20,135.55,496.13036,202107
3.658,3.658,3.654,3.654,355.1,1298.21269,10,142.35,520.5469,202107
3.654,3.657,3.645,3.649,439.0,1602.30346,20,120.05,438.47726,202107
3.643,3.647,3.642,3.642,231.78,844.92163,7,176.12,642.20452,202107
3.65,3.65,3.643,3.643,23.23,84.68905,2,8.88,32.412,202107
3.65,3.65,3.642,3.645,206.59,752.8446,3,131.94,480.9693,202107
3.64,3.644,3.634,3.634,330.91,1203.65859,13,195.17,710.2088,202107
3.633,3.642,3.633,3.635,455.18,1656.0694,10,151.26,550.88892,202107
3.632,3.651,3.631,3.643,1167.43,4248.27546,18,444.09,1618.17196,202107
3.642,3.65,3.638,3.639,1112.14,4051.24898,17,690.58,2516.90361,202107
3.648,3.649,3.641,3.641,252.5,920.88662,8,198.97,725.98389,202107
3.649,3.656,3.644,3.65,482.78,1762.43254,20,204.73,747.80073,202107
3.65,3.653,3.649,3.649,220.47,805.05773,5,122.41,447.16373,202107
3.651,3.654,3.649,3.654,536.82,1960.46862,14,438.58,1601.8892,202107
3.654,3.656,3.644,3.644,203.05,741.11622,9,31.84,116.39336,202107
3.651,3.651,3.651,3.651,22.14,80.83314,1,22.14,80.83314,202107
3.651,3.655,3.645,3.655,417.24,1524.16255,7,407.85,1489.936,202107
3.655,3.655,3.645,3.653,1344.7,4909.1978,28,467.24,1706.40456,202107
3.655,3.659,3.655,3.656,454.82,1663.44787,9,454.82,1663.44787,202107
3.65,3.655,3.65,3.65,1476.82,5395.66966,15,179.64,656.41502,202107
3.65,3.655,3.644,3.651,1425.75,5203.01665,32,1013.18,3699.19662,202107
3.644,3.653,3.643,3.646,1254.62,4575.97668,48,638.74,2331.03763,202107
3.64,3.644,3.632,3.632,1996.49,7258.65073,34,1581.57,5749.03044,202107
3.638,3.646,3.633,3.643,1440.65,5242.78356,28,1126.98,4101.66844,202107
3.643,3.643,3.643,3.643,0.0,0.0,0,0.0,0.0,202107
3.639,3.639,3.63,3.63,2284.57,8306.43086,30,338.41,1229.50641,202107
3.63,3.63,3.63,3.63,505.69,1835.6547,8,505.69,1835.6547,202107
3.629,3.629,3.589,3.6,5971.4,21518.1392,103,2668.17,9616.72738,202107
3.6,3.609,3.597,3.597,1591.63,5732.26389,32,1226.71,4418.3608,202107
3.6,3.6,3.587,3.589,412.71,1482.75873,17,256.48,921.78596,202107
3.588,3.588,3.571,3.574,1597.75,5721.30814,40,509.05,1824.66229,202107
3.574,3.586,3.567,3.586,1088.84,3893.3091,36,749.78,2682.55776,202107
3.583,3.583,3.583,3.583,111.38,399.07454,4,111.38,399.07454,202107
3.577,3.589,3.567,3.57,1482.52,5299.4949,26,350.98,1258.17284,202107
3.574,3.579,3.556,3.573,1033.1,3686.85714,32,515.37,1841.28263,202107
3.573,3.573,3.573,3.573,1111.55,3971.56815,11,1111.55,3971.56815,202107
3.573,3.573,3.573,3.573,1634.4,5839.7112,10,1634.4,5839.7112,202107
3.568,3.583,3.567,3.583,2329.64,8319.337,25,2326.64,8308.633,202107
3.582,3.589,3.569,3.589,555.04,1986.69666,21,172.5,618.84394,202107
3.582,3.591,3.582,3.591,147.12,527.55462,7,122.12,438.00462,202107
3.591,3.591,3.572,3.572,2032.57,7297.85483,11,252.5,906.2656,202107
3.572,3.577,3.572,3.575,68.8,245.92758,4,60.0,214.49398,202107
3.574,3.574,3.569,3.571,1092.9,3901.1628,9,684.6,2443.3374,202107
3.575,3.576,3.575,3.575,29.46,105.33394,5,0.0,0.0,202107
3.574,3.583,3.57,3.583,194.4,695.21237,8,169.4,605.96237,202107
3.58,3.58,3.58,3.58,2.79,9.9882,1,2.79,9.9882,202107
3.581,3.596,3.581,3.596,652.25,2339.01672,17,602.25,2159.51672,202107
3.597,3.619,3.593,3.619,2313.59,8332.56644,32,2260.51,8141.38979,202107
3.615,3.624,3.615,3.624,1825.56,6612.45758,25,145.22,526.2609,202107
3.62,3.625,3.62,3.62,30.63,110.93285,5,11.3,40.95825,202107
3.62,3.62,3.62,3.62,81.61,295.4282,1,0.0,0.0,202107
3.62,3.62,3.62,3.62,7.56,27.3672,1,7.56,27.3672,202107
3.615,3.615,3.615,3.615,4.67,16.88205,1,4.67,16.88205,202107
3.615,3.615,3.608,3.608,607.51,2193.80228,8,125.4,453.321,202107
3.608,3.613,3.608,3.613,11.68,42.18589,4,10.33,37.31509,202107
3.613,3.619,3.613,3.613,95.16,343.99413,6,91.79,331.81832,202107
3.613,3.62,3.605,3.62,3072.23,11083.35485,39,2681.03,9672.50624,202107
3.62,3.629,3.618,3.629,226.04,818.26176,11,126.0,456.31704,202107
3.627,3.637,3.62,3.626,2506.96,9094.61597,27,1872.76,6795.87937,202107
3.622,3.622,3.622,3.622,11.65,42.1963,1,0.0,0.0,202107
3.622,3.623,3.621,3.621,107.32,388.70772,3,0.0,0.0,202107
3.621,3.621,3.595,3.612,2431.91,8774.66134,23,114.23,413.30779,202107
3.611,3.612,3.611,3.612,34.45,124.42007,4,34.45,124.42007,202107
3.61,3.61,3.608,3.61,105.38,380.30235,5,6.73,24.2953,202107
3.605,3.608,3.602,3.608,833.53,3003.595,15,426.15,1535.41845,202107
3.609,3.615,3.609,3.613,380.45,1374.75755,13,215.91,780.32044,202107
3.616,3.616,3.612,3.612,26.19,94.65368,3,13.85,50.0816,202107
3.612,3.612,3.612,3.612,0.0,0.0,0,0.0,0.0,202107
3.617,3.623,3.609,3.613,1140.33,4123.05596,52,278.52,1007.49982,202107
3.611,3.616,3.607,3.616,566.3,2044.79478,16,263.59,952.6411,202107
3.616,3.638,3.616,3.621,963.46,3490.54842,32,885.87,3209.59503,202107
3.622,3.622,3.615,3.618,466.46,1687.90262,13,0.0,0.0,202107
3.618,3.621,3.61,3.612,2656.98,9612.4498,36,157.01,567.9445,202107
3.61,3.614,3.608,3.609,172.63,623.30508,8,73.31,264.92851,202107
3.609,3.609,3.591,3.591,2007.23,7230.56461,27,603.0,2170.8,202107
3.591,3.594,3.579,3.579,1954.42,6998.91525,20,1774.71,6354.92819,202107
3.578,3.578,3.511,3.531,9112.86,32235.21498,189,4742.56,16734.37012,202107
3.526,3.534,3.525,3.534,1596.89,5633.0444,47,634.68,2240.88955,202107
3.537,3.537,3.48,3.501,11102.91,38934.36851,178,3922.05,13751.44208,202107
3.496,3.515,3.482,3.515,5885.34,20568.54707,69,4201.07,14694.49709,202107
