OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.08248,1.08285,1.06734,1.07856,2808066.6,3013019.604945,5559,1492244.4,1600407.144835,202108
1.07828,1.08132,1.0756,1.07748,789659.3,851519.96769,1433,407694.7,439744.145432,202108
1.07724,1.07874,1.07111,1.07496,1026078.6,1103060.422592,1518,489782.2,526377.848921,202108
1.07493,1.08391,1.07232,1.08391,1354350.0,1460148.97826,1984,751041.9,809802.588162,202108
1.0833,1.0895,1.08298,1.08732,844369.5,917122.92324,1709,501321.3,544429.223297,202108
1.08728,1.08887,1.08625,1.08789,483563.3,525867.618887,799,275409.0,299494.732783,202108
1.08786,1.09,1.085,1.08535,651393.1,708162.756621,1030,300500.9,326757.72643,202108
1.08528,1.09391,1.08409,1.0927,774014.5,843024.523671,1834,387090.1,421676.43302,202108
1.09272,1.10697,1.0921,1.10598,3076746.1,3381433.223708,7502,1714398.3,1883561.844346,202108
1.10551,1.118,1.10433,1.11381,3960673.4,4402420.606629,13123,2138920.0,2378108.762169,202108
1.11381,1.11623,1.10936,1.11444,1477587.8,1643718.647407,2952,745361.5,829095.766374,202108
1.1142,1.1142,1.10726,1.10906,2782154.9,3088632.475007,2418,1431153.8,1588570.689489,202108
1.10906,1.11,1.09886,1.10185,1770901.0,1952779.080804,2975,737968.3,813718.490179,202108
1.10205,1.10778,1.10205,1.1057,926325.2,1024311.861739,1513,572854.5,633459.565423,202108
1.10572,1.10572,1.10076,1.10445,1335844.4,1473850.534475,1402,754951.1,832910.510966,202108
1.10495,1.10891,1.10206,1.10293,1171942.2,1295767.702247,1453,689127.3,761995.79065,202108
1.10293,1.10361,1.09569,1.09805,902796.5,992842.033491,1792,393252.6,432532.670455,202108
1.09806,1.10302,1.09806,1.09957,570547.5,628003.663065,1242,329264.3,362340.503088,202108
1.09977,1.10328,1.09927,1.10239,1027390.9,1131565.630344,1335,556370.6,612762.067836,202108
1.10245,1.103,1.09644,1.09693,438656.8,482707.821749,948,180408.4,198517.0273,202108
1.09691,1.09972,1.09671,1.09892,323439.2,355201.557646,711,137747.7,151272.545238,202108
1.09893,1.10364,1.09893,1.10073,480563.3,529361.285928,1069,267379.8,294560.488841,202108
1.10072,1.10253,1.09894,1.09894,355340.0,391084.107099,863,155599.4,171249.460228,202108
1.09895,1.103,1.09684,1.10149,881782.3,969897.730649,1208,656894.1,722536.613181,202108
1.10152,1.107,1.10109,1.10206,843352.2,931022.406485,1506,460134.9,507857.73147,202108
1.102,1.10317,1.0998,1.10063,391010.5,430805.712269,894,214155.4,235972.295378,202108
1.10064,1.10146,1.09684,1.09717,625033.1,687508.368837,958,161308.1,177447.109224,202108
1.09717,1.09807,1.09295,1.09433,900617.7,986719.843244,1653,482797.3,529124.781318,202108
1.09445,1.09775,1.09435,1.09643,280202.5,307178.483331,682,150323.1,164792.977037,202108
1.09643,1.10009,1.09611,1.1,339743.7,373043.103752,886,148722.3,163286.767264,202108
1.10005,1.10332,1.10001,1.10057,427512.0,471170.353677,797,251614.9,277329.743549,202108
1.10056,1.104,1.1,1.10371,318838.0,351207.475755,717,189749.9,209029.812522,202108
1.10365,1.10571,1.10302,1.10413,484867.4,535530.049727,912,249470.5,275579.858011,202108
1.10411,1.10456,1.1008,1.10113,418077.3,461161.635345,834,227852.1,251339.444583,202108
1.10114,1.10375,1.09772,1.10375,425343.5,467787.754518,862,164471.6,180947.559054,202108
1.10372,1.10923,1.10296,1.10772,626401.8,692982.654538,1211,390254.1,431668.969376,202108
1.10745,1.10962,1.10263,1.10274,715882.3,792013.67506,1231,285058.7,315479.479058,202108
1.10265,1.1078,1.10227,1.10715,491249.1,543215.35249,877,228123.8,252286.462665,202108
1.10723,1.10799,1.10366,1.10438,435326.5,481431.585389,852,187189.6,206975.846447,202108
1.10441,1.10558,1.1009,1.10305,273138.6,301341.115791,681,116862.2,128933.635735,202108
1.10329,1.10376,1.10094,1.10223,308094.6,339533.051909,636,148066.0,163189.749664,202108
1.1022,1.10998,1.10201,1.10927,904998.0,1001979.779036,1533,476295.7,527426.024965,202108
1.10882,1.111,1.1066,1.11061,605239.2,671133.142638,1175,321909.3,357062.714497,202108
1.11079,1.1195,1.11062,1.11667,1793709.3,2003092.652703,4362,844053.8,942285.036209,202108
1.11742,1.12495,1.11628,1.12298,1301257.7,1458771.88851,5747,822822.5,922247.226071,202108
1.12269,1.12463,1.11712,1.12202,1905282.9,2135742.568425,2894,981195.9,1100233.550272,202108
1.12202,1.12312,1.11728,1.11854,697947.1,781254.051476,1253,397880.1,445290.893903,202108
1.11892,1.12183,1.11826,1.12053,842291.6,943479.79118,1545,420022.4,470531.157303,202108
1.12053,1.12101,1.11534,1.11869,920425.6,1029200.281881,1501,497667.9,556559.041032,202108
1.1188,1.12956,1.1188,1.12917,1065208.6,1199724.151906,3621,607460.1,684161.271219,202108
1.12916,1.13162,1.12556,1.12719,1672786.5,1889436.564758,6924,1044378.3,1179714.612,202108
1.1272,1.135,1.1228,1.1341,1346533.6,1522107.747602,4061,746402.2,844336.589259,202108
