OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
4.463,4.471,4.447,4.457,6202.1,27663.3366,112,3670.3,16364.503,202111
4.457,4.47,4.447,4.47,7307.9,32589.8307,99,4999.6,22310.5672,202111
4.47,4.481,4.463,4.476,9839.1,43982.9403,88,6209.4,27761.0138,202111
4.481,4.498,4.48,4.494,4750.9,21337.2667,134,4410.8,19811.6178,202111
4.498,4.5,4.491,4.495,5480.4,24643.7475,113,3253.8,14635.5126,202111
4.496,4.5,4.493,4.499,5113.7,23004.7448,65,3267.4,14702.7935,202111
4.5,4.519,4.5,4.515,14314.1,64539.5938,213,12194.8,54976.7894,202111
4.516,4.52,4.506,4.515,3891.9,17572.3157,94,2383.5,10767.5751,202111
4.515,4.515,4.487,4.489,11154.8,50249.5407,138,3315.2,14936.2601,202111
4.489,4.52,4.486,4.515,16871.8,75882.3366,116,14185.0,63782.1883,202111
4.515,4.529,4.512,4.522,9423.5,42640.1461,148,3083.1,13946.7811,202111
4.523,4.547,4.52,4.546,39235.6,177840.5819,291,28159.9,127590.8987,202111
4.546,4.55,4.539,4.545,6576.5,29890.2914,117,1993.6,9065.7272,202111
4.545,4.554,4.543,4.546,7995.8,36370.4995,105,3013.0,13706.9405,202111
4.546,4.555,4.543,4.549,2591.4,11788.7734,70,1426.3,6489.9301,202111
4.548,4.554,4.516,4.521,8062.5,36583.5785,162,2328.7,10562.3003,202111
4.521,4.523,4.5,4.5,13230.4,59670.4466,154,2715.5,12250.0039,202111
4.504,4.506,4.479,4.48,10196.8,45831.7464,163,2965.4,13345.9856,202111
4.48,4.502,4.477,4.502,8482.3,38095.7594,95,5022.4,22550.1859,202111
4.501,4.515,4.497,4.504,5693.5,25655.7048,87,2206.2,9939.3024,202111
4.504,4.515,4.503,4.511,3694.4,16654.0629,65,2784.0,12552.0102,202111
4.513,4.52,4.503,4.52,5261.3,23743.6339,80,3700.9,16708.5479,202111
4.52,4.52,4.515,4.52,3036.5,13714.331,33,2150.6,9713.7629,202111
4.52,4.526,4.515,4.518,8345.9,37709.9652,79,3093.2,13982.1321,202111
4.516,4.519,4.5,4.518,9928.3,44785.7203,69,2021.7,9124.2613,202111
4.519,4.519,4.5,4.508,8741.4,39387.998,70,3819.3,17212.2887,202111
4.511,4.516,4.507,4.513,1354.2,6109.9368,29,814.0,3673.5033,202111
4.516,4.519,4.444,4.458,17655.4,79041.1899,308,4131.7,18506.8984,202111
4.453,4.459,4.432,4.434,19099.7,84832.3005,161,3523.2,15677.472,202111
4.434,4.442,4.415,4.432,12486.5,55310.9522,177,5504.8,24394.8151,202111
4.432,4.455,4.42,4.442,11839.2,52492.6621,128,5833.9,25857.5458,202111
4.444,4.451,4.415,4.433,15150.0,67122.2042,129,8510.3,37706.2322,202111
4.433,4.44,4.429,4.429,2648.3,11746.0555,56,1864.5,8272.2281,202111
4.429,4.44,4.428,4.44,7177.4,31837.9768,49,6307.5,27983.1804,202111
4.44,4.44,4.425,4.428,1477.9,6547.0673,38,934.3,4139.6928,202111
4.428,4.428,4.424,4.427,3100.5,13724.4857,35,1015.8,4497.9624,202111
4.427,4.438,4.425,4.426,57447.5,254847.9935,93,53791.4,238649.6315,202111
4.428,4.437,4.426,4.432,7187.6,31846.0627,63,5014.3,22217.5538,202111
4.432,4.435,4.425,4.43,2102.5,9313.6378,35,1223.6,5422.5336,202111
4.43,4.433,4.422,4.433,3502.1,15498.4342,42,2036.0,9006.858,202111
4.431,4.433,4.424,4.428,1601.0,7089.833,30,1080.6,4786.7377,202111
4.428,4.43,4.413,4.43,5397.2,23855.2361,70,3553.1,15705.9729,202111
4.427,4.43,4.353,4.396,64056.4,281007.6223,569,9509.3,41689.1596,202111
4.396,4.403,4.391,4.4,4191.3,18431.9207,65,1909.8,8400.4687,202111
4.396,4.403,4.392,4.394,1773.0,7793.1932,40,456.1,2006.1604,202111
4.394,4.405,4.386,4.386,4920.3,21638.0169,62,1895.3,8341.2641,202111
4.386,4.388,4.37,4.373,12064.9,52827.9048,142,6476.4,28360.9369,202111
4.374,4.385,4.365,4.38,11652.3,50985.6401,139,6153.5,26931.2512,202111
4.376,4.378,4.342,4.349,21772.5,94825.1456,268,8642.4,37643.5521,202111
4.346,4.354,4.338,4.35,13646.8,59284.5598,120,6244.6,27154.8678,202111
4.348,4.383,4.339,4.378,13096.5,57106.9075,167,9718.8,42380.5071,202111
4.377,4.387,4.373,4.374,4780.6,20939.6153,58,1939.5,8501.0488,202111
4.377,4.385,4.37,4.384,4246.8,18590.2574,58,1627.2,7128.3336,202111
4.384,4.388,4.384,4.387,4399.3,19296.5476,66,1203.7,5279.969,202111
4.383,4.425,4.383,4.417,16654.5,73479.6032,195,12504.1,55168.534,202111
4.423,4.427,4.398,4.413,6177.7,27252.0768,82,2093.9,9230.2524,202111
4.417,4.417,4.404,4.405,6417.3,28285.5938,65,1553.6,6849.1186,202111
4.409,4.421,4.407,4.41,9879.2,43580.4836,61,9064.3,39984.8243,202111
4.413,4.422,4.406,4.413,6262.4,27630.4605,89,2839.6,12535.9824,202111
4.413,4.419,4.404,4.407,8116.6,35799.4222,83,3888.4,17164.0808,202111
4.405,4.41,4.39,4.392,15388.1,67714.7833,132,4343.6,19117.6877,202111
4.391,4.394,4.385,4.394,3204.5,14068.6628,92,1981.2,8698.9239,202111
4.396,4.416,4.395,4.403,5926.2,26111.17,64,3205.3,14116.8998,202111
4.403,4.421,4.391,4.421,3366.0,14816.5256,81,2569.8,11317.9983,202111
4.419,4.419,4.391,4.405,15891.5,69978.0056,141,4400.4,19361.458,202111
4.403,4.41,4.393,4.396,13731.4,60444.213,103,10078.0,44373.9036,202111
4.396,4.406,4.395,4.401,5634.1,24782.9535,69,3318.8,14603.8466,202111
4.407,4.416,4.402,4.411,4423.2,19516.9826,66,1809.1,7984.6162,202111
4.411,4.424,4.408,4.419,7142.8,31525.5221,112,4170.5,18409.9063,202111
4.419,4.419,4.406,4.406,2928.3,12925.1916,75,1136.8,5018.9874,202111
4.406,4.41,4.394,4.394,2434.4,10721.3026,84,1075.7,4738.6192,202111
4.397,4.43,4.393,4.41,22115.9,97407.8567,209,15929.7,70179.2681,202111
4.411,4.427,4.41,4.415,7211.1,31852.4915,80,1130.2,4993.0555,202111
4.415,4.427,4.414,4.42,5665.5,25042.9104,93,2567.7,11357.6235,202111
4.42,4.426,4.414,4.421,9729.2,42996.4428,93,4267.9,18858.0676,202111
4.421,4.433,4.42,4.426,15552.0,68793.955,136,4554.6,20170.8348,202111
4.426,4.437,4.42,4.431,11997.1,53163.6776,103,8658.7,38387.8231,202111
4.431,4.439,4.43,4.439,47021.5,208660.3562,156,42832.2,190080.1308,202111
4.439,4.44,4.432,4.432,27649.8,122729.9913,97,24417.3,108391.5072,202111
4.435,4.44,4.43,4.439,12516.9,55554.0585,81,9481.6,42094.63,202111
4.438,4.44,4.436,4.439,3710.1,16465.9734,96,1657.8,7358.5304,202111
4.439,4.44,4.436,4.437,8214.6,36447.5498,112,2507.0,11127.2135,202111
4.437,4.438,4.421,4.423,4562.9,20219.1142,138,2269.2,10050.8868,202111
4.421,4.44,4.421,4.438,5951.9,26389.0421,90,4055.5,17975.7203,202111
4.438,4.44,4.435,4.439,11000.8,48827.7825,148,9060.8,40219.9264,202111
4.439,4.441,4.429,4.441,19245.0,85426.709,199,15658.6,69524.8998,202111
4.441,4.47,4.439,4.469,65366.6,290408.6884,385,47341.3,210316.5349,202111
4.469,4.55,4.466,4.53,77640.8,350882.3346,877,39451.6,178099.9072,202111
4.522,4.612,4.502,4.561,140764.6,643944.6068,1357,56482.5,258354.3172,202111
4.561,4.58,4.547,4.553,28703.5,130971.1562,319,15415.8,70350.6838,202111
4.553,4.56,4.502,4.545,37467.9,170164.999,388,13137.0,59623.7934,202111
4.544,4.625,4.529,4.625,112026.5,512670.0329,833,63361.2,289922.2869,202111
4.625,4.656,4.6,4.656,98101.4,454529.6945,893,48839.8,226425.5864,202111
4.656,4.7,4.65,4.679,154116.4,721179.535,1302,104474.2,489186.7985,202111
4.682,4.683,4.647,4.653,52350.9,244163.4736,547,18031.5,84143.8317,202111
4.654,4.688,4.63,4.68,67782.4,315469.65,503,36218.8,168476.9757,202111
4.681,4.685,4.63,4.649,24574.1,114525.7394,381,9999.6,46615.7384,202111
4.646,4.647,4.586,4.591,30128.0,139130.8709,507,14058.4,64967.0427,202111
4.593,4.593,4.537,4.563,40684.8,185639.7461,575,13511.2,61607.1518,202111
4.563,4.599,4.561,4.574,31000.6,141940.15,403,18170.1,83190.3101,202111
4.574,4.61,4.566,4.609,21445.5,98362.6805,283,13795.8,63325.8258,202111
4.605,4.613,4.58,4.603,16347.1,75207.2092,275,7468.8,34381.4169,202111
4.602,4.612,4.568,4.57,24199.3,110915.7349,328,10085.1,46211.7038,202111
4.57,4.57,4.545,4.553,16560.6,75458.5864,270,8604.2,39196.2895,202111
4.553,4.553,4.525,4.525,21760.7,98775.7752,288,5330.6,24214.7095,202111
4.527,4.55,4.521,4.53,19666.9,89109.0426,204,12392.1,56170.9474,202111
4.533,4.595,4.532,4.594,28550.9,130444.9382,358,19801.7,90398.4537,202111
4.594,4.63,4.59,4.622,39710.8,183231.844,471,22701.8,104691.3944,202111
4.623,4.631,4.583,4.592,24055.5,110892.5206,325,8167.7,37651.9251,202111
4.588,4.599,4.575,4.584,10118.7,46439.4369,190,5942.6,27287.5617,202111
4.585,4.613,4.577,4.613,16461.0,75602.549,230,10656.9,48980.4609,202111
4.609,4.627,4.6,4.612,15853.1,73128.6034,285,7988.2,36853.8391,202111
4.61,4.626,4.6,4.611,9015.7,41565.6024,176,5310.8,24481.7511,202111
4.615,4.615,4.592,4.593,9730.1,44803.5688,167,4771.4,21980.2842,202111
4.596,4.615,4.593,4.61,10665.3,49123.5054,160,6736.0,31024.7907,202111
4.61,4.641,4.607,4.633,31618.2,146308.2821,549,17119.8,79231.0449,202111
4.624,4.649,4.623,4.64,34952.1,162149.8647,345,27304.1,126677.5642,202111
4.64,4.642,4.63,4.633,11675.8,54125.9063,189,4892.0,22676.9583,202111
4.633,4.636,4.608,4.613,18912.8,87399.1317,285,10001.0,46228.3511,202111
4.613,4.613,4.601,4.602,14769.3,68022.769,237,3369.4,15522.6085,202111
4.603,4.605,4.59,4.59,20244.3,93110.9834,285,3078.6,14162.4123,202111
4.59,4.599,4.58,4.587,23745.8,108970.7981,298,14554.1,66800.3564,202111
4.584,4.594,4.578,4.58,7240.2,33206.2561,181,3155.8,14479.1384,202111
4.578,4.594,4.571,4.571,16087.1,73682.0842,203,6259.7,28671.2502,202111
4.571,4.572,4.537,4.55,31271.1,142473.829,426,10084.9,45952.7207,202111
4.55,4.576,4.536,4.561,41181.6,187350.3379,368,14784.6,67378.1273,202111
4.56,4.582,4.551,4.569,8863.1,40481.0296,176,3707.7,16934.8949,202111
4.569,4.569,4.555,4.558,4762.4,21708.623,126,2059.4,9389.8943,202111
4.557,4.606,4.557,4.597,33521.3,153819.1796,367,25299.4,116091.3695,202111
4.595,4.6,4.583,4.591,7994.2,36718.3187,146,3036.9,13958.8865,202111
4.587,4.59,4.57,4.589,13458.1,61635.4168,155,7202.9,32992.342,202111
4.587,4.61,4.583,4.605,26844.4,123387.9538,260,15329.7,70468.3996,202111
4.6,4.615,4.598,4.598,22343.9,102873.2507,251,10393.3,47862.9972,202111
4.598,4.598,4.572,4.574,19049.2,87307.6771,211,6427.5,29471.8174,202111
4.574,4.577,4.559,4.562,11495.0,52494.3236,194,4289.1,19598.0021,202111
4.562,4.567,4.551,4.551,15108.7,68863.3258,201,5820.3,26534.2778,202111
4.555,4.559,4.55,4.555,7927.9,36101.8502,149,3042.4,13863.3659,202111
4.554,4.575,4.551,4.561,8869.3,40464.178,150,3896.7,17783.6713,202111
4.559,4.575,4.553,4.56,8558.6,39048.3258,159,4666.2,21294.7235,202111
4.56,4.57,4.557,4.561,7584.8,34620.0477,127,5051.4,23066.302,202111
4.559,4.561,4.49,4.496,59716.5,269746.8038,636,3738.0,16934.7397,202111
4.495,4.54,4.478,4.526,36072.8,162497.0877,521,18175.2,82005.0824,202111
4.526,4.533,4.5,4.5,14178.7,64072.8922,244,5413.9,24490.9128,202111
4.505,4.526,4.502,4.52,24240.3,109505.0322,215,18404.4,83144.0853,202111
4.52,4.538,4.508,4.525,16287.9,73664.4413,178,12699.4,57447.8124,202111
4.522,4.526,4.509,4.519,10281.7,46462.0261,155,2553.3,11539.9398,202111
4.52,4.529,4.516,4.52,19884.3,89924.1366,154,5827.7,26372.5554,202111
4.523,4.524,4.506,4.516,15061.0,68024.2482,169,3154.5,14245.7878,202111
4.516,4.521,4.51,4.514,15594.7,70375.6592,187,8255.5,37259.694,202111
4.514,4.515,4.495,4.5,18855.9,84892.1263,266,4726.7,21280.4213,202111
4.496,4.5,4.495,4.495,15334.7,68950.8112,140,5939.5,26714.9733,202111
4.499,4.499,4.475,4.48,22687.6,101832.9321,271,6487.3,29114.6247,202111
4.478,4.49,4.474,4.479,10723.1,48059.5019,142,4010.3,17975.0602,202111
4.48,4.49,4.475,4.484,8536.0,38241.0638,142,4273.7,19147.3556,202111
4.484,4.503,4.477,4.498,8849.9,39756.8422,150,6130.3,27545.5957,202111
4.502,4.51,4.486,4.509,7944.4,35707.5303,138,4476.5,20127.7938,202111
4.51,4.512,4.486,4.492,14731.0,66277.4432,160,4457.4,20063.2614,202111
4.493,4.499,4.48,4.483,7265.9,32620.2767,202,2457.9,11037.0015,202111
4.484,4.507,4.48,4.503,14548.1,65358.1974,186,8544.0,38375.0343,202111
4.507,4.51,4.484,4.49,16843.1,75773.8435,141,2675.1,12021.3716,202111
4.488,4.493,4.479,4.493,8276.4,37110.4562,166,4545.7,20384.1243,202111
4.49,4.503,4.488,4.502,9044.0,40676.3513,155,3520.5,15838.7188,202111
4.502,4.511,4.5,4.507,3430.5,15457.0884,104,2039.6,9190.5783,202111
4.507,4.51,4.49,4.492,14449.1,64980.7054,179,3277.1,14748.5151,202111
4.492,4.493,4.48,4.488,7826.5,35123.0802,163,1639.2,7356.3625,202111
4.489,4.5,4.478,4.491,20640.1,92624.2527,193,7356.4,33040.7866,202111
4.491,4.527,4.487,4.525,24275.0,109406.712,290,13934.5,62809.351,202111
4.527,4.534,4.487,4.518,34895.0,157501.1001,378,14726.6,66489.4995,202111
4.516,4.521,4.493,4.502,17832.0,80355.9321,194,10112.7,45555.0073,202111
4.508,4.508,4.482,4.493,22478.0,101033.4228,227,7936.4,35701.432,202111
4.493,4.506,4.484,4.487,17799.7,79988.4707,174,8128.6,36548.7739,202111
4.487,4.493,4.476,4.482,12222.0,54805.9904,188,2882.1,12935.3343,202111
4.475,4.485,4.451,4.455,52499.8,234649.4654,399,8089.0,36148.6861,202111
4.455,4.458,4.435,4.458,52346.9,232793.3778,441,13323.9,59238.2017,202111
4.456,4.462,4.446,4.46,24192.3,107745.5898,217,8385.4,37372.893,202111
4.462,4.465,4.453,4.459,16606.4,74034.4566,164,5849.4,26086.8568,202111
4.458,4.473,4.456,4.47,19217.8,85827.6292,215,8456.0,37771.7387,202111
4.469,4.476,4.455,4.465,27138.9,121186.2995,215,16029.9,71593.2672,202111
4.47,4.473,4.45,4.454,22838.4,101809.9352,162,4673.7,20847.0829,202111
4.451,4.491,4.45,4.484,59297.1,264666.62,365,35105.5,156861.9673,202111
4.484,4.494,4.469,4.469,10237.3,45894.6729,193,4619.7,20717.1827,202111
