OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
2111.86,2138.0,2111.86,2134.86,27.59836,58630.3462496,243,25.28268,53706.4390363,202104
2134.85,2134.85,2126.71,2127.11,3.02471,6447.7878829,29,0.90034,1919.6238205,202104
2127.0,2127.4,2123.55,2126.29,12.63886,26854.4852796,55,8.01943,17036.7973851,202104
2126.04,2127.87,2122.97,2125.96,2.09825,4458.412025,26,1.36677,2904.7283756,202104
2127.0,2130.01,2126.83,2130.01,2.27013,4830.7558859,22,0.91801,1953.4261179,202104
2129.31,2130.0,2127.46,2127.95,1.05011,2235.5757812,16,0.93646,1993.753285,202104
2130.01,2136.0,2126.44,2128.73,9.35941,19965.2363635,61,4.89994,10450.6665836,202104
2126.67,2128.73,2125.11,2125.11,0.36864,783.8275829,11,0.05,106.4362929,202104
2125.11,2136.0,2125.11,2136.0,2.41935,5150.9854177,36,2.1701,4619.4822757,202104
2134.87,2140.0,2133.01,2133.01,8.24103,17615.9321982,93,4.33149,9259.9824165,202104
2134.87,2134.88,2128.63,2128.63,1.19997,2559.2733241,13,0.448,956.0020811,202104
2128.7,2130.7,2124.05,2124.05,3.76257,8000.0766921,60,0.22385,476.2645479,202104
2125.01,2126.8,2116.0,2120.73,11.23902,23819.2749243,90,4.05198,8590.1987799,202104
2120.92,2123.09,2116.31,2116.31,7.53809,15973.6307998,47,0.75899,1608.5946943,202104
2117.62,2121.19,2117.32,2120.68,1.96289,4160.8290077,24,1.90867,4046.0179365,202104
2120.13,2123.06,2115.84,2118.32,1.37026,2903.673944,35,0.56535,1198.421034,202104
2117.03,2119.32,2112.23,2113.41,10.00373,21152.5697557,43,0.84872,1793.6787268,202104
2112.21,2114.3,2104.47,2109.51,12.85281,27118.8287928,98,10.00734,21120.5577859,202104
2110.4,2114.32,2107.18,2111.44,6.63485,14001.9221448,69,4.49104,9480.7656034,202104
2110.39,2112.24,2105.65,2111.9,5.56521,11736.5368647,60,3.21493,6780.5005489,202104
2113.41,2116.05,2108.17,2115.98,3.10769,6566.2275975,20,1.88486,3984.3446048,202104
2113.69,2115.99,2113.69,2114.19,2.13081,4506.4806856,12,1.00898,2134.5810202,202104
2115.36,2121.39,2114.76,2120.91,2.65916,5636.7916658,23,2.26949,4810.8650165,202104
2121.7,2123.97,2121.18,2122.49,0.31219,662.5562573,9,0.11005,233.519172,202104
2123.98,2124.0,2121.22,2121.98,1.17493,2493.4155456,14,0.1454,308.7691903,202104
2122.51,2124.79,2120.53,2124.79,2.58705,5491.9671261,26,1.5252,3238.3901491,202104
