OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.566,1.567,1.562,1.563,18527.5,28998.6764,104,7014.6,10982.0413,202306
1.562,1.564,1.56,1.562,15100.7,23579.6286,107,6111.2,9542.2048,202306
1.562,1.572,1.562,1.571,33674.0,52821.235,262,20542.1,32212.8357,202306
1.571,1.572,1.569,1.571,7311.4,11481.7382,57,2147.4,3372.3717,202306
1.57,1.575,1.57,1.575,12553.8,19755.0933,117,9739.9,15327.9185,202306
1.575,1.575,1.572,1.574,8390.9,13204.0443,74,6123.1,9634.9644,202306
1.575,1.576,1.564,1.564,25449.3,39952.7199,204,6603.8,10382.9491,202306
1.563,1.564,1.557,1.563,18022.2,28116.6602,169,9592.5,14967.2751,202306
1.563,1.565,1.561,1.563,12162.4,19006.6554,112,6516.0,10180.6753,202306
1.563,1.563,1.559,1.561,26794.0,41812.5429,167,13898.9,21683.1143,202306
1.561,1.563,1.559,1.559,27310.5,42624.5641,115,17139.7,26743.5144,202306
1.559,1.562,1.559,1.562,10597.8,16526.4556,85,5563.0,8676.1231,202306
1.563,1.563,1.561,1.562,26239.8,40984.8575,121,8823.0,13778.8564,202306
1.563,1.565,1.562,1.564,9187.2,14363.5226,77,6590.9,10306.4032,202306
1.564,1.567,1.564,1.565,7780.8,12178.0617,47,4470.2,6994.4977,202306
1.565,1.566,1.564,1.566,10975.0,17178.758,85,7137.8,11171.8182,202306
1.567,1.567,1.565,1.565,1955.3,3061.9999,17,298.2,467.2428,202306
1.566,1.567,1.565,1.567,19107.9,29924.3364,90,5837.1,9142.2663,202306
1.567,1.567,1.565,1.565,7861.6,12306.6825,55,2865.8,4486.5189,202306
1.564,1.565,1.564,1.564,3955.6,6189.6492,35,1138.2,1781.2439,202306
1.564,1.565,1.562,1.562,10842.9,16955.7226,66,5575.1,8722.4116,202306
1.562,1.565,1.561,1.561,18252.4,28519.0568,114,8844.3,13822.2975,202306
1.561,1.561,1.558,1.559,17217.0,26853.0992,96,7543.1,11764.1254,202306
1.559,1.56,1.559,1.559,218.6,340.8183,9,20.9,32.604,202306
1.56,1.56,1.559,1.559,5393.8,8412.1178,24,3249.5,5067.462,202306
1.559,1.559,1.557,1.559,16610.4,25874.9553,95,6337.3,9875.051,202306
1.559,1.559,1.556,1.557,8387.6,13061.2527,58,3905.7,6081.1993,202306
1.558,1.558,1.557,1.558,7116.8,11087.966,52,2904.4,4525.0552,202306
1.557,1.559,1.556,1.558,9555.4,14874.3761,46,2810.2,4376.4105,202306
1.558,1.559,1.557,1.558,3241.4,5050.2797,26,698.3,1088.1375,202306
1.558,1.56,1.558,1.559,10060.1,15676.2553,58,3963.0,6176.4122,202306
1.559,1.56,1.556,1.557,14813.3,23075.6949,52,3447.3,5373.2714,202306
1.556,1.556,1.553,1.553,3010.2,4679.01,47,1358.5,2111.453,202306
1.553,1.556,1.547,1.549,68321.0,105900.5149,396,23447.0,36363.5389,202306
1.549,1.549,1.536,1.543,189865.8,292750.1492,1042,81676.4,125944.0231,202306
1.543,1.544,1.538,1.541,31131.4,47961.3061,220,11353.5,17493.9264,202306
1.54,1.543,1.533,1.536,53632.1,82447.7951,321,26702.3,41054.564,202306
1.535,1.543,1.535,1.542,22064.4,33934.2409,172,12189.8,18747.8976,202306
1.543,1.547,1.543,1.545,11161.6,17244.9403,130,6262.9,9674.7617,202306
1.545,1.554,1.545,1.554,41855.3,64843.4387,251,30691.6,47565.7375,202306
1.553,1.558,1.552,1.558,20948.8,32570.3308,171,15343.9,23857.9332,202306
1.558,1.56,1.555,1.556,16168.4,25182.1229,156,7218.7,11241.9832,202306
1.555,1.556,1.552,1.553,22720.7,35319.1821,141,11131.8,17308.6047,202306
1.553,1.553,1.549,1.549,18137.2,28123.805,76,10292.8,15957.0472,202306
1.55,1.551,1.549,1.55,8511.2,13191.0251,50,3479.7,5393.5387,202306
1.551,1.551,1.549,1.55,10709.9,16600.8158,50,3163.2,4903.6027,202306
1.55,1.552,1.55,1.551,11471.5,17795.4916,74,8080.5,12535.358,202306
1.551,1.554,1.55,1.554,6034.8,9366.1785,62,2457.2,3814.6789,202306
1.554,1.555,1.553,1.554,8200.7,12743.8733,53,4412.8,6857.4976,202306
1.554,1.555,1.553,1.554,5899.5,9166.5699,44,1779.0,2764.5999,202306
1.554,1.555,1.552,1.553,5185.0,8054.0301,45,4156.1,6455.639,202306
1.554,1.555,1.553,1.555,12207.8,18976.7885,54,9630.2,14968.9554,202306
1.555,1.555,1.554,1.554,8958.8,13927.7364,36,2021.0,3142.2892,202306
1.554,1.555,1.553,1.554,5301.4,8238.753,32,1918.8,2982.201,202306
1.555,1.559,1.555,1.558,15818.8,24618.8584,100,12227.7,19027.3572,202306
1.558,1.559,1.556,1.556,17449.2,27179.9347,57,6877.9,10715.7892,202306
1.556,1.558,1.555,1.558,10290.6,16006.2553,63,2017.2,3138.9293,202306
1.558,1.558,1.556,1.556,5067.0,7893.4952,25,4210.0,6559.1553,202306
1.557,1.557,1.553,1.553,6282.2,9765.9077,46,3197.5,4969.5701,202306
1.554,1.555,1.553,1.555,2607.4,4053.754,20,2441.6,3796.1756,202306
1.554,1.555,1.553,1.554,9109.0,14155.3694,65,6903.8,10729.4925,202306
1.553,1.558,1.553,1.558,8669.6,13497.4151,64,7563.0,11775.3827,202306
1.559,1.56,1.558,1.56,4131.2,6437.1466,24,773.9,1206.1773,202306
1.559,1.559,1.558,1.559,7657.5,11937.4346,42,897.5,1399.2025,202306
1.559,1.561,1.558,1.56,14072.5,21954.1168,86,9661.7,15074.9688,202306
1.56,1.56,1.558,1.558,7099.0,11062.2045,35,1499.1,2337.1043,202306
1.558,1.558,1.557,1.558,3103.4,4833.0546,29,267.2,416.2976,202306
1.557,1.557,1.557,1.557,251.6,391.7412,7,0.0,0.0,202306
1.558,1.559,1.557,1.559,11403.8,17767.484,55,8030.3,12512.199,202306
1.558,1.559,1.558,1.558,2710.1,4222.4593,11,123.5,192.5365,202306
1.558,1.559,1.558,1.559,1513.8,2358.5155,10,15.1,23.5409,202306
1.559,1.56,1.558,1.559,6621.2,10322.2207,45,2927.7,4564.3003,202306
1.56,1.56,1.554,1.556,68013.7,105867.88,164,11784.6,18352.5739,202306
1.557,1.557,1.556,1.556,715.1,1112.9644,13,268.8,418.5216,202306
1.557,1.558,1.556,1.558,19041.6,29652.2256,86,12320.5,19190.2126,202306
1.558,1.558,1.557,1.558,7782.2,12118.9101,38,3452.3,5377.2558,202306
1.558,1.558,1.556,1.557,8388.8,13065.6679,37,3492.0,5440.495,202306
1.557,1.557,1.553,1.553,3992.3,6207.3212,44,999.2,1553.5869,202306
1.554,1.556,1.553,1.554,13515.9,21011.1231,51,9718.9,15106.8435,202306
1.555,1.559,1.555,1.559,8612.8,13412.3769,65,5580.0,8690.0611,202306
1.558,1.561,1.558,1.561,8277.9,12912.2181,36,7058.1,11010.5707,202306
1.561,1.561,1.56,1.56,1071.7,1672.7179,16,865.9,1351.6699,202306
1.561,1.561,1.558,1.558,17890.8,27900.7904,59,3786.7,5907.2825,202306
1.558,1.558,1.555,1.555,11098.2,17275.1083,67,4129.2,6429.6445,202306
1.555,1.555,1.55,1.551,12078.3,18743.5338,98,5084.0,7886.5754,202306
1.551,1.552,1.549,1.549,7671.7,11895.441,91,3130.3,4856.2854,202306
1.548,1.551,1.548,1.551,9604.3,14886.4988,79,6376.0,9881.0651,202306
1.551,1.555,1.55,1.554,9153.7,14213.2836,52,7040.8,10929.9261,202306
1.554,1.557,1.554,1.557,20397.0,31720.089,92,11567.9,17991.7095,202306
1.556,1.559,1.556,1.558,6521.5,10163.3804,69,3860.5,6016.4609,202306
1.558,1.559,1.557,1.557,3198.4,4982.5832,32,502.3,782.6154,202306
1.557,1.56,1.557,1.559,4663.8,7270.3124,36,1316.8,2052.4954,202306
1.56,1.56,1.558,1.558,8420.9,13132.1632,49,5792.1,9034.491,202306
