OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.918,0.919,0.917,0.917,11266.22,10340.28027,33,4900.76,4497.49243,202301
0.918,0.918,0.917,0.917,5261.21,4825.21703,19,2522.18,2313.52652,202301
0.917,0.917,0.916,0.917,283.22,259.49367,6,64.15,58.82555,202301
0.917,0.917,0.915,0.917,14720.45,13485.94233,42,13253.6,12142.32173,202301
0.918,0.918,0.918,0.918,8008.42,7351.72956,14,8008.42,7351.72956,202301
0.918,0.919,0.918,0.919,5064.81,4651.92701,9,5064.81,4651.92701,202301
0.92,0.92,0.917,0.917,12117.59,11122.20046,27,1294.49,1190.15491,202301
0.916,0.916,0.913,0.914,37640.2,34410.40297,76,22865.91,20901.25417,202301
0.914,0.914,0.912,0.913,15815.01,14444.32289,41,4070.67,3717.75993,202301
0.913,0.914,0.913,0.914,15408.65,14069.12869,45,15068.97,13759.00085,202301
0.914,0.915,0.913,0.915,5324.51,4866.9305,16,5252.87,4801.52318,202301
0.914,0.916,0.914,0.915,7637.65,6988.15644,17,2514.7,2301.01616,202301
0.914,0.916,0.914,0.914,15249.51,13951.41953,47,7482.82,6848.95729,202301
0.915,0.916,0.915,0.916,9052.74,8283.2789,26,9052.74,8283.2789,202301
0.915,0.916,0.914,0.915,7751.77,7092.80503,19,6535.03,5979.60654,202301
0.914,0.914,0.913,0.914,6979.03,6378.5952,27,274.56,250.94784,202301
0.914,0.914,0.913,0.913,6434.81,5875.99826,27,1016.73,929.29122,202301
0.913,0.914,0.913,0.913,836.59,764.19906,9,392.39,358.64446,202301
0.913,0.913,0.911,0.912,33270.5,30358.36686,117,25174.86,22972.0191,202301
0.912,0.912,0.911,0.911,7325.73,6679.63681,36,491.98,448.68576,202301
0.912,0.913,0.912,0.913,32467.54,29620.67523,49,32467.54,29620.67523,202301
0.913,0.914,0.913,0.914,27085.67,24729.93489,20,27085.67,24729.93489,202301
0.913,0.913,0.913,0.913,8380.5,7651.3965,21,3018.21,2755.62573,202301
0.914,0.914,0.913,0.913,5810.06,5309.62284,22,877.66,802.18124,202301
0.913,0.913,0.911,0.912,5540.8,5055.10953,29,780.78,712.16381,202301
0.911,0.911,0.909,0.91,62349.51,56748.20819,118,6785.63,6176.32871,202301
0.91,0.913,0.91,0.913,39492.57,35999.1893,90,33041.54,30127.77023,202301
0.913,0.914,0.912,0.913,17659.57,16129.16657,44,9214.72,8421.94052,202301
0.913,0.913,0.912,0.913,11264.54,10273.54546,23,2636.21,2404.5085,202301
0.913,0.915,0.913,0.915,3117.94,2849.02952,24,2859.28,2612.61428,202301
0.915,0.917,0.915,0.917,10223.77,9358.95812,28,6481.85,5934.14368,202301
0.917,0.917,0.914,0.915,26732.9,24481.93248,55,20373.78,18660.66209,202301
0.915,0.915,0.914,0.914,549.8,502.57377,5,56.57,51.76155,202301
0.914,0.914,0.913,0.914,3737.48,3414.28311,17,253.62,231.80868,202301
0.914,0.914,0.914,0.914,2231.78,2039.84692,4,2231.78,2039.84692,202301
0.914,0.914,0.913,0.914,5430.04,4958.36391,12,737.39,673.97446,202301
0.914,0.914,0.912,0.913,46055.22,42042.26786,83,12024.34,10979.56779,202301
0.913,0.914,0.913,0.914,4585.96,4187.0227,11,4585.96,4187.0227,202301
0.914,0.914,0.914,0.914,44.25,40.4445,2,44.25,40.4445,202301
0.913,0.913,0.91,0.911,24933.49,22727.16894,59,746.06,680.57863,202301
0.911,0.915,0.911,0.914,17118.13,15625.22082,72,14253.6,13007.49484,202301
0.914,0.915,0.914,0.915,4257.78,3895.4687,21,2957.82,2706.0053,202301
0.915,0.915,0.915,0.915,5640.91,5161.43265,22,1949.12,1783.4448,202301
0.916,0.916,0.914,0.914,13035.08,11927.72122,63,3299.46,3018.12347,202301
0.914,0.915,0.914,0.915,67.7,61.89091,2,13.11,11.99565,202301
0.914,0.914,0.913,0.913,5333.04,4872.32372,16,173.96,158.99944,202301
0.913,0.916,0.912,0.916,15160.12,13859.58987,43,9965.98,9116.6918,202301
0.915,0.915,0.915,0.915,65.32,59.7678,1,0.0,0.0,202301
0.915,0.915,0.914,0.914,12710.38,11619.51783,36,6943.9,6347.61888,202301
0.914,0.914,0.912,0.913,7169.39,6547.15718,24,764.03,697.70334,202301
0.913,0.913,0.912,0.912,5735.78,5234.13875,17,1941.7,1772.7721,202301
0.912,0.913,0.911,0.913,13235.92,12079.43057,49,10447.94,9534.5131,202301
0.912,0.912,0.911,0.912,3947.23,3599.08799,33,1411.2,1286.63616,202301
0.912,0.912,0.911,0.911,5536.44,5045.95421,18,2257.37,2058.72144,202301
0.911,0.911,0.91,0.91,1638.16,1492.29216,6,1566.56,1427.13616,202301
0.911,0.912,0.911,0.912,20802.17,18958.51114,42,15437.89,14071.6108,202301
0.912,0.913,0.912,0.912,4341.25,3959.40286,16,182.86,166.95118,202301
0.911,0.912,0.911,0.912,581.74,530.12856,5,163.42,149.03904,202301
0.912,0.913,0.912,0.912,2848.24,2597.61429,29,1369.12,1248.65685,202301
0.911,0.912,0.911,0.911,9690.57,8828.14984,30,6705.92,6109.13369,202301
0.912,0.912,0.911,0.911,5563.55,5073.43084,29,2323.27,2118.82224,202301
0.911,0.912,0.911,0.912,1642.8,1496.60505,17,14.25,12.996,202301
0.911,0.911,0.91,0.91,16073.42,14632.32812,54,2294.59,2088.43736,202301
0.91,0.91,0.909,0.909,31663.91,28789.49168,39,3935.12,3580.9592,202301
0.91,0.912,0.91,0.912,10247.23,9338.67878,49,9784.95,8917.5417,202301
0.913,0.915,0.913,0.915,12387.64,11315.51129,37,11013.12,10059.20001,202301
0.915,0.915,0.913,0.913,13129.8,12002.8916,37,8828.59,8073.23678,202301
0.914,0.914,0.913,0.913,22838.2,20853.82363,34,0.0,0.0,202301
0.913,0.914,0.913,0.914,6153.24,5618.22125,18,4652.09,4247.6713,202301
0.914,0.915,0.914,0.914,22328.42,20418.09789,66,16338.35,14940.97738,202301
0.914,0.914,0.913,0.913,7343.78,6705.09154,17,4978.1,4545.2257,202301
0.913,0.913,0.912,0.913,47290.05,43135.6435,32,785.91,717.53583,202301
0.913,0.914,0.913,0.914,4822.22,4402.71968,7,4822.22,4402.71968,202301
0.914,0.915,0.913,0.915,6744.0,6165.14448,33,6058.12,5538.93604,202301
0.915,0.915,0.913,0.914,16531.3,15109.19605,38,2322.25,2123.03809,202301
0.914,0.915,0.914,0.915,14301.69,13080.88769,50,13554.12,12397.60871,202301
0.915,0.915,0.914,0.915,3126.27,2858.69987,28,1289.09,1179.51735,202301
0.915,0.916,0.914,0.916,13746.68,12578.08791,51,6871.0,6287.64393,202301
0.915,0.916,0.915,0.915,6951.52,6361.42099,34,1142.99,1046.61604,202301
0.915,0.915,0.914,0.915,5626.47,5144.08652,30,1492.94,1366.0401,202301
0.915,0.916,0.914,0.916,14672.76,13432.17152,52,7337.09,6715.21268,202301
0.916,0.916,0.914,0.915,2210.49,2022.56342,31,1075.45,984.52682,202301
0.915,0.915,0.915,0.915,1072.51,981.34665,16,1072.51,981.34665,202301
0.915,0.916,0.915,0.916,18910.29,17314.93531,40,17088.58,15648.07066,202301
0.915,0.916,0.914,0.915,9996.41,9146.26657,44,1771.57,1622.47976,202301
0.915,0.915,0.914,0.915,11905.15,10883.10167,50,5780.53,5285.19899,202301
0.914,0.915,0.913,0.913,12794.89,11693.51771,48,3342.93,3058.02253,202301
0.914,0.914,0.912,0.913,16494.0,15056.27922,52,2319.64,2118.24631,202301
0.913,0.913,0.912,0.912,7313.33,6670.73323,25,976.27,891.33451,202301
0.912,0.914,0.912,0.914,41567.57,37922.59918,124,14093.53,12862.11811,202301
0.914,0.914,0.913,0.914,5311.19,4850.66228,23,1545.81,1412.87034,202301
0.914,0.915,0.913,0.915,10033.43,9168.82029,44,6241.77,5707.03471,202301
0.915,0.916,0.914,0.916,13432.76,12288.8958,50,7969.13,7292.61686,202301
0.915,0.916,0.914,0.915,12816.91,11730.37894,38,6758.45,6186.91781,202301
0.915,0.916,0.914,0.916,12792.2,11707.71436,47,8304.05,7601.0766,202301
0.916,0.917,0.915,0.916,10625.94,9731.06147,44,6151.47,5635.83652,202301
0.916,0.916,0.915,0.916,5124.17,4689.86774,27,1252.19,1147.00604,202301
0.916,0.916,0.915,0.915,7911.62,7240.77294,37,1640.64,1502.82624,202301
0.916,0.916,0.914,0.915,12157.56,11114.834,51,2746.27,2512.31942,202301
0.914,0.916,0.914,0.916,7303.17,6678.72399,35,3613.14,3306.03657,202301
0.915,0.916,0.914,0.915,9110.68,8334.65209,32,3171.85,2902.33414,202301
0.915,0.916,0.915,0.915,4360.46,3990.0209,17,200.0,183.2,202301
0.915,0.915,0.913,0.913,31096.46,28425.3628,50,4877.61,4460.08335,202301
0.913,0.914,0.913,0.913,5644.75,5153.79323,21,136.48,124.74272,202301
0.913,0.914,0.913,0.913,9299.6,8491.92288,36,1388.08,1268.70512,202301
0.913,0.914,0.913,0.914,5367.22,4900.30531,14,33.45,30.5733,202301
0.913,0.914,0.912,0.913,9011.86,8226.18669,34,4725.34,4314.63542,202301
0.913,0.914,0.912,0.912,4728.33,4316.96529,10,19.41,17.74074,202301
0.913,0.913,0.912,0.912,5044.49,4604.0108,19,4257.09,3885.902,202301
0.911,0.912,0.911,0.911,1092.82,995.6117,11,52.68,48.04416,202301
0.911,0.912,0.91,0.912,5604.3,5105.35228,23,3234.23,2946.42151,202301
0.911,0.914,0.911,0.913,13720.14,12510.47936,57,6512.94,5941.6645,202301
0.913,0.913,0.912,0.912,12893.05,11764.87884,120,5667.92,5174.81096,202301
0.912,0.913,0.912,0.912,12007.24,10957.04519,54,6203.02,5662.56579,202301
0.912,0.913,0.912,0.913,8771.33,8005.10286,35,8422.51,7686.97902,202301
0.913,0.914,0.913,0.914,4587.37,4191.16499,21,4587.37,4191.16499,202301
0.913,0.915,0.913,0.915,6943.75,6348.54147,24,6099.92,5577.30168,202301
0.915,0.916,0.914,0.915,2511.8,2297.70802,18,1881.51,1721.60355,202301
0.916,0.916,0.915,0.915,14941.0,13685.37763,26,14362.63,13156.16908,202301
0.915,0.916,0.915,0.915,1565.78,1434.11853,7,1429.83,1309.72428,202301
0.915,0.915,0.914,0.915,6873.18,6288.94087,22,327.86,299.9919,202301
0.915,0.915,0.915,0.915,2115.58,1935.7557,11,2080.25,1903.42875,202301
0.915,0.917,0.915,0.917,6424.49,5883.87595,22,5439.22,4982.3539,202301
