OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
135.0,135.2,135.0,135.0,168.043,22688.6731,43,14.34,1938.72,202108
135.1,135.2,135.0,135.2,86.438,11678.6848,37,52.968,7158.8839,202108
135.2,135.2,135.0,135.0,38.065,5139.2235,13,1.887,255.1224,202108
135.0,136.0,135.0,135.7,495.894,67218.3788,44,313.796,42509.2624,202108
135.8,136.5,135.2,136.0,182.108,24793.455,114,159.991,21795.1915,202108
136.3,137.0,135.7,136.6,312.536,42759.8413,108,243.025,33270.5762,202108
136.8,137.0,135.8,136.7,139.14,18981.1673,111,38.462,5245.6349,202108
136.7,137.5,136.0,137.5,379.884,51966.1514,164,282.646,38698.7998,202108
137.5,138.7,136.7,138.5,262.698,36211.3487,195,170.159,23471.8091,202108
138.6,139.1,138.2,139.1,293.709,40784.054,130,215.835,29988.9126,202108
139.0,139.0,137.0,137.2,508.154,70025.0044,294,241.687,33230.5619,202108
137.6,138.0,136.5,137.8,306.122,41944.9498,191,143.54,19670.8596,202108
137.9,138.0,137.5,137.7,38.129,5250.664,52,15.243,2100.4831,202108
137.7,138.3,137.7,138.1,45.635,6296.6184,67,26.74,3691.287,202108
138.0,138.4,137.1,138.1,215.261,29642.6499,174,73.186,10107.8419,202108
138.1,139.0,138.1,138.6,96.517,13392.5226,59,77.122,10703.5416,202108
138.6,138.9,137.7,138.3,114.911,15882.505,119,44.831,6209.4915,202108
138.3,138.6,138.2,138.5,52.311,7239.7152,69,25.797,3571.9639,202108
138.5,138.5,137.0,137.0,87.789,12082.3309,117,24.264,3343.6514,202108
137.1,138.5,137.0,137.6,363.251,50082.8344,129,323.37,44603.019,202108
137.6,138.2,137.5,138.1,87.673,12088.9663,92,54.818,7558.5759,202108
138.1,138.5,137.9,138.3,61.203,8462.1344,33,26.904,3721.6093,202108
138.3,138.3,137.8,138.1,56.043,7735.3794,51,35.772,4940.9548,202108
138.0,138.9,138.0,138.6,135.958,18826.0199,50,117.623,16288.0248,202108
138.6,139.2,138.4,139.1,143.703,19969.5516,71,107.496,14945.1214,202108
139.1,139.7,138.5,139.4,145.801,20307.3462,168,102.148,14243.6456,202108
139.4,139.8,139.0,139.7,134.391,18702.8188,85,29.47,4109.3344,202108
139.6,145.0,139.2,144.4,1883.104,267683.5509,904,1461.434,207753.776,202108
144.1,145.0,142.7,144.8,1908.189,275602.6081,685,1404.882,203265.6708,202108
144.8,147.1,143.7,146.7,1760.901,256169.3945,598,1463.83,212896.2616,202108
146.7,148.7,144.4,147.8,1897.636,277026.2573,794,1274.711,186254.8704,202108
148.1,149.6,147.6,149.5,1189.637,177533.4099,543,719.961,107529.0301,202108
149.5,153.1,148.1,152.3,2405.332,361902.7501,968,1586.41,238697.1032,202108
152.2,153.8,150.0,150.4,2128.709,323596.7303,1005,1287.411,195991.7298,202108
150.4,151.8,147.4,149.7,1455.59,217725.3362,1119,445.5,66517.7356,202108
148.7,152.2,148.6,151.9,842.568,126267.5125,415,695.244,104152.0247,202108
151.6,152.0,149.3,150.2,682.468,102676.3931,285,218.311,32849.0885,202108
150.2,151.9,149.5,149.7,465.122,70120.9477,234,297.502,44855.709,202108
149.7,150.4,148.3,149.4,903.828,135012.5157,324,235.32,35240.4198,202108
149.4,150.5,149.0,150.0,309.403,46290.361,136,237.92,35597.0597,202108
149.9,150.3,149.0,149.7,513.964,76757.797,185,66.467,9958.2448,202108
149.7,150.3,148.8,150.2,693.433,104023.0784,171,529.646,79518.1586,202108
149.9,155.4,149.9,154.8,2102.745,322323.2373,858,1663.269,255369.0985,202108
154.3,155.3,151.7,152.3,2161.879,331517.6292,1048,812.149,124866.8913,202108
152.5,152.7,150.4,150.4,643.493,97630.0018,377,242.552,36826.4501,202108
150.5,151.1,149.7,149.7,558.174,83876.7231,266,209.606,31551.7144,202108
149.8,150.6,149.5,149.5,284.546,42705.3741,107,193.739,29088.8338,202108
149.9,151.2,149.8,150.6,285.397,42995.9062,166,145.352,21886.3104,202108
150.8,150.8,148.5,148.8,760.137,113438.4877,392,106.782,15957.1967,202108
148.8,149.0,146.0,147.3,1102.241,162333.7105,531,469.397,69257.1426,202108
147.0,149.6,146.8,149.2,481.339,71260.5306,233,357.905,53007.8415,202108
