OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
2.388,2.415,2.379,2.415,125479.6,299862.32809,713,61855.75,148035.01203,202305
2.413,2.415,2.401,2.415,55823.69,134382.19224,312,34955.44,84159.63696,202305
2.415,2.418,2.411,2.414,33128.39,80011.16942,204,14189.92,34265.61746,202305
2.413,2.414,2.398,2.398,27727.3,66730.94885,179,17336.72,41734.05369,202305
2.399,2.399,2.392,2.395,26657.92,63863.025,205,9123.19,21854.61075,202305
2.395,2.398,2.379,2.397,289077.99,689714.7618,773,111626.01,266567.19849,202305
2.397,2.397,2.381,2.393,187973.17,449297.29336,697,84828.49,202708.82518,202305
2.392,2.397,2.386,2.388,31198.92,74626.19899,163,14922.62,35698.55513,202305
2.388,2.388,2.378,2.385,88451.36,210617.28425,442,32363.39,77094.35883,202305
2.385,2.389,2.381,2.389,42990.27,102474.74806,228,17065.87,40698.54334,202305
2.387,2.389,2.373,2.374,59431.34,141424.93356,363,21333.43,50808.3767,202305
2.374,2.397,2.368,2.393,127548.48,303363.61344,605,72876.74,173564.8714,202305
2.392,2.404,2.379,2.403,53317.77,127584.47671,464,36955.19,88491.29954,202305
2.404,2.409,2.398,2.407,84796.62,203919.19178,352,70487.87,169547.75898,202305
2.408,2.467,2.399,2.419,421065.53,1025987.00667,2484,257273.38,626256.36085,202305
2.418,2.448,2.413,2.418,396382.91,962973.65863,2168,247681.96,601819.98818,202305
2.418,2.446,2.415,2.435,201463.92,490239.12314,957,109870.23,267216.081,202305
2.435,2.451,2.432,2.44,92352.2,225301.34924,536,66908.17,163255.51023,202305
2.441,2.448,2.436,2.437,82012.91,200382.7056,456,48182.68,117786.73458,202305
2.436,2.438,2.399,2.402,147121.76,355522.87121,1028,57260.23,138324.59056,202305
2.4,2.405,2.383,2.386,164662.95,394597.60452,904,52080.52,124766.78019,202305
2.386,2.404,2.381,2.399,114780.85,274789.00922,708,57533.53,137767.53266,202305
2.401,2.408,2.373,2.394,142566.95,340333.77195,1075,43288.93,103453.52064,202305
2.393,2.42,2.389,2.42,86250.21,207006.07544,559,63299.24,152004.83885,202305
2.42,2.42,2.399,2.41,88023.42,212194.12886,521,40255.32,97053.49184,202305
2.41,2.41,2.384,2.388,100269.41,240370.04446,520,33456.24,80133.2703,202305
