OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
46.62,46.62,46.5,46.58,131.82,6138.0333,87,72.26,3364.1458,202305
46.54,46.54,46.46,46.5,25.45,1183.4079,25,1.07,49.755,202305
46.46,46.55,46.46,46.54,30.22,1405.455,18,27.75,1290.6988,202305
46.51,46.58,46.5,46.5,40.72,1894.9787,23,33.87,1576.3285,202305
46.52,46.52,46.5,46.52,16.74,778.6411,5,12.09,562.3731,202305
46.51,46.51,46.36,46.43,167.7,7780.8386,66,99.63,4620.43,202305
46.41,46.41,46.35,46.35,46.34,2148.4114,19,20.64,956.664,202305
46.35,46.5,46.35,46.41,40.85,1895.5631,24,24.68,1144.9731,202305
46.43,46.43,46.4,46.4,16.84,781.6607,8,1.85,85.8634,202305
46.43,46.56,46.41,46.54,61.46,2857.0661,40,41.22,1916.0966,202305
46.49,46.49,46.44,46.47,59.36,2758.3271,24,7.85,364.7895,202305
46.46,46.58,46.46,46.55,54.89,2554.2188,38,33.84,1574.6239,202305
46.55,46.55,46.55,46.55,0.0,0.0,0,0.0,0.0,202305
46.54,46.56,46.54,46.56,2.38,110.7722,3,0.35,16.296,202305
46.54,46.55,46.48,46.55,27.58,1282.8378,25,13.28,617.7261,202305
46.54,46.56,46.52,46.52,38.09,1772.7399,17,8.81,410.0517,202305
46.52,46.54,46.49,46.49,41.75,1941.98,18,1.47,68.4138,202305
46.48,46.48,46.48,46.48,3.93,182.6664,2,0.0,0.0,202305
46.52,46.59,46.52,46.58,100.08,4657.2523,31,87.14,4054.4313,202305
46.56,46.56,45.71,45.78,592.6,27267.5497,202,126.78,5800.1278,202305
45.8,45.8,45.39,45.41,208.89,9516.0726,154,33.5,1523.5339,202305
45.38,45.44,45.38,45.39,46.59,2114.7152,22,35.91,1629.9662,202305
45.39,45.39,45.27,45.29,93.4,4232.3984,55,13.24,599.6249,202305
45.29,45.38,45.27,45.38,70.4,3190.2487,39,59.83,2711.7049,202305
45.33,45.63,45.21,45.53,226.84,10296.328,132,154.61,7024.1135,202305
45.54,45.56,45.28,45.4,167.91,7624.4843,51,10.26,466.9173,202305
45.4,45.55,45.4,45.55,68.15,3099.7264,67,64.54,2935.8324,202305
45.53,45.55,45.52,45.55,9.2,418.9442,6,6.72,306.0321,202305
45.51,45.51,45.39,45.4,94.64,4304.2123,41,1.25,56.8125,202305
45.4,45.4,45.33,45.35,49.01,2223.6801,36,16.11,731.0749,202305
45.39,45.42,45.37,45.37,37.3,1693.1763,23,27.78,1261.2264,202305
45.37,45.37,45.37,45.37,0.0,0.0,0,0.0,0.0,202305
45.4,45.4,45.4,45.4,4.45,202.03,3,4.45,202.03,202305
45.37,45.41,45.37,45.37,5.09,230.9457,3,4.31,195.5571,202305
45.36,45.4,45.36,45.4,0.7,31.7684,2,0.41,18.614,202305
45.4,45.4,45.4,45.4,0.93,42.222,1,0.93,42.222,202305
45.36,45.36,45.36,45.36,4.41,200.0376,3,0.0,0.0,202305
45.36,45.36,45.32,45.35,17.66,800.7755,15,4.25,192.7652,202305
45.36,45.36,45.11,45.18,156.42,7075.462,60,32.58,1474.834,202305
45.18,45.39,45.15,45.34,414.58,18761.1996,110,373.29,16894.6696,202305
45.33,45.34,45.32,45.34,18.28,828.6941,6,14.43,654.2121,202305
45.32,45.33,45.25,45.33,74.78,3387.9197,70,39.38,1784.8898,202305
45.31,45.31,45.31,45.31,1.73,78.3863,2,0.0,0.0,202305
45.3,45.33,45.28,45.33,6.51,294.9178,7,1.31,59.3721,202305
45.33,45.33,45.19,45.31,97.34,4407.1119,64,42.39,1920.4695,202305
45.31,45.31,45.28,45.28,2.08,94.1932,3,0.85,38.4988,202305
45.26,45.26,45.23,45.23,8.94,404.5257,9,0.0,0.0,202305
45.27,45.31,45.27,45.27,53.84,2438.7971,41,29.62,1341.7086,202305
45.26,45.26,45.12,45.17,64.5,2914.8808,30,14.99,677.4136,202305
45.16,45.16,45.16,45.16,5.78,261.0248,4,4.76,214.9616,202305
45.16,45.17,45.15,45.15,12.29,555.0762,7,11.19,505.4112,202305
45.15,45.15,45.14,45.14,11.23,507.0276,6,0.0,0.0,202305
45.16,45.16,45.08,45.13,52.4,2364.1532,37,4.6,207.7176,202305
45.14,45.17,45.14,45.17,28.39,1281.9481,40,27.37,1235.8849,202305
45.15,45.16,45.13,45.13,9.39,423.9278,11,0.95,42.902,202305
45.16,45.16,45.05,45.11,52.32,2359.3806,41,8.89,401.0442,202305
45.08,45.15,45.08,45.15,28.05,1265.7639,25,25.96,1171.5467,202305
45.15,45.16,45.15,45.16,19.36,874.1101,11,11.62,524.6491,202305
45.15,45.5,45.15,45.41,447.02,20267.2225,124,410.16,18596.0064,202305
45.46,45.46,45.46,45.46,8.23,374.1358,3,4.39,199.5694,202305
45.44,45.47,45.43,45.47,28.46,1293.7104,10,0.47,21.3568,202305
45.47,45.48,45.44,45.48,32.32,1469.6279,15,5.11,232.3991,202305
45.49,45.51,45.48,45.49,68.31,3108.0612,25,61.3,2789.2234,202305
45.49,45.51,45.44,45.44,106.2,4828.557,36,57.08,2594.8719,202305
45.5,45.51,45.4,45.42,46.07,2093.0878,21,1.68,76.4458,202305
45.44,45.44,45.32,45.33,36.0,1633.4308,21,10.98,498.0126,202305
45.33,45.33,45.27,45.3,21.68,982.249,18,1.54,69.762,202305
45.3,45.3,45.08,45.15,133.58,6036.4501,59,11.65,526.6953,202305
45.15,45.15,44.98,45.1,171.23,7711.9543,98,41.88,1887.2202,202305
