OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.915,1.922,1.909,1.922,25117.5,48108.0811,231,14037.2,26888.2524,202209
1.923,1.929,1.922,1.929,28027.6,53990.5898,256,19543.9,37647.3129,202209
1.928,1.93,1.927,1.929,37272.0,71891.071,272,22780.9,43946.0703,202209
1.928,1.931,1.923,1.923,34659.6,66838.35,355,18816.7,36295.936,202209
1.922,1.923,1.921,1.921,14201.6,27302.9469,91,2547.4,4896.6946,202209
1.92,1.926,1.919,1.924,9570.6,18404.58,111,5940.6,11423.4054,202209
1.924,1.927,1.919,1.92,16530.7,31801.9615,111,8591.2,16534.5845,202209
1.92,1.922,1.907,1.909,35285.1,67510.661,354,16275.2,31132.9954,202209
1.909,1.91,1.893,1.894,220497.8,418852.3442,1648,88321.9,167808.4904,202209
1.894,1.899,1.892,1.899,77542.6,146943.3632,451,25009.2,47429.3555,202209
1.898,1.902,1.897,1.901,18896.5,35892.9824,229,11711.9,22245.5798,202209
1.902,1.911,1.901,1.908,10278.8,19604.9186,130,4824.3,9194.2529,202209
1.908,1.913,1.905,1.913,10667.9,20371.5279,139,6570.6,12550.9749,202209
1.913,1.913,1.909,1.912,7693.1,14709.1524,100,2626.6,5022.3014,202209
1.911,1.912,1.906,1.907,13800.3,26370.146,136,4907.5,9377.5514,202209
1.906,1.913,1.906,1.911,7558.6,14447.0077,72,4408.5,8425.906,202209
1.91,1.912,1.907,1.91,10230.7,19538.6253,98,4050.6,7732.5321,202209
1.911,1.913,1.909,1.909,8277.7,15822.778,87,3502.4,6695.91,202209
1.91,1.913,1.907,1.911,13669.8,26111.3636,120,3442.5,6574.6861,202209
1.912,1.917,1.912,1.915,12597.1,24118.653,141,5980.4,11453.4671,202209
1.915,1.92,1.914,1.917,18863.7,36149.4207,257,7075.1,13563.4209,202209
1.918,1.919,1.914,1.914,12060.8,23117.5374,160,3345.2,6411.7706,202209
1.915,1.919,1.915,1.916,8654.5,16591.3244,129,4267.2,8181.6629,202209
1.916,1.918,1.915,1.916,12706.7,24352.15,159,4958.3,9506.1356,202209
1.916,1.922,1.915,1.921,8446.5,16214.5623,111,6432.1,12348.2514,202209
1.921,1.923,1.919,1.92,24718.1,47483.6781,210,17194.5,33030.1922,202209
1.919,1.926,1.919,1.924,12441.4,23936.6099,191,9098.1,17506.2146,202209
1.924,1.925,1.923,1.924,11155.9,21469.3937,138,8078.1,15546.9678,202209
