OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.3829,0.3829,0.3814,0.382,216426.0,82719.8659,215,104214.0,39832.5979,202301
0.3821,0.3823,0.3808,0.3809,92528.0,35298.3377,114,33921.0,12932.2137,202301
0.3809,0.3813,0.3806,0.3807,97738.0,37241.7558,99,39398.0,15013.6426,202301
0.3806,0.3807,0.3799,0.3806,140110.0,53295.5546,136,63592.0,24184.7987,202301
0.3809,0.3813,0.3808,0.3808,52452.0,19990.013,63,20400.0,7774.5988,202301
0.3809,0.3817,0.3809,0.3814,70774.0,26989.1294,81,46373.0,17683.0435,202301
0.3816,0.3816,0.3803,0.3805,94180.0,35865.5635,120,26496.0,10081.6234,202301
0.3806,0.3806,0.3793,0.3799,256508.0,97401.5741,241,154012.0,58475.5217,202301
0.3799,0.3799,0.3791,0.3792,102290.0,38809.316,107,38751.0,14699.8301,202301
0.3791,0.38,0.3791,0.3796,70044.0,26579.0404,72,45892.0,17412.2604,202301
0.3796,0.38,0.3795,0.3799,31438.0,11938.0734,49,23199.0,8809.0901,202301
0.38,0.38,0.3796,0.3797,34355.0,13048.4126,53,6822.0,2591.234,202301
0.3796,0.3797,0.379,0.3791,72955.0,27682.5367,113,37262.0,14137.97,202301
0.3791,0.3797,0.3791,0.3797,13258.0,5027.5689,24,9206.0,3490.6183,202301
0.3798,0.3807,0.3798,0.3802,182516.0,69398.4135,122,126167.0,47962.0187,202301
0.3802,0.383,0.3795,0.383,1213130.0,462877.1261,880,769757.0,293703.5649,202301
0.383,0.3851,0.379,0.3818,3115832.0,1189825.0568,2415,1662170.0,634592.463,202301
0.3818,0.3818,0.3809,0.3809,249896.0,95325.5163,187,106385.0,40582.948,202301
0.381,0.381,0.3795,0.3805,391251.0,148743.5254,334,199491.0,75836.7792,202301
0.3804,0.3825,0.3793,0.3797,1658811.0,632265.4623,1312,807901.0,307865.0323,202301
0.3798,0.3803,0.3797,0.3799,106868.0,40604.7394,120,57022.0,21662.3514,202301
0.3798,0.3799,0.3793,0.3794,92027.0,34931.4096,112,39619.0,15038.9561,202301
0.3793,0.3794,0.3785,0.3791,115246.0,43670.5239,142,76825.0,29109.2318,202301
0.3792,0.3804,0.3792,0.3796,157530.0,59854.2828,173,72423.0,27519.2292,202301
0.3796,0.3796,0.3786,0.3789,113314.0,42950.3064,149,60181.0,22802.8444,202301
0.379,0.3797,0.379,0.3792,131722.0,49961.7497,124,65719.0,24922.159,202301
0.3793,0.3806,0.3792,0.3804,119901.0,45552.9311,132,98972.0,37595.8216,202301
0.3805,0.3808,0.3799,0.3803,50509.0,19218.9319,89,14039.0,5340.4467,202301
0.3803,0.3808,0.3802,0.3807,46108.0,17547.7014,65,22352.0,8507.3421,202301
0.3808,0.3832,0.3804,0.381,884393.0,337954.3817,858,523936.0,200228.2093,202301
0.3811,0.382,0.3792,0.3818,1113817.0,423766.4543,918,585430.0,222751.642,202301
0.3818,0.3823,0.3805,0.3805,216738.0,82685.6974,199,58046.0,22149.5012,202301
0.3807,0.381,0.3805,0.3808,97881.0,37267.6642,96,46001.0,17513.222,202301
0.3808,0.3808,0.3802,0.3805,54290.0,20659.9944,59,22011.0,8374.4094,202301
0.3806,0.3807,0.3803,0.3803,84118.0,32004.7152,66,34178.0,13003.4711,202301
0.3803,0.3807,0.3803,0.3807,26614.0,10126.2305,38,22216.0,8452.8749,202301
