OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.083e-05,1.085e-05,1.082e-05,1.084e-05,6362076141.0,68970.30633131,190,2335351902.0,25325.63751295,202304
1.084e-05,1.087e-05,1.083e-05,1.086e-05,8449295875.0,91704.43752796,246,4097999511.0,44485.45125708,202304
1.087e-05,1.087e-05,1.085e-05,1.085e-05,6934677941.0,75323.34572167,163,3597716178.0,39092.58742932,202304
1.086e-05,1.09e-05,1.086e-05,1.09e-05,8857612678.0,96303.98280737,246,5307045533.0,57712.95199592,202304
1.09e-05,1.091e-05,1.085e-05,1.086e-05,17789796154.0,193727.61648681,393,4818987526.0,52544.55738793,202304
1.086e-05,1.089e-05,1.085e-05,1.087e-05,14481880876.0,157353.02306247,404,6786025007.0,73737.18051955,202304
1.086e-05,1.087e-05,1.085e-05,1.086e-05,9571401132.0,103955.41091649,352,3442087197.0,37391.37971161,202304
1.086e-05,1.089e-05,1.085e-05,1.088e-05,61323574079.0,667101.45608307,1715,57566720755.0,626299.20394003,202304
1.088e-05,1.089e-05,1.084e-05,1.086e-05,32627162459.0,354331.19842198,1041,9325676019.0,101260.97292011,202304
1.085e-05,1.087e-05,1.084e-05,1.084e-05,16630814967.0,180501.69780179,513,4950968810.0,53773.80691737,202304
1.085e-05,1.086e-05,1.084e-05,1.084e-05,8338183830.0,90439.1212055,165,3754434375.0,40735.98244239,202304
1.084e-05,1.085e-05,1.083e-05,1.083e-05,4081249825.0,44254.76540148,134,1532948115.0,16632.14242247,202304
1.084e-05,1.085e-05,1.083e-05,1.085e-05,6368066480.0,69045.23078541,200,4072544715.0,44162.74154431,202304
1.084e-05,1.084e-05,1.078e-05,1.079e-05,23417487687.0,253065.59001202,682,3733528481.0,40340.8389542,202304
1.079e-05,1.082e-05,1.079e-05,1.082e-05,11221005044.0,121187.29559753,310,10118013524.0,109275.34848549,202304
1.082e-05,1.082e-05,1.08e-05,1.082e-05,8736351277.0,94450.77975968,221,3100342893.0,33534.10496564,202304
1.082e-05,1.083e-05,1.08e-05,1.083e-05,10240856069.0,110766.25724419,207,3463085921.0,37459.71833814,202304
1.083e-05,1.083e-05,1.081e-05,1.081e-05,5949783289.0,64378.97123106,149,2785431992.0,30142.87896171,202304
1.082e-05,1.084e-05,1.081e-05,1.082e-05,8701991677.0,94214.36869209,202,4099734591.0,44389.8048803,202304
1.083e-05,1.084e-05,1.082e-05,1.082e-05,7855208565.0,85101.08360438,174,5669042201.0,61427.88845869,202304
1.082e-05,1.084e-05,1.082e-05,1.084e-05,5765095490.0,62422.921118,148,2815915529.0,30496.80591615,202304
1.084e-05,1.085e-05,1.082e-05,1.085e-05,5171696238.0,56015.06760499,139,2970295336.0,32177.72244181,202304
1.084e-05,1.087e-05,1.084e-05,1.087e-05,12032248339.0,130594.4328188,349,6982427775.0,75793.3140921,202304
1.086e-05,1.088e-05,1.085e-05,1.088e-05,5635767677.0,61239.08858036,250,3492910374.0,37965.69898361,202304
1.087e-05,1.092e-05,1.086e-05,1.091e-05,32499929301.0,354062.82796828,702,22557226900.0,245725.09168774,202304
1.091e-05,1.093e-05,1.09e-05,1.091e-05,22955158720.0,250541.2313982,422,16092611600.0,175654.08549328,202304
1.091e-05,1.093e-05,1.088e-05,1.089e-05,11129582732.0,121377.2342419,267,3909094280.0,42666.13906874,202304
1.088e-05,1.09e-05,1.085e-05,1.087e-05,11072674297.0,120343.75702134,359,5171290941.0,56190.93981915,202304
1.086e-05,1.089e-05,1.086e-05,1.089e-05,6547626055.0,71177.70913467,164,2953837079.0,32113.96733691,202304
1.089e-05,1.089e-05,1.086e-05,1.087e-05,4291058567.0,46668.29839552,115,1674423821.0,18216.00105126,202304
