OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
3.014,3.021,2.989,3.014,3929.702,11798.227263,100,881.484,2651.111537,202011
3.006,3.021,3.005,3.018,5541.221,16708.65485,129,2868.819,8661.712697,202011
3.015,3.036,3.013,3.024,1926.751,5821.813426,40,1127.018,3404.837419,202011
3.029,3.03,3.013,3.015,600.806,1814.96765,27,0.0,0.0,202011
3.016,3.025,3.016,3.023,202.511,611.449879,11,5.813,17.584325,202011
3.023,3.031,3.019,3.025,128.179,387.693664,10,33.079,100.222224,202011
3.015,3.015,3.008,3.013,38.026,114.460079,7,6.819,20.545647,202011
3.005,3.005,2.987,2.987,377.091,1129.183787,29,15.498,46.516589,202011
2.986,2.986,2.972,2.979,1083.649,3227.332493,32,412.271,1228.158752,202011
2.98,3.004,2.976,3.004,390.073,1164.452019,18,308.304,920.023981,202011
3.005,3.007,2.997,2.997,838.018,2516.811876,25,4.148,12.473036,202011
2.997,3.003,2.997,3.002,110.76,332.300961,6,0.0,0.0,202011
3.002,3.002,3.001,3.001,51.3,153.954634,2,0.0,0.0,202011
3.004,3.007,3.004,3.005,262.29,788.172263,13,0.0,0.0,202011
3.008,3.018,3.007,3.018,268.505,808.042178,16,62.34,187.825823,202011
3.014,3.014,3.013,3.013,66.4,200.071727,3,0.0,0.0,202011
3.015,3.016,3.007,3.007,1295.645,3903.017696,17,88.172,265.867902,202011
3.009,3.009,3.006,3.006,141.471,425.296139,6,8.271,24.887439,202011
3.006,3.006,2.994,2.994,683.924,2052.768399,20,0.0,0.0,202011
2.995,2.995,2.99,2.991,11.633,34.807031,3,3.576,10.695816,202011
2.99,2.99,2.983,2.985,81.619,243.661054,11,10.336,30.843204,202011
2.983,2.985,2.975,2.979,2372.951,7064.856801,76,272.519,812.675787,202011
2.976,2.99,2.975,2.977,2002.791,5970.634898,54,603.225,1801.819638,202011
2.978,2.986,2.975,2.981,4146.016,12350.403931,115,293.32,875.66622,202011
2.988,2.988,2.987,2.988,288.653,862.365324,9,264.638,790.608504,202011
2.985,2.985,2.985,2.985,11.868,35.42598,1,0.0,0.0,202011
2.984,2.99,2.983,2.983,190.704,569.023644,7,11.868,35.48532,202011
2.983,2.99,2.976,2.977,1764.056,5254.14965,39,24.911,74.37309,202011
2.975,2.98,2.971,2.974,446.52,1327.966034,22,21.31,63.489522,202011
2.975,2.988,2.974,2.988,1101.376,3283.777647,26,545.25,1625.202842,202011
2.987,2.987,2.976,2.976,1192.911,3556.57123,36,0.0,0.0,202011
2.976,2.976,2.962,2.962,976.98,2900.252417,31,42.53,126.1928,202011
2.962,2.971,2.957,2.965,2045.96,6063.567378,48,833.546,2471.866538,202011
2.969,2.971,2.957,2.958,1126.515,3336.553287,59,158.256,469.929599,202011
2.955,2.96,2.95,2.952,2159.277,6375.813892,35,375.104,1107.797326,202011
2.95,2.974,2.947,2.962,2960.557,8767.840339,73,1125.637,3336.9697,202011
2.96,2.96,2.95,2.956,872.874,2578.046947,23,321.682,950.167593,202011
2.96,2.962,2.953,2.953,1258.574,3721.58989,22,392.16,1160.883954,202011
2.955,2.963,2.954,2.956,86.422,255.563141,10,22.163,65.646252,202011
2.954,2.957,2.954,2.957,50.924,150.460948,6,0.0,0.0,202011
2.952,2.952,2.947,2.951,216.425,638.704903,9,6.362,18.774262,202011
2.947,2.951,2.945,2.951,330.63,974.419485,20,18.64,55.002463,202011
2.951,2.956,2.948,2.949,803.215,2371.603417,31,253.614,749.236347,202011
2.949,2.952,2.949,2.952,129.316,381.482,7,0.0,0.0,202011
2.958,2.958,2.949,2.949,337.115,996.41317,9,15.101,44.646202,202011
2.945,2.948,2.936,2.941,3363.375,9895.067912,99,1086.107,3196.390926,202011
2.941,2.963,2.941,2.959,1736.908,5137.726695,60,735.98,2175.213989,202011
2.962,2.963,2.962,2.962,221.858,657.26142,25,0.0,0.0,202011
2.959,2.964,2.951,2.951,1231.408,3640.07096,19,209.938,620.142541,202011
2.952,2.952,2.93,2.94,2684.3,7878.272378,36,360.045,1057.294687,202011
2.938,2.938,2.934,2.934,287.545,844.099922,6,102.5,301.145,202011
2.94,2.94,2.932,2.932,456.353,1338.409282,8,5.0,14.7,202011
2.932,2.939,2.932,2.937,302.734,889.461124,12,260.423,765.311017,202011
2.937,2.945,2.937,2.944,461.163,1355.369906,10,457.731,1345.28669,202011
2.945,2.946,2.945,2.946,5.357,15.777531,2,5.357,15.777531,202011
2.945,2.945,2.937,2.943,129.428,380.420188,6,37.82,111.333688,202011
2.94,2.944,2.937,2.944,365.668,1074.561471,9,28.114,82.757037,202011
2.947,2.947,2.947,2.947,70.0,206.29,1,70.0,206.29,202011
2.949,2.949,2.949,2.949,35.0,103.215,1,35.0,103.215,202011
2.953,2.953,2.953,2.953,3.544,10.465432,1,3.544,10.465432,202011
2.953,2.953,2.953,2.953,0.0,0.0,0,0.0,0.0,202011
2.941,2.944,2.937,2.944,798.437,2347.047646,15,237.67,698.817728,202011
2.942,2.943,2.942,2.943,32.69,96.18784,2,32.69,96.18784,202011
2.944,2.944,2.944,2.944,85.521,251.773824,3,85.521,251.773824,202011
2.943,2.943,2.935,2.935,1059.879,3112.310706,8,368.33,1082.45244,202011
2.948,2.949,2.948,2.949,53.6,158.055265,2,53.6,158.055265,202011
2.954,2.955,2.951,2.951,69.74,206.03295,3,58.49,172.8342,202011
2.951,2.951,2.888,2.92,44421.762,129347.903048,348,10401.98,30293.298791,202011
2.918,2.95,2.902,2.937,13813.14,40466.454638,220,9237.061,27067.821591,202011
2.935,2.938,2.917,2.917,682.537,1998.236555,21,571.753,1674.174843,202011
2.919,2.927,2.919,2.923,239.197,698.957488,17,69.107,202.036474,202011
2.924,2.924,2.915,2.915,363.245,1060.522337,18,11.045,32.196175,202011
2.914,2.917,2.909,2.909,825.823,2407.864301,18,463.835,1352.05589,202011
2.905,2.911,2.905,2.905,499.056,1451.434478,19,285.705,830.674553,202011
2.905,2.908,2.905,2.908,611.281,1776.359556,12,295.943,860.302666,202011
2.91,2.91,2.901,2.901,555.495,1612.372307,14,268.247,778.770463,202011
2.901,2.91,2.899,2.899,3030.71,8799.484368,31,1535.105,4456.907463,202011
2.9,2.9,2.885,2.893,1248.074,3608.923937,19,878.238,2539.926955,202011
2.895,2.9,2.893,2.897,1693.994,4903.48072,24,934.387,2705.345949,202011
2.894,2.911,2.892,2.903,1765.977,5123.361044,26,938.715,2726.630849,202011
2.903,2.908,2.903,2.907,798.465,2319.815264,9,362.075,1052.583787,202011
2.912,2.913,2.905,2.912,239.368,695.980984,12,135.682,394.746428,202011
2.914,2.914,2.907,2.907,344.35,1001.55116,9,51.523,149.939516,202011
2.907,2.907,2.907,2.907,0.0,0.0,0,0.0,0.0,202011
2.912,2.913,2.912,2.913,1212.517,3531.700217,14,1000.453,2914.169849,202011
