OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
2.8967,2.9134,2.8967,2.9071,9116.72,26491.976559,122,6434.13,18702.498717,202010
2.907,2.9091,2.8925,2.8928,4866.9,14117.732944,44,2847.76,8260.797502,202010
2.8926,2.8984,2.8926,2.8982,789.51,2285.210701,12,704.61,2039.621778,202010
2.899,2.9013,2.8955,2.8991,4526.76,13112.435068,22,259.99,753.180728,202010
2.8991,2.9081,2.8991,2.9081,1440.11,4183.01647,23,740.49,2151.26988,202010
2.9047,2.9091,2.8999,2.9011,1251.11,3635.672766,39,480.47,1396.038905,202010
2.8963,2.9151,2.8962,2.9104,15796.44,45954.67186,102,13460.72,39164.85242,202010
2.9051,2.9125,2.9044,2.906,4507.06,13114.95418,35,3317.57,9654.490727,202010
2.9074,2.913,2.903,2.9122,2349.64,6840.706384,27,782.79,2279.885116,202010
2.9127,2.9142,2.9102,2.9142,409.78,1193.955218,10,33.47,97.499304,202010
2.9101,2.9212,2.9101,2.9158,3731.23,10875.805486,43,1341.75,3911.737825,202010
2.9168,2.9193,2.9159,2.9163,754.1,2199.276884,14,36.23,105.766239,202010
2.9164,2.9227,2.9164,2.92,1446.08,4221.128223,40,668.47,1951.669512,202010
2.9176,2.9271,2.917,2.9208,1449.77,4235.678624,28,895.24,2616.244425,202010
2.9208,2.9243,2.9208,2.9208,315.91,923.469561,13,39.03,114.133879,202010
2.9208,2.9247,2.9201,2.9217,1191.89,3481.300024,22,64.52,188.699521,202010
2.9209,2.9252,2.9207,2.9215,469.6,1372.200757,9,16.56,48.441312,202010
2.9213,2.9279,2.9213,2.9279,1343.41,3926.748451,20,526.88,1540.704275,202010
2.9223,2.9274,2.9212,2.927,671.62,1963.138801,17,185.96,544.252487,202010
2.922,2.9284,2.922,2.9255,401.3,1174.193632,28,149.92,438.860061,202010
2.9255,2.9339,2.925,2.9267,4667.6,13666.644556,40,3969.02,11622.482284,202010
2.9275,2.9349,2.9255,2.934,1633.32,4782.686634,23,761.06,2229.827382,202010
2.934,2.9351,2.93,2.9307,999.55,2932.779311,25,871.48,2557.443406,202010
2.9313,2.9351,2.9307,2.935,2112.14,6195.743033,46,1313.46,3854.631296,202010
2.9351,2.9447,2.9333,2.9417,5761.96,16930.024575,78,4231.11,12432.157416,202010
2.9354,2.9423,2.93,2.9302,3744.64,10979.043975,42,759.63,2228.36848,202010
2.9301,2.9331,2.925,2.925,4994.36,14631.184263,39,1579.64,4628.107812,202010
2.9252,2.9371,2.9237,2.9371,2885.18,8452.700282,33,1641.62,4808.026506,202010
2.9316,2.9352,2.9267,2.93,1730.07,5070.786771,27,276.95,811.819256,202010
2.9291,2.9405,2.9291,2.9357,1328.4,3901.259633,28,766.91,2253.489677,202010
2.9353,2.9427,2.9352,2.9419,860.04,2526.757141,21,670.29,1969.522775,202010
2.9391,2.95,2.937,2.937,9453.58,27832.977852,49,7515.45,22129.666895,202010
2.9428,2.9476,2.9362,2.9441,8542.35,25121.047718,46,5869.88,17261.982221,202010
2.9385,2.9401,2.9289,2.9289,1788.73,5250.946927,34,370.5,1088.534025,202010
2.9285,2.9326,2.9243,2.9313,2604.02,7631.620628,33,1132.37,3318.613413,202010
2.9311,2.9393,2.9251,2.9309,3255.83,9552.263125,29,2906.04,8527.912587,202010
2.9257,2.9357,2.923,2.9294,3064.9,8978.419379,43,890.59,2610.446242,202010
2.9239,2.925,2.915,2.9152,2120.89,6189.391333,38,912.53,2660.690313,202010
2.9152,2.9152,2.9072,2.9129,6281.45,18289.582784,58,1254.81,3653.638118,202010
2.908,2.9149,2.9078,2.9102,760.69,2214.318614,19,362.92,1056.92729,202010
2.911,2.9148,2.9103,2.9112,177.08,515.545906,8,59.62,173.690621,202010
2.9113,2.9148,2.9111,2.9148,114.74,334.257505,8,60.71,176.953721,202010
2.9148,2.9226,2.9117,2.9218,3972.67,11588.900948,70,2936.52,8569.524613,202010
2.916,2.9245,2.9151,2.9242,1450.41,4235.531596,31,703.86,2057.116585,202010
2.9209,2.9235,2.9138,2.9197,1975.67,5770.876893,15,1750.03,5113.355665,202010
2.9134,2.9227,2.9133,2.9227,631.93,1843.052635,26,228.39,667.080583,202010
2.9223,2.9223,2.9175,2.9175,425.42,1242.89335,25,132.6,387.361224,202010
2.9215,2.9271,2.9182,2.9191,214.28,625.942844,12,166.6,486.74293,202010
2.9247,2.9347,2.9247,2.9247,2805.07,8222.364921,32,1812.73,5315.24648,202010
2.925,2.9294,2.9225,2.9262,1941.26,5682.130713,39,1688.65,4943.490609,202010
2.9278,2.9323,2.9261,2.9263,633.18,1855.849372,19,557.37,1633.988549,202010
2.928,2.935,2.928,2.9297,702.27,2059.349522,15,487.88,1431.237581,202010
