OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.887,0.8912,0.8725,0.8894,492307.0,432834.05664,2292,281575.0,247721.72368,202303
0.8889,0.8992,0.875,0.8773,413779.9,367778.48993,2211,182736.5,162739.77417,202303
0.8774,0.8808,0.8704,0.8803,249798.3,218820.01336,1198,131592.3,115325.17455,202303
0.8804,0.8903,0.8785,0.8881,361815.6,320277.983,1581,206379.5,182720.90107,202303
0.8896,0.9122,0.8895,0.9003,865537.6,781574.72228,2649,375140.3,339072.13316,202303
0.9004,0.9089,0.8958,0.9008,619803.0,559567.17201,1864,381872.1,344824.10559,202303
0.9008,0.9062,0.9,0.9036,270896.5,244577.41045,976,111000.8,100214.42211,202303
0.9039,0.9047,0.8992,0.9016,226373.8,204158.39031,862,87870.5,79240.43047,202303
0.9016,0.9036,0.894,0.897,332688.5,299188.1877,1303,154235.8,138751.25132,202303
0.8976,0.8991,0.8825,0.8848,508093.8,452415.7594,1408,205003.2,182648.07236,202303
0.8847,0.8871,0.8776,0.8828,698150.1,615552.28428,1766,312651.0,275591.59789,202303
0.8829,0.8958,0.8807,0.8931,332184.9,295483.82641,1385,173634.3,154501.5979,202303
0.8926,0.904,0.8923,0.9024,254930.8,229346.2013,780,146928.8,132257.97541,202303
0.9029,0.9189,0.9003,0.9166,767794.1,700649.40228,2079,388572.5,354381.46555,202303
0.9166,0.9301,0.9165,0.926,1022601.3,946016.60211,3609,481084.3,444961.96573,202303
0.9261,0.9316,0.92,0.9222,690094.0,638795.97846,2246,177410.7,164127.26948,202303
0.9225,0.9335,0.92,0.932,540292.3,501196.76823,1972,207324.0,192436.2373,202303
0.9324,0.9389,0.929,0.9376,757984.5,707275.44068,2244,288247.3,269203.24602,202303
0.9376,0.9416,0.9306,0.9337,945127.7,884993.73431,2379,468600.2,438988.4137,202303
0.9339,0.9543,0.9316,0.949,1013428.9,958680.74901,3265,418063.4,395482.2961,202303
0.9488,0.9603,0.9486,0.9569,963954.1,921203.05102,2443,557122.2,532599.79747,202303
0.9571,0.9801,0.9567,0.9724,1718560.5,1669279.30288,5412,1019903.2,990442.97925,202303
0.9731,0.9819,0.964,0.9675,1255688.6,1220009.891,6296,469538.4,456360.61522,202303
0.9675,0.9792,0.962,0.9625,444262.8,430940.97064,1635,148989.9,144632.24042,202303
0.9621,0.971,0.958,0.9609,555828.8,535457.78433,2612,161084.4,155206.02428,202303
0.9609,0.9639,0.952,0.9565,790273.7,756436.35834,3646,238836.3,228457.23928,202303
0.9565,0.9717,0.9561,0.9643,642395.0,620049.3578,2895,210663.5,203105.45456,202303
0.9644,0.982,0.9587,0.9727,1102310.8,1074326.76196,4226,464076.6,451930.3213,202303
0.9726,0.9811,0.96,0.9631,587661.8,570004.98621,1547,239328.9,232456.04911,202303
0.9628,0.9641,0.955,0.9569,419159.4,402915.89495,1260,141565.8,136153.09528,202303
0.9567,0.963,0.951,0.959,406607.4,388900.44173,1837,121751.8,116565.88123,202303
0.9591,0.9632,0.9579,0.9611,183785.1,176450.28004,986,41904.8,40229.09266,202303
0.9612,0.9616,0.9564,0.9584,338560.6,324697.98273,1162,157875.7,151474.04987,202303
0.9582,0.9638,0.9576,0.9625,287528.7,276205.09263,1106,164260.1,157775.55078,202303
0.9626,0.975,0.9622,0.9695,448386.2,434053.58045,1646,206994.8,200397.82944,202303
0.9697,0.9799,0.964,0.9688,358638.9,348569.13271,1570,180863.1,175925.05653,202303
0.9688,0.9806,0.9614,0.9753,349885.3,339474.84519,1441,123249.6,119794.0848,202303
0.9754,0.9853,0.9618,0.9624,467713.1,455056.06644,2327,232997.3,226905.6318,202303
0.9626,0.9662,0.9552,0.9612,372725.5,357700.47791,1320,200550.2,192425.87024,202303
0.9608,0.9643,0.9491,0.95,453199.0,433734.12911,1636,155848.5,149168.28302,202303
0.9502,0.9539,0.9457,0.9468,419402.8,398240.69989,1469,197541.8,187596.76369,202303
0.9467,0.9552,0.9434,0.9543,323179.3,306258.73919,1037,137103.8,130004.21783,202303
0.9542,0.9576,0.95,0.9557,204585.6,195045.3288,803,101715.4,97003.63191,202303
0.9555,0.958,0.9535,0.9556,234935.7,224582.71029,702,72690.4,69506.76933,202303
0.9556,0.9681,0.9542,0.9648,306300.7,294491.0134,1036,164984.4,158727.44442,202303
0.9649,0.9669,0.959,0.9596,264463.9,254646.01076,663,145345.8,140009.09524,202303
0.9595,0.9679,0.9569,0.965,126341.3,121613.67843,682,65109.2,62674.92119,202303
0.965,0.9678,0.9596,0.9596,118446.6,114208.4945,451,65565.2,63234.78606,202303
0.9597,0.9622,0.949,0.9567,482904.7,461991.68066,1146,251286.5,240385.59368,202303
0.9568,0.984,0.9568,0.9754,487791.9,474445.20326,1820,288196.8,280192.02034,202303
0.9754,0.9796,0.968,0.9754,260587.7,253498.27652,930,108705.1,105766.87758,202303
0.9754,0.985,0.9706,0.9764,707882.0,692579.88942,3197,275790.0,269800.69663,202303
0.9764,0.9812,0.9743,0.9766,275590.2,269337.49467,1041,133336.5,130316.28872,202303
0.9764,0.9799,0.9731,0.9773,256086.1,250016.81739,904,114006.6,111330.6693,202303
0.9774,1.007,0.9752,1.0019,1851999.7,1831652.03546,6353,913713.9,904097.2215,202303
1.0003,1.0148,0.995,1.0024,2022629.7,2027151.41127,6428,790434.2,792618.72647,202303
1.0023,1.0274,1.0015,1.0131,1368754.4,1387632.85903,4665,795315.6,806637.38618,202303
