OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
1.198,1.199,1.189,1.19,65390.1,77937.5457,350,35072.3,41812.9596,202207
1.19,1.194,1.183,1.19,31323.2,37268.275,195,14581.6,17356.167,202207
1.19,1.198,1.19,1.193,30657.2,36608.9324,159,13190.2,15756.1114,202207
1.192,1.196,1.188,1.194,27465.3,32720.2896,190,13674.7,16290.1792,202207
1.194,1.195,1.189,1.189,17620.7,20994.7442,107,7239.4,8624.9221,202207
1.19,1.215,1.19,1.211,168680.3,203054.416,1049,118838.8,143053.037,202207
1.211,1.231,1.211,1.219,180242.2,220179.3189,1219,92051.2,112492.3835,202207
1.22,1.22,1.211,1.212,80731.8,98117.4048,415,40877.0,49713.4482,202207
1.211,1.218,1.211,1.212,60002.1,72871.6052,389,27006.1,32824.7756,202207
1.214,1.222,1.211,1.216,78021.6,94909.9515,457,39624.8,48248.3034,202207
1.215,1.217,1.208,1.214,51148.5,62015.5502,220,20305.3,24608.9114,202207
1.216,1.216,1.207,1.207,32652.2,39558.8368,130,10959.9,13276.0787,202207
1.208,1.218,1.208,1.217,59459.4,72130.2834,218,23718.3,28805.417,202207
1.217,1.224,1.215,1.215,45438.3,55377.8846,230,27230.3,33194.7882,202207
1.216,1.217,1.209,1.211,26304.4,31883.771,138,10587.4,12836.027,202207
1.211,1.215,1.209,1.214,33699.9,40887.4065,148,26122.1,31710.7665,202207
1.213,1.215,1.209,1.209,14723.6,17850.3672,106,5692.7,6906.7024,202207
1.209,1.222,1.209,1.222,81390.3,99129.1019,215,74130.8,90306.7439,202207
1.22,1.22,1.207,1.209,45396.4,55041.0531,224,21987.2,26661.5665,202207
1.209,1.216,1.209,1.215,17994.0,21814.0435,133,14511.5,17591.4901,202207
1.214,1.218,1.213,1.216,51375.3,62481.3174,253,30030.9,36523.31,202207
1.217,1.218,1.213,1.216,11903.6,14472.1375,80,5433.4,6607.5836,202207
1.216,1.218,1.213,1.214,16758.0,20373.6984,104,7486.9,9105.309,202207
1.215,1.215,1.21,1.214,25157.3,30510.9428,152,16459.9,19963.2899,202207
1.214,1.216,1.209,1.209,34435.9,41734.6621,148,5871.6,7118.3054,202207
1.209,1.218,1.208,1.216,15741.4,19089.264,94,13429.0,16284.286,202207
1.215,1.221,1.212,1.218,25056.5,30494.5635,161,15116.2,18411.5975,202207
1.218,1.219,1.216,1.218,27359.0,33304.1729,149,12710.5,15479.6265,202207
1.218,1.218,1.212,1.216,20802.1,25286.9386,106,6358.5,7722.4416,202207
1.215,1.217,1.211,1.213,18844.9,22884.7442,119,8042.8,9767.8454,202207
1.212,1.212,1.205,1.207,33543.5,40511.0463,222,13082.2,15791.4915,202207
1.207,1.208,1.205,1.207,17834.6,21527.6151,81,11432.6,13802.5244,202207
1.206,1.209,1.205,1.209,10186.2,12297.7083,62,4606.8,5562.3369,202207
1.209,1.211,1.206,1.206,52990.1,64060.9867,182,34042.1,41188.3609,202207
1.206,1.21,1.203,1.209,26520.4,31979.2913,120,13177.7,15903.557,202207
1.208,1.208,1.203,1.205,18463.1,22244.2521,104,7971.4,9601.6934,202207
1.204,1.206,1.202,1.202,18412.1,22168.2154,96,6425.4,7738.7172,202207
1.202,1.203,1.199,1.202,27180.8,32637.666,189,11879.0,14270.4453,202207
1.201,1.203,1.198,1.199,28493.2,34178.9397,122,11108.1,13331.4997,202207
1.198,1.2,1.196,1.196,22093.3,26454.5103,140,6509.7,7797.5608,202207
1.195,1.197,1.189,1.191,51493.2,61414.1781,308,15867.4,18922.2235,202207
1.19,1.193,1.187,1.191,37879.4,45079.4518,271,23260.7,27691.8046,202207
1.19,1.193,1.188,1.191,23251.3,27690.0465,159,9366.8,11160.9813,202207
1.191,1.193,1.19,1.192,9777.1,11653.9009,66,3953.4,4713.7235,202207
1.192,1.192,1.187,1.188,10334.6,12285.8462,66,4495.3,5341.58,202207
1.188,1.189,1.187,1.188,5527.6,6566.3446,33,3123.0,3710.3341,202207
1.188,1.188,1.173,1.173,67052.6,79133.0483,500,20759.7,24498.7644,202207
1.173,1.174,1.162,1.162,88806.0,103532.7892,439,34973.4,40796.9969,202207
1.163,1.165,1.158,1.158,31392.7,36460.5586,271,12027.7,13972.4742,202207
1.158,1.163,1.154,1.161,37734.0,43688.9181,304,20834.8,24134.1707,202207
1.161,1.162,1.155,1.156,20777.2,24072.8149,196,7747.3,8978.4801,202207
1.157,1.158,1.151,1.152,51901.3,59896.261,329,19600.7,22628.3201,202207
1.152,1.155,1.149,1.151,53017.7,61046.9973,373,24887.9,28658.9429,202207
1.151,1.152,1.147,1.151,33243.8,38188.1483,174,12275.8,14112.3588,202207
1.151,1.163,1.151,1.158,74114.2,85759.1207,292,52520.8,60774.9041,202207
1.159,1.161,1.153,1.154,27891.2,32285.131,144,5257.9,6081.9512,202207
1.154,1.155,1.149,1.153,21791.5,25116.9832,146,14919.9,17199.1489,202207
1.153,1.154,1.144,1.145,70251.3,80637.6062,255,18511.6,21274.6794,202207
1.144,1.153,1.144,1.151,19217.5,22062.5285,143,11590.9,13308.6439,202207
1.151,1.152,1.147,1.147,12422.9,14273.6533,88,5523.9,6349.2687,202207
1.147,1.151,1.145,1.149,21845.7,25070.7692,174,13320.6,15286.3869,202207
1.148,1.156,1.147,1.156,19938.0,22929.3733,172,12760.0,14677.9475,202207
1.154,1.156,1.148,1.156,18972.6,21852.4079,170,8520.5,9823.7395,202207
1.155,1.156,1.15,1.152,10896.3,12563.8835,114,2554.4,2946.95,202207
1.151,1.161,1.147,1.157,48896.7,56455.6082,263,22083.8,25503.3568,202207
1.157,1.161,1.155,1.157,21686.7,25112.7008,138,12340.6,14298.5105,202207
1.156,1.157,1.144,1.147,57839.2,66481.0713,255,21009.6,24190.9303,202207
1.147,1.149,1.145,1.146,21942.7,25177.5252,93,10188.1,11692.0392,202207
1.147,1.153,1.146,1.153,37987.8,43691.9017,175,23189.2,26685.9117,202207
1.154,1.156,1.153,1.154,16176.5,18672.0321,99,4408.6,5090.9212,202207
1.155,1.156,1.153,1.155,8902.4,10281.4577,56,3603.2,4163.0168,202207
1.154,1.156,1.151,1.155,22961.4,26489.4495,129,10377.3,11973.1318,202207
1.155,1.158,1.153,1.157,17483.0,20198.4939,82,8609.8,9948.2424,202207
1.157,1.157,1.152,1.154,19421.9,22429.7762,85,5748.4,6630.7807,202207
1.153,1.155,1.151,1.155,14022.4,16172.872,80,6065.3,6997.3165,202207
1.153,1.156,1.147,1.147,43371.2,49963.3081,154,17054.8,19669.4803,202207
1.148,1.152,1.147,1.151,19364.0,22243.5188,96,14917.5,17136.9393,202207
1.151,1.155,1.15,1.154,14173.2,16332.2497,70,8927.6,10286.8412,202207
1.154,1.155,1.151,1.154,26633.9,30714.1623,111,17305.1,19961.7522,202207
1.153,1.158,1.152,1.158,14130.3,16333.7789,69,10258.6,11861.1217,202207
1.157,1.161,1.157,1.16,11044.4,12802.4447,60,8563.5,9925.8646,202207
1.16,1.162,1.155,1.156,20218.4,23426.8129,100,8151.5,9450.6082,202207
1.157,1.157,1.156,1.157,5414.7,6264.3396,37,2527.6,2924.4332,202207
1.156,1.16,1.156,1.159,14303.2,16570.0572,65,7096.7,8225.293,202207
1.159,1.159,1.154,1.155,33300.8,38483.776,125,15077.9,17433.1519,202207
1.156,1.161,1.155,1.161,12900.8,14935.0859,74,7339.8,8498.1219,202207
1.161,1.162,1.159,1.16,16613.6,19282.6451,77,4781.5,5550.9904,202207
1.16,1.169,1.16,1.169,28068.8,32697.3018,161,20677.2,24084.595,202207
1.169,1.174,1.167,1.172,39110.2,45786.3713,187,15287.3,17890.2279,202207
1.171,1.173,1.169,1.172,9623.9,11269.8848,65,5886.2,6894.3835,202207
1.171,1.178,1.17,1.177,32947.9,38721.3384,219,20558.3,24155.1125,202207
1.176,1.184,1.176,1.18,25289.1,29860.3844,193,17104.9,20203.1236,202207
1.18,1.18,1.176,1.177,19586.3,23073.9013,95,3772.7,4445.276,202207
1.177,1.186,1.177,1.181,27775.2,32801.1087,159,17810.8,21024.7452,202207
1.183,1.185,1.181,1.184,22412.0,26523.6425,128,16691.0,19757.6866,202207
1.184,1.184,1.178,1.181,20507.7,24205.5506,103,11401.2,13453.4317,202207
1.181,1.181,1.175,1.175,26800.3,31572.9777,105,6906.8,8137.3669,202207
1.174,1.174,1.167,1.169,41464.4,48478.3284,203,19222.6,22483.5358,202207
1.17,1.187,1.17,1.187,47974.7,56669.2709,275,29165.9,34427.1691,202207
1.187,1.187,1.182,1.183,38032.9,45024.7081,181,20533.2,24312.1011,202207
1.184,1.195,1.184,1.193,45541.4,54206.5895,296,22829.8,27162.0336,202207
1.192,1.193,1.187,1.189,32913.3,39163.0145,176,17768.3,21142.4567,202207
1.189,1.191,1.187,1.189,20050.0,23830.1627,118,10283.9,12228.5285,202207
1.19,1.19,1.183,1.184,15869.3,18808.1173,118,5794.0,6862.4222,202207
1.183,1.183,1.178,1.178,31942.8,37694.4281,125,4367.9,5158.1663,202207
1.178,1.182,1.178,1.182,17748.7,20928.4805,126,6601.2,7785.8812,202207
1.183,1.183,1.175,1.175,34958.4,41210.7519,197,5190.8,6127.0999,202207
1.176,1.179,1.17,1.171,24579.8,28824.8494,130,12907.8,15135.7307,202207
1.171,1.175,1.17,1.174,23168.5,27177.1095,77,19514.6,22892.9257,202207
1.174,1.178,1.173,1.178,27344.9,32164.4882,113,18458.2,21718.9638,202207
1.178,1.178,1.169,1.173,14401.4,16883.0774,101,5570.1,6523.7831,202207
1.172,1.178,1.172,1.178,19422.9,22836.7916,114,10280.5,12090.2625,202207
1.177,1.18,1.177,1.177,5551.6,6539.1311,32,3520.7,4147.6538,202207
1.177,1.178,1.169,1.172,21813.7,25571.7602,137,10095.1,11824.5529,202207
1.173,1.174,1.169,1.172,33799.4,39597.2977,137,18375.6,21535.6931,202207
1.172,1.173,1.166,1.166,16421.1,19197.5565,100,5125.7,5988.9643,202207
1.166,1.171,1.162,1.166,35420.3,41301.4452,170,23626.5,27550.2752,202207
1.165,1.173,1.164,1.171,27111.4,31690.0002,136,14822.4,17327.0339,202207
1.17,1.17,1.165,1.167,14809.5,17286.3131,90,5702.9,6655.8178,202207
1.167,1.168,1.164,1.168,19576.5,22835.6979,108,9943.6,11604.7331,202207
1.168,1.168,1.163,1.163,22504.9,26217.7358,138,7010.8,8166.2832,202207
1.164,1.165,1.158,1.164,32340.9,37610.0394,174,19623.7,22829.9215,202207
1.165,1.17,1.165,1.169,8077.3,9430.0354,58,5675.6,6625.354,202207
1.17,1.173,1.17,1.173,22197.0,26016.4074,108,13998.9,16414.2019,202207
1.173,1.173,1.172,1.173,7472.7,8759.8414,36,2642.2,3097.2039,202207
1.172,1.174,1.17,1.171,12426.1,14570.7712,58,9956.9,11678.1458,202207
1.171,1.173,1.163,1.163,22198.0,25937.6751,116,10479.0,12238.4949,202207
1.163,1.165,1.146,1.148,94806.9,109359.3155,421,32419.8,37387.2076,202207
1.148,1.15,1.143,1.145,91212.7,104519.4113,490,38439.2,44072.0052,202207
1.146,1.149,1.143,1.145,30316.7,34742.0198,172,10461.6,11991.5032,202207
1.146,1.146,1.141,1.143,25586.7,29247.6319,128,13406.3,15324.3902,202207
1.143,1.147,1.139,1.143,90170.8,103099.5071,276,49276.6,56380.3774,202207
1.143,1.144,1.133,1.144,56490.4,64272.971,296,21799.0,24851.5213,202207
1.144,1.148,1.143,1.148,15253.8,17492.1367,74,5877.4,6739.5468,202207
1.148,1.148,1.145,1.146,8850.7,10140.2354,65,3967.7,4546.0826,202207
1.147,1.15,1.143,1.148,36279.5,41629.202,209,16985.6,19504.3801,202207
1.148,1.154,1.146,1.154,29587.0,33994.063,156,17591.2,20229.5827,202207
1.154,1.157,1.153,1.155,19380.6,22374.6442,111,11261.4,13003.9809,202207
1.155,1.156,1.152,1.153,18675.7,21550.6484,117,9513.8,10979.0975,202207
1.154,1.159,1.153,1.155,26751.4,30909.0597,178,12838.0,14837.6277,202207
1.155,1.157,1.152,1.153,23240.1,26807.6089,153,8213.3,9473.8564,202207
1.153,1.154,1.147,1.149,24880.4,28621.066,169,10420.1,11990.6041,202207
1.149,1.15,1.146,1.149,16237.1,18649.0976,140,4369.1,5019.4603,202207
1.149,1.154,1.149,1.153,23528.8,27118.0566,171,8812.6,10158.0849,202207
1.154,1.155,1.151,1.155,17722.4,20430.2767,96,9911.5,11428.2393,202207
1.155,1.157,1.153,1.154,12386.0,14299.6435,66,5376.3,6207.5556,202207
1.154,1.155,1.153,1.154,10326.5,11917.2868,51,6517.6,7522.205,202207
1.154,1.159,1.146,1.146,36649.3,42251.6385,225,16722.9,19285.2654,202207
1.145,1.152,1.145,1.149,56578.8,64982.803,199,38180.8,43853.4681,202207
1.149,1.159,1.148,1.155,22408.6,25880.512,124,9195.3,10630.8146,202207
1.156,1.163,1.155,1.159,19253.8,22313.525,156,10056.2,11657.1774,202207
1.158,1.159,1.155,1.155,31299.5,36188.2417,99,9496.4,10986.7499,202207
1.156,1.156,1.149,1.153,133417.8,153524.5014,271,13353.4,15377.0556,202207
1.153,1.155,1.148,1.15,24926.5,28731.5055,109,15321.0,17666.6768,202207
1.149,1.151,1.143,1.147,44466.8,51014.5346,222,20413.0,23412.0002,202207
1.148,1.148,1.143,1.145,16571.2,18990.094,102,8584.4,9836.6776,202207
1.145,1.15,1.143,1.149,16847.6,19315.9226,86,7277.6,8345.9948,202207
1.148,1.148,1.145,1.147,15302.1,17557.171,90,8502.3,9755.856,202207
1.147,1.153,1.147,1.151,13910.5,16001.1867,87,8976.4,10324.5941,202207
1.152,1.163,1.15,1.163,36619.9,42364.4022,166,24713.8,28609.6327,202207
1.162,1.164,1.159,1.16,37698.5,43813.3814,149,20606.6,23941.1213,202207
1.16,1.162,1.155,1.157,19984.6,23165.3011,113,13775.3,15976.8155,202207
1.157,1.164,1.153,1.157,62625.6,72538.9173,334,28402.9,32891.3836,202207
1.156,1.156,1.149,1.152,37669.0,43432.5697,202,14851.7,17120.2927,202207
1.153,1.169,1.153,1.166,48128.8,55969.2276,287,34403.2,40019.2448,202207
1.166,1.176,1.165,1.171,69642.6,81612.6647,378,38272.8,44876.2228,202207
1.171,1.173,1.166,1.171,42430.1,49643.984,249,22379.0,26191.7795,202207
1.172,1.172,1.165,1.165,28048.2,32778.0232,135,10283.9,12019.6055,202207
1.164,1.17,1.157,1.159,48397.3,56300.6144,254,20452.0,23792.5664,202207
1.158,1.161,1.157,1.159,28670.4,33244.1412,152,12915.5,14980.3528,202207
1.16,1.166,1.153,1.154,49553.0,57541.9968,213,31675.4,36835.0043,202207
1.154,1.159,1.151,1.156,28526.3,32965.8835,180,9734.8,11250.4776,202207
1.157,1.157,1.151,1.154,33498.9,38670.5789,144,12083.3,13959.1937,202207
1.154,1.154,1.148,1.148,24415.4,28083.3061,180,9833.2,11311.9107,202207
1.148,1.149,1.141,1.144,33615.2,38480.4461,195,11231.2,12850.3885,202207
1.145,1.146,1.14,1.143,29587.6,33791.6804,168,19865.8,22686.4506,202207
1.142,1.149,1.141,1.149,22706.1,26029.5236,113,10838.0,12424.2223,202207
1.149,1.151,1.147,1.149,24761.5,28462.0702,122,9413.3,10822.8822,202207
1.15,1.15,1.147,1.149,23585.2,27077.3752,110,9856.9,11324.688,202207
1.148,1.156,1.147,1.155,23531.5,27089.0632,120,15449.8,17785.749,202207
1.154,1.155,1.15,1.151,15241.3,17568.892,89,7090.2,8175.5719,202207
1.151,1.162,1.151,1.161,28936.9,33441.9455,139,11486.0,13275.368,202207
1.161,1.161,1.155,1.158,31357.1,36306.3738,169,12756.3,14762.5278,202207
1.157,1.164,1.157,1.161,19895.9,23089.1448,136,10124.0,11745.1628,202207
1.16,1.163,1.155,1.156,15179.8,17600.7944,97,5508.2,6382.7892,202207
1.156,1.157,1.153,1.155,12359.4,14271.1081,69,6937.0,8012.3395,202207
1.155,1.16,1.155,1.158,20678.4,23939.287,122,6536.3,7568.4138,202207
1.159,1.16,1.154,1.157,25350.5,29324.0586,124,15151.7,17520.9597,202207
1.157,1.161,1.157,1.157,24425.4,28301.3552,101,11420.0,13232.8701,202207
1.157,1.158,1.15,1.151,20463.5,23603.5298,127,10371.9,11971.2528,202207
1.15,1.15,1.145,1.147,28915.5,33175.5618,163,13209.0,15159.9659,202207
1.146,1.154,1.145,1.153,17122.4,19681.5808,113,8505.5,9783.1109,202207
1.154,1.154,1.149,1.153,28657.0,32995.6286,109,14638.4,16859.3647,202207
1.153,1.161,1.153,1.161,15879.5,18372.7664,94,9447.5,10933.4706,202207
1.159,1.161,1.158,1.16,30835.0,35739.3498,101,12145.5,14081.0242,202207
1.158,1.164,1.157,1.163,31613.0,36710.1812,143,18941.4,22005.0381,202207
1.162,1.165,1.161,1.164,15683.7,18255.5867,110,8444.3,9833.5934,202207
1.163,1.166,1.161,1.165,28208.2,32806.905,135,12662.0,14733.6821,202207
1.165,1.166,1.162,1.162,14104.7,16416.3764,74,6466.7,7530.6371,202207
1.163,1.163,1.157,1.158,22093.8,25637.6354,106,8538.3,9906.1622,202207
1.158,1.167,1.157,1.166,83130.2,96803.3485,163,74823.7,87132.5739,202207
1.166,1.169,1.164,1.165,19851.2,23146.9726,112,8794.5,10256.7906,202207
1.166,1.174,1.165,1.172,48060.3,56323.198,165,31237.6,36626.818,202207
1.172,1.173,1.165,1.165,15250.8,17823.6063,100,5509.8,6437.8604,202207
1.165,1.166,1.161,1.161,19317.3,22492.5019,96,9970.0,11610.0169,202207
1.162,1.165,1.159,1.165,12942.7,15030.4674,87,6568.5,7631.6063,202207
1.165,1.166,1.161,1.166,24897.5,28987.7953,102,14798.1,17229.165,202207
1.166,1.173,1.163,1.168,24956.9,29183.6794,170,11137.1,13019.7756,202207
1.167,1.169,1.165,1.167,11761.2,13723.0859,70,3652.3,4264.8248,202207
