OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.9996,0.9997,0.9996,0.9997,22740.0,22731.9876,16,10836.0,10832.7492,202109
0.9997,0.9997,0.9996,0.9996,27658.0,27649.585,22,26482.0,26474.0554,202109
0.9996,0.9997,0.9996,0.9996,8633.0,8629.594,11,472.0,471.8584,202109
0.9997,0.9997,0.9996,0.9996,18535.0,18527.8064,10,2204.0,2203.3388,202109
0.9996,0.9997,0.9996,0.9996,8599.0,8595.8869,9,3265.0,3264.0205,202109
0.9996,0.9996,0.9996,0.9996,536.0,535.7856,5,0.0,0.0,202109
0.9996,0.9997,0.9996,0.9997,12397.0,12392.0829,9,417.0,416.8749,202109
0.9996,0.9996,0.9996,0.9996,8019.0,8015.7924,6,0.0,0.0,202109
0.9996,0.9996,0.9996,0.9996,17172.0,17165.1312,8,0.0,0.0,202109
0.9996,0.9997,0.9996,0.9996,54181.0,54159.9176,16,5900.0,5898.23,202109
0.9996,0.9997,0.9996,0.9996,7945.0,7942.2427,8,4207.0,4205.7379,202109
0.9996,0.9997,0.9996,0.9996,11060.0,11055.8017,7,2257.0,2256.3229,202109
0.9996,0.9997,0.9996,0.9997,58298.0,58274.7354,26,546.0,545.8362,202109
0.9996,0.9997,0.9996,0.9997,21317.0,21310.0292,16,15560.0,15555.332,202109
0.9996,0.9997,0.9996,0.9996,21165.0,21156.6924,17,1584.0,1583.5248,202109
0.9996,0.9997,0.9996,0.9996,14491.0,14486.4369,6,12333.0,12329.3001,202109
0.9996,0.9996,0.9996,0.9996,1265.0,1264.494,5,0.0,0.0,202109
0.9996,0.9997,0.9996,0.9997,6802.0,6799.8325,8,5533.0,5531.3401,202109
0.9996,0.9996,0.9996,0.9996,2355.0,2354.058,5,0.0,0.0,202109
0.9997,0.9997,0.9996,0.9996,17465.0,17459.0196,31,10056.0,10052.9832,202109
0.9996,0.9997,0.9996,0.9996,43435.0,43421.7865,41,41605.0,41592.5185,202109
0.9997,0.9997,0.9996,0.9997,80909.0,80883.3264,61,66900.0,66879.93,202109
0.9997,0.9997,0.9996,0.9996,17597.0,17591.1176,11,11564.0,11560.5308,202109
0.9997,0.9997,0.9996,0.9996,7101.0,7098.8626,8,7030.0,7027.891,202109
0.9996,0.9997,0.9996,0.9997,4635.0,4633.3599,8,2139.0,2138.3583,202109
0.9997,0.9997,0.9997,0.9997,20361.0,20354.8917,2,20361.0,20354.8917,202109
0.9997,0.9997,0.9996,0.9997,5600.0,5598.1409,9,3809.0,3807.8573,202109
0.9996,0.9997,0.9996,0.9997,13915.0,13910.3647,9,9307.0,9304.2079,202109
0.9996,0.9997,0.9996,0.9997,14073.0,14068.7368,13,13660.0,13655.902,202109
0.9996,0.9997,0.9996,0.9997,11366.0,11362.4767,10,10231.0,10227.9307,202109
0.9997,0.9997,0.9996,0.9997,10939.0,10935.5906,11,9662.0,9659.1014,202109
0.9996,0.9997,0.9996,0.9997,21948.0,21941.4116,14,21908.0,21901.4276,202109
0.9997,0.9997,0.9996,0.9996,5120.0,5118.4396,6,4876.0,4874.5372,202109
0.9997,0.9997,0.9997,0.9997,3690.0,3688.893,1,3690.0,3688.893,202109
0.9996,0.9997,0.9996,0.9997,2648.0,2647.1986,6,2578.0,2577.2266,202109
