OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.8772,0.8786,0.8715,0.875,27113.0,23698.3815,109,9714.0,8494.1064,202109
0.8777,0.8813,0.8746,0.8767,39298.0,34505.5038,128,17025.0,14958.9206,202109
0.8769,0.8789,0.8733,0.8765,10867.0,9527.6867,51,7408.0,6497.073,202109
0.8771,0.8771,0.8729,0.8729,4647.0,4070.2181,14,25.0,21.9275,202109
0.8749,0.8749,0.8701,0.871,6695.0,5830.1966,41,183.0,159.7095,202109
0.8709,0.8747,0.8709,0.873,11533.0,10064.3052,39,4621.0,4034.2409,202109
0.8704,0.8739,0.87,0.8719,8382.0,7309.2281,41,5749.0,5017.8771,202109
0.872,0.8757,0.8719,0.8731,15764.0,13787.4308,38,10343.0,9049.995,202109
0.8715,0.8715,0.8701,0.8701,7593.0,6612.2957,35,454.0,395.0723,202109
0.8701,0.872,0.8681,0.8692,21432.0,18645.205,81,6720.0,5850.2655,202109
0.8693,0.872,0.8658,0.8701,50145.0,43580.7355,148,18516.0,16112.2281,202109
0.8693,0.8707,0.867,0.8681,4878.0,4235.5234,26,2203.0,1912.3113,202109
0.8668,0.8679,0.863,0.8664,43774.0,37888.8092,171,17247.0,14935.6283,202109
0.8664,0.8675,0.8642,0.8655,12224.0,10583.8083,42,3109.0,2693.9873,202109
0.8642,0.8645,0.8624,0.8624,3430.0,2961.9067,36,1452.0,1254.615,202109
0.8624,0.8669,0.8609,0.8631,42877.0,36999.8131,162,23525.0,20316.1059,202109
0.8632,0.8639,0.8613,0.8639,9481.0,8181.5075,38,8974.0,7744.1885,202109
0.8627,0.8658,0.8627,0.865,18335.0,15865.2636,22,3471.0,3000.9354,202109
0.8624,0.867,0.8623,0.8647,9243.0,8000.7931,60,7797.0,6751.8643,202109
0.8649,0.868,0.8647,0.8675,13389.0,11603.6992,57,6868.0,5953.0023,202109
0.8666,0.8723,0.8666,0.8715,18345.0,15977.8269,57,7180.0,6248.603,202109
0.8721,0.8751,0.8701,0.8738,8188.0,7146.3013,41,5871.0,5123.8931,202109
0.8746,0.8768,0.8715,0.874,15203.0,13314.0649,42,5503.0,4818.6309,202109
0.8735,0.8753,0.8735,0.8753,1510.0,1320.6585,12,1214.0,1061.9243,202109
0.8745,0.8759,0.8712,0.8735,16174.0,14142.7154,32,5519.0,4826.1101,202109
0.8727,0.8744,0.8726,0.8729,10502.0,9173.5285,35,3511.0,3064.1083,202109
0.8725,0.8747,0.8711,0.8747,2972.0,2594.0367,18,1642.0,1434.0312,202109
0.8748,0.8748,0.8706,0.8728,17863.0,15571.0294,87,5031.0,4387.6382,202109
0.8729,0.8743,0.8717,0.8743,1947.0,1700.0175,14,605.0,528.722,202109
0.8736,0.8743,0.8717,0.8743,5738.0,5009.5869,19,2402.0,2098.1488,202109
0.8743,0.8772,0.8736,0.8749,19704.0,17239.3378,70,16169.0,14146.4295,202109
0.8749,0.876,0.8721,0.8743,8139.0,7114.0484,45,3342.0,2922.3805,202109
0.873,0.8737,0.8721,0.873,6020.0,5253.7843,32,3409.0,2975.2107,202109
0.8726,0.8745,0.8714,0.8714,8345.0,7280.7742,51,2643.0,2306.8502,202109
0.8714,0.8735,0.8697,0.8719,21591.0,18813.9171,64,9549.0,8323.77,202109
0.8709,0.8709,0.8691,0.8702,10668.0,9278.0919,40,2758.0,2400.1913,202109
0.87,0.8722,0.8694,0.8719,5040.0,4393.7091,42,3159.0,2753.5301,202109
0.8719,0.8755,0.8711,0.8755,11182.0,9758.9158,34,7985.0,6972.0449,202109
0.8756,0.8764,0.8727,0.8744,26058.0,22807.6955,43,6772.0,5923.5866,202109
0.874,0.8758,0.8728,0.8728,40182.0,35124.9348,58,593.0,519.1784,202109
0.8718,0.8738,0.8708,0.8738,5092.0,4440.8148,22,4104.0,3578.4231,202109
0.8738,0.8758,0.8722,0.8722,18779.0,16425.2004,60,3495.0,3054.6987,202109
0.873,0.8764,0.8725,0.8749,10719.0,9375.0318,31,8410.0,7354.4124,202109
0.8738,0.8763,0.8706,0.8728,127420.0,111227.8731,103,59040.0,51476.1624,202109
0.8724,0.8733,0.8717,0.8732,7280.0,6352.8325,32,1370.0,1195.7228,202109
0.8728,0.877,0.8722,0.8768,10892.0,9523.7617,63,9532.0,8336.5089,202109
0.877,0.877,0.8722,0.8733,12796.0,11182.5381,41,4633.0,4044.4524,202109
0.874,0.8772,0.874,0.8767,11182.0,9797.7963,40,9215.0,8075.6671,202109
0.8765,0.8765,0.8719,0.8751,36596.0,31995.8989,61,4597.0,4017.3934,202109
0.8752,0.8796,0.873,0.8756,67451.0,59101.7058,125,33033.0,28916.719,202109
0.8759,0.8789,0.8759,0.8773,29290.0,25688.2118,102,7333.0,6431.4872,202109
0.8771,0.881,0.8764,0.8805,126196.0,111066.0881,150,91068.0,80143.7325,202109
0.8794,0.8814,0.8773,0.8803,22956.0,20194.4147,96,12917.0,11365.4157,202109
0.8799,0.8852,0.8793,0.8843,25497.0,22524.743,165,20082.0,17740.0207,202109
0.8851,0.8886,0.8846,0.8862,42342.0,37529.9577,207,17289.0,15330.9414,202109
0.8851,0.8863,0.8828,0.8848,19032.0,16840.9698,72,6482.0,5736.9446,202109
0.8838,0.889,0.8836,0.8872,46146.0,40908.747,122,36676.0,32516.7842,202109
0.8872,0.8882,0.8828,0.8835,25789.0,22819.1898,89,8714.0,7712.2344,202109
0.8825,0.8857,0.8822,0.8837,19838.0,17536.8111,123,13456.0,11896.6098,202109
0.8837,0.8894,0.8832,0.8876,47456.0,42029.7625,88,28079.0,24894.5336,202109
0.8875,0.891,0.8874,0.8903,57578.0,51234.2981,183,35077.0,31214.1489,202109
0.8903,0.895,0.8894,0.895,48364.0,43139.7616,208,27997.0,24982.9265,202109
0.8936,0.9075,0.8931,0.9048,373538.0,336580.2351,972,188320.0,169724.9157,202109
0.904,0.9063,0.8951,0.9004,158679.0,143117.2471,318,53288.0,48114.298,202109
