OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
4.1554,4.1739,4.1501,4.1558,14785.21,61507.591446,240,10709.92,44549.208711,202010
4.1558,4.1605,4.1339,4.1407,24672.96,102270.371473,257,2257.43,9365.756726,202010
4.1388,4.1388,4.1178,4.1278,40426.55,166853.810204,371,9816.38,40516.891299,202010
4.1293,4.1538,4.1291,4.1477,19709.96,81570.325396,185,13245.61,54833.230225,202010
4.1477,4.1528,4.1368,4.1481,17261.73,71515.632961,135,5151.1,21339.103225,202010
4.1426,4.1426,4.1204,4.126,6568.45,27135.500238,87,431.18,1783.884968,202010
4.1219,4.1374,4.095,4.1086,77905.2,320148.537859,347,17806.21,73171.112815,202010
4.1086,4.1103,4.0727,4.1007,84268.97,344918.389506,933,31078.87,127210.154468,202010
4.1045,4.1109,4.0842,4.1063,21571.61,88410.658002,239,5704.76,23378.631071,202010
4.105,4.1089,4.0918,4.1075,20244.87,82944.757503,225,4869.67,19964.401334,202010
4.1038,4.118,4.1038,4.116,12399.17,50998.89282,139,7802.35,32102.358805,202010
4.1143,4.1159,4.1065,4.112,7873.94,32389.341162,111,2752.27,11322.101751,202010
4.1121,4.1194,4.1067,4.1097,19127.49,78653.45824,149,6006.84,24702.91958,202010
4.1088,4.1347,4.1076,4.1235,10628.51,43830.306983,176,7846.5,32357.556486,202010
4.1246,4.1265,4.1131,4.12,7310.34,30113.084153,113,2303.91,9486.760244,202010
4.12,4.1296,4.1156,4.1224,3192.15,13158.166369,78,1340.74,5525.218368,202010
4.1207,4.1599,4.1207,4.1482,71841.97,297787.306631,734,51921.93,215144.339108,202010
4.1482,4.1533,4.1164,4.135,49964.06,206809.537126,400,9197.62,38096.147366,202010
4.1356,4.153,4.1356,4.153,13741.94,56934.794827,156,7924.24,32825.504592,202010
4.153,4.1576,4.1408,4.1499,8739.73,36293.619267,116,4892.74,20326.734657,202010
4.1503,4.16,4.1473,4.1594,14864.28,61795.151497,233,6395.74,26589.102897,202010
4.1594,4.1754,4.1583,4.172,23561.29,98198.465399,309,15392.07,64152.495259,202010
4.175,4.18,4.17,4.1747,17773.06,74219.429898,263,8897.37,37153.65557,202010
4.1758,4.185,4.1705,4.1785,33633.65,140547.005598,285,22868.99,95592.009901,202010
4.178,4.198,4.178,4.1904,30299.53,126847.45532,388,17113.41,71644.841459,202010
4.1905,4.1973,4.1633,4.1636,40455.69,169019.439324,474,7121.1,29711.902638,202010
4.1636,4.1779,4.1632,4.1719,9633.26,40176.366353,120,4867.3,20305.363125,202010
4.1718,4.1718,4.1558,4.1636,12476.19,51911.941078,157,6640.05,27621.701409,202010
4.1636,4.1698,4.1571,4.1671,13283.28,55290.623957,139,3110.35,12953.106743,202010
4.1697,4.175,4.1676,4.1676,2240.81,9347.519307,52,995.27,4153.072498,202010
4.1663,4.167,4.1561,4.1669,15198.01,63251.840816,183,6605.41,27487.854901,202010
4.1679,4.1836,4.1626,4.1803,21306.49,88891.620001,187,11070.58,46230.437148,202010
4.1819,4.195,4.1805,4.191,15082.65,63196.264522,143,7947.12,33300.984601,202010
4.191,4.1914,4.1664,4.1664,8948.29,37388.695803,121,1758.46,7344.167159,202010
4.1681,4.1833,4.1664,4.178,7214.18,30129.456228,92,4380.68,18291.489358,202010
4.1781,4.187,4.1781,4.1861,26479.93,110843.105108,143,21211.67,88802.705106,202010
4.1829,4.19,4.1751,4.1751,23258.11,97334.141381,135,15845.87,66346.189948,202010
4.1775,4.1783,4.1644,4.1669,6911.13,28837.172538,102,2323.77,9698.33078,202010
4.1674,4.1863,4.1674,4.1827,10982.04,45925.263432,141,8686.12,36326.991735,202010
4.1837,4.1851,4.181,4.181,5286.83,22116.680331,58,2766.18,11571.997924,202010
4.1806,4.1928,4.1805,4.1928,11518.72,48219.5661,120,9734.15,40739.764579,202010
4.1928,4.2688,4.1924,4.2491,160026.57,677630.779368,1454,111764.12,472995.617143,202010
4.2491,4.2791,4.2345,4.2518,118324.92,503943.402555,1029,49535.93,210947.787141,202010
4.2519,4.2597,4.233,4.233,66683.28,283112.117364,590,24086.71,102342.855696,202010
4.2328,4.25,4.2274,4.2444,25197.99,106861.738033,324,13198.39,55984.500396,202010
4.247,4.275,4.2404,4.2708,25404.45,108130.957725,427,18031.74,76786.173932,202010
4.2702,4.2808,4.2553,4.2599,31565.57,134741.947674,580,17562.16,74982.146222,202010
4.2582,4.2746,4.2568,4.2651,23676.89,101022.737361,251,9352.61,39892.776453,202010
4.265,4.2814,4.264,4.2682,45134.61,192719.61656,506,26383.22,112636.131648,202010
4.2643,4.2701,4.2501,4.265,35530.75,151344.491895,395,16479.06,70190.100467,202010
4.265,4.2652,4.245,4.2492,26678.35,113502.578564,229,8668.1,36887.831644,202010
4.2472,4.2632,4.2472,4.2598,13518.0,57506.088042,126,10531.89,44808.531563,202010
4.2552,4.2609,4.2497,4.25,14840.41,63096.611505,144,9532.62,40528.324385,202010
4.2492,4.2499,4.2247,4.2316,60205.32,255044.874718,422,13390.16,56683.459952,202010
4.23,4.2404,4.2087,4.2152,57832.74,243782.066514,399,19620.97,82664.392033,202010
4.2161,4.2275,4.2131,4.223,7136.58,30112.776411,136,4841.98,20432.866451,202010
4.226,4.2295,4.2209,4.2285,19497.45,82418.56189,179,4597.08,19430.621588,202010
4.2242,4.2276,4.2152,4.2152,13629.06,57495.707812,166,3143.95,13275.543958,202010
4.2152,4.2366,4.2152,4.2284,19083.95,80680.573597,156,13519.53,57130.574632,202010
4.2305,4.2395,4.2273,4.228,10072.44,42646.627753,93,6947.48,29409.667244,202010
4.2272,4.2302,4.2123,4.217,15845.71,66859.37369,202,3281.82,13858.60499,202010
4.2179,4.2247,4.2157,4.2245,5175.34,21843.996474,61,3104.9,13105.294509,202010
4.2222,4.2247,4.2164,4.2188,4961.81,20950.450623,93,1967.71,8309.681028,202010
4.219,4.2343,4.219,4.2277,29267.13,123734.922428,208,8483.14,35856.372634,202010
4.2303,4.25,4.2303,4.2484,19466.27,82457.113499,151,11103.67,47030.463987,202010
4.25,4.2585,4.2472,4.2482,17473.33,74297.902855,166,5591.77,23784.723456,202010
4.25,4.2551,4.23,4.23,13965.48,59250.737138,149,3527.6,14967.096847,202010
4.23,4.2478,4.2218,4.2298,34008.02,144011.088986,209,21078.69,89320.13186,202010
4.2307,4.2447,4.2297,4.2436,5659.35,23982.139999,102,3333.43,14127.924319,202010
4.2437,4.26,4.24,4.2558,22838.99,97090.691788,131,7268.13,30885.042826,202010
4.2588,4.2643,4.2551,4.2616,52687.1,224456.989898,259,12859.0,54785.225623,202010
4.2619,4.2689,4.2451,4.2557,20221.62,86107.574942,242,4495.37,19154.52642,202010
4.2539,4.2776,4.2539,4.2691,25011.65,106794.948182,223,13048.41,55669.524621,202010
4.2691,4.2836,4.2662,4.2825,15112.98,64639.15082,201,6697.01,28658.903956,202010
4.2824,4.4163,4.2801,4.4003,1153007.54,5056861.123386,9442,420276.23,1836663.067421,202010
4.4003,4.4685,4.375,4.4541,792948.71,3509358.244644,6689,227261.9,1005619.945114,202010
4.4561,4.5061,4.4114,4.4503,421671.65,1880541.612432,3945,153210.09,683759.158165,202010
4.4503,4.4568,4.4201,4.4332,221098.11,981765.120455,2268,82980.91,368479.910086,202010
4.4332,4.45,4.41,4.4145,161023.12,713529.313192,1459,55552.98,246366.157089,202010
4.4145,4.4285,4.3904,4.3949,61436.77,270955.081305,954,19758.48,87148.621421,202010
4.3949,4.4199,4.3913,4.396,42145.2,185559.828049,440,24477.29,107785.560622,202010
4.3968,4.405,4.3841,4.3851,36090.46,158590.517355,403,12957.54,56922.787103,202010
4.3852,4.4245,4.3851,4.4196,32738.64,144202.282908,426,22452.98,98872.3933,202010
4.4195,4.4253,4.403,4.425,34388.23,151922.115015,432,15574.22,68803.219405,202010
4.423,4.4344,4.4046,4.4308,38995.82,172393.296462,619,19194.01,84799.054238,202010
4.4338,4.45,4.4271,4.4317,100284.56,444784.486724,974,27025.68,119936.738069,202010
4.4317,4.44,4.4167,4.4169,48666.16,215596.37438,696,16305.61,72262.723309,202010
4.4169,4.458,4.4113,4.4436,67865.54,300947.690558,895,32951.36,146097.666662,202010
4.4436,4.4641,4.4237,4.4237,50998.13,226811.398079,732,22139.85,98496.65792,202010
4.4236,4.4564,4.4222,4.4331,55092.83,244347.204936,455,36128.27,160244.793443,202010
4.4342,4.4342,4.3907,4.4105,63611.27,280520.337103,569,20813.61,91684.545207,202010
4.4105,4.4147,4.3924,4.4021,19837.0,87344.937791,309,14253.26,62759.192642,202010
4.4045,4.41,4.4,4.4,23321.14,102780.792163,188,11211.5,49412.303784,202010
4.4,4.4071,4.3877,4.4037,28411.01,125052.06353,362,11139.59,49041.452914,202010
4.4035,4.404,4.385,4.3954,33755.18,148220.811293,303,15293.57,67161.156181,202010
4.3923,4.4,4.3859,4.3903,21863.28,96023.841679,349,8226.3,36128.02855,202010
4.3902,4.42,4.3761,4.4015,177628.36,781281.553076,1524,77561.6,341187.154455,202010
4.4015,4.4219,4.3999,4.4207,22250.31,98112.512757,384,13020.26,57409.424507,202010
4.4211,4.4284,4.4014,4.4123,27544.62,121755.593789,420,15832.04,69993.343512,202010
4.4124,4.4363,4.4124,4.426,28335.39,125387.761091,305,13707.21,60652.204981,202010
4.4255,4.4256,4.3969,4.405,19196.42,84643.763657,318,6482.99,28581.658959,202010
4.4062,4.435,4.404,4.4146,21606.77,95547.039188,234,14773.52,65377.461318,202010
4.4187,4.4321,4.3901,4.4001,51523.86,227181.541084,467,8665.84,38244.368066,202010
4.4019,4.4057,4.3897,4.402,20046.6,88154.583498,282,11763.48,51752.06344,202010
4.3986,4.4047,4.392,4.3994,12555.42,55244.682922,169,5133.65,22594.001634,202010
4.3961,4.3982,4.39,4.39,14787.2,64967.546054,147,6031.21,26502.985498,202010
4.3922,4.3922,4.3321,4.3689,106783.51,465617.496609,1246,42714.88,186243.823115,202010
4.3689,4.3689,4.347,4.3654,23103.24,100688.178374,295,5450.31,23743.571614,202010
4.3661,4.3869,4.3661,4.383,27170.33,118878.622891,307,15107.59,66093.233835,202010
4.383,4.395,4.3769,4.3906,15402.94,67542.63738,163,5564.13,24415.027254,202010
4.3905,4.4209,4.3905,4.4075,70791.27,312669.116027,591,22160.1,97788.004101,202010
4.4087,4.43,4.4004,4.405,36980.01,163378.790363,376,21456.95,94818.309501,202010
4.4038,4.4332,4.392,4.4086,37876.0,166968.4323,371,25876.9,114115.634896,202010
4.4085,4.4224,4.4065,4.4224,29480.58,130084.985086,240,15802.05,69727.813976,202010
4.4245,4.4245,4.4097,4.4191,17221.94,76062.296229,155,5434.87,24007.405606,202010
4.4176,4.4199,4.3984,4.4065,14413.8,63533.525794,181,4312.47,19010.196064,202010
4.4059,4.4087,4.4,4.4087,7325.15,32256.666913,81,5656.73,24912.792517,202010
4.41,4.413,4.405,4.4109,8801.46,38810.800223,101,5404.91,23837.857745,202010
4.4124,4.4132,4.4003,4.4053,15170.52,66824.693007,123,6611.05,29116.193695,202010
4.4015,4.419,4.4007,4.4162,52254.59,230458.389933,179,27412.06,120894.304168,202010
4.4163,4.4372,4.4099,4.41,38342.27,169605.937461,360,15704.46,69513.761272,202010
4.4122,4.4171,4.396,4.4083,19742.73,87016.68943,232,7573.6,33395.554747,202010
4.4082,4.4322,4.4082,4.4163,21109.85,93328.621065,194,17243.95,76256.817222,202010
4.4146,4.4356,4.4113,4.4235,26040.47,115151.099735,274,18900.3,83594.200912,202010
4.4242,4.4292,4.4055,4.4094,21749.71,96064.50377,288,8896.08,39319.740734,202010
4.4073,4.4167,4.4036,4.4036,16189.5,71367.603793,177,5224.72,23040.642825,202010
4.4019,4.415,4.396,4.4037,14758.5,65039.392721,196,7874.65,34710.492708,202010
4.4038,4.4588,4.4021,4.4187,37328.16,165450.37324,396,32004.61,141923.221424,202010
4.4207,4.4588,4.4172,4.4445,35259.85,156533.190463,503,21932.6,97400.75421,202010
4.4444,4.4445,4.4217,4.4235,15980.09,70861.046469,202,6439.78,28571.413788,202010
4.4233,4.4271,4.4145,4.4241,7630.94,33731.804614,149,3994.21,17658.168691,202010
4.4255,4.44,4.4255,4.4322,12353.47,54780.92828,146,5025.82,22290.644251,202010
4.4342,4.479,4.4341,4.4646,82199.11,366576.6128,774,60665.5,270490.742185,202010
4.4665,4.4798,4.458,4.4687,46256.53,206762.577876,414,17193.57,76883.56553,202010
4.4698,4.514,4.468,4.5018,79648.34,357670.198659,928,61687.32,277003.422449,202010
4.5018,4.5029,4.4683,4.4827,72837.17,326408.68138,654,32470.73,145412.270014,202010
4.4809,4.4842,4.4503,4.459,33365.82,149108.196687,398,14500.72,64852.318215,202010
4.459,4.4591,4.4331,4.4499,34675.35,154160.658705,399,11503.82,51148.916777,202010
4.4504,4.4546,4.42,4.4378,35824.68,158926.623475,499,12762.9,56630.71372,202010
4.4378,4.457,4.4352,4.4496,16310.63,72460.653771,226,7348.65,32672.205731,202010
4.4496,4.4569,4.4276,4.4331,31243.62,138685.452335,238,12545.06,55688.10967,202010
4.4338,4.448,4.4236,4.4376,18885.79,83770.197316,232,6590.98,29261.333821,202010
4.4417,4.4598,4.4413,4.4598,22204.75,98816.063323,253,16218.08,72170.60375,202010
4.458,4.4794,4.45,4.4762,47478.12,211983.22486,381,20876.78,93248.530443,202010
4.4736,4.4785,4.44,4.45,31499.99,140605.016866,316,15259.28,68169.296003,202010
4.4459,4.45,4.44,4.4422,11669.31,51854.354404,134,1616.85,7187.31623,202010
4.4406,4.4406,4.428,4.4337,13275.7,58886.952562,169,6061.14,26878.476368,202010
4.4337,4.4372,4.402,4.41,59135.38,261110.3997,591,21713.98,95909.722607,202010
4.4113,4.4165,4.401,4.4113,15428.17,68029.766571,173,6422.59,28319.498904,202010
4.4113,4.4192,4.4101,4.4122,9559.07,42202.494394,106,4448.12,19643.308833,202010
4.4155,4.4163,4.4122,4.4122,5948.39,26252.144225,56,2248.54,9927.334304,202010
4.4122,4.4459,4.4122,4.4311,37981.27,168284.620394,357,24785.21,109797.902685,202010
4.4331,4.45,4.4331,4.443,27530.43,122368.602499,194,18367.14,81617.572786,202010
4.441,4.4484,4.4263,4.427,19477.26,86415.052977,205,5409.11,24005.656709,202010
4.4264,4.4361,4.4145,4.4164,15047.21,66531.916108,175,6845.17,30269.709413,202010
4.4161,4.4364,4.4126,4.4286,32459.59,143533.014365,219,27264.93,120548.80415,202010
4.4243,4.4279,4.4065,4.4065,12161.41,53646.817232,150,5815.66,25645.444839,202010
4.4052,4.407,4.3664,4.3929,92114.2,404176.415685,819,22216.25,97529.879862,202010
4.3901,4.3997,4.3847,4.3905,12644.03,55514.521995,229,3987.77,17521.890156,202010
4.3905,4.3922,4.3602,4.3766,22045.29,96462.052275,343,8773.99,38373.921086,202010
4.3779,4.3797,4.3559,4.3759,27922.35,121928.636815,343,14506.31,63337.47767,202010
4.3747,4.4001,4.3688,4.39,77547.67,339925.694456,531,47370.24,207718.06029,202010
4.39,4.4085,4.38,4.3985,21026.45,92386.2922,294,11710.7,51456.808284,202010
4.3955,4.4109,4.3946,4.3949,18084.14,79613.240369,235,9233.61,40656.84908,202010
4.394,4.42,4.3912,4.407,40931.53,180422.672002,419,22446.92,98973.198546,202010
4.4088,4.416,4.3921,4.4007,27111.89,119305.688077,244,11579.38,50979.449244,202010
4.3998,4.4042,4.378,4.3801,39448.02,173391.102577,345,10862.45,47750.894189,202010
4.3815,4.3893,4.3746,4.3755,13072.8,57249.027651,145,8812.57,38592.202361,202010
4.3744,4.3938,4.372,4.378,25685.3,112559.107048,248,9386.81,41138.945977,202010
4.3775,4.3775,4.35,4.36,89703.41,390940.727372,572,19359.64,84424.688339,202010
4.359,4.3622,4.3174,4.3406,149029.94,646074.75916,924,76787.5,332924.898351,202010
4.343,4.352,4.3144,4.3276,41664.97,180532.006642,507,15270.31,66230.467571,202010
4.3247,4.3502,4.3025,4.3372,62784.04,271302.606093,833,28494.98,123187.633544,202010
4.3337,4.3337,4.313,4.3171,13888.99,60029.010772,232,8034.46,34722.565093,202010
4.3224,4.3543,4.322,4.3543,20041.22,87038.772322,251,14107.34,61246.597715,202010
4.3508,4.3532,4.3331,4.3387,14520.39,63041.998524,192,7823.08,33964.318854,202010
4.3348,4.3406,4.323,4.3248,21463.73,92962.095552,210,6021.32,26087.935419,202010
4.3248,4.3471,4.32,4.3467,27315.66,118481.520599,215,12856.0,55792.531637,202010
4.3427,4.3519,4.3401,4.346,22897.92,99538.635035,155,6033.63,26226.600137,202010
4.3489,4.3575,4.34,4.3479,31103.41,135240.552203,269,17642.59,76706.113806,202010
4.35,4.39,4.3448,4.3881,45507.97,199168.095203,460,23897.88,104492.004587,202010
4.3881,4.39,4.3704,4.3758,59170.92,259159.533228,335,29031.8,127142.631371,202010
4.3758,4.377,4.3632,4.3747,21877.59,95581.112218,147,9246.46,40391.855615,202010
4.3746,4.3829,4.3734,4.3785,12871.78,56355.802909,106,9298.87,40710.828685,202010
4.3825,4.3878,4.3787,4.3825,11075.67,48561.050631,97,8006.4,35103.266753,202010
4.3806,4.3826,4.3692,4.3784,10777.89,47158.886948,121,1625.13,7112.730738,202010
4.3784,4.3879,4.3604,4.3866,13190.2,57705.138352,203,4584.63,20077.321433,202010
4.3828,4.3888,4.3707,4.3853,14759.68,64688.157167,140,6610.91,28967.220436,202010
4.389,4.3957,4.38,4.3813,17283.99,75906.436578,150,8594.38,37745.138973,202010
4.3787,4.3866,4.3344,4.3419,66313.85,289282.391243,550,29866.11,130504.840594,202010
4.3408,4.3468,4.2637,4.2859,202754.71,870223.452692,1682,83061.59,356030.012142,202010
