OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.1759,0.1774,0.1757,0.1771,98616.7,17424.24265,160,77425.4,13679.39477,202206
0.1771,0.1784,0.1771,0.1776,51121.3,9086.18699,128,28143.0,5001.54449,202206
0.1775,0.1775,0.1747,0.1754,82593.1,14503.45063,139,25499.1,4472.13031,202206
0.1756,0.1781,0.1756,0.1776,81122.5,14378.02686,114,39126.0,6921.18933,202206
0.1774,0.1774,0.1719,0.1733,289814.7,50382.12981,372,69629.2,12078.31361,202206
0.1733,0.1753,0.1733,0.1739,120330.0,20986.64121,180,71955.2,12547.11497,202206
0.1742,0.1752,0.1733,0.1749,70213.3,12242.75678,111,33723.7,5885.68788,202206
0.1752,0.176,0.1748,0.1754,63793.7,11195.87383,116,44904.9,7887.20932,202206
0.1756,0.1764,0.1756,0.1759,48737.0,8581.08299,53,29677.9,5225.0158,202206
0.1761,0.177,0.176,0.1765,65781.9,11609.92127,100,47878.2,8452.68246,202206
0.1765,0.1781,0.1763,0.1773,76952.6,13632.02926,117,54929.9,9731.61632,202206
0.1776,0.1802,0.1776,0.1784,113619.0,20353.09096,155,72435.6,12977.28011,202206
0.1787,0.1787,0.1765,0.1771,100732.3,17858.83665,155,24972.1,4432.68579,202206
0.1771,0.1771,0.1766,0.1766,5486.8,970.49993,14,0.0,0.0,202206
0.1771,0.178,0.1769,0.1774,30936.2,5488.80295,51,24003.5,4258.06693,202206
0.1773,0.1779,0.1772,0.1775,16532.7,2934.56116,31,9733.9,1728.57553,202206
0.1774,0.1774,0.1758,0.176,30557.9,5393.77649,50,2163.3,381.60473,202206
0.1762,0.1778,0.1762,0.1772,39225.8,6944.57315,71,29717.0,5259.35198,202206
0.1772,0.1775,0.177,0.1772,29413.9,5215.38485,32,2659.3,471.55674,202206
0.1771,0.1771,0.1759,0.1764,37377.2,6590.54804,53,5181.7,913.01889,202206
0.1764,0.1764,0.1739,0.1743,149988.1,26221.71111,181,26615.1,4653.26437,202206
0.1741,0.1752,0.174,0.1748,42886.2,7496.70917,74,30070.6,5258.2315,202206
0.175,0.1762,0.175,0.176,18646.3,3278.38576,45,16092.3,2829.52104,202206
0.1762,0.1764,0.1754,0.1754,29939.7,5271.72348,45,11121.1,1960.86527,202206
0.1755,0.1758,0.1746,0.1755,72906.8,12777.33481,96,26506.3,4649.76059,202206
0.1757,0.1758,0.1734,0.1735,75098.8,13092.72972,144,13651.1,2374.65288,202206
0.1735,0.1742,0.1735,0.1737,12806.0,2224.87933,24,4923.5,856.73337,202206
0.1737,0.1739,0.1734,0.1736,45075.0,7826.09402,60,20018.8,3476.60829,202206
0.1738,0.1741,0.1732,0.1737,23523.7,4086.98197,42,18413.9,3199.89573,202206
0.1737,0.1741,0.1734,0.1735,39095.8,6789.72347,39,12734.7,2212.97778,202206
0.1735,0.1739,0.1733,0.1737,35391.1,6139.71188,42,7394.5,1284.7913,202206
0.1737,0.1737,0.1731,0.1731,53668.0,9306.76239,52,36081.6,6259.50313,202206
0.1732,0.1732,0.1715,0.1728,309124.5,53352.41276,145,41302.1,7128.17332,202206
0.173,0.173,0.172,0.1723,27628.7,4766.88657,54,12897.1,2224.97659,202206
0.1723,0.1727,0.1714,0.1727,74784.6,12875.75321,92,63616.5,10955.1984,202206
0.1727,0.1734,0.1727,0.1733,52229.7,9042.42892,44,44120.2,7638.69382,202206
0.1735,0.1737,0.1722,0.1722,50066.1,8650.89114,67,28610.0,4941.33987,202206
0.1724,0.1724,0.1711,0.1712,87894.4,15098.82047,93,48196.5,8288.79209,202206
0.1713,0.1729,0.1711,0.1717,95976.4,16523.51653,115,67948.6,11707.14181,202206
0.1717,0.1721,0.1703,0.1713,135567.6,23180.2754,171,54818.0,9379.69554,202206
0.1716,0.1727,0.1716,0.1726,29323.5,5046.58892,41,22176.3,3817.16809,202206
0.1723,0.1728,0.1723,0.1727,44984.9,7761.93556,38,11048.8,1908.14033,202206
0.1724,0.1725,0.1714,0.1714,49794.5,8563.88472,47,4417.4,758.43103,202206
0.1717,0.172,0.1712,0.1717,21055.4,3614.67874,40,3765.7,646.82056,202206
0.172,0.1725,0.1714,0.1714,153437.2,26394.26314,76,141100.2,24274.8684,202206
0.1714,0.1727,0.1714,0.1724,33206.0,5717.59995,92,27631.4,4759.05453,202206
0.1723,0.1726,0.1721,0.1724,34478.1,5938.39233,41,6307.3,1087.6557,202206
0.1726,0.1733,0.1722,0.1724,48090.9,8308.5952,94,30118.6,5204.22616,202206
0.1729,0.1737,0.1721,0.1721,84866.1,14679.75539,89,23802.1,4119.68531,202206
0.1721,0.1721,0.1693,0.1693,209786.1,35779.6232,244,13122.6,2250.84714,202206
0.1696,0.1704,0.1693,0.17,178509.5,30298.76775,212,89826.8,15259.96224,202206
0.1701,0.1709,0.1701,0.1706,17710.2,3021.13771,50,12181.2,2077.57305,202206
0.1706,0.1707,0.17,0.1704,137071.3,23358.95442,114,10980.0,1871.61419,202206
0.1702,0.1708,0.1702,0.1706,49609.4,8460.27751,75,10619.6,1812.68353,202206
0.1709,0.1725,0.1707,0.172,70279.6,12074.18727,171,64993.2,11165.51763,202206
0.172,0.1723,0.1717,0.172,27060.3,4654.63582,41,10655.1,1833.6175,202206
0.1722,0.1725,0.1721,0.1721,14967.0,2577.81563,25,5881.8,1013.94208,202206
0.1722,0.1735,0.1722,0.1725,86659.8,14964.27959,120,30846.8,5331.31839,202206
0.1726,0.1732,0.1723,0.1727,34924.3,6036.29885,60,26042.2,4503.3667,202206
0.173,0.1733,0.1729,0.1732,18228.2,3156.29976,30,12212.4,2114.96274,202206
0.1732,0.1736,0.1724,0.173,28784.3,4978.65591,51,8996.1,1558.38064,202206
0.173,0.1737,0.173,0.1732,26356.5,4566.17207,60,20286.9,3515.48987,202206
0.1733,0.1734,0.1729,0.1729,4901.0,848.84027,10,1153.4,199.99956,202206
0.173,0.1731,0.1728,0.173,31918.9,5519.21716,29,12634.7,2185.24911,202206
0.1729,0.1729,0.1713,0.1713,89445.3,15359.34859,189,22207.8,3810.11442,202206
0.1713,0.1719,0.171,0.1716,58162.9,9963.35978,74,47101.2,8069.27207,202206
0.1715,0.1715,0.1707,0.1707,88975.3,15212.23503,80,41011.0,7011.09932,202206
0.1707,0.1708,0.1702,0.1703,45587.8,7771.17968,65,18249.9,3110.6166,202206
0.1701,0.172,0.1701,0.172,51471.7,8814.24881,98,48669.1,8334.87077,202206
0.1716,0.172,0.1711,0.1711,140123.7,24047.04859,160,80515.4,13817.003,202206
0.1712,0.1716,0.171,0.171,70975.6,12155.29252,96,19505.5,3342.30842,202206
0.1712,0.1717,0.1712,0.1717,30082.9,5155.39521,49,23601.4,4045.04032,202206
0.1717,0.1726,0.1712,0.1725,66605.7,11440.66444,142,41608.7,7153.55813,202206
0.1724,0.1728,0.1721,0.1725,35249.8,6078.22867,50,25122.1,4332.28963,202206
0.1723,0.1729,0.1723,0.1729,25380.7,4381.75553,51,23551.6,4066.23518,202206
0.173,0.1731,0.1722,0.1726,43220.5,7462.78771,57,26444.4,4566.09232,202206
0.1725,0.1732,0.1724,0.1732,27543.8,4759.07287,36,21623.2,3737.16406,202206
0.1731,0.1734,0.1728,0.1731,35366.7,6122.06888,52,24017.2,4157.27235,202206
0.1731,0.1733,0.1723,0.1727,52508.2,9066.22805,83,31080.4,5368.23886,202206
0.1725,0.1738,0.1723,0.1738,59169.8,10241.98509,116,51751.0,8957.03303,202206
0.1735,0.1742,0.1731,0.1732,80595.1,13991.40688,114,37440.8,6499.58873,202206
0.1731,0.1734,0.1726,0.1734,59616.1,10307.84738,100,31917.0,5520.35129,202206
0.1733,0.1734,0.1732,0.1732,14237.5,2467.47898,17,12797.9,2218.07161,202206
0.1731,0.1734,0.1728,0.1729,21822.2,3780.51028,39,17830.0,3089.5905,202206
0.1729,0.1747,0.1725,0.1739,110733.2,19223.93298,151,74921.9,13021.77016,202206
0.174,0.1742,0.1728,0.1728,56865.5,9848.8856,109,17862.6,3093.25204,202206
0.1728,0.1736,0.1727,0.1736,39838.0,6899.63274,59,30895.9,5352.0876,202206
0.1733,0.1736,0.1727,0.1729,43610.0,7548.18498,55,26122.9,4523.00074,202206
0.1727,0.1731,0.1724,0.1726,64472.0,11133.2936,58,45245.0,7815.86797,202206
0.1726,0.1735,0.1726,0.1731,118159.7,20470.12489,111,37071.5,6416.74983,202206
0.173,0.173,0.172,0.1723,96288.6,16601.81511,76,48318.2,8327.94115,202206
0.1726,0.1734,0.1726,0.1727,42570.2,7359.25442,52,27215.0,4705.60797,202206
0.1726,0.173,0.171,0.171,169248.4,29129.48181,102,38888.1,6699.92637,202206
0.171,0.1726,0.1708,0.1724,127849.0,21953.44455,106,101305.1,17412.29351,202206
0.1723,0.1729,0.1718,0.172,51901.9,8948.17207,58,34709.8,5985.70445,202206
0.172,0.1722,0.1703,0.1705,163028.9,27871.30865,109,12082.7,2071.1877,202206
0.1706,0.1715,0.1704,0.1714,238961.0,40855.39913,147,118006.0,20162.90183,202206
0.1711,0.1712,0.1702,0.1709,135962.4,23173.49814,149,48309.6,8237.34791,202206
0.171,0.1713,0.1707,0.1711,44034.4,7535.85949,67,30285.1,5184.15107,202206
0.1709,0.1717,0.1709,0.1712,57422.9,9839.28778,73,20389.7,3493.0688,202206
0.1713,0.1713,0.1705,0.1708,175177.1,29940.19737,99,38895.0,6647.86532,202206
0.1706,0.1709,0.1705,0.1705,41707.2,7117.5055,49,25105.6,4285.51646,202206
0.1706,0.1712,0.1706,0.1711,79477.5,13583.29406,52,45022.5,7694.80377,202206
0.171,0.1716,0.171,0.1712,54598.4,9350.0415,71,40376.8,6915.42184,202206
0.1712,0.1715,0.1708,0.1713,60447.0,10335.98667,74,51011.3,8722.763,202206
0.1712,0.1717,0.1712,0.1716,27066.9,4640.86091,40,18697.2,3206.04252,202206
0.1717,0.1718,0.1715,0.1715,7566.8,1299.03384,30,3911.0,671.60642,202206
0.1715,0.1716,0.1712,0.1712,9272.3,1589.46172,24,3103.7,532.04072,202206
0.1712,0.1717,0.1712,0.1716,1733.9,297.29999,7,308.0,52.8836,202206
0.1715,0.1722,0.1714,0.172,40404.9,6946.31799,65,24367.1,4190.28529,202206
0.172,0.172,0.1711,0.1714,73614.2,12636.27411,44,4919.5,842.91008,202206
0.171,0.1719,0.171,0.1719,20974.7,3597.44275,38,11664.1,2001.32085,202206
0.1716,0.1725,0.1716,0.1723,35221.5,6068.51218,52,27061.5,4663.69502,202206
0.1724,0.1724,0.1719,0.1722,19392.8,3338.76807,40,9878.6,1701.60638,202206
0.1722,0.1749,0.1722,0.1748,219589.3,38156.04125,259,130337.4,22624.31474,202206
0.1748,0.1757,0.1748,0.1757,203669.6,35693.55793,130,139483.3,24443.21146,202206
0.1754,0.1759,0.1753,0.1756,94381.3,16575.28404,66,44545.7,7821.58095,202206
0.1754,0.1755,0.1748,0.1754,73170.4,12815.33706,59,42461.9,7445.38943,202206
0.1752,0.1754,0.1751,0.1753,13668.2,2395.74235,22,8878.0,1556.6249,202206
0.1752,0.1753,0.175,0.1751,7593.9,1330.20984,16,4143.6,725.86136,202206
0.1756,0.1757,0.1735,0.1736,124984.6,21807.84613,136,43066.2,7549.81339,202206
0.1739,0.1746,0.1738,0.1742,36679.4,6388.65883,95,22840.3,3979.22468,202206
0.1743,0.1748,0.1743,0.1743,9517.4,1661.43126,24,1714.7,299.52983,202206
0.1743,0.1744,0.1739,0.1742,9086.2,1583.03972,26,4997.9,871.08187,202206
0.1741,0.1743,0.174,0.174,23597.9,4108.258,29,7814.6,1361.71427,202206
0.1743,0.1746,0.1741,0.1743,49524.3,8633.07928,24,34812.6,6068.34126,202206
0.1743,0.175,0.1738,0.1738,90759.8,15832.76848,64,56548.6,9872.02875,202206
0.1737,0.1741,0.1731,0.1731,33053.2,5741.5154,48,12916.6,2246.72777,202206
0.1731,0.174,0.1731,0.1737,24981.8,4338.01697,60,9292.8,1614.12205,202206
0.1737,0.1741,0.1732,0.1734,21814.2,3788.86643,34,8445.5,1467.74941,202206
0.1733,0.1734,0.173,0.173,14598.5,2528.29464,14,440.0,76.296,202206
0.173,0.174,0.173,0.1734,14207.5,2465.90946,40,6089.1,1057.29603,202206
0.1736,0.1736,0.1731,0.1731,16400.5,2839.70157,31,913.2,158.24688,202206
0.1731,0.174,0.1731,0.1735,107592.6,18699.59025,66,25048.3,4349.5061,202206
0.1738,0.1747,0.1737,0.1745,24214.4,4217.39438,41,15487.4,2695.97173,202206
