OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
3.836e-05,3.838e-05,3.803e-05,3.809e-05,180182969.0,6869.40705434,79,74595481.0,2844.25504334,202207
3.809e-05,3.828e-05,3.795e-05,3.82e-05,323523785.0,12328.72966694,103,79014069.0,3014.39109715,202207
3.821e-05,3.853e-05,3.82e-05,3.834e-05,286031966.0,10985.66479905,93,95837900.0,3678.99885523,202207
3.828e-05,3.846e-05,3.811e-05,3.835e-05,768227115.0,29423.7570376,154,136590837.0,5238.02696403,202207
3.833e-05,3.852e-05,3.833e-05,3.838e-05,189128376.0,7261.48554044,66,61151809.0,2349.0661213,202207
3.839e-05,3.905e-05,3.833e-05,3.893e-05,756220853.0,29242.71403973,167,499589898.0,19330.71109066,202207
3.893e-05,3.922e-05,3.876e-05,3.894e-05,300347954.0,11693.49163438,91,151621621.0,5903.07689977,202207
3.894e-05,3.895e-05,3.871e-05,3.872e-05,392032063.0,15226.92270771,93,133896198.0,5206.56931058,202207
3.88e-05,3.893e-05,3.87e-05,3.883e-05,581449185.0,22584.68160377,108,324185621.0,12600.39267723,202207
3.881e-05,3.899e-05,3.875e-05,3.897e-05,521193677.0,20265.61803617,116,314078906.0,12222.51571239,202207
3.891e-05,3.891e-05,3.875e-05,3.884e-05,316232685.0,12268.43260508,47,31141258.0,1208.99097155,202207
3.884e-05,3.896e-05,3.877e-05,3.877e-05,452351058.0,17561.20676923,70,158249164.0,6143.31051621,202207
3.891e-05,3.907e-05,3.879e-05,3.901e-05,199193561.0,7758.63321183,81,122951156.0,4789.52283354,202207
3.905e-05,3.912e-05,3.893e-05,3.895e-05,45600965.0,1779.67398258,26,17487346.0,682.85302805,202207
3.894e-05,3.894e-05,3.876e-05,3.882e-05,79673814.0,3095.17114149,34,34629094.0,1344.30222115,202207
3.882e-05,3.882e-05,3.874e-05,3.881e-05,42018539.0,1629.66028579,21,18874070.0,732.46439935,202207
3.875e-05,3.883e-05,3.87e-05,3.87e-05,57274107.0,2217.37929403,15,6499998.0,252.10687349,202207
3.871e-05,3.886e-05,3.869e-05,3.878e-05,62363985.0,2416.90523922,27,29801371.0,1155.96719109,202207
3.879e-05,3.879e-05,3.86e-05,3.86e-05,211061156.0,8171.72564702,46,57654366.0,2230.92684348,202207
3.862e-05,3.884e-05,3.862e-05,3.884e-05,10449062.0,404.95484328,4,8999068.0,348.956075,202207
3.874e-05,3.881e-05,3.856e-05,3.865e-05,861868730.0,33311.13358695,108,48825205.0,1888.38865874,202207
3.87e-05,3.872e-05,3.865e-05,3.87e-05,49098823.0,1899.31391561,24,38426743.0,1486.42980712,202207
3.871e-05,3.873e-05,3.864e-05,3.869e-05,36177423.0,1398.57048456,14,2918788.0,112.96121467,202207
3.87e-05,3.873e-05,3.864e-05,3.872e-05,84340353.0,3261.03839242,38,58292322.0,2254.03437013,202207
3.873e-05,3.883e-05,3.867e-05,3.876e-05,141489836.0,5482.71362487,64,104617987.0,4054.96387185,202207
3.873e-05,3.891e-05,3.869e-05,3.891e-05,299118480.0,11612.20094729,90,219238507.0,8515.8402647,202207
3.891e-05,3.896e-05,3.881e-05,3.889e-05,288234253.0,11206.07256218,77,128902476.0,5013.97903286,202207
3.883e-05,3.885e-05,3.852e-05,3.856e-05,672472690.0,25980.36561142,135,301836477.0,11659.01154936,202207
3.855e-05,3.858e-05,3.848e-05,3.853e-05,211104711.0,8133.09516677,36,51443568.0,1983.02023664,202207
3.854e-05,3.86e-05,3.848e-05,3.86e-05,246622192.0,9500.78962307,38,149596317.0,5765.20691326,202207
3.859e-05,3.861e-05,3.847e-05,3.853e-05,486730580.0,18740.94046429,40,224371728.0,8639.48599097,202207
3.853e-05,3.858e-05,3.851e-05,3.851e-05,142745883.0,5502.85498012,17,137789739.0,5311.982681,202207
3.85e-05,3.862e-05,3.85e-05,3.862e-05,48726891.0,1879.82136713,15,33583825.0,1295.83859,202207
3.862e-05,3.862e-05,3.846e-05,3.846e-05,34824595.0,1340.91596813,14,13033381.0,502.49115629,202207
3.847e-05,3.86e-05,3.846e-05,3.86e-05,51109430.0,1968.75234644,12,22359425.0,862.45278402,202207
3.857e-05,3.86e-05,3.851e-05,3.857e-05,223006016.0,8602.13773436,19,217400807.0,8386.02227347,202207
3.852e-05,3.859e-05,3.852e-05,3.853e-05,16764663.0,646.04857737,13,5348085.0,206.21788267,202207
3.853e-05,3.853e-05,3.838e-05,3.845e-05,157391908.0,6051.75404013,19,9089768.0,350.05719332,202207
3.84e-05,3.843e-05,3.834e-05,3.838e-05,51484572.0,1976.74497946,14,39837631.0,1529.87640683,202207
3.835e-05,3.843e-05,3.83e-05,3.834e-05,310123844.0,11894.24301104,39,61499450.0,2358.2571997,202207
3.831e-05,3.834e-05,3.804e-05,3.811e-05,482711510.0,18387.98980958,57,51751171.0,1973.3742569,202207
3.812e-05,3.814e-05,3.807e-05,3.807e-05,106420174.0,4056.12200758,36,85084922.0,3243.12033674,202207
3.81e-05,3.813e-05,3.805e-05,3.813e-05,72504705.0,2762.5942889,16,70559159.0,2688.55046671,202207
3.816e-05,3.817e-05,3.811e-05,3.812e-05,21386997.0,815.33922377,14,3351391.0,127.86760604,202207
3.811e-05,3.811e-05,3.807e-05,3.81e-05,50137353.0,1909.90041857,15,36222169.0,1379.9221308,202207
3.811e-05,3.813e-05,3.811e-05,3.811e-05,46779167.0,1783.26555405,15,46779167.0,1783.26555405,202207
3.811e-05,3.811e-05,3.768e-05,3.768e-05,490775418.0,18637.67017157,90,159059268.0,6033.98998812,202207
3.773e-05,3.773e-05,3.755e-05,3.759e-05,403100625.0,15172.23216099,87,171339137.0,6450.02989636,202207
3.758e-05,3.759e-05,3.73e-05,3.738e-05,194694437.0,7283.07823513,61,140330692.0,5247.46417317,202207
3.732e-05,3.738e-05,3.727e-05,3.728e-05,96546041.0,3601.73078204,22,69962847.0,2610.33235525,202207
3.733e-05,3.747e-05,3.723e-05,3.733e-05,183823719.0,6872.4716492,65,110349867.0,4129.01673831,202207
3.733e-05,3.74e-05,3.728e-05,3.734e-05,13801723.0,515.17175971,15,11392962.0,425.24309643,202207
3.736e-05,3.744e-05,3.724e-05,3.734e-05,93627492.0,3497.9431615,20,71698073.0,2679.51995941,202207
3.726e-05,3.733e-05,3.722e-05,3.728e-05,75248130.0,2805.87352107,27,39480424.0,1472.70813947,202207
3.728e-05,3.752e-05,3.728e-05,3.743e-05,167288614.0,6254.04049044,22,129666392.0,4846.69980613,202207
3.745e-05,3.752e-05,3.732e-05,3.732e-05,98003839.0,3667.80117785,26,21978103.0,824.06159697,202207
3.731e-05,3.731e-05,3.712e-05,3.716e-05,164372401.0,6118.28098606,38,37757589.0,1405.41264674,202207
3.72e-05,3.726e-05,3.699e-05,3.702e-05,409736751.0,15203.46809541,74,150853455.0,5607.078546,202207
3.703e-05,3.712e-05,3.697e-05,3.704e-05,234039805.0,8672.75899393,31,226098355.0,8378.88284011,202207
3.709e-05,3.709e-05,3.702e-05,3.707e-05,86165385.0,3192.13521827,17,7118189.0,263.9389927,202207
3.705e-05,3.705e-05,3.7e-05,3.702e-05,22889043.0,847.58364614,10,18120959.0,671.1226083,202207
3.704e-05,3.707e-05,3.699e-05,3.699e-05,7490168.0,277.47134755,7,5694419.0,211.00207669,202207
3.703e-05,3.704e-05,3.694e-05,3.704e-05,285905886.0,10578.13144984,21,204559178.0,7571.45463879,202207
3.704e-05,3.709e-05,3.697e-05,3.699e-05,28160585.0,1042.94820858,8,4651758.0,172.47969034,202207
3.697e-05,3.727e-05,3.69e-05,3.727e-05,225701605.0,8355.55124525,23,203634186.0,7538.29021921,202207
3.727e-05,3.73e-05,3.718e-05,3.725e-05,119624503.0,4450.07466536,8,116939940.0,4350.07469361,202207
3.724e-05,3.727e-05,3.692e-05,3.698e-05,219332468.0,8111.50221548,52,39537322.0,1464.4756149,202207
3.698e-05,3.698e-05,3.693e-05,3.698e-05,25538963.0,944.38748153,9,16877990.0,624.1480702,202207
3.698e-05,3.714e-05,3.693e-05,3.711e-05,95383834.0,3530.24733339,30,60883635.0,2255.53020206,202207
3.72e-05,3.72e-05,3.718e-05,3.718e-05,8657902.0,322.05307126,3,7213057.0,268.3257204,202207
3.716e-05,3.726e-05,3.716e-05,3.726e-05,32903018.0,1224.21918438,10,30937350.0,1151.1749615,202207
3.726e-05,3.726e-05,3.716e-05,3.717e-05,108234724.0,4024.32708732,17,87896129.0,3268.03486496,202207
3.722e-05,3.731e-05,3.718e-05,3.723e-05,102446219.0,3816.4831667,23,14024783.0,522.67777858,202207
3.725e-05,3.725e-05,3.718e-05,3.718e-05,15182669.0,564.86095719,11,0.0,0.0,202207
3.723e-05,3.724e-05,3.716e-05,3.721e-05,73748371.0,2743.41078381,33,29161379.0,1085.49261553,202207
3.715e-05,3.72e-05,3.7e-05,3.7e-05,225561945.0,8361.24148268,46,151287278.0,5605.23065475,202207
3.702e-05,3.704e-05,3.696e-05,3.704e-05,116431007.0,4304.65345661,15,101085941.0,3737.08770974,202207
3.706e-05,3.718e-05,3.706e-05,3.718e-05,103066208.0,3822.90080986,25,100138488.0,3714.30892006,202207
3.716e-05,3.718e-05,3.713e-05,3.713e-05,18636482.0,692.76785428,6,14801150.0,550.26931702,202207
3.712e-05,3.735e-05,3.709e-05,3.735e-05,126985612.0,4723.9143196,39,55085738.0,2052.75145355,202207
3.733e-05,3.738e-05,3.73e-05,3.732e-05,11560901.0,431.63612887,9,1273767.0,47.59545244,202207
3.738e-05,3.738e-05,3.724e-05,3.731e-05,70462089.0,2628.24227271,18,15293185.0,570.31763731,202207
3.726e-05,3.731e-05,3.722e-05,3.727e-05,80201606.0,2986.91146253,14,15315175.0,570.78642876,202207
3.727e-05,3.735e-05,3.721e-05,3.722e-05,782354608.0,29137.51404276,47,41862351.0,1561.274219,202207
3.724e-05,3.725e-05,3.704e-05,3.706e-05,119635383.0,4440.8178515,40,43501839.0,1613.74363558,202207
3.706e-05,3.711e-05,3.706e-05,3.711e-05,120954129.0,4487.49533004,15,120954129.0,4487.49533004,202207
3.711e-05,3.721e-05,3.711e-05,3.717e-05,37601935.0,1395.97406781,12,16720920.0,620.67557728,202207
3.722e-05,3.732e-05,3.722e-05,3.732e-05,163761592.0,6102.10495161,16,163761592.0,6102.10495161,202207
3.737e-05,3.752e-05,3.731e-05,3.75e-05,108374422.0,4052.51185545,35,37314015.0,1395.27128597,202207
3.75e-05,3.754e-05,3.742e-05,3.745e-05,39070526.0,1464.03915138,15,790558.0,29.64152149,202207
3.748e-05,3.772e-05,3.748e-05,3.769e-05,178068897.0,6694.81813255,47,111729369.0,4205.11744489,202207
3.772e-05,3.775e-05,3.763e-05,3.772e-05,95327618.0,3594.51191381,27,60610499.0,2286.78540645,202207
3.766e-05,3.771e-05,3.763e-05,3.769e-05,61208125.0,2306.27396896,26,41787335.0,1575.15050706,202207
3.764e-05,3.772e-05,3.763e-05,3.767e-05,63544987.0,2394.17494269,22,33429170.0,1259.68744922,202207
3.771e-05,3.778e-05,3.767e-05,3.773e-05,51850113.0,1956.75692065,21,40089842.0,1513.20682381,202207
3.777e-05,3.777e-05,3.764e-05,3.765e-05,64611199.0,2436.44000486,22,22956829.0,866.71337204,202207
3.77e-05,3.772e-05,3.751e-05,3.752e-05,259873558.0,9758.71538087,61,24639259.0,927.43716719,202207
3.751e-05,3.751e-05,3.737e-05,3.748e-05,154312002.0,5776.24815436,43,93221893.0,3490.33899544,202207
3.742e-05,3.783e-05,3.742e-05,3.783e-05,206729957.0,7794.94296318,34,182444840.0,6882.64421103,202207
3.783e-05,3.783e-05,3.773e-05,3.782e-05,194310663.0,7346.32970481,43,170032334.0,6429.16821064,202207
3.784e-05,3.802e-05,3.784e-05,3.791e-05,345580552.0,13120.97743864,49,295124800.0,11208.13965282,202207
