OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
0.1123,0.1124,0.1116,0.1118,410332.0,45950.2879,200,120715.0,13519.8938,202207
0.1119,0.1124,0.1116,0.1122,415168.0,46495.3819,177,269958.0,30240.4802,202207
0.1122,0.1129,0.1122,0.1122,337456.0,37985.8753,229,158188.0,17815.9601,202207
0.1123,0.1127,0.112,0.1125,120384.0,13522.8936,97,72965.0,8197.0757,202207
0.1125,0.1126,0.112,0.1121,172262.0,19352.4637,121,33340.0,3744.9682,202207
0.1121,0.1143,0.1121,0.1134,1932016.0,219535.7756,991,1102285.0,125261.7009,202207
0.1135,0.1154,0.1135,0.1144,2070605.0,237372.8021,988,1346287.0,154354.4034,202207
0.1144,0.1145,0.113,0.1135,1269839.0,144171.1833,588,637439.0,72375.2288,202207
0.1134,0.1142,0.1134,0.1137,294039.0,33463.4045,170,139931.0,15932.5888,202207
0.1137,0.1145,0.1136,0.1141,429989.0,49118.9105,192,267125.0,30521.8485,202207
0.1141,0.1143,0.1135,0.114,318401.0,36292.345,129,141389.0,16126.675,202207
0.114,0.1143,0.1137,0.1139,342630.0,39029.0701,150,90960.0,10367.2719,202207
0.1139,0.1147,0.1139,0.1147,438858.0,50120.1706,219,239817.0,27395.1584,202207
0.1146,0.115,0.1142,0.1142,266764.0,30550.3921,146,139035.0,15930.6824,202207
0.1141,0.1143,0.1138,0.114,373470.0,42585.4767,137,113689.0,12970.8939,202207
0.1141,0.1142,0.1139,0.1142,156519.0,17856.0719,70,117854.0,13445.219,202207
0.1142,0.1144,0.114,0.114,286317.0,32697.7115,128,106743.0,12195.528,202207
0.114,0.1143,0.114,0.114,228807.0,26123.2096,101,107108.0,12232.3409,202207
0.114,0.1142,0.1127,0.1129,1261661.0,142997.7926,367,380671.0,43193.6367,202207
0.1128,0.113,0.1127,0.1129,243068.0,27427.9173,96,185081.0,20883.8776,202207
