OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,YEAR_AND_MONTH
62.26,62.41,62.2,62.33,186.29067,11610.1997267,63,146.33564,9120.141047,202005
62.32,62.44,62.31,62.37,285.19617,17791.1760472,43,182.84261,11409.2452233,202005
62.37,62.58,62.34,62.47,388.24436,24232.3414655,80,326.44988,20373.655823,202005
62.47,62.73,62.46,62.51,363.33339,22755.15438,148,202.81875,12705.5206242,202005
62.38,62.49,62.28,62.49,229.30534,14303.7310341,78,85.08403,5311.2762407,202005
62.51,62.75,62.51,62.64,369.4727,23156.4534932,95,266.16584,16680.7194472,202005
62.7,62.72,62.54,62.56,499.48223,31287.2110447,118,258.5435,16199.3414532,202005
62.56,62.59,62.4,62.41,403.83542,25229.627704,111,155.62574,9722.1345147,202005
62.4,62.52,62.4,62.52,182.4097,11391.6965402,32,126.14795,7877.3693277,202005
62.51,62.57,62.41,62.57,371.5002,23215.0991208,83,164.47981,10279.258833,202005
62.58,62.61,62.55,62.61,66.1242,4138.4888598,30,26.61202,1665.9988381,202005
62.59,62.61,62.45,62.61,348.23322,21783.8561683,38,52.01129,3255.3281011,202005
62.66,62.99,62.66,62.97,465.13026,29232.5255204,169,451.13559,28352.6426216,202005
62.99,63.05,62.98,63.01,341.62078,21525.9570304,171,172.38417,10861.5727147,202005
62.96,63.23,62.92,63.23,377.75941,23815.3644259,154,237.53885,14985.4636107,202005
63.19,63.19,62.99,63.01,253.35346,15989.5157894,87,62.99153,3974.7998809,202005
63.03,63.03,62.89,62.91,130.06198,8187.2216318,27,32.72776,2060.251013,202005
62.86,63.12,62.86,62.92,250.48902,15772.3410403,79,174.92761,11009.9975139,202005
62.94,62.96,62.83,62.86,21.16972,1331.154965,17,7.03472,442.735295,202005
62.85,63.01,62.76,62.99,115.59283,7264.4622274,53,58.99757,3709.3882599,202005
63.01,63.02,62.85,62.88,139.89917,8803.401308,43,8.01818,504.8786184,202005
62.81,62.92,62.76,62.76,101.92528,6405.5453922,30,50.63144,3184.0920999,202005
62.8,62.83,62.73,62.81,63.8966,4010.8061748,33,25.31821,1589.1197963,202005
62.76,62.79,62.68,62.71,70.74412,4438.4945492,29,48.83977,3064.3074703,202005
62.71,62.96,62.71,62.91,105.53408,6630.6399529,38,79.51062,4996.1607556,202005
62.92,63.03,62.92,62.97,51.20103,3224.9529251,27,15.66572,987.0205524,202005
62.99,62.99,62.89,62.91,20.05,1261.7155,4,18.55,1167.3805,202005
62.99,63.06,62.99,62.99,128.03097,8068.6413166,49,76.51381,4821.9705224,202005
62.97,63.04,62.97,63.01,92.53653,5830.4987515,24,64.15817,4043.0325085,202005
62.92,63.04,62.92,63.01,13.04125,822.0124865,10,7.60108,479.1360724,202005
63.05,63.08,63.03,63.07,57.10498,3600.9880496,14,23.181,1462.03877,202005
63.08,63.17,63.07,63.15,67.03168,4230.3990882,28,67.03168,4230.3990882,202005
63.12,63.12,63.03,63.07,27.42656,1729.5521436,17,14.02756,884.5779336,202005
63.06,63.14,63.02,63.1,25.08587,1582.4669218,24,13.06438,824.3382028,202005
63.15,63.22,63.13,63.17,109.20587,6899.9724553,34,74.46592,4705.5723275,202005
